num_dol,num_ofe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ofe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
3,0,2,0,1,1O:1O:1O,,1O:2O,,,16,0.0808244089715094,Cluster_010_080.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,16,0.0808244089715094,Cluster_000_055.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:2S:2S:2S,,15,0.07577288341079005,Cluster_027_156.xyz
0,0,3,0,1,,,1O:1O:2O,,,15,0.07577288341079005,Cluster_021_014.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,14,0.07072135785007072,Cluster_021_010.xyz
0,0,2,1,1,,,1O:2O,2S,,14,0.07072135785007072,Cluster_063_027.xyz
0,0,3,0,1,,,1O:2O:2O,,,14,0.07072135785007072,Cluster_005_139.xyz
0,0,4,0,1,,,1O:1O:2O:2O,,,13,0.06566983228935139,Cluster_100_038.xyz
2,0,4,0,1,1O:1O,,1O:1O:1O:1O,,,12,0.06061830672863205,Cluster_025_009.xyz
1,0,0,9,1,1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,12,0.06061830672863205,Cluster_042_156.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,11,0.05556678116791271,Cluster_090_156.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,10,0.050515255607193374,Cluster_060_119.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,10,0.050515255607193374,Cluster_090_188.xyz
0,0,1,1,1,,,1O,3S,,10,0.050515255607193374,Cluster_100_083.xyz
0,0,0,17,1,,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_064_102.xyz
0,0,1,1,1,,,1O,2S,,9,0.045463730046474034,Cluster_090_083.xyz
1,0,0,9,1,1O,,,:::1S:1S:2S:3S:3S:3S,,7,0.03536067892503536,Cluster_031_025.xyz
