num_dol,num_tfetfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfetfe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,0,1,17,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S,,16,0.0808244089715094,Cluster_071_031.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,16,0.0808244089715094,Cluster_072_006.xyz
0,0,3,0,1,,,1O:1O:2O,,,15,0.07577288341079005,Cluster_039_082.xyz
1,0,0,9,1,1O,,,1S:1S:2S:3S:3S:3S:3S:3S:3S,,15,0.07577288341079005,Cluster_038_049.xyz
0,0,3,0,1,,,1O:2O:2O,,,15,0.07577288341079005,Cluster_020_137.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,15,0.07577288341079005,Cluster_077_088.xyz
1,0,1,9,1,1O,,1O,::::1S:1S:1S:1S:2S,,14,0.07072135785007072,Cluster_092_195.xyz
2,0,0,9,1,1O:1O,,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,13,0.06566983228935139,Cluster_043_076.xyz
0,0,2,1,1,,,1O:2O,1S,,11,0.05556678116791271,Cluster_074_182.xyz
2,0,1,1,1,1O:1O,,2O,2S,,11,0.05556678116791271,Cluster_058_100.xyz
0,0,2,1,1,,,1O:2O,2S,,11,0.05556678116791271,Cluster_052_024.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:2S:2S:3S:3S:3S:3S,,10,0.050515255607193374,Cluster_070_050.xyz
0,0,2,9,1,,,1O:1O,:::::1S:1S:1S:1S,,10,0.050515255607193374,Cluster_009_021.xyz
1,0,2,0,1,1O,,1O:1O,,,10,0.050515255607193374,Cluster_039_112.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_058_034.xyz
1,0,0,9,1,1O,,,:::1S:1S:2S:3S:3S:3S,,9,0.045463730046474034,Cluster_075_136.xyz
1,0,1,9,1,1O,,1O,::::1S:1S:2S:2S:2S,,8,0.0404122044857547,Cluster_097_195.xyz
1,0,0,9,1,1O,,,:::1S:1S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_067_060.xyz
1,0,0,9,1,1O,,,:::1S:1S:1S:2S:2S:2S,,8,0.0404122044857547,Cluster_005_136.xyz
1,0,0,1,1,1O,,,4S,,7,0.03536067892503536,Cluster_065_099.xyz
2,0,0,9,1,1O:1O,,,::::1S:1S:2S:2S:2S,,7,0.03536067892503536,Cluster_027_058.xyz
2,0,4,0,1,1O:1O,,1O:1O:1O:1O,,,7,0.03536067892503536,Cluster_006_094.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_013_034.xyz
3,0,0,0,1,1O:1O:1O,,,,,6,0.030309153364316024,Cluster_016_118.xyz
2,0,2,1,1,1O:1O,,1O:1O,2S,,6,0.030309153364316024,Cluster_002_166.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_098_031.xyz
3,0,1,1,1,:1O:1O,,1O,1S,,6,0.030309153364316024,Cluster_017_027.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,6,0.030309153364316024,Cluster_002_030.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:3S:3S:3S:3S,,6,0.030309153364316024,Cluster_066_034.xyz
0,0,2,1,1,,,1O:1O,1S,,6,0.030309153364316024,Cluster_040_180.xyz
1,0,0,9,1,1O,,,2S:2S:2S:2S:2S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_090_006.xyz
1,0,2,1,1,1O,,1O:2O,2S,,5,0.025257627803596687,Cluster_094_177.xyz
1,0,0,9,1,1O,,,:::1S:1S:1S:1S:2S:3S,,5,0.025257627803596687,Cluster_012_058.xyz
2,0,3,0,1,1O:1O,,:1O:2O,,,5,0.025257627803596687,Cluster_012_091.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S,,5,0.025257627803596687,Cluster_082_104.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,5,0.025257627803596687,Cluster_086_034.xyz
