num_dol,num_epe,num_tfsi,num_ps,num_li,atoms_dol,atoms_epe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,1,3,0,1,,1O,1O:1O:2O,,,23,0.11618508789654476,Cluster_061_175.xyz
2,0,0,1,1,1O:1O,,,3S,,22,0.11113356233582541,Cluster_061_181.xyz
2,1,2,0,1,1O:1O,1O,1O:1O,,,21,0.10608203677510608,Cluster_061_115.xyz
1,0,1,1,1,1O,,1O,3S,,19,0.0959789856536674,Cluster_001_135.xyz
1,2,1,0,1,1O,1O:1O,1O,,,19,0.0959789856536674,Cluster_003_014.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,18,0.09092746009294807,Cluster_097_195.xyz
1,0,2,1,1,1O,,1O:2O,1S,,17,0.08587593453222873,Cluster_059_039.xyz
1,0,1,1,1,1O,,2O,2S,,17,0.08587593453222873,Cluster_014_028.xyz
2,1,1,0,1,1O:1O,1O,2O,,,16,0.0808244089715094,Cluster_052_101.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,16,0.0808244089715094,Cluster_036_045.xyz
1,0,0,1,1,1O,,,3S,,16,0.0808244089715094,Cluster_030_046.xyz
0,0,1,1,1,,,1O,2S,,15,0.07577288341079005,Cluster_007_100.xyz
0,0,4,0,1,,,1O:1O:1O:1O,,,14,0.07072135785007072,Cluster_025_055.xyz
0,1,0,1,1,,1O,,1S,,14,0.07072135785007072,Cluster_078_184.xyz
0,0,2,1,1,,,1O:2O,2S,,13,0.06566983228935139,Cluster_081_187.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,13,0.06566983228935139,Cluster_003_168.xyz
0,1,2,0,1,,1O,2O:2O,,,13,0.06566983228935139,Cluster_046_044.xyz
0,0,4,0,1,,,1O:1O:1O:2O,,,12,0.06061830672863205,Cluster_060_045.xyz
2,0,1,1,1,1O:1O,,2O,1S,,11,0.05556678116791271,Cluster_095_189.xyz
1,0,1,0,1,1O,,1O,,,11,0.05556678116791271,Cluster_042_109.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,11,0.05556678116791271,Cluster_074_024.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_004_168.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,9,0.045463730046474034,Cluster_065_160.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,9,0.045463730046474034,Cluster_076_130.xyz
0,3,0,0,1,,1O:1O:1O,,,,9,0.045463730046474034,Cluster_086_044.xyz
0,1,1,0,1,,1O,1O,,,8,0.0404122044857547,Cluster_099_091.xyz
0,1,1,0,1,,1O,2O,,,8,0.0404122044857547,Cluster_015_069.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,8,0.0404122044857547,Cluster_026_020.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,8,0.0404122044857547,Cluster_066_060.xyz
2,0,1,0,1,1O:2O,,2O,,,7,0.03536067892503536,Cluster_093_154.xyz
1,1,0,1,1,1O,1O,,3S,,7,0.03536067892503536,Cluster_012_195.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,7,0.03536067892503536,Cluster_014_038.xyz
1,0,1,0,1,1O,,2O,,,7,0.03536067892503536,Cluster_076_098.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_092_184.xyz
0,0,4,0,1,,,1O:1O:2O:2O,,,6,0.030309153364316024,Cluster_049_045.xyz
1,1,0,0,1,1O,1O,,,,6,0.030309153364316024,Cluster_002_195.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,6,0.030309153364316024,Cluster_013_062.xyz
0,0,2,1,1,,,1O:1O,2S,,6,0.030309153364316024,Cluster_002_002.xyz
0,0,3,0,1,,,1O:1O:2O,,,5,0.025257627803596687,Cluster_021_026.xyz
