num_dol,num_degdbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_degdbe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,1,1,0,1,1O:1O,1O,1O,,,13,0.06566983228935139,Cluster_013_047.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,13,0.06566983228935139,Cluster_032_027.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,13,0.06566983228935139,Cluster_069_003.xyz
1,0,2,0,1,1O,,1O:1O,,,12,0.06061830672863205,Cluster_090_003.xyz
0,1,1,1,1,,1O,1O,1S,,12,0.06061830672863205,Cluster_043_178.xyz
0,0,2,1,1,,,1O:2O,1S,,11,0.05556678116791271,Cluster_061_165.xyz
0,1,1,1,1,,2O,1O,2S,,11,0.05556678116791271,Cluster_065_018.xyz
2,0,1,1,1,1O:1O,,2O,1S,,10,0.050515255607193374,Cluster_011_041.xyz
2,0,0,0,1,1O:1O,,,,,10,0.050515255607193374,Cluster_060_083.xyz
2,0,0,1,1,1O:1O,,,3S,,9,0.045463730046474034,Cluster_028_192.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,9,0.045463730046474034,Cluster_067_027.xyz
0,1,2,0,1,,2O,1O:2O,,,9,0.045463730046474034,Cluster_036_042.xyz
1,0,0,1,1,1O,,,3S,,8,0.0404122044857547,Cluster_062_126.xyz
