,num_dol,num_dfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_dfep,atoms_tfsi,atoms_ps,atoms_li,count,%
917,6,0,2,1,2,::1O:1O:1O:1O,,:3O2S,,1L:1L,1,0.03000300030003
918,6,0,2,2,2,:1O:1O:1O:1O:1O,,1N2O1S:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
919,6,0,2,2,2,:1O:1O:1O:1O:2O,,:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
920,6,0,2,2,2,:1O:1O:1O:1O:2O,,:1O,3S:3S:4S:4S:5S:5S:6S:6S,1L:1L,1,0.03000300030003
921,6,0,2,2,2,:1O:1O:1O:2O:2O,,1O:1O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
922,6,0,2,2,2,::1O:1O:1O:1O,,:1N3O2S,3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
923,6,0,2,2,2,::1O:1O:1O:1O,,:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
924,6,0,2,2,2,::1O:1O:1O:1O,,:2O1S,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
925,6,0,2,1,2,::1O:1O:1O:2O,,1N1O1S:2O,,1L:1L,1,0.03000300030003
926,6,0,2,1,2,::1O:1O:1O:1O,,1O:3O2S,,1L:1L,1,0.03000300030003
927,6,1,1,1,1,::1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
928,6,0,2,1,2,::1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,1,0.03000300030003
929,6,0,2,1,2,:1O:1O:1O:2O:2O,,2O1S:2O1S,,1L:1L,1,0.03000300030003
930,6,0,2,1,2,:1O:1O:1O:2O:2O,,:1N,,1L:1L,1,0.03000300030003
931,6,0,2,1,2,:1O:1O:1O:2O:2O,,:2O1S,,1L:1L,1,0.03000300030003
932,6,0,2,1,2,::1O:1O:1O:1O,,1N1O1S:1N2O2S,,1L:1L,1,0.03000300030003
933,6,0,2,1,2,::1O:1O:1O:1O,,1N1O1S:1O1S,,1L:1L,1,0.03000300030003
934,6,0,2,1,2,::1O:1O:1O:1O,,1N2O2S:1O,,1L:1L,1,0.03000300030003
935,6,0,2,1,2,::1O:1O:1O:1O,,1N2O2S:2O1S,,1L:1L,1,0.03000300030003
936,6,0,2,1,2,::1O:1O:1O:1O,,1O1S:1O1S,,1L:1L,1,0.03000300030003
937,6,0,2,1,2,::1O:1O:1O:1O,,1O:2O1S,,1L:1L,1,0.03000300030003
938,6,0,2,1,2,::1O:1O:1O:1O,,1O1S:2O,,1L:1L,1,0.03000300030003
939,6,0,2,1,2,::1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,1,0.03000300030003
940,6,0,2,1,2,::1O:1O:1O:1O,,1O1S:2O2S,,1L:1L,1,0.03000300030003
941,6,0,2,1,2,::1O:1O:1O:1O,,1O1S:3O1S,,1L:1L,1,0.03000300030003
942,6,0,2,1,2,::1O:1O:1O:1O,,1O:1O,,1L:1L,1,0.03000300030003
943,6,0,2,1,2,::1O:1O:1O:1O,,1O:1O1S,,1L:1L,1,0.03000300030003
944,6,0,2,1,2,::1O:1O:1O:1O,,1O:2O,,1L:1L,1,0.03000300030003
945,6,0,2,2,2,::1O:1O:1O:2O,,1O1S:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
946,6,0,2,2,2,::1O:1O:1O:2O,,:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
947,6,0,2,2,2,::1O:1O:2O:2O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
948,6,1,0,1,1,:::1O:1O:1O,,,,1L,1,0.03000300030003
949,6,0,3,1,2,:::1O:1O:2O,,1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
950,6,0,3,2,2,:::1O:1O:2O,,::1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
951,6,0,4,1,2,:1O:1O:1O:1O:1O,,::1O1S:3O2S,,1L:1L,1,0.03000300030003
952,6,1,0,1,1,:1O:1O:1O:1O:1O,1O,,,1L,1,0.03000300030003
953,6,1,0,1,1,:1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
954,6,1,0,1,1,:1O:1O:1O:1O:2O,1O,,,1L,1,0.03000300030003
955,6,1,0,1,1,:1O:1O:1O:2O:2O,1O,,,1L,1,0.03000300030003
956,6,1,0,1,2,1O:1O:1O:1O:1O:1O,1O,,,1L:1L,1,0.03000300030003
957,6,0,2,2,2,:::1O:1O:1O,,1O1S:2O2S,2S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
958,6,1,0,2,2,:1O:1O:1O:1O:1O,,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
959,6,1,0,3,2,:1O:1O:1O:1O:2O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
960,6,1,1,1,1,:1O:1O:1O:1O:1O,,1N2O1S,,1L,1,0.03000300030003
961,6,1,1,1,1,:1O:1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
962,6,1,1,1,1,:1O:1O:1O:1O:2O,,1O1S,,1L,1,0.03000300030003
963,6,1,1,1,1,:1O:1O:1O:1O:2O,,2O1S,,1L,1,0.03000300030003
964,6,1,1,1,1,::1O:1O:1O:1O,,,,1L,1,0.03000300030003
965,6,0,3,1,2,::1O:1O:2O:2O,,1O1S:2O:2O1S,,1L:1L,1,0.03000300030003
