,num_dol,num_tfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfep,atoms_tfsi,atoms_ps,atoms_li,count,%
1800,2,0,3,2,2,1O:1O,,1O1S:1O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1801,2,0,3,2,2,1O:1O,,1O:1O1S:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1802,2,0,3,2,2,1O:1O,,1O:1O:2O,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1803,2,0,3,2,2,1O:1O,,1O:1O:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1804,2,0,3,2,2,1O:1O,,1O:1O:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1805,2,0,3,2,2,1O:2O,,1O:1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1806,2,0,3,2,2,:1O,,1N1O1S:1O:1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1807,2,0,3,2,2,:2O,,1O:1O1S:1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1808,2,1,1,1,1,1O:1O,1O,2O,,1L,1,0.03000300030003
1809,2,0,2,3,2,1O:1O,,1O:2O,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1810,2,0,2,2,3,:1O,,2O:2O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
1811,2,1,2,1,2,1O:1O,1O,1N1O1S:1O,,1L:1L,1,0.03000300030003
1812,2,0,2,2,3,:1O,,1O1S:2O,1S:2S:3S:3S:4S:4S:4S:5S,1L:1L:1L,1,0.03000300030003
1813,1,1,2,2,3,1O,,1N2O2S:2O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
1814,1,3,2,1,1,1O,::,1O:1O,,1L,1,0.03000300030003
1815,1,3,2,1,1,1O,::,1O:1O1S,,1L,1,0.03000300030003
1816,1,4,1,1,1,1O,:::,1N1O1S,,1L,1,0.03000300030003
1817,1,4,1,1,1,1O,:::,1O,,1L,1,0.03000300030003
1818,1,4,1,1,1,1O,:::1O,1O,,1L,1,0.03000300030003
1819,1,5,1,1,1,1O,::::1O,1O1S,,1L,1,0.03000300030003
1820,2,0,2,1,2,1O:1O,,1O:3O2S,,1L:1L,1,0.03000300030003
1821,2,0,2,2,2,1O:1O,,1N1O1S:1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1822,2,0,2,2,2,1O:1O,,1N3O2S:1O1S,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1823,2,0,2,2,2,1O:1O,,1O1S:3O1S,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1824,2,0,2,2,2,1O:2O,,1N1O1S:1O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1825,2,0,2,2,2,:1O,,1O:2O1S,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1826,2,0,2,2,3,1O:1O,,1N2O2S:1O,1S:2S:3S:3S:4S:4S:4S:5S,1L:1L:1L,1,0.03000300030003
1827,2,0,2,2,3,:1O,,1N1O2S:2O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
1828,2,1,1,2,2,1O:1O,,1O,1S:2S:3S:3S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
1829,2,1,2,1,2,1O:1O,1O,1O1S:2O1S,,1L:1L,1,0.03000300030003
1830,3,0,1,2,2,1O:1O:1O,,2O2S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1831,2,2,2,1,2,1O:1O,:1O,1O:1O,,1L:1L,1,0.03000300030003
1832,2,2,2,1,2,:1O,:1O,2O:2O,,1L:1L,1,0.03000300030003
1833,2,2,2,2,2,1O:1O,:,1O:2O2S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1834,2,2,2,2,2,1O:2O,:,1O:1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1835,2,2,2,2,2,1O:2O,:1O,1O:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1836,2,2,2,2,3,:1O,:,1O1S:2O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
1837,2,2,3,1,2,1O:1O,:,1N3O2S:1O:1O,,1L:1L,1,0.03000300030003
1838,2,3,1,1,1,1O:1O,:1O:1O,2O1S,,1L,1,0.03000300030003
