,num_dol,num_tfepe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfepe,atoms_tfsi,atoms_ps,atoms_li,count,%
2204,4,0,2,1,2,1O:1O:1O:2O,,2O:2O1S,,1L:1L,1,0.03000300030003
2205,4,0,2,1,2,1O:1O:1O:2O,,2O1S:3O2S,,1L:1L,1,0.03000300030003
2206,4,0,2,1,2,1O:1O:1O:2O,,2O1S:3O1S,,1L:1L,1,0.03000300030003
2207,4,0,2,1,2,1O:1O:1O:2O,,1O:3O1S,,1L:1L,1,0.03000300030003
2208,4,0,2,1,2,1O:1O:1O:2O,,1O:2O,,1L:1L,1,0.03000300030003
2209,4,0,2,1,2,1O:1O:1O:2O,,1O1S:2O,,1L:1L,1,0.03000300030003
2210,4,0,1,3,2,::1O:1O,,1O,1S:1S:1S:1S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:4S:5S,1L:1L,1,0.03000300030003
2211,4,0,1,3,2,::1O:1O,,1O,1S:1S:1S:1S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2212,4,0,2,1,2,:1O:1O:1O,,1O:3O2S,,1L:1L,1,0.03000300030003
2213,4,0,1,2,3,:1O:1O:1O,,3O2S,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L:1L,1,0.03000300030003
2214,4,0,1,2,2,::2O:2O,,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2215,4,0,1,2,3,1O:1O:2O:2O,,1O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
2216,4,0,1,2,3,:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
2217,4,0,1,2,3,:1O:1O:1O,,1O,2S:2S:2S:3S:4S:4S:4S:4S,1L:1L:1L,1,0.03000300030003
2218,4,0,1,2,3,:1O:1O:1O,,2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L:1L,1,0.03000300030003
2219,4,0,1,2,3,:1O:1O:1O,,2O,2S:3S:4S:4S:4S:4S:5S:5S,1L:1L:1L,1,0.03000300030003
2220,4,0,1,2,3,::1O:2O,,2O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
