,num_dol,num_tfeg,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeg,atoms_tfsi,atoms_ps,atoms_li,count,%
735,5,0,0,2,1,::::1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
736,1,3,0,1,2,1O,:1O:2O,,,1L:1L,1,0.03000300030003
737,4,3,1,1,1,:::1O,::1O,1O,,1L,1,0.03000300030003
738,4,3,0,1,2,:1O:1O:1O,:1O:2O,,,1L:1L,1,0.03000300030003
739,4,3,0,2,1,:1O:1O:1O,::,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
740,4,3,1,1,1,:1O:1O:1O,::,2O1S,,1L,1,0.03000300030003
741,4,3,1,1,1,:1O:1O:1O,::1O,1O,,1L,1,0.03000300030003
742,1,3,1,1,1,1O,1O:1O:1O,1N1O1S,,1L,1,0.03000300030003
743,4,3,1,1,1,::1O:1O,::,1O1S,,1L,1,0.03000300030003
744,4,1,0,2,1,:1O:1O:2O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
745,4,3,1,1,1,::1O:1O,::,2O1S,,1L,1,0.03000300030003
746,4,3,1,1,1,::1O:1O,::1O,,,1L,1,0.03000300030003
747,1,3,1,1,1,,::2O,3O1S,,1L,1,0.03000300030003
748,4,3,2,1,1,:1O:1O:1O,::,1O:1O,,1L,1,0.03000300030003
749,5,0,0,2,1,:::1O:2O,,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
750,4,3,2,1,1,::1O:1O,::1O,:1O,,1L,1,0.03000300030003
751,4,4,0,1,1,:1O:1O:1O,:::1O,,,1L,1,0.03000300030003
752,4,4,0,2,1,:1O:1O:1O,:::,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
753,4,4,0,2,1,:::1O,:::2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
754,5,0,0,1,1,1O:1O:1O:1O:1O,,,,1L,1,0.03000300030003
755,1,3,1,1,1,,::2O,2O,,1L,1,0.03000300030003
756,1,3,1,1,1,,::2O,1O1S,,1L,1,0.03000300030003
757,5,0,0,1,1,:::1O:1O,,,,1L,1,0.03000300030003
758,5,0,0,2,1,::1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
759,1,3,1,1,1,,::,2O,,1L,1,0.03000300030003
760,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,1,0.03000300030003
761,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,1,0.03000300030003
762,5,1,1,1,1,:::1O:1O,2O,1O,,1L,1,0.03000300030003
763,5,1,0,2,1,::::1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
764,5,1,0,1,2,1O:1O:1O:1O:2O,2O,,,1L:1L,1,0.03000300030003
765,1,2,2,1,1,,:2O,:1N1O,,1L,1,0.03000300030003
766,5,1,0,1,2,:1O:1O:1O:2O,1O,,,1L:1L,1,0.03000300030003
767,1,2,2,1,1,,:2O,1O:1O,,1L,1,0.03000300030003
768,1,2,1,2,2,1O,2O:2O,1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
769,1,2,1,2,2,1O,1O:2O,1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
770,5,1,0,2,1,::1O:1O:1O,,,1S:1S:1S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
771,5,1,0,2,1,::1O:1O:1O,,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
772,5,1,0,2,1,::1O:1O:1O,,,:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
773,5,1,0,2,1,:::1O:1O,,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
774,5,1,0,2,2,::1O:1O:2O,2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
775,5,1,0,1,1,::::2O,2O,,,1L,1,0.03000300030003
776,5,1,0,2,2,:::1O:1O,2O,,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
777,5,1,1,1,1,1O:1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
