,num_dol,num_dipe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dipe,atoms_tfsi,atoms_ps,atoms_li,count,%
1709,2,2,2,1,2,1O:1O,:1O,1N1O1S:1O,,1L:1L,1,0.03000300030003
1710,3,2,1,1,1,::1O,:1O,2O1S,,1L,1,0.03000300030003
1711,3,2,1,1,2,1O:1O:1O,:1O,1N1O,,1L:1L,1,0.03000300030003
1712,3,2,1,1,2,1O:1O:1O,:1O,1N2O1S,,1L:1L,1,0.03000300030003
1713,4,0,3,1,2,:1O:1O:2O,,1N1O:1O:1O,,1L:1L,1,0.03000300030003
1714,4,0,3,1,2,::1O:1O,,1O:3O1S:3O1S,,1L:1L,1,0.03000300030003
1715,4,0,3,1,2,::1O:1O,,1O:2O1S:3O2S,,1L:1L,1,0.03000300030003
1716,4,0,3,1,2,::1O:1O,,1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
1717,4,0,3,1,2,::1O:1O,,1N2O2S:1O:1O1S,,1L:1L,1,0.03000300030003
1718,4,0,3,1,2,:1O:2O:2O,,1O:2O:2O,,1L:1L,1,0.03000300030003
1719,4,0,3,1,2,:1O:2O:2O,,1N3O1S:1O:1O,,1L:1L,1,0.03000300030003
1720,4,0,3,1,2,:1O:1O:2O,,:2O:2O1S,,1L:1L,1,0.03000300030003
1721,4,0,3,1,2,:1O:1O:2O,,:1O:1O1S,,1L:1L,1,0.03000300030003
1722,4,0,3,1,2,:1O:1O:2O,,:1O:1O,,1L:1L,1,0.03000300030003
1723,4,0,3,1,2,:1O:1O:2O,,1O:2O:2O,,1L:1L,1,0.03000300030003
1724,4,0,3,1,2,:1O:1O:2O,,1O:1O:1O,,1L:1L,1,0.03000300030003
1725,4,0,3,1,2,:1O:1O:2O,,1N3O2S:1O:1O,,1L:1L,1,0.03000300030003
1726,4,0,3,1,2,:1O:1O:2O,,1N2O:1O:2O,,1L:1L,1,0.03000300030003
1727,4,0,3,1,2,:1O:1O:2O,,1N1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
1728,4,0,2,2,2,:1O:1O:1O,,1N3O2S:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1729,4,0,3,1,2,:1O:1O:1O,,:2O1S:2O1S,,1L:1L,1,0.03000300030003
1730,4,0,3,1,2,:1O:1O:1O,,:1O:2O1S,,1L:1L,1,0.03000300030003
1731,4,0,3,1,2,:1O:1O:1O,,:1O:1O1S,,1L:1L,1,0.03000300030003
1732,4,0,3,1,2,:1O:1O:1O,,:1O1S:2O2S,,1L:1L,1,0.03000300030003
1733,4,0,3,1,2,:1O:1O:1O,,:1O1S:2O,,1L:1L,1,0.03000300030003
1734,4,0,3,1,2,:1O:1O:1O,,:1N1O1S:1O1S,,1L:1L,1,0.03000300030003
1735,4,0,3,1,2,:1O:1O:1O,,1O:2O:3O1S,,1L:1L,1,0.03000300030003
1736,4,0,3,1,2,:1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
1737,4,0,3,1,2,:1O:1O:1O,,1O:1O:3O1S,,1L:1L,1,0.03000300030003
1738,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1739,4,0,3,1,2,:1O:1O:1O,,1O:1O1S:3O1S,,1L:1L,1,0.03000300030003
1740,4,0,3,1,2,:1O:1O:1O,,1O:1O1S:2O2S,,1L:1L,1,0.03000300030003
1741,4,0,3,1,2,:1O:1O:1O,,1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
1742,4,0,3,1,2,::1O:1O,,:1O:2O2S,,1L:1L,1,0.03000300030003
1743,4,0,3,1,2,::1O:2O,,1N3O2S:1O:1O,,1L:1L,1,0.03000300030003
1744,4,0,3,1,3,1O:1O:1O:1O,,1N3O2S:1O:2O,,1L:1L:1L,1,0.03000300030003
1745,4,0,3,1,3,1O:1O:1O:2O,,1O:1O:2O1S,,1L:1L:1L,1,0.03000300030003
1746,4,0,3,2,3,1O:1O:1O:2O,,1O:2O1S:3O1S,:::1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1747,4,0,3,2,2,::2O:2O,,1O:1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1748,4,0,3,2,2,::1O:2O,,1O:1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1749,4,0,3,2,2,::1O:1O,,:1O:2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1750,4,0,3,2,2,::1O:1O,,:1N3O2S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1751,4,0,3,2,2,::1O:1O,,1O:1O:3O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1752,4,0,3,2,2,::1O:1O,,1O:1O:2O1S,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1753,4,0,3,2,2,::1O:1O,,1O:1O:2O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1754,4,0,3,2,2,::1O:1O,,1O:1O1S:2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1755,4,0,3,2,2,::1O:1O,,1O:1O1S:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1756,4,0,3,2,2,::1O:1O,,1N:1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1757,4,0,3,2,2,::1O:1O,,1N1O:1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1758,4,0,3,2,2,::1O:1O,,1N1O1S:1O:1O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1759,4,0,3,2,2,:1O:2O:2O,,:1O1S:3O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1760,4,0,3,2,2,:1O:1O:2O,,1O:1O:2O2S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
