,num_dol,num_toluene,num_tfsi,num_ps,num_li,atoms_dol,atoms_toluene,atoms_tfsi,atoms_ps,atoms_li,count,%
1832,3,1,2,2,2,:2O:2O,,2O:2O1S,1S:1S:2S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1833,3,1,2,2,2,:1O:1O,,2O1S:2O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1834,4,0,3,1,2,1O:1O:1O:1O,,1N3O2S:1O1S:1O1S,,1L:1L,1,0.03000300030003
1835,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,1,0.03000300030003
1836,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1837,4,5,0,1,1,:1O:1O:1O,::::,,,1L,1,0.03000300030003
1838,5,0,0,2,2,1O:1O:1O:1O:2O,,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1839,5,0,0,2,2,1O:1O:1O:1O:2O,,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1840,5,0,0,2,2,1O:1O:1O:1O:2O,,,:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1841,5,0,0,2,2,1O:1O:1O:1O:2O,,,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1842,5,0,0,2,2,1O:1O:1O:1O:2O,,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1843,5,0,0,2,2,1O:1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1844,5,0,0,2,2,1O:1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1845,5,0,0,2,2,1O:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1846,5,0,0,2,2,1O:1O:1O:1O:1O,,,1S:1S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1847,5,0,0,2,1,::1O:1O:2O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1848,5,0,0,2,1,1O:1O:1O:2O:2O,,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1849,5,0,0,1,2,:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
1850,5,0,0,1,1,::1O:1O:2O,,,,1L,1,0.03000300030003
1851,5,0,0,1,1,:1O:1O:1O:1O,,,,1L,1,0.03000300030003
1852,4,4,2,1,1,:1O:1O:2O,:::,:1O,,1L,1,0.03000300030003
1853,5,0,0,2,2,1O:1O:1O:2O:2O,,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1854,4,4,0,1,1,::1O:1O,:::,,,1L,1,0.03000300030003
1855,4,4,0,1,1,1O:1O:1O:1O,:::,,,1L,1,0.03000300030003
1856,4,3,2,1,2,1O:1O:1O:1O,::,1O:1O,,1L:1L,1,0.03000300030003
1857,4,3,1,2,2,::1O:1O,::,1N3O2S,:::1S:1S:2S:3S:3S,1L:1L,1,0.03000300030003
1858,4,3,1,2,2,::1O:1O,::,1N3O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1859,4,3,1,2,2,1O:1O:1O:1O,::,1O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1860,4,3,1,1,2,1O:1O:2O:2O,::,3O2S,,1L:1L,1,0.03000300030003
1861,4,3,1,1,2,1O:1O:1O:2O,::,2O2S,,1L:1L,1,0.03000300030003
1862,4,3,1,1,2,1O:1O:1O:1O,::,2O,,1L:1L,1,0.03000300030003
1863,4,3,1,1,2,1O:1O:1O:1O,::,1N3O2S,,1L:1L,1,0.03000300030003
1864,4,3,1,1,1,::1O:1O,::,2O1S,,1L,1,0.03000300030003
1865,4,3,1,1,1,::1O:1O,::,,,1L,1,0.03000300030003
1866,4,3,1,1,1,:1O:1O:2O,::,1O,,1L,1,0.03000300030003
1867,4,3,1,1,1,:1O:1O:1O,::,2O,,1L,1,0.03000300030003
1868,5,0,0,2,2,1O:1O:1O:2O:2O,,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1869,5,0,0,2,2,:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1870,4,2,1,1,1,1O:1O:1O:2O,:,2O,,1L,1,0.03000300030003
1871,5,0,1,1,1,:::1O:1O,,1N2O1S,,1L,1,0.03000300030003
1872,5,0,1,1,2,1O:1O:1O:2O:2O,,2O2S,,1L:1L,1,0.03000300030003
1873,5,0,1,1,2,1O:1O:1O:2O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1874,5,0,1,1,2,1O:1O:1O:2O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
1875,5,0,1,1,2,1O:1O:1O:2O:2O,,,,1L:1L,1,0.03000300030003
1876,5,0,1,1,2,1O:1O:1O:1O:2O,,4O2S,,1L:1L,1,0.03000300030003
1877,5,0,1,1,2,1O:1O:1O:1O:2O,,3O1S,,1L:1L,1,0.03000300030003
1878,5,0,1,1,2,1O:1O:1O:1O:2O,,3O,,1L:1L,1,0.03000300030003
1879,5,0,1,1,2,1O:1O:1O:1O:2O,,2O2S,,1L:1L,1,0.03000300030003
1880,5,0,1,1,2,1O:1O:1O:1O:2O,,1N4O2S,,1L:1L,1,0.03000300030003
1881,5,0,1,1,2,1O:1O:1O:1O:2O,,1N3O1S,,1L:1L,1,0.03000300030003
1882,5,0,1,1,2,1O:1O:1O:1O:1O,,3O2S,,1L:1L,1,0.03000300030003
1883,5,0,1,1,2,1O:1O:1O:1O:1O,,3O1S,,1L:1L,1,0.03000300030003
1884,5,0,1,1,2,1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,1,0.03000300030003
1885,5,0,1,1,2,1O:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
1886,5,0,1,1,1,::1O:1O:1O,,2O,,1L,1,0.03000300030003
1887,5,0,0,2,2,:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1888,5,0,1,1,1,::1O:1O:1O,,,,1L,1,0.03000300030003
1889,5,0,1,1,1,:1O:1O:2O:2O,,3O1S,,1L,1,0.03000300030003
1890,5,0,1,1,1,:1O:1O:2O:2O,,1O,,1L,1,0.03000300030003
1891,5,0,1,1,1,:1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
1892,5,0,0,3,2,::1O:1O:2O,,,:::1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1893,5,0,0,3,2,::1O:1O:2O,,,::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1894,5,0,0,3,2,:1O:1O:1O:2O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1895,5,0,0,3,2,:1O:1O:1O:1O,,,:::1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1896,5,0,0,3,2,:1O:1O:1O:1O,,,::1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
