,num_dol,num_fde,num_tfsi,num_ps,num_li,atoms_dol,atoms_fde,atoms_tfsi,atoms_ps,atoms_li,count,%
89,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,4,0.12001200120012
90,6,0,1,2,2,::1O:1O:1O:1O,,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
91,7,1,0,1,1,:::1O:1O:1O:1O,,,,1L,4,0.12001200120012
92,5,0,0,3,2,:1O:1O:1O:1O,,,:::1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
93,5,0,1,1,2,:1O:1O:1O:1O,,2O1S,,1L:1L,4,0.12001200120012
94,5,0,0,3,2,:1O:1O:1O:1O,,,::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
95,4,0,2,2,2,:1O:1O:1O,,:2O,::1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
96,6,0,0,2,2,1O:1O:1O:1O:1O:2O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
97,5,0,2,2,2,:1O:1O:1O:2O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
98,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O,,1L:1L,4,0.12001200120012
99,3,0,4,1,2,1O:1O:1O,,:1O:2O:2O1S,,1L:1L,4,0.12001200120012
100,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:1O,,1L:1L,4,0.12001200120012
101,5,0,2,2,2,::1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
102,5,0,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,4,0.12001200120012
103,6,0,0,1,1,::1O:1O:2O:2O,,,,1L,4,0.12001200120012
104,5,0,0,3,2,:1O:1O:1O:2O,,,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
105,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O,,1L:1L,4,0.12001200120012
106,5,0,3,1,2,:1O:1O:1O:1O,,:1O:1O,,1L:1L,4,0.12001200120012
107,7,0,0,1,1,::1O:1O:1O:1O:1O,,,,1L,4,0.12001200120012
108,4,1,1,2,2,1O:1O:1O:1O,,1O1S,:1S:1S:2S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
109,4,0,1,2,2,1O:1O:1O:1O,,1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
110,4,1,1,2,2,1O:1O:1O:2O,,1O,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
111,3,1,2,2,2,1O:1O:1O,,1N1O1S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
112,3,0,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
113,4,0,2,1,2,1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,3,0.09000900090009
114,4,0,2,1,2,1O:1O:1O:1O,,:2O,,1L:1L,3,0.09000900090009
115,4,0,2,2,2,:1O:1O:1O,,1O:1O,2S:3S:3S:3S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
116,3,1,2,2,2,1O:1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
117,6,0,1,3,2,::1O:1O:1O:2O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
118,6,0,0,3,2,::1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
119,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,3,0.09000900090009
120,3,0,2,2,2,1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
121,4,0,0,2,2,:1O:1O:1O,,,2S:3S:3S:3S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
122,6,0,0,3,2,:1O:1O:1O:1O:1O,,,:::1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
123,6,0,0,2,2,::1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
124,3,1,1,3,2,1O:1O:1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
125,3,2,0,1,1,:1O:1O,:,,,1L,3,0.09000900090009
126,4,0,2,2,2,1O:1O:1O:1O,,:1O,1S:2S:2S:3S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
127,6,0,0,1,1,::1O:1O:1O:2O,,,,1L,3,0.09000900090009
128,4,0,2,2,2,1O:1O:1O:1O,,:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
129,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
130,4,0,2,2,2,1O:1O:1O:1O,,1O:2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
131,5,1,1,1,1,::1O:1O:1O,,1O,,1L,3,0.09000900090009
132,4,0,1,3,2,1O:1O:1O:1O,,1O1S,:::1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
133,5,1,1,1,1,:1O:1O:1O:1O,,1O,,1L,3,0.09000900090009
134,6,0,1,2,2,::1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
135,4,0,1,1,2,1O:1O:1O:2O,,2O,,1L:1L,3,0.09000900090009
136,5,0,2,1,2,::1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
137,5,0,3,1,2,:1O:1O:1O:2O,,1O:1O:1O,,1L:1L,3,0.09000900090009
138,3,0,3,1,2,1O:1O:1O,,:1O:1O,,1L:1L,3,0.09000900090009
139,4,0,1,2,2,:1O:1O:1O,,1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
140,5,0,2,2,2,:1O:1O:1O:1O,,1N1O1S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
141,6,0,0,3,2,:::1O:1O:1O,,,::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
142,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
143,4,0,1,2,2,:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
144,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:2S:2S:3S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
145,5,0,2,2,2,:1O:1O:1O:1O,,1O:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
146,4,0,1,2,2,1O:1O:1O:2O,,2O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
147,3,0,4,1,2,:1O:1O,,:1O:2O:2O1S,,1L:1L,3,0.09000900090009
148,4,0,1,2,2,1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
149,4,0,1,2,2,1O:1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
150,4,0,1,2,2,:1O:1O:2O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
151,5,0,3,1,2,::1O:1O:1O,,1O:1O:2O1S,,1L:1L,3,0.09000900090009
152,3,1,0,3,2,1O:1O:2O,,,1S:1S:1S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
153,4,0,0,3,3,1O:1O:1O:2O,,,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L:1L,3,0.09000900090009
154,4,0,0,3,2,1O:1O:1O:2O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
155,4,0,0,3,2,1O:1O:1O:2O,,,1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
156,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,3,0.09000900090009
157,5,1,0,1,1,::1O:1O:1O,,,,1L,3,0.09000900090009
158,6,0,1,2,2,:1O:1O:1O:1O:2O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
159,4,0,1,3,2,:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
160,6,0,1,2,2,:1O:1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
161,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
162,3,0,4,2,2,:1O:1O,,:1O:1O:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
163,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,3,0.09000900090009
164,6,0,1,2,2,:1O:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
165,4,0,1,3,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
166,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,3,0.09000900090009
167,5,0,2,1,2,:1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,3,0.09000900090009
168,4,0,2,2,2,:1O:1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
169,5,0,0,1,1,:1O:1O:1O:1O,,,,1L,3,0.09000900090009
170,6,1,0,1,1,:::1O:1O:2O,,,,1L,3,0.09000900090009
171,6,1,0,1,1,::1O:1O:1O:1O,,,,1L,3,0.09000900090009
172,4,1,1,2,2,1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
173,6,1,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
174,4,0,2,2,2,:1O:1O:2O,,1O:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
175,5,0,0,3,2,:1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
176,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
177,5,0,0,3,2,:1O:1O:1O:1O,,,:::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
178,4,0,3,1,2,1O:1O:1O:2O,,:1O:1O,,1L:1L,3,0.09000900090009
179,6,1,0,1,1,:1O:1O:1O:1O:1O,,,,1L,3,0.09000900090009
180,5,0,1,2,2,:1O:1O:1O:2O,,1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
181,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O1S,,1L:1L,3,0.09000900090009
182,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,3,0.09000900090009
183,4,1,1,2,2,:1O:1O:1O,,2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
184,5,0,0,3,2,1O:1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
185,5,0,0,3,2,1O:1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
186,5,0,1,2,2,:1O:1O:1O:1O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
187,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,3,0.09000900090009
188,5,0,0,3,2,:1O:1O:1O:1O,,,:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,3,0.09000900090009
189,6,0,2,1,2,::1O:1O:1O:1O,,1O:1O1S,,1L:1L,3,0.09000900090009
190,6,1,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
191,5,0,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,3,0.09000900090009
192,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O1S,,1L:1L,3,0.09000900090009
193,4,3,0,1,1,:1O:1O:1O,::,,,1L,3,0.09000900090009
194,5,0,1,1,2,1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,3,0.09000900090009
195,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
196,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
197,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O,,1L:1L,3,0.09000900090009
198,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
199,4,1,1,1,1,::1O:1O,,1O,,1L,3,0.09000900090009
200,5,0,0,3,2,:1O:1O:1O:1O,,,1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
201,2,2,2,2,2,1O:1O,:,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
202,5,0,0,2,2,:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
203,4,0,1,1,2,1O:1O:1O:2O,,1N3O2S,,1L:1L,2,0.06000600060006
204,4,0,1,1,2,1O:1O:1O:1O,,1N2O2S,,1L:1L,2,0.06000600060006
205,4,1,1,3,2,:1O:1O:1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
206,5,0,0,3,2,:1O:1O:1O:1O,,,:::1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,2,0.06000600060006
207,4,0,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,2,0.06000600060006
208,5,0,0,3,2,:1O:1O:1O:1O,,,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
209,4,1,1,2,2,:1O:1O:2O,,1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
210,4,1,2,1,2,:1O:1O:1O,,1O:1O1S,,1L:1L,2,0.06000600060006
211,5,0,0,3,2,:1O:1O:1O:1O,,,::1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
212,5,0,0,3,2,:1O:1O:1O:2O,,,1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
213,4,0,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,2,0.06000600060006
214,5,0,3,1,2,1O:1O:1O:1O:2O,,1O:1O:1O,,1L:1L,2,0.06000600060006
215,4,1,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
216,4,0,1,2,2,1O:1O:1O:1O,,1N1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
217,5,0,0,3,2,:1O:1O:2O:2O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
218,4,1,1,2,2,:1O:1O:1O,,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
219,4,0,1,2,2,1O:1O:1O:1O,,2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
220,5,0,1,1,1,::1O:1O:1O,,,,1L,2,0.06000600060006
