,num_dol,num_dps,num_tfsi,num_ps,num_li,atoms_dol,atoms_dps,atoms_tfsi,atoms_ps,atoms_li,count,%
1089,1,4,0,1,2,,:1O:2O1S:2O1S,,,1L:1L,1,0.03000300030003
1090,1,4,0,1,2,,1O:2O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
1091,1,4,0,1,2,,1O1S:1O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
1092,1,4,0,1,2,,1O1S:1O1S:1O1S:2O1S,,,1L:1L,1,0.03000300030003
1093,1,4,0,1,1,2O,:1O:1O1S:1S,,,1L,1,0.03000300030003
1094,1,4,0,1,1,2O,:1O:1O1S:1O1S,,,1L,1,0.03000300030003
1095,1,4,0,1,1,1O,:::2O1S,,,1L,1,0.03000300030003
1096,1,4,0,1,1,1O,::1O1S:2O1S,,,1L,1,0.03000300030003
1097,1,4,0,2,1,,:::1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1098,1,4,0,2,1,,:::1O1S,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1099,1,4,0,2,2,2O,:1O:1O1S:1O1S,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1100,1,4,0,2,1,1O,:1O:1O:1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1101,1,4,0,2,2,1O,:1O:2O1S:2O1S,,1S:2S:2S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1102,1,4,0,2,2,1O,:1O:1O:2O1S,,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1103,1,4,0,2,2,1O,:1O:1O:2O1S,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1104,1,4,0,2,2,1O,:1O:1O:1O1S,,::1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1105,1,4,0,2,2,1O,:1O:1O:1O1S,,3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1106,1,4,0,2,2,1O,:1O:1O:1O1S,,2S:3S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1107,1,4,0,2,2,1O,:1O:1O:1O1S,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1108,1,4,0,2,2,1O,:1O:1O:1O1S,,2S:2S:2S:2S:2S:3S:3S:4S,1L:1L,1,0.03000300030003
1109,1,4,0,2,2,1O,:1O:1O:1O,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1110,1,4,0,2,2,1O,:1O:1O:1O,,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1111,1,4,0,2,2,1O,:1O:1O:1O,,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1112,1,4,0,2,2,1O,:1O:1O1S:2O1S,,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1113,1,4,0,2,2,1O,:1O:1O1S:2O1S,,1S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1114,1,4,0,2,2,1O,:1O:1O1S:2O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1115,1,4,0,2,2,1O,:1O:1O1S:1O1S,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1116,1,4,0,2,2,,1O:1O1S:1O1S:2O1S,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1117,1,4,0,2,2,,1O:1O1S:1O1S:2O1S,,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1118,1,4,0,2,1,2O,:1O:1O:1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1119,1,4,0,2,1,1O,::1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1120,1,4,1,2,1,,:::1O,,3S:3S:3S:3S:4S:4S:5S:5S,1L,1,0.03000300030003
1121,1,4,1,2,2,1O,1O:1O:1O:1O1S,1O,::1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1122,3,2,0,1,1,:1O:1O,:2O1S,,,1L,1,0.03000300030003
1123,2,2,0,1,1,:1O,1O1S:1O1S,,,1L,1,0.03000300030003
1124,2,2,0,1,1,1O:1O,1O:1O,,,1L,1,0.03000300030003
1125,2,2,0,1,0,:,:1O,,,,1,0.03000300030003
1126,1,6,1,1,1,,::::1O:1O,1O1S,,1L,1,0.03000300030003
1127,1,6,0,2,1,,::::1O:2O1S,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1128,1,6,0,1,1,1O,:::1O:1O:1O,,,1L,1,0.03000300030003
1129,1,6,0,1,1,,:::1O:1O1S:1O1S,,,1L,1,0.03000300030003
1130,1,6,0,1,1,,:::1O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1131,1,6,0,1,1,,::1O:1O:1O:2O1S,,,1L,1,0.03000300030003
1132,1,5,2,1,1,,:::1O:1O1S,:1O,,1L,1,0.03000300030003
1133,1,5,1,1,2,1O,:1O:1O:1O:1O,1O,,1L:1L,1,0.03000300030003
1134,1,5,1,1,2,1O,:1O:1O1S:1O1S:1O1S,2O1S,,1L:1L,1,0.03000300030003
1135,1,5,1,1,2,,:1O:1O:1O1S:2O1S,1O,,1L:1L,1,0.03000300030003
1136,1,5,1,1,2,,1O:1O:1O:1O1S:2O1S,1O,,1L:1L,1,0.03000300030003
1137,1,5,1,1,1,,:::1O:1O1S,1O,,1L,1,0.03000300030003
1138,1,5,1,1,1,,:::1O:1O,1O1S,,1L,1,0.03000300030003
1139,1,5,1,1,1,,:::1O:1O,1O,,1L,1,0.03000300030003
1140,1,5,1,1,1,,:::1O:1O,,,1L,1,0.03000300030003
1141,1,5,1,1,1,,::1O:1O1S:1O1S,1O,,1L,1,0.03000300030003
1142,1,5,1,1,1,,::1O:1O1S:1O1S,,,1L,1,0.03000300030003
1143,2,2,0,1,1,1O:1O,:1O,,,1L,1,0.03000300030003
1144,2,2,0,1,1,:1O,1O:1O1S,,,1L,1,0.03000300030003
1145,1,5,0,2,2,1O,::1O:1O:2O1S,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1146,2,2,0,2,1,1O:1O,:,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1147,2,2,1,1,1,1O:1O,:1O,3O1S,,1L,1,0.03000300030003
1148,2,2,1,1,1,1O:1O,:1O,1O,,1L,1,0.03000300030003
1149,2,2,1,1,1,1O:1O,1O1S:2O1S,2O1S,,1L,1,0.03000300030003
1150,2,2,1,1,1,1O:1O,1O1S:1O1S,,,1L,1,0.03000300030003
1151,2,2,0,3,3,1O:1O,1O:2O1S,,2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1152,2,2,0,3,3,1O:1O,1O:2O1S,,2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L:1L,1,0.03000300030003
1153,2,2,0,3,2,1O:2O,:1O1S,,2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1154,2,2,0,3,2,1O:1O,:1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1155,2,2,0,2,2,:1O,:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1156,2,2,0,2,2,:1O,1O:1O1S,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1157,2,2,0,2,2,1O:1O,1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1158,2,2,0,2,1,:1O,:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1159,2,2,0,2,1,:1O,:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
1160,2,2,0,2,1,:1O,:,,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1161,2,2,0,2,1,:,:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1162,2,2,0,2,1,:,:1O1S,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1163,2,2,0,2,1,:,:1O,,3S:3S:3S:3S:4S:4S:5S:5S,1L,1,0.03000300030003
1164,2,2,0,2,1,:,:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1165,2,2,0,2,1,1O:1O,:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1166,1,5,0,2,2,2O,::1O:1O:1O1S,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1167,1,5,0,2,2,1O,::1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1168,1,4,2,1,1,,:1O1S:1O1S:2O,:1O,,1L,1,0.03000300030003
1169,1,5,0,1,2,,:1O1S:1O1S:1O1S:2O1S,,,1L:1L,1,0.03000300030003
1170,1,5,0,1,1,1O,:::1O:2O1S,,,1L,1,0.03000300030003
1171,1,5,0,1,1,1O,::1O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1172,1,5,0,1,1,1O,::1O1S:1O1S:2O1S,,,1L,1,0.03000300030003
1173,1,5,0,1,1,1O,::1O1S:1O1S:1O1S,,,1L,1,0.03000300030003
1174,1,5,0,1,1,1O,:1O:1O:1O:1S,,,1L,1,0.03000300030003
1175,1,5,0,1,1,1O,:1O:1O:1O1S:1S,,,1L,1,0.03000300030003
1176,1,5,0,1,1,,:::1O:1O1S,,,1L,1,0.03000300030003
1177,1,5,0,1,1,,:::1O1S:2O1S,,,1L,1,0.03000300030003
1178,1,5,0,1,1,,::1O:2O1S:2O1S,,,1L,1,0.03000300030003
1179,1,5,0,1,1,,:1O:1O:1O:2O,,,1L,1,0.03000300030003
1180,1,5,0,1,1,,:1O:1O:1O:1O,,,1L,1,0.03000300030003
1181,1,5,0,1,1,,:1O:1O:1O1S:2O1S,,,1L,1,0.03000300030003
1182,1,5,0,1,1,,:1O:1O1S:1O1S:2O1S,,,1L,1,0.03000300030003
1183,1,5,0,1,0,,::::1O1S,,,,1,0.03000300030003
1184,1,4,2,1,3,1O,1O:1O:1O1S:2O1S,:2O1S,,1L:1L:1L,1,0.03000300030003
1185,1,4,2,1,2,1O,1O:1O:1O:1O1S,:2O1S,,1L:1L,1,0.03000300030003
1186,1,4,2,1,2,1O,1O:1O:1O:1O,:1O1S,,1L:1L,1,0.03000300030003
1187,1,4,2,1,2,,1O:1O:1O:2O1S,:1O,,1L:1L,1,0.03000300030003
1188,1,4,2,1,1,1O,::1O:1S,1O:2O1S,,1L,1,0.03000300030003
1189,1,5,0,1,1,2O,::1O:1O1S:1O1S,,,1L,1,0.03000300030003
1190,1,5,0,1,2,,:1O:1O1S:1O1S:2O1S,,,1L:1L,1,0.03000300030003
1191,1,5,0,2,2,1O,::1O:1O:1O1S,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1192,1,5,0,1,2,,:1O:1O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
1193,1,5,0,2,2,1O,::1O:1O:1O1S,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1194,1,5,0,2,2,1O,::1O:1O:1O,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1195,1,5,0,2,2,1O,::1O:1O:1O,,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1196,1,5,0,2,2,1O,::1O:1O:1O,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1197,1,5,0,2,2,1O,::1O:1O1S:2O1S,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1198,1,5,0,2,2,,:1O:1O:1O1S:2O1S,,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1199,1,5,0,2,1,1O,::::1O1S,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1200,1,5,0,2,1,1O,::::1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1201,1,5,0,2,1,1O,::::1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1202,1,5,0,2,1,,:::1O:2O1S,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1203,1,5,0,2,1,,:::1O:1O1S,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1204,1,5,0,2,1,,::1O:1O:1O1S,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1205,1,5,0,2,1,,::1O:1O1S:1O1S,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1206,1,5,0,2,1,,::1O1S:1S:2O1S,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1207,1,5,0,1,2,2O,1O:1O:1O:1O:2O1S,,,1L:1L,1,0.03000300030003
1208,1,5,0,1,2,1O,:1O:1O1S:1O1S:2O1S,,,1L:1L,1,0.03000300030003
1209,1,5,0,1,2,1O,1O:1O:1O:1O1S:2O1S,,,1L:1L,1,0.03000300030003
1210,1,5,0,1,2,1O,1O:1O:1O1S:1O1S:2O1S,,,1L:1L,1,0.03000300030003
1211,1,5,0,1,2,,:1O:1O:1O1S:2O1S,,,1L:1L,1,0.03000300030003
1212,1,4,0,1,1,1O,:1O:1O:2O1S,,,1L,1,0.03000300030003
1213,1,4,0,1,1,1O,:1O1S:1O1S:1O1S,,,1L,1,0.03000300030003
1214,1,4,0,1,1,1O,1O:1O:1O:1O,,,1L,1,0.03000300030003
1215,0,6,0,2,1,,::::1O:1O1S,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1216,0,6,0,1,1,,:::1O:2O1S:2O1S,,,1L,1,0.03000300030003
1217,0,6,0,1,1,,:::1O:1O:1O,,,1L,1,0.03000300030003
1218,0,6,0,1,1,,:::1O:1O1S:2O1S,,,1L,1,0.03000300030003
1219,0,5,2,1,2,,:1O:1O:1O1S:2O1S,:2O1S,,1L:1L,1,0.03000300030003
