,num_dol,num_hfme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hfme,atoms_tfsi,atoms_ps,atoms_li,count,%
674,6,1,0,1,2,1O:1O:1O:1O:2O:2O,,,,1L:1L,1,0.03000300030003
675,6,1,0,2,2,1O:1O:1O:1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
676,6,1,0,2,2,:1O:1O:1O:1O:2O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
677,5,0,1,1,2,:1O:1O:1O:1O,,1N1O1S,,1L:1L,1,0.03000300030003
678,6,1,0,2,2,:1O:1O:1O:2O:2O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
679,6,1,0,2,2,::1O:1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
680,6,1,0,2,2,::1O:1O:1O:1O,,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
681,5,0,1,1,2,:1O:1O:1O:1O,,1N3O1S,,1L:1L,1,0.03000300030003
682,5,0,1,1,2,:1O:1O:1O:1O,,1N2O1S,,1L:1L,1,0.03000300030003
683,6,1,0,3,3,::1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
684,7,2,1,1,2,::1O:1O:1O:1O:1O,:,1O,,1L:1L,1,0.03000300030003
685,6,1,1,1,2,:1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
686,7,1,0,1,1,::::1O:1O:1O,,,,1L,1,0.03000300030003
687,6,1,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,1,0.03000300030003
688,6,2,1,1,1,::::1O:1O,:,1O,,1L,1,0.03000300030003
689,5,0,1,1,1,:::1O:1O,,2O1S,,1L,1,0.03000300030003
690,6,2,1,1,1,:::::1O,:,1O,,1L,1,0.03000300030003
691,5,0,1,1,1,:::1O:1O,,1O,,1L,1,0.03000300030003
692,6,2,1,1,2,:1O:1O:1O:1O:1O,:,1O,,1L:1L,1,0.03000300030003
