,num_dol,num_tfeibe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeibe,atoms_tfsi,atoms_ps,atoms_li,count,%
2367,4,0,2,2,3,:1O:1O:1O,,1N2O2S:3O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
2368,4,0,2,2,3,:1O:1O:1O,,1N3O2S:1O1S,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
2369,4,0,2,2,3,:1O:1O:1O,,1N4O2S:2O1S,2S:2S:2S:2S:2S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
2370,4,0,2,2,3,:1O:1O:1O,,1O:1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2371,4,0,2,3,2,::1O:2O,,1N3O2S:1O,1S:1S:1S:1S:2S:2S:3S:3S:3S:4S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2372,4,0,2,3,3,1O:1O:1O:1O,,1N2O1S:2O1S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2373,4,1,0,3,2,:1O:1O:1O,,,1S:1S:1S:1S:2S:3S:3S:3S:3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2374,4,0,3,1,2,1O:1O:1O:1O,,:1N1O:1O1S,,1L:1L,1,0.03000300030003
2375,4,0,3,1,2,1O:1O:1O:1O,,1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
2376,4,0,3,1,2,1O:1O:1O:1O,,1O:1O1S:2O,,1L:1L,1,0.03000300030003
2377,4,0,3,1,2,1O:1O:1O:1O,,1O:1O1S:2O2S,,1L:1L,1,0.03000300030003
2378,4,0,3,1,2,1O:1O:1O:1O,,1O:1O1S:3O1S,,1L:1L,1,0.03000300030003
2379,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
2380,4,0,3,1,2,1O:1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
2381,4,0,3,1,2,1O:1O:1O:1O,,1O:2O1S:3O2S,,1L:1L,1,0.03000300030003
2382,4,0,3,1,2,1O:1O:1O:1O,,:1O1S:2O1S,,1L:1L,1,0.03000300030003
2383,4,0,2,3,3,1O:1O:1O:2O,,1N2O2S:1O1S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2384,4,0,3,1,2,1O:1O:1O:1O,,::2O,,1L:1L,1,0.03000300030003
2385,4,0,3,1,2,1O:1O:1O:1O,,::2O1S,,1L:1L,1,0.03000300030003
2386,4,0,3,1,2,1O:1O:1O:2O,,1N1O1S:1N1O1S:1O1S,,1L:1L,1,0.03000300030003
2387,4,0,3,1,2,1O:1O:1O:2O,,1N1O1S:2O1S:2O1S,,1L:1L,1,0.03000300030003
2388,4,0,3,1,2,1O:1O:1O:2O,,1N2O1S:1O:1O,,1L:1L,1,0.03000300030003
2389,4,0,3,1,2,1O:1O:1O:2O,,1N2O2S:1O1S:2O1S,,1L:1L,1,0.03000300030003
2390,4,0,3,1,2,1O:1O:1O:2O,,1N2O2S:1O:2O,,1L:1L,1,0.03000300030003
2391,4,0,3,1,2,1O:1O:1O:1O,,1O1S:2O1S:2O1S,,1L:1L,1,0.03000300030003
2392,4,0,3,1,2,1O:1O:1O:1O,,1O1S:1O1S:1O1S,,1L:1L,1,0.03000300030003
2393,4,0,3,1,2,1O:1O:1O:1O,,1N2O2S:1O:2O,,1L:1L,1,0.03000300030003
2394,4,0,3,1,2,1O:1O:1O:1O,,1N2O1S:1O:1O1S,,1L:1L,1,0.03000300030003
2395,4,0,2,3,3,1O:1O:1O:2O,,:1O1S,:::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2396,4,0,2,3,3,1O:1O:2O:2O,,:1O,:::1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2397,4,0,2,3,3,:1O:1O:1O,,1N1O1S:2O1S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2398,4,0,2,3,3,:1O:1O:1O,,1N2O2S:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2399,4,0,2,3,3,:1O:1O:1O,,1N4O2S:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S:3S,1L:1L:1L,1,0.03000300030003
2400,4,0,2,3,3,:1O:1O:2O,,1N4O2S:1O1S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S:3S,1L:1L:1L,1,0.03000300030003
2401,4,0,2,3,3,:1O:1O:2O,,1O:1O,::1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L:1L,1,0.03000300030003
2402,4,0,2,3,3,:1O:1O:2O,,:1O,:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2403,4,0,2,3,3,:1O:1O:2O,,:1O,::1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2404,4,0,2,3,3,:1O:1O:2O,,:1O1S,::1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2405,4,0,2,3,3,:1O:2O:2O,,:1O,::1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2406,4,0,2,3,4,1O:1O:2O:2O,,:1O,:1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L:1L:1L,1,0.03000300030003
2407,4,0,3,1,2,1O:1O:1O:1O,,1N1O1S:1O:3O1S,,1L:1L,1,0.03000300030003
2408,4,0,3,1,2,1O:1O:1O:1O,,1N1O2S:1O:2O1S,,1L:1L,1,0.03000300030003
2409,4,0,3,1,2,1O:1O:1O:1O,,1N2O1S:1O1S:2O1S,,1L:1L,1,0.03000300030003
2410,4,0,2,2,2,::1O:1O,,2O:2O1S,1S:1S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2411,4,0,2,2,2,::1O:1O,,1O:3O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2412,4,0,2,2,2,::1O:1O,,1O:2O2S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2413,4,0,2,2,2,:1O:1O:2O,,1N1O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
