,num_dol,num_dme,num_tfsi,num_ps,num_li,atoms_dol,atoms_dme,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,3,0,1,1,::1O,::2O,,,1L,84,2.52025202520252
1,4,2,0,1,1,::1O:1O,:2O,,,1L,57,1.7101710171017102
2,4,2,0,1,1,:::1O,:2O,,,1L,57,1.7101710171017102
3,3,3,0,1,1,:1O:1O,::2O,,,1L,54,1.62016201620162
4,2,4,0,1,1,:1O,:::2O,,,1L,52,1.56015601560156
5,4,3,0,1,1,::1O:1O,::2O,,,1L,49,1.47014701470147
6,3,4,0,1,1,::1O,:::2O,,,1L,47,1.41014101410141
7,3,2,0,1,1,::1O,:2O,,,1L,46,1.38013801380138
8,4,3,0,1,1,:::1O,::2O,,,1L,43,1.29012901290129
9,2,3,0,1,1,:1O,::2O,,,1L,36,1.08010801080108
10,5,2,0,1,1,::::1O,:2O,,,1L,35,1.05010501050105
11,3,2,0,1,1,:1O:1O,:2O,,,1L,34,1.02010201020102
12,5,2,0,1,1,:::1O:1O,:2O,,,1L,30,0.9000900090009001
13,3,3,0,1,1,::1O,:1O:2O,,,1L,30,0.9000900090009001
14,2,4,0,1,1,:1O,::1O:2O,,,1L,28,0.8400840084008401
15,1,3,0,1,2,1O,2O:2O:2O,,,1L:1L,25,0.7500750075007501
16,2,3,0,1,1,:1O,:1O:2O,,,1L,25,0.7500750075007501
17,3,4,0,1,1,:1O:1O,:::2O,,,1L,24,0.7200720072007201
18,3,2,0,1,2,:1O:1O,2O:2O,,,1L:1L,21,0.6300630063006301
19,3,3,0,1,1,:1O:1O,:1O:2O,,,1L,21,0.6300630063006301
20,3,4,0,1,1,::1O,::1O:2O,,,1L,19,0.57005700570057
21,3,2,0,1,2,1O:1O:1O,2O:2O,,,1L:1L,18,0.54005400540054
22,5,3,0,1,1,::::1O,::2O,,,1L,17,0.51005100510051
23,4,3,0,1,1,::1O:1O,:1O:2O,,,1L,17,0.51005100510051
24,5,1,0,1,1,:::1O:1O,2O,,,1L,16,0.48004800480048
25,4,2,0,1,1,::1O:1O,1O:2O,,,1L,16,0.48004800480048
26,1,4,0,1,1,1O,:::2O,,,1L,16,0.48004800480048
27,3,3,0,1,2,:1O:1O,:2O:2O,,,1L:1L,16,0.48004800480048
28,6,1,0,1,1,::::1O:1O,2O,,,1L,15,0.45004500450045
29,2,2,1,1,2,1O:1O,2O:2O,1O,,1L:1L,15,0.45004500450045
30,4,2,0,1,1,:1O:1O:1O,:2O,,,1L,15,0.45004500450045
31,1,4,0,1,2,1O,:1O:2O:2O,,,1L:1L,15,0.45004500450045
32,3,2,1,1,2,:1O:1O,2O:2O,1O,,1L:1L,15,0.45004500450045
33,4,3,0,1,1,:::1O,:1O:2O,,,1L,15,0.45004500450045
34,2,3,1,1,1,:1O,::2O,,,1L,15,0.45004500450045
35,1,4,1,1,1,1O,:::2O,,,1L,15,0.45004500450045
36,2,3,0,1,2,:1O,1O:2O:2O,,,1L:1L,14,0.42004200420042
37,2,3,0,1,2,:1O,2O:2O:2O,,,1L:1L,14,0.42004200420042
38,5,2,0,1,1,::1O:1O:1O,:2O,,,1L,14,0.42004200420042
39,1,5,0,1,1,1O,::::2O,,,1L,13,0.39003900390039
40,2,4,0,1,1,:,::1O:2O,,,1L,13,0.39003900390039
41,5,3,0,1,1,:::1O:1O,::2O,,,1L,13,0.39003900390039
42,2,2,0,1,2,1O:1O,2O:2O,,,1L:1L,13,0.39003900390039
43,2,3,0,1,2,1O:1O,1O:2O:2O,,,1L:1L,13,0.39003900390039
44,4,2,1,1,1,:::1O,:2O,,,1L,13,0.39003900390039
45,2,3,0,1,1,1O:1O,::2O,,,1L,12,0.36003600360036
46,3,3,1,1,1,::1O,::2O,,,1L,12,0.36003600360036
47,4,4,0,1,1,:::1O,:::2O,,,1L,12,0.36003600360036
48,3,3,0,1,1,::2O,::2O,,,1L,12,0.36003600360036
49,4,2,0,1,1,:::1O,1O:2O,,,1L,12,0.36003600360036
50,4,3,0,1,1,:1O:1O:1O,::2O,,,1L,11,0.33003300330033
51,4,2,0,1,2,:1O:1O:1O,2O:2O,,,1L:1L,11,0.33003300330033
52,3,2,1,1,1,::1O,:2O,,,1L,11,0.33003300330033
53,2,4,1,1,1,:1O,:::2O,,,1L,11,0.33003300330033
54,2,5,0,1,1,:1O,:::1O:2O,,,1L,10,0.3000300030003
55,2,2,0,1,1,:1O,:2O,,,1L,10,0.3000300030003
56,5,1,0,1,1,::::1O,2O,,,1L,10,0.3000300030003
57,2,3,1,1,1,:,::2O,1O,,1L,10,0.3000300030003
58,2,3,0,1,1,1O:1O,:1O:2O,,,1L,10,0.3000300030003
59,5,1,0,1,1,::1O:1O:1O,2O,,,1L,10,0.3000300030003
60,3,3,0,1,1,:1O:2O,::2O,,,1L,10,0.3000300030003
61,1,3,1,1,2,1O,:2O:2O,1O,,1L:1L,10,0.3000300030003
62,1,3,0,1,2,1O,1O:2O:2O,,,1L:1L,10,0.3000300030003
63,3,2,0,1,1,::1O,1O:2O,,,1L,10,0.3000300030003
64,3,2,1,1,1,::1O,:2O,1O,,1L,9,0.27002700270027
65,4,2,0,1,1,::1O:2O,:2O,,,1L,9,0.27002700270027
66,2,3,0,1,1,:,:1O:2O,,,1L,9,0.27002700270027
67,6,1,0,1,1,:::::1O,2O,,,1L,9,0.27002700270027
68,3,2,0,1,1,:1O:1O,1O:2O,,,1L,9,0.27002700270027
69,2,3,0,1,2,1O:1O,:2O:2O,,,1L:1L,9,0.27002700270027
