,num_dol,num_tpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tpe,atoms_tfsi,atoms_ps,atoms_li,count,%
1798,4,0,2,2,2,1O:1O:1O:2O,,1N1O1S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1799,4,0,2,2,2,1O:1O:1O:2O,,1N1O1S:1O,1S:1S:2S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1800,4,0,2,2,2,1O:1O:1O:1O,,:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1801,4,0,2,2,2,1O:1O:1O:1O,,:1N4O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1802,4,0,2,1,2,1O:1O:1O:2O,,2O:3O1S,,1L:1L,1,0.03000300030003
1803,4,0,2,2,2,1O:1O:1O:1O,,:1N2O1S,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1804,4,0,2,2,2,1O:1O:1O:1O,,:1N1O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1805,4,0,2,2,2,1O:1O:1O:1O,,:1N1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1806,4,0,2,2,2,1O:1O:1O:1O,,:1N1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1807,4,0,2,2,2,1O:1O:1O:1O,,2O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1808,4,0,2,2,2,1O:1O:1O:1O,,1O:3O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1809,4,0,2,2,2,1O:1O:1O:1O,,1O:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1810,4,0,2,2,2,1O:1O:1O:1O,,1O:2O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1811,4,0,2,2,2,1O:1O:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1812,4,0,2,2,2,1O:1O:1O:1O,,1O:2O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1813,4,0,2,2,2,:1O:1O:1O,,1N1O1S:3O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1814,4,0,2,2,2,:1O:1O:1O,,1N2O1S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1815,4,0,2,2,2,:1O:1O:1O,,1N2O1S:1O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1816,4,0,2,2,2,:1O:1O:1O,,1N2O1S:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1817,4,0,2,2,2,:1O:1O:1O,,1O:1O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1818,4,0,2,2,2,:1O:1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1819,4,0,2,2,2,:1O:1O:1O,,1O:1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
