,num_dol,num_eips,num_tfsi,num_ps,num_li,atoms_dol,atoms_eips,atoms_tfsi,atoms_ps,atoms_li,count,%
623,3,4,0,2,2,:1O:1O,:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
624,3,4,0,2,2,::,1O:1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
625,3,4,0,2,2,::1O,1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
626,3,4,0,2,2,::1O,1O:1O:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
627,3,4,0,2,2,::1O,:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
628,3,4,1,1,1,:1O:1O,:::1O,,,1L,1,0.03000300030003
629,3,4,1,1,1,:1O:1O,:::1O,1O,,1L,1,0.03000300030003
630,3,4,1,1,1,::,:1O:1O:1O,,,1L,1,0.03000300030003
631,3,4,1,1,1,::,::1O:1O,1N3O1S,,1L,1,0.03000300030003
632,3,4,1,1,1,::1O,:1O:1O:1O1S,,,1L,1,0.03000300030003
633,2,6,0,1,1,:1O,::::1O:1O1S,,,1L,1,0.03000300030003
634,2,4,0,1,2,1O:1O,1O:1O:2O:2O1S,,,1L:1L,1,0.03000300030003
635,2,6,0,1,1,:1O,:::1O:1O:1O,,,1L,1,0.03000300030003
636,1,4,0,2,1,,::1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
637,1,4,0,1,1,,::1O1S:1O1S,,,1L,1,0.03000300030003
638,1,4,0,1,1,,::1O:1O1S,,,1L,1,0.03000300030003
639,1,4,0,1,1,1O,1O:1O:1O:2O1S,,,1L,1,0.03000300030003
640,1,4,0,1,1,1O,:1O:1O1S:1O1S,,,1L,1,0.03000300030003
641,1,4,0,1,1,1O,::1O:2O1S,,,1L,1,0.03000300030003
642,1,4,0,1,1,1O,::2O1S:2O1S,,,1L,1,0.03000300030003
643,1,4,0,1,1,1O,:::1O1S,,,1L,1,0.03000300030003
644,1,4,0,1,1,2O,::1O:1O1S,,,1L,1,0.03000300030003
645,1,4,0,1,2,1O,1O:1O:1O1S:2O1S,,,1L:1L,1,0.03000300030003
646,1,4,0,1,2,1O,1O:1O:1O:1O1S,,,1L:1L,1,0.03000300030003
647,1,4,0,2,1,,::1O:1O1S,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
648,1,4,0,1,1,,:1O:1O1S:2O,,,1L,1,0.03000300030003
649,1,4,0,2,1,1O,:::1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
650,1,4,0,2,2,,1O:1O:1O1S:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
651,1,4,0,2,2,,1O:1O:1O1S:1O1S,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
652,1,4,0,2,2,,1O:1O:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
653,1,4,0,2,2,,1O:1O:1O:2O1S,,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
654,1,4,0,2,2,1O,1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
655,1,4,0,2,2,1O,1O:1O:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
656,1,4,0,2,2,1O,1O:1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
657,1,4,0,2,2,1O,1O:1O:1O:2O1S,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
658,1,4,0,2,2,1O,1O:1O:2O1S:2O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
659,1,4,0,1,1,,:1O:1O1S:2O1S,,,1L,1,0.03000300030003
660,1,4,0,1,1,,:1O:1O1S:1O1S,,,1L,1,0.03000300030003
661,1,4,0,2,2,1O,:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
662,1,3,1,1,1,1O,:1O:1O1S,,,1L,1,0.03000300030003
663,1,3,1,1,1,,:1O:1O,,,1L,1,0.03000300030003
664,1,3,1,1,1,,:1O:1O,1N2O1S,,1L,1,0.03000300030003
665,1,3,1,1,1,,:1O:1O,1O,,1L,1,0.03000300030003
666,1,3,1,1,1,,:1O:1O1S,1N2O,,1L,1,0.03000300030003
667,1,3,1,1,1,,:1O:2O1S,1N2O2S,,1L,1,0.03000300030003
668,1,3,1,1,1,,:1O:2O1S,2O,,1L,1,0.03000300030003
669,1,3,1,1,1,,:1O:2O1S,2O1S,,1L,1,0.03000300030003
670,1,3,1,1,1,,::1O,1O,,1L,1,0.03000300030003
671,1,3,1,1,1,1O,1O:1O:1O1S,,,1L,1,0.03000300030003
672,1,3,1,1,1,1O,:1O:1O,1O,,1L,1,0.03000300030003
673,1,3,1,1,1,2O,:1O:1O,,,1L,1,0.03000300030003
