,num_dol,num_tte,num_tfsi,num_ps,num_li,atoms_dol,atoms_tte,atoms_tfsi,atoms_ps,atoms_li,count,%
962,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O1S,1S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
963,5,0,2,2,2,:1O:1O:1O:1O,,:3O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
964,5,0,2,2,2,:1O:1O:1O:1O,,:2O1S,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
965,5,0,2,2,2,:1O:1O:1O:1O,,:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
966,5,0,2,2,2,:1O:1O:1O:1O,,:1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
967,5,0,2,2,2,:1O:1O:1O:1O,,:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
968,5,0,2,2,2,:1O:1O:1O:1O,,:1N3O2S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
969,5,0,2,2,2,:1O:1O:1O:1O,,1O:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
970,5,0,2,2,2,:1O:1O:1O:1O,,1O:2O1S,1S:1S:1S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
971,5,0,2,2,2,:1O:1O:1O:1O,,1O:2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
972,5,0,2,2,2,:1O:1O:1O:1O,,1O:2O,1S:1S:1S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
973,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O1S,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
974,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O1S,1S:1S:1S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
975,5,0,2,2,2,:1O:1O:1O:2O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
976,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
977,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
978,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
979,5,0,2,2,2,:1O:1O:1O:1O,,1O1S:2O,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
980,5,0,2,2,2,:1O:1O:1O:1O,,1N1O1S:1O,1S:1S:1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
981,5,0,2,2,2,1O:1O:1O:1O:2O,,2O1S:2O1S,1S:1S:1S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
982,5,0,2,2,2,1O:1O:1O:1O:2O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
983,4,1,2,1,2,1O:1O:1O:2O,,1O1S:2O,,1L:1L,1,0.03000300030003
984,5,0,2,2,2,1O:1O:1O:1O:1O,,:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
985,5,0,2,2,2,1O:1O:1O:1O:1O,,:2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
986,5,0,2,2,2,1O:1O:1O:1O:1O,,:1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
987,5,0,2,2,2,:1O:1O:1O:2O,,1N2O1S:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
988,5,0,2,2,2,:1O:1O:1O:2O,,1O:1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
989,5,0,3,1,2,1O:1O:1O:1O:2O,,1O:1O:1O,,1L:1L,1,0.03000300030003
990,5,0,2,2,3,:1O:1O:1O:2O,,:2O1S,:::1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
991,5,0,3,1,2,1O:1O:1O:1O:1O,,::1O,,1L:1L,1,0.03000300030003
992,5,0,3,1,2,1O:1O:1O:1O:1O,,:2O1S:2O1S,,1L:1L,1,0.03000300030003
993,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:2O,,1L:1L,1,0.03000300030003
