,num_dol,num_ma,num_tfsi,num_ps,num_li,atoms_dol,atoms_ma,atoms_tfsi,atoms_ps,atoms_li,count,%
619,4,4,3,1,2,1O:1O:1O:1O,1O:1O:1O:1O,1O:1O:2O1S,,1L:1L,1,0.03000300030003
620,4,4,3,1,2,1O:1O:1O:1O,1O:1O:1O:1O,:1N1O1S:1O,,1L:1L,1,0.03000300030003
621,4,4,3,1,2,1O:1O:1O:1O,1O:1O:1O:1O,:1N1O:1O,,1L:1L,1,0.03000300030003
622,4,4,3,1,2,1O:1O:1O:1O,1O:1O:1O:1O,:1O1S:2O,,1L:1L,1,0.03000300030003
623,4,4,3,1,2,:1O:1O:1O,:1O:1O:1O,1N1O1S:1O:1O,,1L:1L,1,0.03000300030003
624,4,4,3,1,2,:1O:1O:1O,:1O:1O:1O,1N2O2S:1O:1O,,1L:1L,1,0.03000300030003
625,4,4,3,1,2,:1O:1O:1O,:1O:1O:1O,1O:1O1S:2O,,1L:1L,1,0.03000300030003
626,4,4,3,1,2,:1O:1O:1O,:1O:1O:1O,1O:1O:2O1S,,1L:1L,1,0.03000300030003
627,4,4,3,1,2,:1O:1O:1O,:1O:1O:1O,1O:2O:2O1S,,1L:1L,1,0.03000300030003
628,4,4,3,1,2,:1O:1O:1O,:1O:1O:1O,:1O:2O,,1L:1L,1,0.03000300030003
629,4,4,3,1,2,:1O:1O:2O,:1O:1O:2O,1O:1O:1O1S,,1L:1L,1,0.03000300030003
630,4,4,2,2,2,1O:1O:1O:1O,1O:1O:1O:1O,:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
631,4,4,2,2,2,1O:1O:1O:1O,1O:1O:1O:1O,1O:2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
632,4,4,2,1,2,1O:1O:2O:2O,1O:1O:2O:2O,2O1S:4O1S,,1L:1L,1,0.03000300030003
633,4,4,2,2,2,1O:1O:1O:1O,1O:1O:1O:1O,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
634,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,1N1O1S:2O,,1L:1L,1,0.03000300030003
635,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,1N1O:1O,,1L:1L,1,0.03000300030003
636,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,1N2O2S:1O,,1L:1L,1,0.03000300030003
637,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,1N3O1S:1O,,1L:1L,1,0.03000300030003
638,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,1N3O2S:1O,,1L:1L,1,0.03000300030003
639,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,1N3O2S:2O,,1L:1L,1,0.03000300030003
640,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,1N4O2S:1O,,1L:1L,1,0.03000300030003
641,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,1O:3O1S,,1L:1L,1,0.03000300030003
642,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,2O:2O,,1L:1L,1,0.03000300030003
643,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,2O:3O1S,,1L:1L,1,0.03000300030003
644,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,:1O,,1L:1L,1,0.03000300030003
645,4,4,2,1,2,:1O:1O:1O,:1O:1O:1O,:2O,,1L:1L,1,0.03000300030003
646,4,4,2,1,2,:1O:1O:2O,:1O:1O:2O,1O:1O,,1L:1L,1,0.03000300030003
