,num_dol,num_ettfpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ettfpe,atoms_tfsi,atoms_ps,atoms_li,count,%
796,5,0,1,2,2,1O:1O:1O:1O:2O,,1O,1S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
797,5,0,1,2,2,1O:1O:1O:1O:2O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
798,5,0,1,2,2,1O:1O:1O:1O:2O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
799,5,0,1,2,2,1O:1O:1O:1O:2O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
800,5,0,2,1,1,:::1O:1O,,:,,1L,1,0.03000300030003
801,5,0,2,1,1,:::1O:1O,,:2O,,1L,1,0.03000300030003
802,5,0,2,1,1,:::1O:1O,,:2O1S,,1L,1,0.03000300030003
803,5,0,3,1,2,1O:1O:1O:1O:1O,,::1O,,1L:1L,1,0.03000300030003
804,5,0,3,1,2,::1O:1O:1O,,1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
805,5,0,3,1,2,:1O:1O:1O:1O,,:1O:3O1S,,1L:1L,1,0.03000300030003
806,5,0,3,1,2,:1O:1O:1O:1O,,:1O:2O,,1L:1L,1,0.03000300030003
807,5,0,3,1,2,:1O:1O:1O:1O,,:1N2O1S:1O,,1L:1L,1,0.03000300030003
808,5,0,3,1,2,:1O:1O:1O:1O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
809,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
810,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:2O1S,,1L:1L,1,0.03000300030003
811,5,0,3,1,2,::1O:1O:1O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
812,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:2O,,1L:1L,1,0.03000300030003
813,5,0,3,1,2,1O:1O:1O:1O:1O,,:1N1O:1O,,1L:1L,1,0.03000300030003
814,5,0,3,1,1,:::1O:1O,,:1O:1O,,1L,1,0.03000300030003
815,5,0,3,1,1,:::1O:1O,,:1N1O1S:1O,,1L,1,0.03000300030003
816,5,0,2,2,2,:::1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
817,5,0,2,2,2,::1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
818,5,0,3,1,2,::1O:1O:1O,,1O:1O:1O,,1L:1L,1,0.03000300030003
819,5,0,3,1,2,::1O:1O:1O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
820,5,0,2,2,2,:1O:1O:1O:2O,,1O:1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
821,5,0,3,2,2,1O:1O:1O:1O:1O,,1O:1O:1O,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
822,5,1,0,2,2,1O:1O:1O:1O:1O,1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
823,5,1,0,2,2,1O:1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
824,5,1,0,2,2,1O:1O:1O:1O:1O,,,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
825,5,1,0,1,2,:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
826,5,1,0,1,1,::1O:1O:2O,,,,1L,1,0.03000300030003
827,5,0,3,2,2,::1O:1O:1O,,:1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
828,5,0,3,1,2,:::1O:1O,,:1O:2O,,1L:1L,1,0.03000300030003
829,5,0,3,1,2,::1O:1O:2O,,1O:1O:1O,,1L:1L,1,0.03000300030003
830,5,0,3,1,2,:::1O:1O,,2O:2O:2O,,1L:1L,1,0.03000300030003
831,5,0,3,1,2,:::1O:1O,,1O:2O:2O,,1L:1L,1,0.03000300030003
832,5,0,3,1,2,:::1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
833,5,0,3,1,2,::1O:1O:2O,,1O:1O:3O1S,,1L:1L,1,0.03000300030003
834,5,0,3,1,2,::1O:1O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
835,5,0,3,1,2,::1O:1O:2O,,1O:1O:2O,,1L:1L,1,0.03000300030003
