,num_dol,num_ofe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ofe,atoms_tfsi,atoms_ps,atoms_li,count,%
84,2,0,3,3,2,:,,1O:1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
85,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O,,1L:1L,6,0.18001800180018
86,5,0,2,1,2,1O:1O:1O:1O:1O,,:2O,,1L:1L,6,0.18001800180018
87,2,0,4,1,2,1O:1O,,1O:1O:1O:1O,,1L:1L,6,0.18001800180018
88,4,0,3,2,2,:1O:1O:1O,,:1O:1O,:::1S:1S:2S:2S:2S,1L:1L,6,0.18001800180018
89,4,0,2,1,2,:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
90,3,0,3,1,2,1O:1O:2O,,1O:1O:1O,,1L:1L,6,0.18001800180018
91,7,0,0,1,2,:1O:1O:1O:1O:1O:1O,,,,1L:1L,6,0.18001800180018
92,5,0,1,1,2,:1O:1O:1O:1O,,1N3O2S,,1L:1L,6,0.18001800180018
93,5,0,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,6,0.18001800180018
94,3,0,4,1,2,:1O:1O,,1O:1O:1O:2O1S,,1L:1L,6,0.18001800180018
95,3,0,4,1,2,:1O:1O,,1O:1O:1O:2O,,1L:1L,6,0.18001800180018
96,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,6,0.18001800180018
97,4,1,2,1,2,:1O:1O:1O,,1O:2O,,1L:1L,6,0.18001800180018
98,6,0,2,1,2,::1O:1O:1O:1O,,1O:1O,,1L:1L,6,0.18001800180018
99,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,6,0.18001800180018
100,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
101,3,0,3,2,2,1O:1O:1O,,:1O:1O1S,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
102,3,0,1,2,2,1O:1O:1O,,1O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,5,0.15001500150015
103,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
104,3,0,4,1,2,1O:1O:1O,,1O:1O:1O:2O,,1L:1L,5,0.15001500150015
105,3,0,1,2,2,:1O:1O,,1O,1S:2S:2S:3S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
106,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
107,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,5,0.15001500150015
108,5,0,2,1,2,:1O:1O:1O:1O,,2O:2O,,1L:1L,5,0.15001500150015
109,5,0,1,2,2,:1O:1O:1O:1O,,2O,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
110,2,1,3,1,2,1O:1O,,1O:1O:1O,,1L:1L,5,0.15001500150015
111,4,0,2,2,2,:1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,5,0.15001500150015
112,4,1,1,2,2,1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
113,6,0,1,1,2,::1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
114,4,0,1,1,2,1O:1O:1O:1O,,3O1S,,1L:1L,5,0.15001500150015
115,5,0,3,1,2,1O:1O:1O:1O:1O,,1O:1O:1O,,1L:1L,5,0.15001500150015
116,4,0,2,2,2,1O:1O:1O:1O,,:1O,:1S:1S:1S:2S:3S:3S:3S,1L:1L,5,0.15001500150015
117,4,0,2,1,2,1O:1O:1O:1O,,:1O,,1L:1L,5,0.15001500150015
118,4,0,2,2,2,1O:1O:1O:1O,,:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
119,4,0,1,1,2,1O:1O:1O:1O,,2O1S,,1L:1L,5,0.15001500150015
120,4,0,1,1,2,1O:1O:1O:2O,,3O1S,,1L:1L,5,0.15001500150015
121,4,1,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,5,0.15001500150015
122,3,0,3,1,2,:1O:1O,,1O:1O:2O,,1L:1L,5,0.15001500150015
123,4,0,1,2,2,1O:1O:1O:1O,,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,4,0.12001200120012
124,5,0,2,1,2,::1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
125,4,0,2,1,2,:1O:1O:1O,,2O:2O,,1L:1L,4,0.12001200120012
126,4,0,2,1,2,1O:1O:1O:1O,,1N1O:1O,,1L:1L,4,0.12001200120012
127,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,4,0.12001200120012
128,4,0,2,1,2,1O:1O:1O:1O,,:2O,,1L:1L,4,0.12001200120012
129,4,0,3,1,2,::1O:1O,,1O:1O:1O,,1L:1L,4,0.12001200120012
130,4,1,3,1,2,:1O:1O:1O,,1O:1O:1O,,1L:1L,4,0.12001200120012
131,4,0,3,1,2,::1O:1O,,1O:1O:2O,,1L:1L,4,0.12001200120012
132,3,0,2,1,2,1O:1O:1O,,1N2O1S:2O,,1L:1L,4,0.12001200120012
133,5,0,2,2,2,::1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
134,1,0,4,2,2,1O,,:1O:1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
135,4,0,2,1,2,:1O:1O:1O,,1O:1O1S,,1L:1L,4,0.12001200120012
136,3,1,3,1,2,1O:1O:1O,,1O:1O:2O,,1L:1L,4,0.12001200120012
137,3,1,1,2,2,1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
138,3,0,2,2,2,1O:1O:1O,,1O:2O,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
139,4,0,3,1,2,:1O:1O:1O,,1O:2O:2O,,1L:1L,4,0.12001200120012
140,3,1,1,2,2,1O:1O:1O,,2O,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
141,4,1,1,2,2,1O:1O:1O:1O,,2O,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
142,3,0,1,2,2,1O:1O:1O,,1O,:1S:1S:1S:2S:3S:3S:3S,1L:1L,4,0.12001200120012
143,4,0,1,2,2,1O:1O:1O:1O,,2O,::1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
144,4,0,2,1,2,1O:1O:1O:2O,,1O:2O,,1L:1L,4,0.12001200120012
145,5,0,2,1,2,:1O:1O:1O:1O,,1N1O:1O,,1L:1L,4,0.12001200120012
146,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
147,3,1,3,1,2,1O:1O:1O,,1O:1O:1O1S,,1L:1L,4,0.12001200120012
148,7,0,0,1,2,::1O:1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
149,4,0,2,1,2,1O:1O:1O:1O,,1O:3O1S,,1L:1L,4,0.12001200120012
150,4,0,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,4,0.12001200120012
151,3,0,2,1,2,1O:1O:1O,,2O:2O,,1L:1L,4,0.12001200120012
152,4,0,2,1,2,:1O:1O:1O,,2O:3O1S,,1L:1L,4,0.12001200120012
153,3,0,3,1,2,1O:1O:1O,,1O:1O:3O1S,,1L:1L,4,0.12001200120012
154,3,0,3,1,2,1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,4,0.12001200120012
155,4,0,1,2,2,:1O:1O:1O,,2O1S,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
156,3,0,3,1,2,1O:1O:1O,,1O:2O:2O1S,,1L:1L,4,0.12001200120012
157,3,0,3,1,2,1O:1O:1O,,1O:2O:2O,,1L:1L,4,0.12001200120012
158,6,0,0,1,2,:1O:1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
159,6,0,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,4,0.12001200120012
160,3,0,3,2,2,1O:1O:1O,,:1O:1O,::1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
161,3,0,3,1,2,1O:1O:2O,,1O:1O:2O,,1L:1L,4,0.12001200120012
162,4,0,1,2,2,:1O:1O:1O,,1O,1S:1S:2S:2S:2S:3S:3S:3S,1L:1L,4,0.12001200120012
163,5,0,1,2,2,:1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
164,4,0,3,1,2,:1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,4,0.12001200120012
165,5,0,1,2,2,:1O:1O:1O:1O,,2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
166,3,0,3,1,2,1O:1O:1O,,1N2O1S:1O:1O,,1L:1L,4,0.12001200120012
167,3,0,3,1,2,1O:1O:1O,,1N1O:1O:1O,,1L:1L,4,0.12001200120012
168,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
169,4,0,4,1,2,:1O:1O:1O,,1O:1O:1O:2O,,1L:1L,4,0.12001200120012
170,5,0,1,2,2,:1O:1O:1O:1O,,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
171,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O1S,,1L:1L,4,0.12001200120012
172,5,0,1,2,2,:1O:1O:1O:2O,,1O,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
173,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,4,0.12001200120012
174,2,0,4,1,2,:1O,,1O:1O:1O:2O1S,,1L:1L,4,0.12001200120012
175,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O,,1L:1L,4,0.12001200120012
176,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
177,2,0,3,1,2,1O:1O,,1O:1O:2O1S,,1L:1L,4,0.12001200120012
178,4,0,2,2,2,1O:1O:1O:1O,,:1O,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
179,5,0,1,2,2,1O:1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
180,5,0,2,1,2,:1O:1O:1O:1O,,:1O,,1L:1L,3,0.09000900090009
181,4,1,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,3,0.09000900090009
182,4,1,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,3,0.09000900090009
183,3,0,3,1,2,:1O:2O,,1O:1O:1O,,1L:1L,3,0.09000900090009
184,3,0,3,1,2,1O:1O:1O,,:1O:2O1S,,1L:1L,3,0.09000900090009
185,4,0,2,1,2,1O:1O:1O:1O,,2O1S:2O1S,,1L:1L,3,0.09000900090009
186,3,0,1,2,2,:1O:1O,,1O,1S:1S:2S:2S:2S:3S:3S:3S,1L:1L,3,0.09000900090009
187,4,0,1,2,2,:1O:1O:1O,,1O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,3,0.09000900090009
188,4,1,1,1,1,::1O:1O,,1O,,1L,3,0.09000900090009
189,4,0,1,2,2,:1O:1O:1O,,1O,1S:2S:2S:2S:2S:3S:3S:3S,1L:1L,3,0.09000900090009
190,4,1,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,3,0.09000900090009
191,4,0,2,1,2,1O:1O:1O:1O,,2O:2O1S,,1L:1L,3,0.09000900090009
192,3,0,3,1,2,:1O:1O,,1O:1O:1O,,1L:1L,3,0.09000900090009
193,4,0,1,1,2,:1O:1O:1O,,3O1S,,1L:1L,3,0.09000900090009
194,3,0,2,2,2,1O:1O:1O,,1O:2O1S,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
195,3,0,3,1,2,1O:1O:1O,,:1O:1O1S,,1L:1L,3,0.09000900090009
196,4,0,1,2,2,1O:1O:1O:1O,,2O1S,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
197,4,0,1,2,2,1O:1O:1O:2O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
198,3,0,4,1,2,:1O:1O,,:1O:1O:2O,,1L:1L,3,0.09000900090009
199,5,0,1,1,2,1O:1O:1O:1O:1O,,3O1S,,1L:1L,3,0.09000900090009
200,5,0,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,3,0.09000900090009
201,5,0,1,2,2,:1O:1O:1O:1O,,3O1S,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
202,4,0,2,1,2,1O:1O:1O:1O,,1N1O:2O,,1L:1L,3,0.09000900090009
203,3,1,1,1,2,1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
204,4,0,2,1,2,1O:1O:1O:1O,,1N2O1S:1O,,1L:1L,3,0.09000900090009
205,5,0,1,1,2,1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
206,4,0,1,2,2,1O:1O:1O:1O,,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
207,4,1,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
208,5,0,2,1,2,1O:1O:1O:1O:2O,,:2O,,1L:1L,3,0.09000900090009
209,4,0,4,1,2,::1O:1O,,1O:1O:1O:2O1S,,1L:1L,3,0.09000900090009
210,5,0,1,1,2,:1O:1O:1O:1O,,1N2O1S,,1L:1L,3,0.09000900090009
211,4,0,3,2,2,:1O:1O:1O,,1O:1O:1O,:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
212,5,0,1,1,2,:1O:1O:1O:1O,,3O1S,,1L:1L,3,0.09000900090009
213,3,0,2,1,2,1O:1O:2O,,1O:2O,,1L:1L,3,0.09000900090009
214,4,0,4,1,2,1O:1O:1O:1O,,1O:1O:1O:1O,,1L:1L,3,0.09000900090009
215,4,1,1,1,2,1O:1O:1O:1O,,2O1S,,1L:1L,3,0.09000900090009
216,5,0,1,2,2,:1O:1O:1O:1O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
217,4,0,1,2,2,:1O:1O:1O,,1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
218,4,0,2,1,2,1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,3,0.09000900090009
219,4,0,3,1,2,1O:1O:1O:1O,,::1O,,1L:1L,3,0.09000900090009
220,6,0,1,1,2,:1O:1O:1O:1O:1O,,3O1S,,1L:1L,3,0.09000900090009
221,4,0,3,1,2,:1O:1O:1O,,1O:2O:2O1S,,1L:1L,3,0.09000900090009
222,4,0,2,1,2,:1O:1O:2O,,1O:2O,,1L:1L,3,0.09000900090009
223,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O1S,,1L:1L,3,0.09000900090009
224,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,3,0.09000900090009
225,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:1O,,1L:1L,3,0.09000900090009
226,2,0,2,2,2,1O:1O,,1O:1O,1S:2S:2S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
227,4,0,3,1,2,:1O:1O:1O,,:1O:2O,,1L:1L,3,0.09000900090009
228,6,0,2,1,2,::1O:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
229,1,0,3,3,2,,,1O:1O:2O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
230,4,0,3,1,2,:1O:1O:1O,,1N3O2S:1O:1O,,1L:1L,3,0.09000900090009
231,6,0,1,1,2,::1O:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
232,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O,,1L:1L,3,0.09000900090009
233,2,0,4,1,2,:1O,,1O:1O:1O:2O,,1L:1L,3,0.09000900090009
234,7,0,0,1,2,1O:1O:1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
235,4,0,2,1,2,:1O:1O:1O,,1N2O1S:2O,,1L:1L,3,0.09000900090009
236,1,0,3,3,3,1O,,1O:1O:2O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,3,0.09000900090009
237,7,0,0,1,1,::::1O:1O:1O,,,,1L,3,0.09000900090009
238,6,0,1,1,2,:1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
239,5,1,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
240,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
241,4,0,2,2,2,:1O:1O:1O,,1O:1O,:1S:1S:1S:2S:3S:3S:3S,1L:1L,3,0.09000900090009
242,4,0,2,2,2,1O:1O:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
243,6,0,0,2,2,:1O:1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
244,4,0,2,1,2,:1O:1O:1O,,1O:2O2S,,1L:1L,3,0.09000900090009
245,1,0,3,3,2,,,1O:1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:4S:4S,1L:1L,3,0.09000900090009
246,3,0,1,2,2,:1O:1O,,1O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,3,0.09000900090009
247,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O1S,,1L:1L,3,0.09000900090009
248,6,0,0,1,1,::1O:1O:1O:1O,,,,1L,3,0.09000900090009
249,2,0,3,3,3,:1O,,1O:1O:2O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,3,0.09000900090009
250,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
251,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
252,5,0,1,1,2,:1O:1O:1O:1O,,1O1S,,1L:1L,2,0.06000600060006
253,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
254,2,0,1,2,2,1O:1O,,1O,1S:2S:2S:3S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
255,2,0,2,2,2,:1O,,1O:1O,1S:2S:2S:3S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
