,num_dol,num_prn,num_tfsi,num_ps,num_li,atoms_dol,atoms_prn,atoms_tfsi,atoms_ps,atoms_li,count,%
1635,2,5,1,1,1,1O:2O,::::1N,1O,,1L,1,0.03000300030003
1636,2,5,1,1,1,1O:2O,:::1N:1N,1O,,1L,1,0.03000300030003
1637,2,5,1,1,1,1O:1O,::::1N,,,1L,1,0.03000300030003
1638,2,5,1,1,1,1O:1O,:::1N:1N,2O,,1L,1,0.03000300030003
1639,2,5,0,3,2,:2O,:::1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1640,2,5,0,3,2,:2O,::1N:1N:1N,,:::::1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1641,2,5,0,3,2,:,::1N:1N:1N,,2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1642,2,5,0,3,1,:,::::1N,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
1643,2,5,0,3,1,:,::::,,2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:4S:4S,1L,1,0.03000300030003
1644,2,5,0,2,2,:1O,:::1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1645,2,5,0,2,2,:1O,:1N:1N:1N:1N,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1646,2,5,0,2,2,:1O,:1N:1N:1N:1N,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1647,2,5,0,2,2,:1O,:1N:1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1648,2,5,0,2,2,:,:1N:1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1649,2,5,0,2,2,1O:1O,:::1N:1N,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1650,2,5,0,2,2,1O:1O,::1N:1N:1N,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1651,2,5,0,2,2,1O:1O,:1N:1N:1N:1N,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1652,2,5,0,2,1,:2O,:::1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
1653,2,6,0,1,1,1O:2O,:1N:1N:1N:1N:1N,,,1L,1,0.03000300030003
1654,2,6,0,1,1,1O:2O,::::1N:1N,,,1L,1,0.03000300030003
1655,3,2,1,1,1,:1O:1O,1N:1N,1N1O1S,,1L,1,0.03000300030003
1656,3,1,0,2,1,1O:1O:1O,,,2S:3S:4S:4S:4S:4S:4S:4S,1L,1,0.03000300030003
1657,3,2,0,1,1,1O:1O:2O,:1N,,,1L,1,0.03000300030003
1658,3,2,0,1,1,1O:1O:2O,1N:1N,,,1L,1,0.03000300030003
1659,3,2,0,1,0,::1O,:1N,,,,1,0.03000300030003
1660,3,2,0,1,0,::,:1N,,,,1,0.03000300030003
1661,3,1,1,2,1,::1O,1N,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1662,3,1,1,2,1,:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1663,3,1,1,2,1,1O:1O:1O,,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1664,3,1,1,1,1,::1O,1N,3O1S,,1L,1,0.03000300030003
1665,3,1,0,3,1,::1O,1N,,2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S,1L,1,0.03000300030003
1666,2,8,0,1,2,:1O,::1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1667,3,2,0,1,1,:1O:1O,:1N,,,1L,1,0.03000300030003
1668,2,8,0,1,2,:,::1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1669,2,8,0,1,1,:1O,:::::1N:1N:1N,,,1L,1,0.03000300030003
1670,2,8,0,1,1,:,:::::1N:1N:1N,,,1L,1,0.03000300030003
1671,2,7,1,1,3,:,1N:1N:1N:1N:1N:1N:1N,1O,,1L:1L:1L,1,0.03000300030003
1672,2,7,1,1,1,:1O,::::1N:1N:1N,,,1L,1,0.03000300030003
1673,2,7,0,2,3,:1O,1N:1N:1N:1N:1N:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1674,2,7,0,2,3,:,1N:1N:1N:1N:1N:1N:1N,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1675,2,7,0,2,2,:,::1N:1N:1N:1N:1N,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1676,2,7,0,2,2,1O:1O,:::1N:1N:1N:1N,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1677,3,2,0,1,1,:1O:1O,1N:1N,,,1L,1,0.03000300030003
1678,3,2,0,1,1,:1O:2O,1N:1N,,,1L,1,0.03000300030003
1679,2,6,0,1,1,:,:1N:1N:1N:1N:1N,,,1L,1,0.03000300030003
1680,3,2,0,2,1,::1O,:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1681,3,2,1,1,1,1O:1O:1O,1N:1N,1O1S,,1L,1,0.03000300030003
1682,3,2,0,3,2,::,1N:1N,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1683,3,2,0,3,2,:1O:1O,:1N,,1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1684,3,2,0,3,1,::,:1N,,2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
