,num_dol,num_acn,num_tfsi,num_ps,num_li,atoms_dol,atoms_acn,atoms_tfsi,atoms_ps,atoms_li,count,%
684,0,4,1,1,2,,1N:1N:1N:1N,1O,,1L:1L,1,0.03000300030003
685,0,4,2,1,1,,::1N:1N,1O:1O,,1L,1,0.03000300030003
686,0,5,0,1,0,,:::1N:1N,,,,1,0.03000300030003
687,0,5,0,1,0,,::::,,,,1,0.03000300030003
688,0,5,0,1,2,,1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
689,0,5,0,2,1,,:::1N:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
690,0,6,1,1,2,,1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
691,0,6,1,1,2,,:1N:1N:1N:1N:1N,2O,,1L:1L,1,0.03000300030003
692,0,6,2,1,2,,::1N:1N:1N:1N,:,,1L:1L,1,0.03000300030003
693,1,4,0,2,1,,:1N:1N:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
694,1,4,0,1,0,,::1N:1N,,,,1,0.03000300030003
695,1,4,0,1,0,1O,:::,,,,1,0.03000300030003
696,1,4,0,1,1,1O,:::1N,,,1L,1,0.03000300030003
697,1,4,0,1,1,2O,::1N:1N,,,1L,1,0.03000300030003
698,1,4,0,1,2,,:1N:1N:1N,,,1L:1L,1,0.03000300030003
699,1,4,0,1,2,,::1N:1N,,,1L:1L,1,0.03000300030003
700,1,4,0,1,2,1O,1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
701,1,4,0,2,1,,:1N:1N:1N,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
702,1,4,0,2,1,,::1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
703,1,3,1,2,1,,::1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
704,1,4,0,2,1,,::1N:1N,,:1S:1S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
705,1,4,0,2,1,,::1N:1N,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
706,1,4,0,2,1,,::1N:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
707,1,4,0,2,1,,:::1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
708,1,4,0,2,1,,:::1N,,3S:3S:3S:3S:3S:3S:4S:4S,1L,1,0.03000300030003
709,1,4,0,2,1,1O,::1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
710,1,4,0,2,1,1O,::1N:1N,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
711,1,4,0,2,1,1O,::1N:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
712,1,3,2,1,1,1O,1N:1N:1N,:,,1L,1,0.03000300030003
713,1,3,1,2,1,,::1N,,2S:2S:2S:3S:3S:3S:4S:4S,1L,1,0.03000300030003
714,0,7,0,1,1,,::1N:1N:1N:1N:1N,,,1L,1,0.03000300030003
715,1,3,0,1,0,1O,::,,,,1,0.03000300030003
716,0,7,0,2,2,,::1N:1N:1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
717,0,7,0,2,2,,::1N:1N:1N:1N:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
718,0,7,1,1,1,,:::::1N:1N,1O,,1L,1,0.03000300030003
719,0,8,0,1,2,,:1N:1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
720,0,8,0,2,1,,::::::1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
721,1,2,0,1,1,1O,1N:1N,,,1L,1,0.03000300030003
722,1,2,0,2,1,,:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
723,1,3,0,1,0,1O,:1N:1N,,,,1,0.03000300030003
724,1,3,0,2,1,,::1N,,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
725,1,3,1,1,1,1O,::1N,1O,,1L,1,0.03000300030003
726,1,3,0,2,1,,::1N,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
727,1,3,0,2,1,1O,:1N:1N,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
728,1,3,0,2,2,2O,:1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
729,1,3,1,1,0,,::,,,,1,0.03000300030003
730,1,3,1,1,1,,:1N:1N,,,1L,1,0.03000300030003
731,1,3,1,1,1,,:1N:1N,1O,,1L,1,0.03000300030003
732,1,3,1,1,1,,:1N:1N,2O,,1L,1,0.03000300030003
733,1,3,1,1,1,1O,::1N,,,1L,1,0.03000300030003
734,1,7,1,1,1,1O,:::::1N:1N,,,1L,1,0.03000300030003
735,1,7,1,1,2,,:1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
736,1,8,0,1,1,,::::1N:1N:1N:1N,,,1L,1,0.03000300030003
737,1,8,0,1,1,1O,:::::1N:1N:1N,,,1L,1,0.03000300030003
738,2,5,0,2,2,1O:1O,:::1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
739,2,5,0,2,2,:,1N:1N:1N:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
740,2,5,0,2,2,:,:1N:1N:1N:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
741,2,5,0,2,2,:1O,:1N:1N:1N:1N,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
742,0,3,0,2,1,,1N:1N:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
743,2,5,0,2,2,:1O,:1N:1N:1N:1N,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
744,2,5,0,2,2,:1O,:1N:1N:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
