,num_dol,num_tfetfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfetfe,atoms_tfsi,atoms_ps,atoms_li,count,%
1041,6,1,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,1,0.03000300030003
1042,6,1,1,1,2,:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1043,6,1,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,1,0.03000300030003
1044,6,1,1,1,2,1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,1,0.03000300030003
1045,6,1,1,1,2,1O:1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1046,6,1,1,1,2,1O:1O:1O:1O:1O:1O,1O,2O1S,,1L:1L,1,0.03000300030003
1047,6,1,1,1,1,::::1O:1O,,,,1L,1,0.03000300030003
1048,6,2,0,1,1,:::1O:1O:2O,:1O,,,1L,1,0.03000300030003
1049,6,2,0,1,2,::1O:1O:1O:1O,:,,,1L:1L,1,0.03000300030003
1050,6,2,1,1,1,::::1O:2O,:,1O,,1L,1,0.03000300030003
1051,6,2,2,1,1,:::1O:1O:2O,:,1O:1O,,1L,1,0.03000300030003
1052,7,0,1,1,2,::1O:1O:1O:2O:2O,,1O,,1L:1L,1,0.03000300030003
1053,7,0,1,1,2,::1O:1O:1O:1O:2O,,2O1S,,1L:1L,1,0.03000300030003
1054,7,0,1,1,2,::1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1055,7,0,1,1,2,::1O:1O:1O:1O:2O,,1N2O1S,,1L:1L,1,0.03000300030003
1056,7,0,1,1,2,::1O:1O:1O:1O:1O,,2O,,1L:1L,1,0.03000300030003
1057,7,0,1,1,2,::1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,1,0.03000300030003
1058,7,0,1,1,2,:1O:1O:1O:1O:2O:2O,,,,1L:1L,1,0.03000300030003
1059,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1060,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,1O,,1L:1L,1,0.03000300030003
1061,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,3O2S,,1L:1L,1,0.03000300030003
1062,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,3O1S,,1L:1L,1,0.03000300030003
1063,7,0,1,1,2,1O:1O:1O:1O:1O:2O:2O,,1O,,1L:1L,1,0.03000300030003
1064,7,0,1,1,2,1O:1O:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
