,num_dol,num_thf,num_tfsi,num_ps,num_li,atoms_dol,atoms_thf,atoms_tfsi,atoms_ps,atoms_li,count,%
634,4,1,0,3,2,1O:1O:1O:1O,1O,,::::::1S:1S:1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
635,4,1,0,2,2,::1O:1O,,,3S:3S:4S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
636,4,1,0,2,2,:1O:1O:1O,1O,,3S:3S:3S:3S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
637,4,1,0,2,2,:1O:1O:1O,1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
638,4,1,0,2,2,1O:1O:1O:2O,1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
639,4,1,0,2,2,1O:1O:1O:1O,1O,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
640,4,1,0,2,2,1O:1O:1O:1O,1O,,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
641,4,1,0,2,2,1O:1O:1O:1O,1O,,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
642,4,1,0,2,2,1O:1O:1O:1O,1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
643,4,1,0,2,1,:::2O,1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
644,4,1,0,2,1,:::2O,,,:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
645,4,1,1,3,2,:1O:1O:1O,1O,,:1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
646,4,1,1,3,3,:1O:1O:1O,1O,,:::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
647,4,2,0,3,2,:1O:1O:2O,:,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
648,4,2,0,2,2,1O:1O:1O:1O,1O:1O,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
649,4,2,0,2,2,:1O:1O:1O,1O:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
650,4,2,0,2,2,:1O:1O:1O,1O:1O,,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
651,4,2,0,2,2,:1O:1O:1O,1O:1O,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
652,4,2,0,2,2,:1O:1O:1O,1O:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
653,4,2,0,2,2,:1O:1O:1O,1O:1O,,1S:1S:2S:2S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
654,4,2,0,2,2,1O:1O:1O:1O,:1O,,1S:1S:1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
655,4,2,0,2,2,1O:1O:1O:1O,1O:1O,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
656,4,2,0,2,2,1O:1O:1O:1O,1O:1O,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
657,4,2,0,2,2,1O:1O:1O:1O,1O:1O,,1S:1S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
658,4,1,2,1,1,:1O:1O:1O,,1N3O2S:1O,,1L,1,0.03000300030003
659,4,2,0,2,2,1O:1O:1O:1O,1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
660,4,2,0,2,1,:::1O,:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
