,num_dol,num_hme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hme,atoms_tfsi,atoms_ps,atoms_li,count,%
971,6,1,1,2,2,:::1O:1O:1O,1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
972,6,1,2,1,1,:1O:1O:1O:1O:1O,,1O:1O,,1L,1,0.03000300030003
973,6,1,2,1,1,::1O:2O:2O:2O,1O,1O:1O,,1L,1,0.03000300030003
974,6,1,2,1,1,::::1O:1O,1O,:1O1S,,1L,1,0.03000300030003
975,6,1,2,1,2,1O:1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,1,0.03000300030003
976,6,1,2,1,2,1O:1O:1O:1O:1O:1O,,:1O,,1L:1L,1,0.03000300030003
977,6,1,2,1,2,1O:1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,1,0.03000300030003
978,6,1,1,2,2,1O:1O:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
979,6,1,1,1,2,:::1O:1O:1O,1O,2O1S,,1L:1L,1,0.03000300030003
980,6,1,1,1,2,::1O:1O:2O:2O,1O,2O,,1L:1L,1,0.03000300030003
981,6,1,1,1,2,::1O:1O:2O:2O,1O,1O1S,,1L:1L,1,0.03000300030003
982,6,1,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,1,0.03000300030003
983,6,1,1,1,2,:1O:1O:1O:1O:2O,,3O2S,,1L:1L,1,0.03000300030003
984,6,1,1,1,2,:1O:1O:1O:1O:2O,1O,1O,,1L:1L,1,0.03000300030003
985,6,1,1,1,2,:1O:1O:1O:1O:2O,1O,1O1S,,1L:1L,1,0.03000300030003
986,6,1,1,1,2,:1O:1O:1O:1O:2O,1O,2O1S,,1L:1L,1,0.03000300030003
987,6,1,1,1,2,:1O:1O:1O:2O:2O,,2O1S,,1L:1L,1,0.03000300030003
988,6,1,1,1,2,:1O:1O:1O:2O:2O,1O,1O,,1L:1L,1,0.03000300030003
989,6,1,1,1,2,:1O:1O:2O:2O:2O,,1O,,1L:1L,1,0.03000300030003
990,6,1,1,1,2,::1O:1O:1O:1O,,1N2O2S,,1L:1L,1,0.03000300030003
991,6,1,1,1,2,::1O:1O:1O:1O,,1N4O2S,,1L:1L,1,0.03000300030003
992,6,1,1,1,2,::1O:1O:1O:1O,1O,1N2O1S,,1L:1L,1,0.03000300030003
993,6,1,1,1,2,::1O:1O:1O:1O,1O,2O,,1L:1L,1,0.03000300030003
994,6,1,1,1,2,::1O:1O:1O:1O,1O,2O1S,,1L:1L,1,0.03000300030003
995,6,1,1,1,2,::1O:1O:1O:2O,1O,1O,,1L:1L,1,0.03000300030003
996,6,1,1,1,2,::1O:1O:1O:2O,1O,2O1S,,1L:1L,1,0.03000300030003
997,7,0,1,1,1,:1O:1O:1O:1O:1O:2O,,1O,,1L,1,0.03000300030003
998,7,0,1,1,1,:1O:1O:1O:1O:2O:2O,,,,1L,1,0.03000300030003
999,7,0,1,1,1,::1O:1O:1O:2O:2O,,,,1L,1,0.03000300030003
1000,7,2,1,1,1,:::1O:1O:1O:1O,:,,,1L,1,0.03000300030003
1001,7,2,0,1,1,::1O:1O:1O:1O:1O,:,,,1L,1,0.03000300030003
1002,7,2,0,1,1,::1O:1O:1O:1O:2O,:,,,1L,1,0.03000300030003
1003,7,2,0,1,1,::1O:1O:1O:2O:2O,:,,,1L,1,0.03000300030003
1004,7,2,0,1,1,::1O:1O:2O:2O:2O,:,,,1L,1,0.03000300030003
1005,7,2,0,1,1,:::1O:1O:1O:1O,:,,,1L,1,0.03000300030003
1006,7,2,0,1,1,::::1O:1O:1O,:1O,,,1L,1,0.03000300030003
1007,7,2,0,1,1,::::1O:1O:2O,:,,,1L,1,0.03000300030003
1008,7,2,1,1,1,:::1O:1O:1O:1O,:1O,1O,,1L,1,0.03000300030003
1009,7,1,1,2,1,::::1O:1O:1O,1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1010,7,2,1,1,1,:::1O:1O:1O:2O,:,,,1L,1,0.03000300030003
1011,7,2,1,1,2,:1O:1O:1O:1O:1O:2O,:,1O,,1L:1L,1,0.03000300030003
1012,7,2,1,1,2,::1O:1O:1O:1O:1O,:,3O1S,,1L:1L,1,0.03000300030003
1013,8,0,0,1,1,::1O:1O:1O:1O:1O:1O,,,,1L,1,0.03000300030003
1014,8,0,0,1,1,::1O:1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1015,8,0,0,1,1,::1O:1O:1O:2O:2O:2O,,,,1L,1,0.03000300030003
1016,8,0,0,1,1,::::1O:1O:1O:2O,,,,1L,1,0.03000300030003
1017,7,1,2,1,2,:1O:1O:1O:1O:1O:2O,,:2O1S,,1L:1L,1,0.03000300030003
1018,7,1,1,1,2,::::1O:1O:2O,,2O1S,,1L:1L,1,0.03000300030003
1019,7,0,1,1,1,::1O:1O:1O:2O:2O,,1O1S,,1L,1,0.03000300030003
1020,7,1,1,1,2,1O:1O:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1021,7,1,0,2,2,::1O:1O:1O:1O:2O,,,1S:2S:2S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1022,7,1,0,2,2,::1O:1O:1O:2O:2O,,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1023,7,1,0,2,2,:::1O:1O:1O:1O,1O,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1024,7,1,1,1,1,::1O:1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
1025,7,1,1,1,1,::1O:1O:1O:1O:1O,,1O1S,,1L,1,0.03000300030003
1026,7,1,1,1,1,::1O:1O:1O:1O:2O,,1O,,1L,1,0.03000300030003
1027,7,1,1,1,1,::::1O:1O:1O,,2O1S,,1L,1,0.03000300030003
1028,7,1,1,1,2,:1O:1O:1O:1O:1O:1O,1O,1O,,1L:1L,1,0.03000300030003
1029,7,1,1,1,2,:::1O:1O:2O:2O,1O,1N3O2S,,1L:1L,1,0.03000300030003
1030,7,1,1,1,2,:1O:1O:1O:1O:1O:2O,,1O,,1L:1L,1,0.03000300030003
1031,7,1,1,1,2,:1O:1O:1O:1O:2O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1032,7,1,1,1,2,::1O:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1033,7,1,1,1,2,::1O:1O:1O:1O:1O,,3O2S,,1L:1L,1,0.03000300030003
1034,7,1,1,1,2,::1O:1O:1O:1O:1O,1O,1O,,1L:1L,1,0.03000300030003
1035,7,1,1,1,2,::1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
