,num_dol,num_dms,num_tfsi,num_ps,num_li,atoms_dol,atoms_dms,atoms_tfsi,atoms_ps,atoms_li,count,%
1908,1,4,1,1,1,,:1O:2O1S:2O1S,1O,,1L,1,0.03000300030003
1909,1,4,1,1,1,,:1O:2O1S:2O1S,2O1S,,1L,1,0.03000300030003
1910,1,4,1,1,1,,:1O:2O:2O1S,2O1S,,1L,1,0.03000300030003
1911,1,4,1,1,1,1O,1O1S:1O1S:2O1S:2O1S,1O1S,,1L,1,0.03000300030003
1912,1,4,1,1,1,1O,1O1S:2O1S:2O1S:2O1S,1O,,1L,1,0.03000300030003
1913,1,4,1,1,1,1O,1O:1O:2O1S:2O1S,,,1L,1,0.03000300030003
1914,1,4,1,1,1,1O,1O:1O:2O1S:3O1S,1O,,1L,1,0.03000300030003
1915,1,4,1,1,1,1O,:1O1S:1O1S:2O1S,1O,,1L,1,0.03000300030003
1916,1,4,1,1,1,1O,:1O1S:2O1S:2O1S,1O,,1L,1,0.03000300030003
1917,1,4,1,1,1,1O,:1O:1O1S:1O1S,1O,,1L,1,0.03000300030003
1918,1,4,1,1,1,1O,:1O:1O1S:2O1S,,,1L,1,0.03000300030003
1919,1,4,1,1,1,1O,:1O:1O:2O1S,1N4O2S,,1L,1,0.03000300030003
1920,1,4,1,1,1,1O,:1O:1O:2O1S,1O1S,,1L,1,0.03000300030003
1921,1,4,1,1,1,1O,:1O:1O:2O1S,2O1S,,1L,1,0.03000300030003
1922,1,4,1,1,1,1O,::1O1S:2O1S,1O1S,,1L,1,0.03000300030003
1923,1,4,1,1,1,2O,1O:1O1S:1O1S:1O1S,,,1L,1,0.03000300030003
1924,1,4,1,1,1,2O,:1O1S:1O1S:2O1S,3O2S,,1L,1,0.03000300030003
1925,1,3,1,3,2,1O,1O:1O:2O1S,2O,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1926,1,3,1,3,2,,1O:2O1S:2O1S,3O2S,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
