,num_dol,num_epe,num_tfsi,num_ps,num_li,atoms_dol,atoms_epe,atoms_tfsi,atoms_ps,atoms_li,count,%
1436,4,0,2,2,1,:1O:1O:1O,,:,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1437,4,1,0,2,2,:1O:1O:1O,,,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1438,4,1,1,1,1,:1O:1O:1O,,2O,,1L,1,0.03000300030003
1439,4,1,1,1,1,:1O:1O:1O,,,,1L,1,0.03000300030003
1440,4,1,1,1,1,1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
1441,4,1,0,2,2,::1O:1O,,,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1442,4,1,0,2,2,:1O:1O:2O,,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1443,4,1,0,2,2,:1O:1O:1O,1O,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1444,4,1,0,2,2,:1O:1O:1O,1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1445,4,1,0,2,2,:1O:1O:1O,1O,,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1446,4,1,0,2,2,1O:1O:1O:2O,,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1447,4,0,4,1,2,::1O:1O,,1O:1O:1O:1O,,1L:1L,1,0.03000300030003
1448,4,1,0,2,2,1O:1O:1O:2O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1449,4,1,0,2,2,1O:1O:1O:2O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1450,4,1,0,2,2,1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1451,4,1,0,2,2,1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1452,4,1,0,2,2,1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1453,4,1,0,1,2,1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
1454,4,1,0,1,1,:::1O,,,,1L,1,0.03000300030003
1455,4,1,0,1,1,1O:1O:1O:1O,,,,1L,1,0.03000300030003
1456,4,0,3,1,2,1O:1O:1O:1O,,1N1O1S:1O:2O,,1L:1L,1,0.03000300030003
1457,4,0,3,1,2,1O:1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,1,0.03000300030003
1458,4,0,2,3,2,::1O:1O,,:1O,:::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1459,4,0,2,2,2,1O:1O:1O:2O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1460,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1461,4,0,2,2,2,:1O:1O:1O,,1O1S:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1462,4,0,2,2,2,:1O:1O:1O,,1N2O2S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1463,4,0,2,2,2,:1O:1O:1O,,1N1O1S:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1464,4,0,2,2,2,1O:1O:1O:2O,,:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1465,4,0,2,2,2,1O:1O:1O:2O,,:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1466,4,0,2,2,2,1O:1O:1O:2O,,:1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1467,4,0,2,2,2,1O:1O:1O:2O,,:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1468,4,0,2,2,2,1O:1O:1O:1O,,:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1469,4,0,2,3,2,:1O:1O:1O,,:1O,:::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1470,4,0,2,2,2,1O:1O:1O:1O,,:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1471,4,0,2,2,2,1O:1O:1O:1O,,:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
