,num_dol,num_cyclohexane,num_tfsi,num_ps,num_li,atoms_dol,atoms_cyclohexane,atoms_tfsi,atoms_ps,atoms_li,count,%
1087,7,1,2,1,2,:::1O:1O:1O:1O,,2O1S:3O1S,,1L:1L,1,0.03000300030003
1088,7,1,1,1,2,:::1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1089,7,1,1,1,2,:::1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1090,7,1,1,2,1,::1O:1O:1O:1O:2O,,,1S:1S:1S:1S:2S:3S:3S:4S,1L,1,0.03000300030003
1091,7,1,1,2,1,::1O:1O:1O:1O:2O,,1O,1S:1S:1S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1092,7,1,2,1,1,::1O:1O:1O:2O:2O,,:1O1S,,1L,1,0.03000300030003
1093,7,1,2,1,1,::::1O:1O:2O,,:1O,,1L,1,0.03000300030003
1094,7,1,2,1,2,:1O:1O:1O:1O:1O:1O,,:2O2S,,1L:1L,1,0.03000300030003
1095,7,1,2,1,2,::1O:1O:1O:1O:1O,,1O:1O,,1L:1L,1,0.03000300030003
1096,7,1,2,1,3,:::1O:1O:1O:1O,,1O1S:3O1S,,1L:1L:1L,1,0.03000300030003
1097,7,2,1,1,1,:::1O:1O:2O:2O,:,1O,,1L,1,0.03000300030003
1098,7,1,2,2,2,:1O:1O:1O:1O:1O:1O,,2O1S:2O1S,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1099,7,2,0,1,1,:1O:1O:1O:1O:2O:2O,:,,,1L,1,0.03000300030003
1100,7,2,0,1,1,:::1O:1O:1O:1O,:,,,1L,1,0.03000300030003
1101,7,2,0,1,1,:::1O:1O:1O:2O,:,,,1L,1,0.03000300030003
1102,7,2,0,1,1,:::1O:1O:2O:2O,:,,,1L,1,0.03000300030003
1103,7,2,1,1,1,:1O:1O:1O:1O:1O:2O,:,2O1S,,1L,1,0.03000300030003
1104,7,2,1,1,1,:::1O:1O:1O:1O,:,1O,,1L,1,0.03000300030003
