,num_dol,num_pegdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_pegdme,atoms_tfsi,atoms_ps,atoms_li,count,%
1213,0,5,0,1,0,,:1O:1O:1O:2O,,,,1,0.03000300030003
1214,0,4,2,1,2,,:1O:2O:2O,:1O,,1L:1L,1,0.03000300030003
1215,0,4,2,1,1,,:1O:1O:2O,:1O,,1L,1,0.03000300030003
1216,0,4,2,1,1,,:1O:1O:2O,:1N1O1S,,1L,1,0.03000300030003
1217,0,4,2,1,1,,:1O:1O:1O,:2O1S,,1L,1,0.03000300030003
1218,0,4,2,1,1,,:1O:1O:1O,:1O,,1L,1,0.03000300030003
1219,0,4,1,2,1,,::1O:1O,3O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1220,0,4,1,1,2,,:1O:2O:2O,1N1O1S,,1L:1L,1,0.03000300030003
1221,0,4,1,1,2,,:1O:1O:2O,1O1S,,1L:1L,1,0.03000300030003
1222,0,4,1,1,2,,1O:2O:2O:2O,,,1L:1L,1,0.03000300030003
1223,0,4,1,1,2,,1O:1O:1O:2O,,,1L:1L,1,0.03000300030003
1224,0,4,1,1,1,,:::2O,1O,,1L,1,0.03000300030003
1225,0,4,1,1,1,,:1O:2O:2O,,,1L,1,0.03000300030003
1226,0,4,1,1,1,,:1O:1O:2O,2O,,1L,1,0.03000300030003
1227,0,4,1,1,1,,:1O:1O:2O,1N2O2S,,1L,1,0.03000300030003
1228,0,4,1,1,1,,:1O:1O:1O,3O1S,,1L,1,0.03000300030003
1229,1,3,0,2,1,,:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1230,1,3,0,2,1,,:1O:1O,,2S:2S:2S:3S:3S:3S:3S:3S,1L,1,0.03000300030003
1231,1,4,0,2,1,,:1O:2O:2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1232,1,3,1,2,1,1O,:1O:2O,,1S:1S:1S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
1233,1,3,2,1,2,2O,1O:2O:2O,:1O,,1L:1L,1,0.03000300030003
1234,1,3,2,1,1,1O,1O:1O:1O,:,,1L,1,0.03000300030003
1235,1,3,2,1,0,,::1O,:2O,,,1,0.03000300030003
