,num_dol,num_dmds,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmds,atoms_tfsi,atoms_ps,atoms_li,count,%
80,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,5,0.15001500150015
81,6,0,1,1,2,::1O:1O:1O:1O,,2O,,1L:1L,5,0.15001500150015
82,4,1,0,1,2,1O:1O:1O:2O,,,,1L:1L,4,0.12001200120012
83,5,1,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,4,0.12001200120012
84,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O1S,,1L:1L,4,0.12001200120012
85,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
86,4,2,0,1,1,:1O:1O:2O,:,,,1L,4,0.12001200120012
87,3,1,2,1,2,1O:1O:1O,,1O:2O,,1L:1L,4,0.12001200120012
88,5,1,1,1,2,1O:1O:1O:1O:1O,,3O1S,,1L:1L,4,0.12001200120012
89,6,1,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
90,6,1,1,1,1,:::1O:1O:1O,,1O,,1L,4,0.12001200120012
91,6,0,2,1,2,:1O:1O:1O:1O:1O,,:1O,,1L:1L,4,0.12001200120012
92,5,1,1,1,1,::1O:1O:1O,1S,,,1L,4,0.12001200120012
93,5,1,0,1,2,1O:1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
94,4,2,0,1,1,1O:1O:1O:2O,:,,,1L,4,0.12001200120012
95,5,1,0,1,1,::1O:1O:2O,,,,1L,4,0.12001200120012
96,5,0,1,1,2,:1O:1O:1O:2O,,2O,,1L:1L,4,0.12001200120012
97,5,0,0,2,2,1O:1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
98,4,1,1,1,2,1O:1O:1O:1O,1S,2O,,1L:1L,4,0.12001200120012
99,6,0,0,1,2,:1O:1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
100,4,3,1,1,1,:1O:1O:1O,::,,,1L,4,0.12001200120012
101,4,3,1,1,1,:1O:1O:1O,::,1O,,1L,4,0.12001200120012
102,6,0,0,1,1,:::1O:1O:2O,,,,1L,4,0.12001200120012
103,6,0,0,1,1,::1O:1O:1O:1O,,,,1L,4,0.12001200120012
104,5,2,1,1,2,1O:1O:1O:1O:1O,:1S,1O,,1L:1L,4,0.12001200120012
105,7,1,0,1,1,:::1O:1O:1O:1O,,,,1L,4,0.12001200120012
106,5,0,0,2,2,1O:1O:1O:1O:1O,,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,4,0.12001200120012
107,3,3,1,1,1,:1O:1O,::,1O,,1L,4,0.12001200120012
108,4,1,1,2,2,1O:1O:1O:1O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
109,5,3,0,1,1,::1O:1O:1O,::,,,1L,4,0.12001200120012
110,4,4,0,1,1,:1O:1O:1O,:::,,,1L,4,0.12001200120012
111,3,4,0,1,1,:1O:1O,::1S:1S,,,1L,4,0.12001200120012
112,4,0,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,4,0.12001200120012
113,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:2O,,1L:1L,4,0.12001200120012
114,6,1,0,1,1,:::1O:1O:1O,1S,,,1L,4,0.12001200120012
115,4,1,1,1,2,:1O:1O:1O,1S,2O,,1L:1L,4,0.12001200120012
116,3,2,1,1,1,:1O:1O,:,1O,,1L,4,0.12001200120012
117,7,0,0,1,1,:::1O:1O:1O:1O,,,,1L,4,0.12001200120012
118,7,0,0,1,2,:1O:1O:1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
119,4,1,1,1,2,1O:1O:1O:1O,2S,1O,,1L:1L,4,0.12001200120012
120,4,1,1,1,2,:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
121,5,2,0,1,1,:1O:1O:1O:1O,:,,,1L,4,0.12001200120012
122,5,0,1,1,2,1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,4,0.12001200120012
123,6,0,0,2,2,:1O:1O:1O:1O:2O,,,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
124,4,0,1,1,2,1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
125,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
126,4,1,1,1,2,1O:1O:1O:2O,1S,1O,,1L:1L,3,0.09000900090009
127,4,1,0,2,2,1O:1O:1O:1O,1S,,::1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
128,4,1,1,1,2,1O:1O:1O:1O,,1O1S,,1L:1L,3,0.09000900090009
129,4,1,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,3,0.09000900090009
130,4,1,1,1,2,1O:1O:1O:1O,1S,3O1S,,1L:1L,3,0.09000900090009
131,5,1,0,1,1,::1O:1O:1O,1S,,,1L,3,0.09000900090009
132,6,1,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
133,4,1,1,1,2,1O:1O:1O:1O,1S,2O1S,,1L:1L,3,0.09000900090009
134,5,1,0,1,1,:1O:1O:1O:2O,,,,1L,3,0.09000900090009
135,4,0,2,1,2,1O:1O:1O:1O,,2O:2O1S,,1L:1L,3,0.09000900090009
136,5,1,1,1,2,1O:1O:1O:1O:1O,2S,1O,,1L:1L,3,0.09000900090009
137,3,1,2,1,2,1O:1O:1O,1S,1O:2O1S,,1L:1L,3,0.09000900090009
138,4,0,2,1,2,1O:1O:1O:2O,,1O:2O,,1L:1L,3,0.09000900090009
139,4,0,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,3,0.09000900090009
140,5,2,0,1,1,:1O:1O:1O:2O,:,,,1L,3,0.09000900090009
141,5,2,0,1,1,:1O:1O:1O:2O,:1S,,,1L,3,0.09000900090009
142,3,2,2,1,2,1O:1O:1O,:1S,1O:1O,,1L:1L,3,0.09000900090009
143,4,0,1,2,2,1O:1O:1O:1O,,,2S:2S:3S:3S:3S:4S:4S:4S,1L:1L,3,0.09000900090009
144,4,0,1,2,2,1O:1O:1O:1O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,3,0.09000900090009
145,5,2,0,2,1,::1O:1O:1O,:,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
146,3,3,0,1,1,:1O:1O,::,,,1L,3,0.09000900090009
147,4,0,1,1,2,1O:1O:1O:2O,,1N3O2S,,1L:1L,3,0.09000900090009
148,3,3,0,1,1,:1O:1O,::2S,,,1L,3,0.09000900090009
149,4,0,1,1,2,1O:1O:1O:1O,,1O1S,,1L:1L,3,0.09000900090009
150,5,2,1,1,1,::1O:1O:1O,:1S,1O,,1L,3,0.09000900090009
151,3,3,1,1,1,:1O:1O,::1S,1O,,1L,3,0.09000900090009
152,5,3,0,1,1,:1O:1O:1O:1O,::,,,1L,3,0.09000900090009
153,5,3,0,1,1,:1O:1O:1O:1O,::1S,,,1L,3,0.09000900090009
154,3,2,1,1,2,1O:1O:1O,:2S,1O,,1L:1L,3,0.09000900090009
155,3,2,1,1,2,1O:1O:1O,:1S,1O,,1L:1L,3,0.09000900090009
156,5,1,0,1,1,::1O:1O:2O,1S,,,1L,3,0.09000900090009
157,5,1,1,1,2,::1O:1O:1O,1S,1O,,1L:1L,3,0.09000900090009
158,4,1,0,1,1,:1O:1O:1O,,,,1L,3,0.09000900090009
159,4,1,0,1,1,1O:1O:1O:1O,,,,1L,3,0.09000900090009
160,5,1,0,2,1,:::1O:1O,,,2S:2S:2S:2S:2S:2S:2S:2S,1L,3,0.09000900090009
161,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O1S,,1L:1L,3,0.09000900090009
162,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,3,0.09000900090009
163,6,0,1,1,2,::1O:1O:1O:1O,,1N3O2S,,1L:1L,3,0.09000900090009
164,5,1,1,1,1,::1O:1O:1O,,1O,,1L,3,0.09000900090009
165,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
166,6,0,1,1,2,:1O:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
167,5,1,1,1,1,:::1O:1O,,1O,,1L,3,0.09000900090009
168,3,2,0,1,1,1O:1O:1O,:1S,,,1L,3,0.09000900090009
169,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
170,3,1,1,1,2,1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
171,5,1,1,1,2,1O:1O:1O:1O:2O,1S,2O1S,,1L:1L,3,0.09000900090009
172,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
173,3,1,1,1,2,1O:1O:1O,,2O1S,,1L:1L,3,0.09000900090009
174,3,4,0,1,1,1O:1O:1O,:::,,,1L,3,0.09000900090009
175,4,3,0,1,1,::1O:1O,::,,,1L,3,0.09000900090009
176,3,0,2,1,2,1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
177,4,1,2,1,2,1O:1O:1O:1O,1S,1O:1O,,1L:1L,3,0.09000900090009
178,2,2,0,1,1,1O:1O,:1S,,,1L,3,0.09000900090009
179,5,0,1,1,2,:1O:1O:1O:1O,,1N3O2S,,1L:1L,3,0.09000900090009
180,5,0,0,2,2,1O:1O:1O:1O:2O,,,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
181,5,0,2,1,2,1O:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,3,0.09000900090009
182,4,1,2,1,2,1O:1O:1O:1O,,1N1O:1O,,1L:1L,3,0.09000900090009
183,4,1,2,1,2,1O:1O:1O:1O,,1O1S:2O,,1L:1L,3,0.09000900090009
184,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
185,4,1,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,3,0.09000900090009
186,4,3,0,1,1,::1O:1O,:1S:1S,,,1L,3,0.09000900090009
187,4,3,0,1,1,:1O:1O:2O,::1S,,,1L,3,0.09000900090009
188,7,0,1,1,2,::1O:1O:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
189,4,2,0,1,1,:1O:1O:1O,1S:1S,,,1L,3,0.09000900090009
190,5,0,1,2,2,:1O:1O:1O:1O,,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
191,4,3,0,1,1,:1O:1O:1O,:1S:1S,,,1L,3,0.09000900090009
192,4,2,1,1,2,1O:1O:1O:1O,:1S,1O,,1L:1L,3,0.09000900090009
193,4,1,2,1,2,1O:1O:1O:1O,1S,:1O,,1L:1L,3,0.09000900090009
194,5,0,1,2,2,:1O:1O:1O:1O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
195,4,2,1,1,2,1O:1O:1O:1O,:1S,2O,,1L:1L,3,0.09000900090009
196,2,4,1,1,1,1O:1O,:::1S,1O,,1L,3,0.09000900090009
197,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
198,5,0,0,2,2,1O:1O:1O:1O:2O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
199,7,0,0,1,2,:1O:1O:1O:1O:2O:2O,,,,1L:1L,3,0.09000900090009
200,5,0,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,3,0.09000900090009
201,4,2,1,1,1,1O:1O:1O:1O,:,1O,,1L,3,0.09000900090009
202,3,1,1,1,1,1O:1O:1O,,,,1L,3,0.09000900090009
203,4,2,1,1,1,::1O:1O,:,1O1S,,1L,3,0.09000900090009
204,6,1,1,1,2,1O:1O:1O:1O:1O:1O,1S,1O,,1L:1L,3,0.09000900090009
205,5,0,2,1,2,1O:1O:1O:1O:1O,,:2O,,1L:1L,3,0.09000900090009
206,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O1S,,1L:1L,3,0.09000900090009
207,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O,,1L:1L,3,0.09000900090009
208,8,0,0,1,1,::::1O:1O:1O:1O,,,,1L,3,0.09000900090009
209,4,1,1,2,2,1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
210,6,1,0,1,2,1O:1O:1O:1O:1O:2O,1S,,,1L:1L,3,0.09000900090009
211,3,0,1,1,2,1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
212,6,2,0,1,1,::1O:1O:1O:2O,:,,,1L,3,0.09000900090009
213,6,2,0,1,1,::1O:1O:1O:1O,:,,,1L,3,0.09000900090009
214,6,1,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
215,5,0,0,2,2,1O:1O:1O:1O:1O,,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
216,5,0,1,1,2,::1O:1O:2O,,1O,,1L:1L,3,0.09000900090009
217,3,0,3,1,2,1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,3,0.09000900090009
218,5,1,2,1,1,::1O:1O:1O,,:,,1L,2,0.06000600060006
219,4,0,2,1,2,1O:1O:1O:1O,,1N3O2S:1O1S,,1L:1L,2,0.06000600060006
220,4,0,1,2,2,1O:1O:1O:1O,,2O,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
221,5,1,2,1,2,::1O:1O:1O,,1O:2O,,1L:1L,2,0.06000600060006
222,4,0,1,2,2,:1O:1O:1O,,1N1O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
223,5,1,2,1,2,:1O:1O:1O:1O,1S,1O:1O1S,,1L:1L,2,0.06000600060006
224,5,1,2,1,2,:1O:1O:1O:1O,2S,1O:2O,,1L:1L,2,0.06000600060006
225,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,2,0.06000600060006
226,5,1,2,1,2,:1O:1O:1O:1O,1S,:1O,,1L:1L,2,0.06000600060006
227,4,0,1,2,2,:1O:1O:1O,,3O1S,:1S:1S:2S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
228,5,1,2,1,2,1O:1O:1O:1O:1O,,:3O1S,,1L:1L,2,0.06000600060006
229,5,1,2,1,1,::1O:1O:1O,,:1O,,1L,2,0.06000600060006
230,4,1,1,2,2,1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
231,5,1,1,2,2,:1O:1O:1O:1O,1S,1O,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
232,4,2,1,1,2,1O:1O:1O:2O,:,1O,,1L:1L,2,0.06000600060006
233,5,1,1,1,2,1O:1O:1O:2O:2O,1S,1O,,1L:1L,2,0.06000600060006
234,4,0,2,1,2,:1O:1O:2O,,1O:2O1S,,1L:1L,2,0.06000600060006
235,4,2,1,1,1,::1O:1O,1S:1S,1O,,1L,2,0.06000600060006
236,4,2,1,1,1,::1O:1O,:1S,1N1O1S,,1L,2,0.06000600060006
237,5,1,1,1,2,:1O:1O:1O:1O,2S,1O,,1L:1L,2,0.06000600060006
238,5,1,1,1,2,:1O:1O:1O:2O,,1O,,1L:1L,2,0.06000600060006
239,4,0,2,1,2,:1O:1O:1O,,1N3O2S:1O,,1L:1L,2,0.06000600060006
240,4,0,2,1,2,1O:1O:2O:2O,,1O:1O,,1L:1L,2,0.06000600060006
241,4,0,2,1,2,1O:1O:1O:2O,,2O:3O1S,,1L:1L,2,0.06000600060006
242,5,0,1,1,2,:1O:1O:1O:1O,,1N2O2S,,1L:1L,2,0.06000600060006
243,4,2,1,1,2,:1O:1O:1O,1S:1S,1N3O2S,,1L:1L,2,0.06000600060006
244,5,0,1,1,2,:1O:1O:1O:1O,,1N1O1S,,1L:1L,2,0.06000600060006
245,4,2,1,1,2,1O:1O:1O:1O,:,1O,,1L:1L,2,0.06000600060006
246,4,0,2,1,2,1O:1O:1O:1O,,:2O,,1L:1L,2,0.06000600060006
247,4,0,2,1,2,1O:1O:1O:1O,,2O1S:3O2S,,1L:1L,2,0.06000600060006
248,4,0,2,1,2,1O:1O:1O:1O,,1O:3O1S,,1L:1L,2,0.06000600060006
249,4,0,2,1,2,1O:1O:1O:1O,,1O:2O2S,,1L:1L,2,0.06000600060006
250,4,0,1,2,2,1O:1O:1O:1O,,1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
251,5,2,0,1,2,:1O:1O:1O:1O,1S:2S,,,1L:1L,2,0.06000600060006
252,4,2,1,1,2,:1O:1O:1O,1S:2S,2O,,1L:1L,2,0.06000600060006
253,5,0,1,1,2,1O:1O:1O:1O:2O,,,,1L:1L,2,0.06000600060006
254,4,0,1,1,2,1O:1O:1O:1O,,2O1S,,1L:1L,2,0.06000600060006
255,4,3,0,1,1,:1O:1O:1O,::2S,,,1L,2,0.06000600060006
256,4,3,0,1,1,:1O:2O:2O,::1S,,,1L,2,0.06000600060006
257,5,0,0,2,2,:1O:1O:1O:1O,,,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,2,0.06000600060006
258,5,0,0,2,2,:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
259,4,3,1,1,1,::1O:1O,::,1O,,1L,2,0.06000600060006
260,4,3,1,1,1,::1O:1O,::1S,1O,,1L,2,0.06000600060006
261,5,0,0,2,2,1O:1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
262,5,2,1,1,1,:::1O:1O,:1S,,,1L,2,0.06000600060006
263,5,0,0,2,2,1O:1O:1O:1O:1O,,,:1S:1S:2S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
264,4,0,0,3,2,1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
265,4,0,0,3,2,1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
266,5,2,1,1,2,:1O:1O:1O:1O,:1S,1O,,1L:1L,2,0.06000600060006
267,5,2,1,1,2,:1O:1O:1O:1O,:2S,1O,,1L:1L,2,0.06000600060006
268,4,0,0,1,2,1O:1O:1O:2O,,,,1L:1L,2,0.06000600060006
269,5,0,0,2,2,1O:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
270,3,5,0,1,1,:1O:1O,::::1S,,,1L,2,0.06000600060006
271,5,0,0,2,2,1O:1O:1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
272,5,3,0,1,1,::1O:1O:1O,:1S:1S,,,1L,2,0.06000600060006
273,4,4,0,1,1,1O:1O:1O:1O,:::1S,,,1L,2,0.06000600060006
274,5,3,0,1,1,::1O:1O:1O,::1S,,,1L,2,0.06000600060006
275,4,4,0,1,1,:1O:1O:1O,:::1S,,,1L,2,0.06000600060006
276,5,0,0,1,2,1O:1O:1O:1O:2O,,,,1L:1L,2,0.06000600060006
277,4,0,1,1,2,1O:1O:1O:2O,,1N1O1S,,1L:1L,2,0.06000600060006
278,4,3,0,1,1,1O:1O:1O:1O,::,,,1L,2,0.06000600060006
279,4,2,2,1,2,1O:1O:1O:1O,:1S,1O:2O1S,,1L:1L,2,0.06000600060006
280,4,0,1,2,2,1O:1O:1O:1O,,,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,2,0.06000600060006
281,4,2,1,1,2,:1O:1O:1O,:2S,1O,,1L:1L,2,0.06000600060006
282,4,2,1,1,2,:1O:1O:1O,:2S,2O,,1L:1L,2,0.06000600060006
283,5,0,1,1,2,1O:1O:1O:1O:1O,,2O2S,,1L:1L,2,0.06000600060006
284,5,0,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,2,0.06000600060006
285,5,0,1,1,2,1O:1O:1O:1O:1O,,,,1L:1L,2,0.06000600060006
