,num_dol,num_mtbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_mtbe,atoms_tfsi,atoms_ps,atoms_li,count,%
2164,1,3,2,2,2,2O,:1O:1O,:1N,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
2165,1,3,3,1,2,,:1O:1O,1N3O2S:1O:2O1S,,1L:1L,1,0.03000300030003
2166,2,2,1,2,2,:1O,1O:1O,1N3O2S,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
2167,2,2,1,2,2,:1O,:1O,1N3O2S,3S:3S:4S:4S:5S:5S:6S:6S,1L:1L,1,0.03000300030003
2168,2,4,1,1,2,:1O,:1O:1O:1O,1N2O2S,,1L:1L,1,0.03000300030003
2169,2,3,1,2,2,1O:1O,1O:1O:1O,2O1S,::1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2170,2,3,1,1,2,1O:1O,:1O:1O,1N2O2S,,1L:1L,1,0.03000300030003
2171,2,3,1,1,2,1O:1O,:1O:1O,1O,,1L:1L,1,0.03000300030003
2172,2,3,1,1,2,1O:1O,:1O:1O,2O1S,,1L:1L,1,0.03000300030003
2173,2,3,1,1,2,1O:1O,::1O,,,1L:1L,1,0.03000300030003
2174,2,3,1,1,2,1O:2O,:1O:1O,1N2O1S,,1L:1L,1,0.03000300030003
2175,2,3,1,1,2,1O:2O,:1O:1O,1N3O2S,,1L:1L,1,0.03000300030003
2176,2,3,1,1,2,:2O,1O:1O:1O,1N3O2S,,1L:1L,1,0.03000300030003
2177,2,3,1,2,1,1O:1O,::,1O,::1S:1S:2S:2S:3S:3S,1L,1,0.03000300030003
2178,2,3,1,2,1,:1O,::1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
2179,2,3,1,2,2,1O:1O,:1O:1O,1N2O2S,::1S:1S:1S:2S:3S:3S,1L:1L,1,0.03000300030003
2180,2,3,1,3,3,:1O,::1O,1O,:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:4S:4S,1L:1L:1L,1,0.03000300030003
2181,2,3,1,2,2,1O:1O,:1O:1O,1O,:1S:1S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2182,2,3,1,2,2,1O:1O,:1O:1O,2O2S,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
2183,2,3,1,2,2,1O:2O,:1O:1O,1O,2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2184,2,3,1,2,2,1O:2O,::1O,1O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2185,2,3,1,2,2,2O:2O,:1O:1O,,3S:3S:4S:4S:5S:5S:6S:6S,1L:1L,1,0.03000300030003
2186,2,3,1,2,2,:1O,:1O:1O,1N2O2S,::1S:1S:1S:2S:3S:3S,1L:1L,1,0.03000300030003
2187,2,3,1,2,2,:1O,::1O,2O,4S:5S:6S:7S:7S:7S:7S:8S,1L:1L,1,0.03000300030003
2188,2,3,1,3,2,1O:1O,::1O,,:::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2189,2,3,1,3,2,2O:2O,::1O,1O1S,::::1S:1S:1S:1S:1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
2190,2,3,1,1,2,1O:1O,1O:1O:1O,1O1S,,1L:1L,1,0.03000300030003
2191,2,3,1,1,2,1O:1O,1O:1O:1O,,,1L:1L,1,0.03000300030003
2192,2,3,1,1,1,:2O,:1O:1O,,,1L,1,0.03000300030003
2193,2,3,1,1,1,1O:2O,:1O:1O,1O,,1L,1,0.03000300030003
2194,2,2,3,1,2,:1O,:1O,1N1O1S:1N3O2S:2O1S,,1L:1L,1,0.03000300030003
2195,2,2,3,1,2,:2O,1O:1O,:1O1S:2O1S,,1L:1L,1,0.03000300030003
2196,2,2,3,1,2,:2O,1O:1O,::2O1S,,1L:1L,1,0.03000300030003
2197,2,2,3,2,3,1O:1O,:1O,1N2O2S:1N4O2S:1O,:::1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2198,2,2,4,1,2,1O:2O,:1O,:1N2O1S:1O:2O1S,,1L:1L,1,0.03000300030003
2199,2,3,0,1,2,1O:2O,::1O,,,1L:1L,1,0.03000300030003
2200,2,3,0,2,1,:1O,::,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
2201,2,3,0,2,2,1O:1O,:1O:1O,,2S:3S:3S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2202,2,3,0,2,2,1O:1O,::1O,,3S:4S:5S:6S:6S:6S:7S:8S,1L:1L,1,0.03000300030003
2203,2,3,0,2,2,1O:2O,:1O:1O,,::1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2204,2,3,0,3,2,1O:2O,::1O,,:::1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2205,2,3,0,3,2,:,:1O:1O,,2S:2S:3S:3S:3S:3S:3S:3S:3S:4S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2206,2,3,0,3,2,:1O,1O:1O:1O,,:::1S:1S:1S:1S:2S:2S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2207,2,3,0,3,2,:1O,:1O:1O,,:::::1S:1S:1S:1S:1S:2S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2208,2,3,0,3,3,1O:1O,1O:1O:1O,,1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L:1L,1,0.03000300030003
2209,2,3,0,3,3,:1O,:1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
2210,2,3,0,4,2,1O:1O,:1O:1O,,:::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2211,2,3,0,4,2,1O:1O,::1O,,::::::1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2212,2,3,0,4,3,1O:1O,::1O,,::::1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
2213,2,3,1,3,3,1O:1O,::1O,1O1S,::::1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
2214,2,3,1,4,3,:2O,:1O:1O,1O1S,:::::1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
2215,2,2,3,1,2,:1O,:1O,1N1O1S:1N2O2S:1O,,1L:1L,1,0.03000300030003
2216,2,4,0,2,2,1O:2O,::1O:1O,,3S:4S:4S:5S:5S:5S:6S:6S,1L:1L,1,0.03000300030003
2217,2,3,3,1,2,1O:1O,::1O,1N1O1S:1O:2O,,1L:1L,1,0.03000300030003
2218,2,3,3,1,2,1O:1O,::1O,1N1O:1N1O1S:1O,,1L:1L,1,0.03000300030003
2219,2,3,3,1,2,1O:1O,::1O,:1O:2O1S,,1L:1L,1,0.03000300030003
2220,2,3,3,1,2,:1O,::1O,1O1S:2O1S:2O1S,,1L:1L,1,0.03000300030003
2221,2,4,0,1,1,:1O,:1O:1O:1O,,,1L,1,0.03000300030003
2222,2,4,0,1,2,1O:1O,:1O:1O:1O,,,1L:1L,1,0.03000300030003
2223,2,4,0,1,2,1O:1O,::1O:1O,,,1L:1L,1,0.03000300030003
2224,2,4,0,1,2,2O:2O,::1O:1O,,,1L:1L,1,0.03000300030003
2225,2,4,0,2,2,1O:2O,::1O:1O,,3S:4S:4S:4S:5S:5S:6S:6S,1L:1L,1,0.03000300030003
2226,2,4,0,3,1,1O:1O,:::1O,,:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:4S:4S:4S:4S,1L,1,0.03000300030003
2227,2,3,2,1,2,1O:1O,1O:1O:1O,1O1S:1O1S,,1L:1L,1,0.03000300030003
2228,2,4,0,3,2,:,::1O:1O,,2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2229,2,4,0,3,2,:,::1O:1O,,2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2230,2,4,0,3,2,:2O,::1O:1O,,:::1S:1S:1S:2S:2S:3S:3S:3S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2231,2,4,1,1,1,1O:2O,::1O:1O,,,1L,1,0.03000300030003
2232,2,4,1,1,1,:,::1O:1O,2O1S,,1L,1,0.03000300030003
