,num_dol,num_dmi,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmi,atoms_tfsi,atoms_ps,atoms_li,count,%
65,4,2,0,1,2,1O:1O:1O:1O,1O:1O,,,1L:1L,8,0.24002400240024
66,4,2,1,1,2,:1O:1O:1O,1O:1O,1O,,1L:1L,8,0.24002400240024
67,6,1,0,1,1,:::1O:1O:1O,1O,,,1L,8,0.24002400240024
68,3,2,2,1,2,1O:1O:1O,:1O,1O:1O,,1L:1L,8,0.24002400240024
69,2,4,0,1,1,1O:1O,::1N:1O,,,1L,8,0.24002400240024
70,4,2,0,1,1,::1O:1O,1O:1O,,,1L,8,0.24002400240024
71,3,3,0,1,1,::1O,::1O,,,1L,8,0.24002400240024
72,1,4,0,1,2,1O,:1O:1O:1O,,,1L:1L,7,0.21002100210021
73,4,3,0,1,0,:::1O,::,,,,7,0.21002100210021
74,3,2,1,1,2,1O:1O:1O,1O:1O,2O,,1L:1L,7,0.21002100210021
75,2,3,0,1,2,1O:1O,1O:1O:1O,,,1L:1L,7,0.21002100210021
76,6,2,0,1,1,::::1O:1O,:1O,,,1L,7,0.21002100210021
77,3,5,0,1,2,::1O,1O:1O:1O:1O:1O,,,1L:1L,7,0.21002100210021
78,2,6,0,1,2,:1O,:1O:1O:1O:1O:1O,,,1L:1L,7,0.21002100210021
79,2,4,0,1,2,:1O,:1O:1O:1O,,,1L:1L,7,0.21002100210021
80,1,4,0,1,1,1O,::1O:1O,,,1L,7,0.21002100210021
81,4,1,0,1,1,::1O:1O,1O,,,1L,7,0.21002100210021
82,2,4,0,1,2,:1O,1O:1O:1O:1O,,,1L:1L,7,0.21002100210021
83,4,2,0,1,2,:1O:1O:1O,1O:1O,,,1L:1L,7,0.21002100210021
84,2,4,0,1,1,:1O,:1N:1N1O:1O,,,1L,7,0.21002100210021
85,2,4,0,1,1,:1O,::1N1O:1O,,,1L,7,0.21002100210021
86,2,4,0,1,1,1O:1O,:::1O,,,1L,7,0.21002100210021
87,4,3,0,1,1,:::1O,:1N1O:1O,,,1L,7,0.21002100210021
88,4,3,1,1,1,::1O:1O,::1O,,,1L,6,0.18001800180018
89,2,5,0,1,2,1O:1O,1O:1O:1O:1O:1O,,,1L:1L,6,0.18001800180018
90,5,3,0,1,1,::1O:1O:1O,::1O,,,1L,6,0.18001800180018
91,3,3,0,1,1,::1O,1O:1O:2N,,,1L,6,0.18001800180018
92,2,4,1,1,2,:,1O:1O:1O:1O,2O,,1L:1L,6,0.18001800180018
93,1,5,0,1,1,1O,:::1O:1O,,,1L,6,0.18001800180018
94,3,2,0,1,2,1O:1O:1O,1O:1O,,,1L:1L,6,0.18001800180018
95,3,4,0,1,2,:1O:1O,:1O:1O:1O,,,1L:1L,6,0.18001800180018
96,5,1,0,1,2,:1O:1O:1O:1O,1O,,,1L:1L,6,0.18001800180018
97,2,4,0,1,1,1O:1O,::1O:1O,,,1L,6,0.18001800180018
98,4,2,0,1,1,:::1O,1N1O:1O,,,1L,6,0.18001800180018
99,2,5,0,1,2,:1O,:1O:1O:1O:1O,,,1L:1L,6,0.18001800180018
100,4,3,0,1,1,:::1O,::1O,,,1L,6,0.18001800180018
101,1,5,0,1,2,1O,::1O:1O:1O,,,1L:1L,6,0.18001800180018
102,2,3,0,1,1,1O:1O,::1O,,,1L,6,0.18001800180018
103,3,4,0,1,1,::1O,::1N1O:1O,,,1L,5,0.15001500150015
104,4,4,0,1,1,::1O:1O,::1O:1O,,,1L,5,0.15001500150015
105,4,1,0,1,0,:::,,,,,5,0.15001500150015
106,2,3,2,1,2,1O:1O,:1O:1O,1O:1O,,1L:1L,5,0.15001500150015
107,6,2,0,1,1,:::1O:1O:1O,:1O,,,1L,5,0.15001500150015
108,3,3,0,1,1,::1O,1N:1O:1O,,,1L,5,0.15001500150015
109,3,2,0,1,1,::1O,1O:1O,,,1L,5,0.15001500150015
110,3,3,0,1,1,::1O,::,,,1L,5,0.15001500150015
111,4,2,0,1,1,::1O:1O,:,,,1L,5,0.15001500150015
112,3,2,0,1,1,:1O:1O,1N:1O,,,1L,5,0.15001500150015
113,2,5,0,1,1,1O:1O,:::1O:1O,,,1L,5,0.15001500150015
114,3,3,0,1,1,1O:1O:1O,::1O,,,1L,5,0.15001500150015
115,3,2,0,1,1,::1O,:1N,,,1L,5,0.15001500150015
116,0,5,1,1,2,,:1O:1O:1O:1O,1O,,1L:1L,5,0.15001500150015
117,5,1,0,1,2,::1O:1O:1O,1O,,,1L:1L,5,0.15001500150015
118,2,3,0,1,1,:1O,:1N1O:1O,,,1L,5,0.15001500150015
119,3,3,0,1,2,:1O:1O,:1O:1O,,,1L:1L,5,0.15001500150015
120,2,4,0,2,1,:1O,:::1O,,:::1S:1S:2S:2S:2S,1L,5,0.15001500150015
121,2,3,1,1,2,:1O,1O:1O:1O,1O,,1L:1L,5,0.15001500150015
122,4,2,0,1,1,:::1O,:1O,,,1L,5,0.15001500150015
123,2,4,1,1,1,:1O,::1O:1O,,,1L,5,0.15001500150015
124,5,2,0,1,0,::::,:,,,,5,0.15001500150015
125,1,4,0,1,1,1O,:1N:1O:1O,,,1L,5,0.15001500150015
126,5,1,0,1,1,:1O:1O:1O:1O,1O,,,1L,5,0.15001500150015
127,2,3,0,2,1,:1O,::1O,,:::1S:1S:2S:2S:2S,1L,5,0.15001500150015
128,2,4,1,1,1,:1O,:::1O,1O,,1L,5,0.15001500150015
129,3,3,1,1,1,:1O:1O,::1O,1O,,1L,5,0.15001500150015
130,4,2,0,2,1,::1O:1O,:1O,,:::1S:1S:2S:2S:2S,1L,4,0.12001200120012
131,2,3,0,1,1,:1O,1N:1O:1O,,,1L,4,0.12001200120012
132,4,2,0,1,0,:::1O,:,,,,4,0.12001200120012
133,4,2,0,1,1,:1O:1O:1O,1N:1O,,,1L,4,0.12001200120012
134,2,5,0,1,1,:1O,::1N:1O:1O,,,1L,4,0.12001200120012
135,3,2,0,1,1,1O:1O:1O,:1O,,,1L,4,0.12001200120012
136,2,5,0,1,1,:1O,::1O:1O:1O,,,1L,4,0.12001200120012
137,3,2,0,2,1,::,:1O,,:::1S:1S:2S:2S:2S,1L,4,0.12001200120012
138,1,5,1,1,2,1O,:1O:1O:1O:1O,1O,,1L:1L,4,0.12001200120012
139,4,2,1,1,1,:1O:1O:1O,:,1O,,1L,4,0.12001200120012
140,3,2,1,1,2,1O:1O:1O,1N1O:1O,1O,,1L:1L,4,0.12001200120012
141,5,2,0,1,1,::::1O,:1O,,,1L,4,0.12001200120012
142,1,5,0,1,1,1O,::1N:1O:1O,,,1L,4,0.12001200120012
143,4,2,0,1,1,::1O:1O,1N1O:1O,,,1L,4,0.12001200120012
144,2,4,0,1,1,:,:1N:1O:1O,,,1L,4,0.12001200120012
145,2,3,0,1,1,1O:1O,:1N:1O,,,1L,4,0.12001200120012
146,5,2,0,1,2,:1O:1O:1O:1O,1O:1O,,,1L:1L,4,0.12001200120012
147,1,5,0,1,2,,1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
148,1,6,0,1,2,1O,:1N1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
149,7,1,0,1,1,:::1O:1O:1O:1O,1O,,,1L,4,0.12001200120012
150,3,2,0,2,1,::1O,:1O,,:::1S:1S:2S:2S:2S,1L,4,0.12001200120012
151,3,4,0,1,1,:1O:1O,::1N1O:1O,,,1L,4,0.12001200120012
152,5,2,0,2,1,::::1O,:1O,,:::1S:1S:2S:2S:2S,1L,4,0.12001200120012
153,2,4,0,1,2,1O:1O,1N1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
154,1,4,0,1,2,1O,:1N1O:1O:1O,,,1L:1L,4,0.12001200120012
155,1,4,0,1,2,1O,1N1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
156,3,5,0,1,1,::1O,::1N:1O:1O,,,1L,4,0.12001200120012
157,3,3,0,2,1,:1O:1O,::1O,,:::1S:1S:2S:2S:2S,1L,4,0.12001200120012
158,4,3,0,1,1,::1O:1O,:1N1O:1O,,,1L,4,0.12001200120012
159,2,4,0,2,1,:1O,::1N:1O,,:::1S:1S:2S:2S:2S,1L,4,0.12001200120012
160,4,2,1,1,2,1O:1O:1O:1O,1O:1O,,,1L:1L,4,0.12001200120012
161,2,4,0,1,2,:1O,:1N1O:1O:1O,,,1L:1L,4,0.12001200120012
162,2,3,1,1,2,1O:1O,1O:1O:1O,1O,,1L:1L,4,0.12001200120012
163,3,3,1,1,1,::,:1O:1O,1O,,1L,4,0.12001200120012
164,5,3,0,1,1,:::1O:1O,:1O:1O,,,1L,4,0.12001200120012
165,2,4,0,1,1,:1O,:::1O,,,1L,4,0.12001200120012
166,3,4,0,1,2,:1O:1O,1N1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
167,3,3,1,1,1,::1O,:1O:1O,,,1L,4,0.12001200120012
168,3,3,1,1,1,::1O,:1O:1O,1O,,1L,4,0.12001200120012
169,2,4,0,1,1,:1O,1N:1N:1O:1O,,,1L,4,0.12001200120012
170,3,3,1,1,2,:1O:1O,1O:1O:1O,1O,,1L:1L,4,0.12001200120012
171,6,2,0,1,0,:::::,:,,,,4,0.12001200120012
172,3,4,0,1,1,::,::1O:1O,,,1L,4,0.12001200120012
173,3,4,0,1,1,1O:1O:1O,:::,,,1L,4,0.12001200120012
174,4,2,2,1,2,:1O:1O:1O,:1O,1O:1O,,1L:1L,4,0.12001200120012
175,4,3,0,1,1,::1O:1O,:1N:1O,,,1L,4,0.12001200120012
176,5,3,0,1,1,:::1O:1O,:1N:1O,,,1L,4,0.12001200120012
177,3,3,0,1,1,:1O:1O,:1N1O:1O,,,1L,4,0.12001200120012
178,1,4,1,1,2,1O,:1O:1O:1O,1O,,1L:1L,4,0.12001200120012
179,3,3,0,1,1,::1O,1O:1O:2N1O,,,1L,4,0.12001200120012
180,4,4,0,1,1,:::1O,:1N:1O:1O,,,1L,4,0.12001200120012
181,2,4,1,1,2,:1O,1O:1O:1O:1O,1O,,1L:1L,4,0.12001200120012
182,2,3,0,1,2,:1O,1N1O:1O:1O,,,1L:1L,4,0.12001200120012
183,1,4,1,1,1,1O,::1N:1O,1O,,1L,4,0.12001200120012
184,4,2,1,1,2,1O:1O:1O:1O,1O:1O,2O,,1L:1L,3,0.09000900090009
185,3,4,0,1,1,:1O:1O,:1N:1O:1O,,,1L,3,0.09000900090009
186,2,4,0,1,2,1O:1O,:1N1O:1O:1O,,,1L:1L,3,0.09000900090009
187,4,4,0,1,1,::1O:1O,::1N1O:1O,,,1L,3,0.09000900090009
188,4,2,0,1,1,:::1O,:,,,1L,3,0.09000900090009
189,4,3,0,1,1,:::,:1O:1O,,,1L,3,0.09000900090009
190,2,4,0,1,1,:1O,::1N:1O,,,1L,3,0.09000900090009
191,2,3,0,1,2,1O:1O,1N1O:1O:1O,,,1L:1L,3,0.09000900090009
192,4,3,0,1,2,:1O:1O:1O,1N1O:1O:1O,,,1L:1L,3,0.09000900090009
193,2,5,0,1,1,1O:1O,::1N:1O:1O,,,1L,3,0.09000900090009
194,4,3,0,1,1,:::1O,1N:1O:1O,,,1L,3,0.09000900090009
195,4,4,0,1,1,:1O:1O:1O,:::1O,,,1L,3,0.09000900090009
196,4,2,1,1,1,:::,1O:1O,1O,,1L,3,0.09000900090009
197,2,4,0,1,1,:,::1O:1O,,,1L,3,0.09000900090009
198,2,3,0,1,1,:,:1O:1O,,,1L,3,0.09000900090009
199,4,2,0,1,1,::1O:2O,:1O,,,1L,3,0.09000900090009
200,4,3,0,1,1,:::1O,::,,,1L,3,0.09000900090009
201,6,2,0,2,1,:::::1O,:1O,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
202,5,1,0,1,1,::::1O,1O,,,1L,3,0.09000900090009
203,4,3,0,1,1,::1O:2O,:1O:1O,,,1L,3,0.09000900090009
204,5,1,0,1,1,::::1O,,,,1L,3,0.09000900090009
205,3,2,0,1,1,:1O:1O,1O:2N1O,,,1L,3,0.09000900090009
206,4,3,0,1,0,:::,::1N,,,,3,0.09000900090009
207,2,5,0,1,2,1O:1O,1N1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
208,2,4,1,1,2,1O:1O,::1O:1O,1O,,1L:1L,3,0.09000900090009
209,4,2,1,1,2,:1O:1O:1O,1O:1O,2O1S,,1L:1L,3,0.09000900090009
210,4,2,1,1,2,:1O:1O:1O,1O:1O,2O,,1L:1L,3,0.09000900090009
211,2,5,0,1,2,:1O,:1N1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
212,2,5,0,1,2,:1O,::1O:1O:1O,,,1L:1L,3,0.09000900090009
213,2,5,1,1,2,:1O,:1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
214,2,6,0,1,1,1O:1O,:::::1O,,,1L,3,0.09000900090009
215,2,6,0,1,2,:,:1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
216,5,1,0,1,1,::1O:1O:1O,,,,1L,3,0.09000900090009
217,4,4,0,1,0,:::1O,:::,,,,3,0.09000900090009
218,2,4,0,2,1,:,:::1O,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
219,4,3,0,1,1,::1O:1O,::,,,1L,3,0.09000900090009
220,2,3,1,1,1,:1O,:1O:1O,,,1L,3,0.09000900090009
221,4,2,1,1,1,::1O:1O,:,1O,,1L,3,0.09000900090009
222,3,1,0,1,2,1O:1O:1O,1O,,,1L:1L,3,0.09000900090009
223,4,2,0,1,2,:1O:1O:2O,1O:1O,,,1L:1L,3,0.09000900090009
224,2,3,1,1,1,:1O,:1O:2N,1O,,1L,3,0.09000900090009
225,4,2,0,1,2,:1O:1O:1O,:1O,,,1L:1L,3,0.09000900090009
226,2,3,1,1,1,:1O,::1N1O,1O,,1L,3,0.09000900090009
227,2,4,0,1,2,:1O,1N1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
228,3,2,0,1,1,:1O:1O,1O:1O,,,1L,3,0.09000900090009
229,5,2,0,1,0,::::,:1N,,,,3,0.09000900090009
230,2,4,0,1,1,:,:1O:1O:1O,,,1L,3,0.09000900090009
231,4,1,0,1,1,::1O:1O,1N1O,,,1L,3,0.09000900090009
232,3,4,0,2,1,::1O,:::1O,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
233,3,4,0,2,2,:1O:1O,:1O:1O:1O,,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
234,3,3,0,2,2,:1O:1O,1O:1O:1O,,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
235,3,3,0,2,2,:1O:1O,1O:1O:1O,,::1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
236,7,2,0,1,1,::::1O:1O:1O,:1O,,,1L,3,0.09000900090009
237,1,5,0,1,2,1O,::1N1O:1O:1O,,,1L:1L,3,0.09000900090009
238,5,4,0,1,1,::::1O,::1O:1O,,,1L,3,0.09000900090009
239,3,2,1,1,2,1O:1O:1O,1O:1O,,,1L:1L,3,0.09000900090009
240,5,2,0,1,2,:1O:1O:1O:2O,1O:1O,,,1L:1L,3,0.09000900090009
241,3,3,0,2,1,::,::1O,,:1S:1S:2S:2S:2S:2S:3S,1L,3,0.09000900090009
242,3,5,0,1,1,:1O:1O,::::1O,,,1L,3,0.09000900090009
243,3,5,0,1,1,::,:::1O:1O,,,1L,3,0.09000900090009
244,4,1,0,1,1,:::1O,,,,1L,3,0.09000900090009
245,4,1,0,1,1,:1O:1O:1O,1O,,,1L,3,0.09000900090009
246,6,1,0,1,1,:::1O:1O:1O,,,,1L,3,0.09000900090009
247,3,5,0,1,2,:1O:1O,:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
248,1,4,1,1,2,1O,:1N1O:1O:1O,1O,,1L:1L,3,0.09000900090009
249,5,2,1,1,1,:::1O:1O,:1O,,,1L,3,0.09000900090009
250,1,4,1,1,2,1O,1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
251,5,3,0,1,1,::::1O,::1O,,,1L,3,0.09000900090009
252,3,3,0,1,1,:1O:1O,:1O:2N,,,1L,3,0.09000900090009
253,4,2,0,1,1,::1O:1O,:1N1O,,,1L,3,0.09000900090009
254,3,3,0,1,2,1O:1O:1O,:1O:1O,,,1L:1L,3,0.09000900090009
255,3,3,0,1,2,1O:1O:1O,1N1O:1O:1O,,,1L:1L,3,0.09000900090009
256,1,4,1,1,2,,:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
257,1,4,1,1,2,,1O:1O:1O:1O,2O,,1L:1L,3,0.09000900090009
258,5,2,1,1,1,::::1O,:1O,1O,,1L,3,0.09000900090009
259,3,3,0,1,1,::1O,:1N:1O,,,1L,3,0.09000900090009
260,6,2,0,1,1,:::::1O,1O:1O,,,1L,3,0.09000900090009
261,1,5,0,1,2,1O,:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
262,5,2,0,1,1,:::1O:1O,:1N1O,,,1L,3,0.09000900090009
263,4,2,0,1,0,:::,:,,,,3,0.09000900090009
264,3,2,0,1,2,:1O:1O,1N1O:1O,,,1L:1L,3,0.09000900090009
265,3,4,0,1,1,::,:1O:1O:1O,,,1L,3,0.09000900090009
266,5,2,0,1,1,::1O:1O:1O,1O:1O,,,1L,3,0.09000900090009
267,0,6,1,1,2,,:1O:1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
268,3,2,0,1,1,::1O,:1O,,,1L,3,0.09000900090009
269,4,2,0,1,1,::1O:1O,1O:2N,,,1L,3,0.09000900090009
270,3,3,2,1,2,:1O:1O,:1O:1O,1O:1O,,1L:1L,3,0.09000900090009
271,5,1,1,1,1,:::1O:1O,1O,,,1L,3,0.09000900090009
272,6,1,0,1,2,:1O:1O:1O:1O:1O,1O,,,1L:1L,3,0.09000900090009
273,3,4,0,1,1,::1O,:1O:1O:2N1O,,,1L,3,0.09000900090009
274,3,2,0,2,1,:1O:1O,:1O,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
275,3,2,0,1,1,:1O:1O,:1N1O,,,1L,3,0.09000900090009
276,3,4,0,1,2,:1O:1O,:1N1O:1O:1O,,,1L:1L,3,0.09000900090009
277,3,4,0,1,1,:1O:1O,::1N:1O,,,1L,3,0.09000900090009
278,2,4,0,1,1,:,::1N:1O,,,1L,2,0.06000600060006
279,4,3,0,1,0,:::1O,::1N,,,,2,0.06000600060006
280,7,2,0,1,1,:::::1O:1O,:1O,,,1L,2,0.06000600060006
281,3,4,0,1,1,::1O,:1N:1N1O:1O,,,1L,2,0.06000600060006
282,2,4,1,1,1,1O:1O,:::1O,,,1L,2,0.06000600060006
283,3,3,0,1,2,1O:1O:2O,:1O:1O,,,1L:1L,2,0.06000600060006
284,3,3,0,1,2,:1O:1O,:1N1O:1O,,,1L:1L,2,0.06000600060006
285,4,3,0,1,0,:::,::2N1O,,,,2,0.06000600060006
286,3,5,0,1,2,1O:1O:1O,:1O:1O:1O:1O,,,1L:1L,2,0.06000600060006
287,3,5,0,1,2,::1O,1N1O:1O:1O:1O:1O,,,1L:1L,2,0.06000600060006
288,4,2,2,1,2,1O:1O:1O:1O,:1O,:1O,,1L:1L,2,0.06000600060006
289,3,4,0,1,0,::,:::2N,,,,2,0.06000600060006
290,2,4,1,1,1,:1O,:::1N1O,1O,,1L,2,0.06000600060006
291,3,3,0,1,1,::2O,::1O,,,1L,2,0.06000600060006
292,2,4,1,1,2,1O:1O,1O:1O:1O:1O,,,1L:1L,2,0.06000600060006
293,2,4,1,1,2,1O:1O,:1O:1O:1O,1O,,1L:1L,2,0.06000600060006
294,3,3,0,1,1,::2O,:1O:1O,,,1L,2,0.06000600060006
295,4,3,0,1,1,:1O:1O:1O,::,,,1L,2,0.06000600060006
296,3,3,0,2,1,1O:1O:1O,::1O,,:::1S:1S:2S:2S:2S,1L,2,0.06000600060006
297,4,3,0,1,1,:1O:1O:2O,::,,,1L,2,0.06000600060006
298,3,3,0,2,1,:1O:1O,::,,1S:1S:1S:1S:2S:2S:2S:2S,1L,2,0.06000600060006
299,2,4,0,1,2,1O:1O,1N1O:1N1O:1O:1O,,,1L:1L,2,0.06000600060006
300,3,3,1,1,1,::,:1O:1O,,,1L,2,0.06000600060006
301,3,4,0,1,2,::1O,:1O:1O:1O,,,1L:1L,2,0.06000600060006
302,3,4,0,2,1,:1O:1O,:::,,1S:1S:1S:1S:2S:2S:2S:2S,1L,2,0.06000600060006
303,3,3,1,1,1,::1O,:1N1O:1O,1O,,1L,2,0.06000600060006
304,3,3,1,1,1,::1O,:1N:1O,1O,,1L,2,0.06000600060006
305,2,4,0,1,2,:,:1O:1O:1O,,,1L:1L,2,0.06000600060006
306,3,4,0,1,1,::2O,:::1O,,,1L,2,0.06000600060006
307,3,3,0,2,2,:1O:1O,1N1O:1O:1O,,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
308,3,4,1,1,2,:1O:1O,:1O:1O:1O,1O,,1L:1L,2,0.06000600060006
309,2,4,0,1,1,:1O,:1O:1O:2N,,,1L,2,0.06000600060006
310,3,5,0,1,0,::,::::,,,,2,0.06000600060006
311,3,3,1,1,1,::1O,::1O,2O1S,,1L,2,0.06000600060006
312,3,5,0,2,1,::1O,::::1O,,:::1S:1S:2S:2S:2S,1L,2,0.06000600060006
313,3,3,0,2,1,::1O,::1N1O,,:::1S:1S:2S:2S:2S,1L,2,0.06000600060006
314,3,3,1,1,1,::2O,::1O,1O,,1L,2,0.06000600060006
315,2,4,0,1,2,:1O,:1O:1O:2N1O,,,1L:1L,2,0.06000600060006
316,3,3,1,1,2,1O:1O:1O,1N1O:1O:1O,,,1L:1L,2,0.06000600060006
317,6,3,0,1,1,::::1O:1O,::1O,,,1L,2,0.06000600060006
318,3,3,1,1,2,1O:1O:1O,1O:1O:1O,,,1L:1L,2,0.06000600060006
319,3,5,0,1,1,1O:1O:1O,::::1O,,,1L,2,0.06000600060006
320,4,3,0,1,1,::1O:1O,::1N1O,,,1L,2,0.06000600060006
321,3,5,0,1,1,:1O:1O,:::1O:1O,,,1L,2,0.06000600060006
322,4,3,0,1,1,::1O:1O,:1O:2N1O,,,1L,2,0.06000600060006
