,num_dol,num_tfee,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfee,atoms_tfsi,atoms_ps,atoms_li,count,%
1111,3,0,2,2,3,:1O:1O,,1O:3O2S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1112,3,0,2,2,3,:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1113,3,0,2,2,3,1O:1O:1O,,1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1114,3,0,2,2,3,1O:1O:1O,,1N2O1S:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
1115,3,0,3,1,2,1O:1O:1O,,:1N3O2S:2O,,1L:1L,1,0.03000300030003
1116,3,0,3,1,2,1O:1O:2O,,1O:1O1S:2O,,1L:1L,1,0.03000300030003
1117,3,0,3,2,2,1O:1O:1O,,1O:1O:1O1S,2S:2S:2S:2S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1118,3,0,3,1,2,:1O:2O,,2O:2O:2O1S,,1L:1L,1,0.03000300030003
1119,3,0,3,2,2,1O:1O:1O,,1O:1O:1O1S,1S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1120,3,0,3,2,2,1O:1O:1O,,1O:1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1121,3,0,3,2,2,1O:1O:1O,,1O:1O:1O,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1122,3,0,3,2,2,1O:1O:1O,,1O:1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1123,3,0,3,2,2,1O:1O:1O,,1O:1O:1O,1S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1124,3,0,3,2,2,1O:1O:1O,,1O:1O1S:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1125,3,0,3,2,2,1O:1O:1O,,1O:1O1S:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1126,3,0,3,2,2,1O:1O:1O,,1O:1O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1127,3,0,3,2,2,1O:1O:1O,,1N1O1S:1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1128,3,0,3,1,2,:1O:2O,,2O:2O1S:3O1S,,1L:1L,1,0.03000300030003
1129,3,0,3,1,2,1O:1O:2O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1130,3,0,3,1,2,:1O:2O,,1O:1O:2O,,1L:1L,1,0.03000300030003
1131,3,0,3,1,2,:1O:2O,,1N3O2S:1O:2O1S,,1L:1L,1,0.03000300030003
1132,3,0,3,1,2,:1O:1O,,1O:2O:3O1S,,1L:1L,1,0.03000300030003
1133,3,0,3,1,2,:1O:1O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
1134,3,0,3,1,2,:1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
1135,3,0,3,1,2,1O:2O:2O,,1O:1O:1O,,1L:1L,1,0.03000300030003
1136,3,0,3,1,2,1O:1O:2O,,:1O:1O,,1L:1L,1,0.03000300030003
1137,3,0,3,1,2,1O:1O:2O,,:1N2O2S:1O,,1L:1L,1,0.03000300030003
1138,3,0,3,1,2,1O:1O:2O,,1O:1O:2O,,1L:1L,1,0.03000300030003
1139,3,1,1,2,2,1O:1O:1O,,1N1O1S,1S:1S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1140,3,1,1,2,2,1O:1O:1O,,1N1O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1141,3,1,1,2,2,1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1142,3,2,0,1,1,:1O:2O,:,,,1L,1,0.03000300030003
1143,3,3,0,1,1,1O:1O:1O,::,,,1L,1,0.03000300030003
1144,3,2,3,2,2,1O:1O:1O,:,:1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1145,3,2,2,1,2,1O:1O:1O,:,2O:2O1S,,1L:1L,1,0.03000300030003
1146,3,2,2,1,2,1O:1O:1O,:,2O:2O,,1L:1L,1,0.03000300030003
1147,3,2,2,1,2,1O:1O:1O,:,2O1S:3O2S,,1L:1L,1,0.03000300030003
