num_dol,num_dme,num_tfsi,num_ps,num_li,atoms_dol,atoms_dme,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,0,9,1,1O:1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,8,0.0404122044857547,Cluster_062_063.xyz
1,1,0,1,1,1O,1O,,1S,,7,0.03536067892503536,Cluster_053_165.xyz
1,1,0,1,1,1O,1O,,2S,,7,0.03536067892503536,Cluster_008_063.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:1S:1S:2S:2S,,7,0.03536067892503536,Cluster_071_087.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:3S:3S:4S:4S:4S,,7,0.03536067892503536,Cluster_080_063.xyz
1,0,0,9,1,1O,,,1S:1S:1S:2S:2S:3S:3S:3S:3S,,7,0.03536067892503536,Cluster_055_063.xyz
0,2,2,0,1,,2O:2O,1O:1O,,,6,0.030309153364316024,Cluster_076_030.xyz
2,0,0,1,1,1O:1O,,,1S,,6,0.030309153364316024,Cluster_062_020.xyz
1,1,0,0,1,1O,2O,,,,6,0.030309153364316024,Cluster_081_100.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:2S:2S:2S:2S,,6,0.030309153364316024,Cluster_020_188.xyz
2,0,0,1,1,1O:1O,,,2S,,5,0.025257627803596687,Cluster_062_122.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,5,0.025257627803596687,Cluster_035_147.xyz
1,2,0,1,1,1O,1O:1O,,1S,,5,0.025257627803596687,Cluster_077_109.xyz
2,1,1,0,1,1O:1O,2O,2O,,,5,0.025257627803596687,Cluster_081_150.xyz
0,1,1,0,1,,2O,2O,,,5,0.025257627803596687,Cluster_026_150.xyz
1,2,1,0,1,1O,1O:1O,1O,,,5,0.025257627803596687,Cluster_096_081.xyz
1,1,0,1,1,1O,2O,,3S,,5,0.025257627803596687,Cluster_018_017.xyz
0,2,0,1,1,,1O:1O,,1S,,5,0.025257627803596687,Cluster_001_085.xyz
1,1,2,0,1,1O,1O,1O:1O,,,5,0.025257627803596687,Cluster_071_034.xyz
1,0,1,1,1,1O,,2O,1S,,5,0.025257627803596687,Cluster_099_040.xyz
0,1,2,0,1,,2O,2O:2O,,,4,0.02020610224287735,Cluster_011_154.xyz
1,1,1,1,1,1O,1O,1O,2S,,4,0.02020610224287735,Cluster_012_077.xyz
