,r ($\AA$),g_full(r),O (DOL),O (DOL),S (SL),O (SL),O (SL),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.0226966878419111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,1.3695909593998803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,7.751471244053548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,4.738069149604025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.2970648114598488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0039228269441665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.1769280925509202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,0.8170729594201471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.4711320373612138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,1.700849018834893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,1.3771355692959195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,1.160556358405733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.6959935926039137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.189108076755635,0.0,0.0,0.0,0.0120186422490961,0.0360559267472883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.3816464953192914,0.0497264717859275,0.0165754905953091,0.0,0.4750986771815247,0.4637868039152977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.7647355079111822,0.4454146708990678,0.4219717934833274,0.0,6.95401131094242,7.231318510458528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.092770377242156,1.505577105821056,1.291548987836691,0.0,29.63559412311249,31.75098323455153,0.0,0.0785715955677353,0.0392857977838676,0.1571431911354707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.9493359451821282,2.4923761108184808,2.5482276763270195,0.0,56.91621532087913,59.62242746739344,0.0,0.8175809935595899,0.7432554486905363,0.4087904967797949,0.7432554486905363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4223612299543287,3.19460463510525,3.0887792227622204,0.0,64.33908505029554,65.81056966699238,0.0,1.3730847251508282,1.1970482219263636,1.1618409212814704,1.3730847251508285,0.2773908535658239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3042113466323176,2.999440693371494,2.616666881037475,0.0,51.52504091767744,53.24653912652936,0.0,1.1022727337275742,1.603305794512835,1.903925630983992,1.5699035904604843,0.7895066412373809,0.0,0.0,0.0,0.0,1.5790132824747616,0.0,0.0,0.0
39,1.975,0.5453916654502405,2.2414482471412804,2.3785581133227938,0.0,32.64374152467227,33.99440480809591,0.0,1.967411939348392,1.71355233427118,2.157806643156301,1.8722145874444376,5.750304690764123,0.0,0.0,0.0,0.0,5.125271572202805,0.0,0.0,0.0
40,2.025,0.9258987228132188,1.5820869576101677,1.6614748336192795,0.0,18.74556008739033,19.256380469623096,0.0301848407682998,1.237578471500295,1.629981401488194,1.7205359237930935,1.6601662422564936,23.187445862921276,0.0,0.0,0.0,0.0,18.90668662668965,0.0,0.0,0.0
41,2.075,1.2965997642528846,0.993708199877173,1.026111728134038,0.0,10.452385444844747,10.54821126345052,0.0,1.0636665865240449,1.5236305158317394,1.408639533504816,0.91992785861539,41.10927618187525,0.0,0.0,0.0,0.0,40.88277879244344,0.0,0.0,0.0
42,2.125,1.5937826837773683,0.6642783088797181,0.5046455369783904,0.0,5.468120710386782,5.693030559657192,0.0,0.7400939727554344,1.1238464030730675,1.0690246273134056,0.7126830848756036,58.09446964592045,0.323946856761638,0.0,0.0,0.323946856761638,53.55921365125751,0.0,0.0,0.0
43,2.1750000000000003,1.7039142439441382,0.491541983744989,0.5013728234198889,0.0,3.0458927406152965,3.0660197851568074,0.0,0.6541289475991005,0.9681108424466688,0.7587895792149566,0.7064592634070286,51.43435737061047,1.0307486447016128,0.3092245934104837,0.0,0.3092245934104837,50.50668359037906,0.0,0.0,0.0
44,2.225,1.5464833254186283,0.3804564739595092,0.281819610340377,0.0,1.442449484878262,1.7758155880501263,0.0,0.4500442392820176,0.5500540702335769,0.7500737321366957,0.6000589857093566,41.564691863655696,1.280428896273754,0.0,0.0984945304825964,0.6894617133781752,40.18576843689935,0.0,0.0,0.0
45,2.275,1.1568294630136071,0.256090128768406,0.1931907988954643,0.0,0.9136973942715269,0.9075651969945367,0.0,0.3826491100841828,0.5500580957460128,0.50222695698549,0.3348179713236598,30.053898854528544,1.9784698305488988,0.1884256981475142,0.0,1.3189798870325995,30.053898854528544,0.0,0.0,0.0
46,2.325,0.8602561911518369,0.2107811133718123,0.1849711811222027,0.0,0.6517135160936945,0.5284163644002927,0.045796084914692,0.4579608491469207,0.3434706368601904,0.641145188805689,0.618247146348343,24.3551906137226,1.1726573258459028,0.4510220484022703,0.0,1.804088193609081,18.852721623214897,0.0,0.090204409680454,0.0
47,2.375,0.7358515523402513,0.1113060477566083,0.14428561746227,0.0,0.3713616636087232,0.3713616636087232,0.0219440983041518,0.2194409830415183,0.3949937694747329,0.3730496711705811,0.4388819660830366,12.102502701077674,3.5443043624584605,0.2593393435945215,0.0,2.420500540215535,12.188949148942514,0.0,0.0,0.0
48,2.4250000000000003,0.7080684271097668,0.0790841389179623,0.0751299319720642,0.0,0.2536619856181269,0.2860443667608665,0.0,0.2525825729133688,0.3157282161417111,0.1894369296850266,0.3157282161417111,7.628503969807815,1.907125992451952,0.1658370428219088,0.1658370428219088,2.404637120917678,6.716400234287314,0.0,0.0,0.0
49,2.475,0.7550927838240772,0.0835133240618237,0.0721251435079386,0.0103624207012339,0.227973255427148,0.20724841402468,0.0,0.1010336018370315,0.3233075258785008,0.2222739240414693,0.2828940851436882,5.810962917778356,2.865680343013987,0.2388066952511653,0.1592044635007769,2.626873647762821,5.174145063775254,0.0,0.0,0.0
50,2.5250000000000004,0.8640030684973781,0.0802387197985186,0.0838859343348149,0.0298683131256454,0.1493415656282272,0.1144952003149742,0.0,0.1747296317850259,0.1941440353166955,0.2329728423800345,0.3106304565067126,3.059239344384291,3.3651632788227213,0.2294429508288218,0.2294429508288218,3.3651632788227204,2.7533154099458628,0.0,0.0,0.0
51,2.575,0.9375752832857284,0.0841669124057901,0.059618229620768,0.0430795143378748,0.1292385430136245,0.1244519303094161,0.0,0.2426812641033617,0.2800168431961866,0.1120067372784746,0.2613490536497741,2.059113756028524,3.824068404052968,0.1470795540020373,0.1470795540020373,3.971147958055006,2.059113756028523,0.0,0.0,0.0
52,2.625,1.0142226342282548,0.0539941244014086,0.0607433899515847,0.1289682143000116,0.0690901148035776,0.0690901148035776,0.0,0.2694514477339528,0.3053783074318131,0.1616708686403717,0.2514880178850227,0.9907103734864529,5.590437107530695,0.283060106710415,0.283060106710415,3.7505464139129976,1.0614754001640567,0.0,0.0,0.0
53,2.6750000000000003,1.0806284396072805,0.0422455921070966,0.0552442358323571,0.2749969479233613,0.1374984739616808,0.0931441275224288,0.0,0.1729819511130822,0.2767711217809315,0.1902801462243904,0.242174731558315,1.2265992897109463,5.4515523987153145,0.3407220249197073,0.3407220249197073,4.83825275385984,0.6132996448554732,0.0,0.0681444049839414,0.0229465853517353
54,2.725,0.9818249403523754,0.0626300940796835,0.0845506270075728,0.4060456000787374,0.1410474189747192,0.1111282694952333,0.0,0.2167001255157051,0.2167001255157051,0.2167001255157051,0.2667078467885602,0.8536671611224743,4.859336147927936,0.2626668188069153,0.1970001141051864,4.859336147927938,0.7880004564207457,0.0,0.0,0.0
55,2.7750000000000004,0.8377918307955332,0.0785116111727386,0.0875706432311315,0.8201848696233874,0.0865521721713123,0.0659445121305236,0.0,0.1446657734863362,0.2893315469726724,0.1928876979817816,0.241109622477227,0.3166085951721163,4.495842051444052,0.8865040664819258,0.3166085951721163,4.432520332409629,0.3166085951721163,0.0,0.0633217190344232,0.0
56,2.825,0.7797477170019056,0.0786708402698633,0.0670159009706243,1.5510034605910374,0.1073771626563026,0.1272618224074697,0.0,0.2326505190886556,0.1395903114531934,0.2946906575122971,0.2791806229063867,0.5499012269368225,5.437912133041913,0.1833004089789408,0.305500681631568,4.215909406515639,0.3666008179578816,0.0611001363263136,0.0611001363263136,0.0
57,2.875,0.7881764567870493,0.0562654267914164,0.0815848688475539,2.6110709300758312,0.1382331668863677,0.1420729770776556,0.0299505194920463,0.1647278572062547,0.2096536364443241,0.1797031169522778,0.1797031169522778,0.2359737899373346,5.132429931137025,0.5899344748433365,0.4129541323903355,6.253305433339363,0.1769803424530009,0.0,0.0589934474843336,0.0
58,2.9250000000000003,0.825224587673503,0.0978449579253246,0.0652299719502164,4.42191449562322,0.1595153719058711,0.1632250317176355,0.0,0.2604181187858641,0.3182888118493894,0.2459504455199827,0.2893534653176267,0.170981593142234,6.0983434887396815,0.2849693219037233,0.512944779426702,5.129447794267019,0.0,0.0,0.0569938643807446,0.0191918114751487
59,2.975,0.8667827466420203,0.0893291127186613,0.0788198053399953,6.935355190076608,0.1793008063618565,0.2330910482704136,0.0419563886886744,0.223767406339597,0.2377528692358218,0.1818110176509225,0.2377528692358218,0.1652827433190205,5.344142033981661,0.9916964599141233,0.3856597344110478,4.627916812932575,0.2754712388650341,0.1101884955460136,0.1101884955460136,0.0
60,3.0250000000000004,0.9030641422665424,0.1118124843235527,0.0660710134639175,10.68977071302453,0.2774762028040111,0.2289178673133092,0.0405808946600866,0.2164314381871286,0.2570123328472152,0.1623235786403465,0.1082157190935643,0.2664402174652151,5.64853261026256,0.7993206523956454,0.9058967393817317,4.1564673924573565,0.159864130479129,0.053288043493043,0.159864130479129,0.0
61,3.075,0.9363019176926378,0.0909913652451318,0.1229613043853134,15.436896840106304,0.2785958768708027,0.2953787610196462,0.0654532481804898,0.2225410438136656,0.2749036423580575,0.3403568905385475,0.2094503941775676,0.1547076775175215,5.156922583917381,0.7219691617484338,0.5672614842309123,4.950645680560687,0.0515692258391738,0.1031384516783476,0.1031384516783476,0.0173651474764564
62,3.125,0.9680710515613644,0.104771131526319,0.116676941927037,20.484926029728744,0.3510030162161996,0.4062534909909718,0.0253502178378366,0.2154768516216113,0.2915275051351212,0.2661772872972847,0.3042026140540396,0.0998644945126897,5.742208434479663,1.198373934152276,0.8987804506142073,5.093089220147174,0.1497967417690345,0.1497967417690345,0.0499322472563448,0.0
63,3.1750000000000003,0.9677941561496524,0.1153378458179839,0.1107243319852645,26.793504812403985,0.4691224696883898,0.4376377401791019,0.0736742670517336,0.2701389791896901,0.3315342017328015,0.2455808901724455,0.4052084687845352,0.1451159805564451,4.595339384287425,1.015811863895116,1.1125558509327464,4.25673542965572,0.048371993518815,0.0,0.1451159805564451,0.016288528429805
64,3.225,0.9286196904747496,0.1296755571026179,0.1542691972427695,29.576151996582087,0.5401340180968873,0.5706500643170501,0.0714075481551816,0.2618276765689993,0.3332352247241809,0.4284452889310897,0.4165440309052262,0.0,4.688374373825061,1.0783261059797629,0.750139899812009,4.125769448966054,0.2344187186912529,0.0468837437382505,0.1875349749530023,0.0
65,3.2750000000000004,0.8882449948295934,0.140922577664377,0.1474266966335021,28.12365647885267,0.6658062613364741,0.7161116233041188,0.0807844930421587,0.3693005396212973,0.3577598977581318,0.2885160465791386,0.4039224652107939,0.2273156730623516,5.09187107659668,1.045652096086817,0.8637995576369357,4.455387192022095,0.1363894038374109,0.2273156730623516,0.0909262692249406,0.015309014716444
66,3.325,0.8741216907573397,0.1367162506307527,0.145129558361876,21.63731827203022,0.8641147405971994,0.7952152263967581,0.0559808552878584,0.2015310790362905,0.3358851317271509,0.257511934324149,0.4254545001877245,0.0882122568172315,4.542931226087423,1.5437144943015526,1.14675933862401,4.322400584044346,0.1764245136344631,0.1764245136344631,0.1323183852258473,0.0297041272955983
