,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFPG),O (TFPG),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
43,2.1750000000000003,1.5111312566009862,0.933357550954831,0.9718465221282256,4.519109989149019,2.4778694868039293,0.0,2.8939265287257685,3.482955822183225,3.0988062829718404,2.970756436568045,78.38978778937788,1.614204124362993,0.0,0.2017755155453741,1.614204124362993,89.79010441769145,0.0,0.0,0.0
44,2.225,1.2850033708981463,0.6068475297588791,0.6298341786133821,2.6806803795935945,1.387278173097075,0.0244719400112555,1.639619980754121,2.324834301069276,2.0556429609454647,2.251418481035509,51.383658284239225,2.1209014676421427,0.4820230608277599,0.4820230608277599,2.7957337528010062,64.88030398741653,0.0,0.0,0.0
45,2.275,1.0496399600443351,0.3693881562050101,0.3605932001048908,1.706106139736584,0.7882010821005271,0.0,1.6151598610326772,1.4747111774646184,1.6853842028167072,1.4513030635366082,34.58016830274174,4.057406414188366,0.3688551285625789,0.0922137821406447,4.241833978469655,40.94291927044622,0.0,0.0,0.0
46,2.325,0.9203173416764104,0.2863058516242626,0.2652539507695374,1.3373823965939524,0.5158474958290961,0.0,1.2102575863682627,1.0533723436908955,1.1654332313175864,1.5240280717229977,18.187821640259283,4.591100608220799,0.5297423778716304,0.882903963119384,5.385714175028243,22.07259907798459,0.0,0.0,0.0
47,2.375,0.8492840128288096,0.1613989432348675,0.1856087847200976,0.8697021744475577,0.347880869779023,0.0214784747535631,0.945052889156779,0.8376605153889631,0.7302681416211474,0.7517466163747105,12.184152951112187,5.499791262654804,0.6768973861728993,0.2538365198148372,8.291992980618017,12.522601644198629,0.0,0.0,0.0
48,2.4250000000000003,0.7928962573252836,0.1664230771239308,0.1393309482898025,0.860552603754213,0.1141549372327016,0.0,0.8240770616798576,0.7210674289698755,0.9476886209318364,0.8240770616798576,6.16809194651288,7.791274037700479,0.6492728364750396,0.2434773136781398,7.791274037700484,5.599978214597216,0.0,0.0,0.0
49,2.475,0.812813835536123,0.1188964164610876,0.1300429555043146,0.5900965587474475,0.0842995083924924,0.0,0.6724506938693435,0.5933388475317736,0.6131168091161661,0.5735608859473811,3.350266825962236,7.24592592591832,0.7012186379920964,0.6233054559929746,10.28454002388407,3.6619195539587226,0.0,0.0,0.0
50,2.5250000000000004,0.8929158654884016,0.0571172106525588,0.0821059903130533,0.3725727560434943,0.0890934851408356,0.0,0.3800491324189491,0.6460835251122135,0.6080786118703185,0.4940638721446338,2.1708867109385417,7.63553256950797,0.5240071371230963,0.9731561118000362,8.908121331092634,1.946312223600072,0.0748581624461566,0.0748581624461566,0.0
51,2.575,0.9769369156354808,0.0892460902842695,0.0617857548121866,0.3270931107215646,0.0856672432842193,0.0182716847564244,0.5481505426927322,0.3654336951284881,0.4750638036670346,0.4567921189106101,1.5115666480314736,8.493564974653049,0.8637523703036989,0.791773006111724,10.29304907945242,1.0796904628796236,0.0,0.0,0.0
52,2.625,0.9984805220022842,0.0528484434275882,0.0726666097129339,0.2922692195130642,0.0674467429645532,0.0175822706018707,0.562632659259863,0.3164808708336729,0.2988986002318021,0.369227682639285,0.6926349024979374,10.043206086220078,0.9004253732473186,0.4848444317485562,9.696888634971112,0.9004253732473186,0.0692634902497937,0.0,0.0
