,r ($\AA$),g_full(r),O (DOL),O (DOL),S (EMS),O (EMS),O (EMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
78,3.925,0.9530368472198278,0.4344399276184211,0.4874204065962775,0.0684903686478572,3.684378948733265,3.619917425299988,0.5559806396120184,0.4915191161787408,0.4189999023163034,0.4109422118871438,0.4270575927454633,0.3491665852635862,2.1902267621079496,2.094999511581517,2.190226762107949,2.698105431582257,0.317424168421442,0.476136252632163,0.3809090021057304,0.3847958286578296
79,3.975,0.9608905393446968,0.5121327082774101,0.5077050479752999,0.0608860056415817,3.666908791381713,3.572633685872167,0.5499381154723507,0.4870880451326534,0.361387904453259,0.3692441632457212,0.4006691984155698,0.4642334741000365,2.228320675680175,1.702189405033467,1.5783938119401235,2.073576184313496,0.2785400844600219,0.4951823723733722,0.3713867792800292,0.4064411436508484
80,4.025,0.9657809689003818,0.5700210093337307,0.5556265394010604,0.03831143535926,3.660657648577303,3.77942309819101,0.651294401107421,0.4520749372392686,0.4061012148081565,0.5133732338140847,0.4061012148081566,0.2716629052747532,2.3544118457145293,1.7205317334067716,1.8714555696705235,1.931825104176024,0.4225867415385049,0.5735105778022567,0.4829562760440056,0.6505125350796813
81,4.075,0.9656921800622874,0.565949137623816,0.4999451439059022,0.0579344383484734,3.730230288501711,3.67790240870309,0.5158033865864093,0.4036722155893636,0.4933771523870003,0.463475506787788,0.4560000953879849,0.3828316747171854,1.97305555431165,2.0025041446745107,2.238092867577393,1.97305555431165,0.4417288554429062,0.5300746265314875,0.4417288554429062,0.8528071372428354
82,4.125,0.964129193288954,0.5016038871920244,0.5454599647607261,0.0601861410672397,3.600225529294889,3.673178427558208,0.6930525335015486,0.5544420268012391,0.5617373166275709,0.4668985488852538,0.4668985488852539,0.5173023695035485,1.781819272734446,2.04047045748622,1.954253395902295,2.241643601182045,0.3736072668636738,0.6609974721434233,0.5460413900315235,0.7354843212669492
83,4.175,0.972736166028254,0.4869857625176518,0.4736070327781559,0.103263210927771,3.6605027873706417,3.660502787370644,0.7833760829003316,0.4985120527547566,0.4629040489865596,0.4201744444647236,0.4201744444647234,0.5891506078010761,1.683287450860219,1.430794333231186,1.9638353593369229,1.7955066142509004,0.2244383267813624,0.476931444410395,0.645260189496417,1.0580663976835654
84,4.2250000000000005,0.9837849869443042,0.436335956523908,0.4049824746179988,0.0764944564960844,3.630009662814189,3.6786879533116994,0.695404149964404,0.5980475689693875,0.5980475689693873,0.5493692784718793,0.5354611954725911,0.4657100519458586,1.7258666630934765,1.7532613720314685,2.4381290954812607,1.6436825362795011,0.3835259251318835,0.7396571413257753,0.6026835966358172,1.0885203735157092
85,4.275,0.9894426426192084,0.4134289195539461,0.4057728284510952,0.0696213515288732,3.695025876264102,3.5201234565696136,0.6656480438858119,0.5909324471231188,0.5162168503604256,0.5026321964035724,0.5841401201446921,0.4281224277311348,1.2040943279938157,1.953308576523302,1.953308576523302,1.605459103991755,0.5619106863971144,0.3210918207983511,0.7224565967962899,1.5047083540983957
86,4.325,0.9958142255158337,0.4101586439042241,0.3902117189727118,0.076316167598546,3.28159520673748,3.397728505257006,0.8627045032879107,0.5176227019727466,0.5773483983542174,0.5508036444068969,0.5508036444068971,0.3921384105854143,0.9672747461106888,1.9868346136327664,2.039119735044156,0.9672747461106884,0.3398532891740257,0.7581342604651343,0.705849139053746,1.6637872563409728
87,4.375,1.0006695258459326,0.3801253065777505,0.3984005617016808,0.087552529932183,2.6995363395756447,2.618469182231031,0.7198763572201711,0.5642274151185127,0.6615080039320492,0.5188298070055289,0.4928883166552525,0.3832265619927205,0.7153562490530783,1.865035935031241,2.0438749972945107,0.9708406237148918,0.5109687493236272,0.6387109366545342,0.9197437487825292,1.8754638686909069
88,4.425,1.005005931272278,0.4049307681267928,0.4061217409742246,0.0903398711424955,2.017590455515734,2.084156676357573,0.6783414885787384,0.551548686975236,0.6846811286589136,0.5769072472959366,0.5008315663338352,0.4994867941956164,0.4495381147760547,1.7731781193944391,2.42251095184874,0.5993841530347394,0.4245637750662738,0.7492301912934245,0.6743071721640822,1.6651258741194672
89,4.4750000000000005,1.0110471385098276,0.4052487441489776,0.4110712835764053,0.1255249923023789,1.4117687405860149,1.4334644182679082,0.6942616858205651,0.6198765051969328,0.4277147885858838,0.526895029417393,0.4339135536378529,0.7081619468461932,0.6349038144138284,1.4407432711698407,1.6605176684669345,0.7570007018011029,0.390710039639279,0.6837425693687382,0.6104844369363734,2.3106212994738744
90,4.525,1.013529821025578,0.4248154245063963,0.4772055304776944,0.128828847543134,0.8775517967938191,0.9442396708161472,0.406189778135999,0.5213779241745659,0.6183784682070432,0.4122523121380289,0.5577531281867448,0.6687158717390483,0.5254196135092523,1.815085937577416,2.3166228413817014,0.47765419409932,0.5254196135092521,0.6448331620340823,0.6209504523291164,2.525230999620997
91,4.575,1.0183223104158878,0.4668319102347987,0.4523478652871797,0.1616128021167175,0.5990052482124212,0.593074503180615,0.4210828972582366,0.5337670528625535,0.5396977978943597,0.5812130131170028,0.4803903475762981,0.3971801975845934,0.1869083282751028,2.149445775163682,2.3129905624043974,0.4205437386189812,0.5373614437909204,0.957905182409902,0.8644510182723506,2.71422361914802
92,4.625,1.0209222335282362,0.4764164669951035,0.4600634990204432,0.1857026270927576,0.4787645854735162,0.4729613783768676,0.3714052541855153,0.4990758103117861,0.5048790174084349,0.4352405322486506,0.464256567731894,0.5715279716396429,0.4800834961773,2.263250767692982,2.1946674110962268,0.4343612584461285,0.6401113282363999,0.7772780414299141,0.4115001395805428,2.956082635354105
93,4.675,1.0222058975533048,0.531367518971275,0.462012320711972,0.1973709411291667,0.4203007091671464,0.4288203181367507,0.4430196664194248,0.5338954954285378,0.6020523671853724,0.4998170595501204,0.5395752347416072,1.0516123394804524,0.3579956900358986,1.901852103315712,1.9242268339429556,0.402745151290386,0.6041177269355791,1.073987070107696,0.7159913800717973,3.428128371102692
94,4.7250000000000005,1.0249257340642517,0.5076467639172255,0.4804887065883203,0.2112864720476,0.3600210280284765,0.3892119221929476,0.2724483455350629,0.5170958394849157,0.5504568613871681,0.6004983942405473,0.5226560098019578,0.6790147387175656,0.5913999337217508,2.1465627223974653,2.2998886311401416,0.5256888299748896,0.6352073362196582,1.0294739587008253,0.8323406474602416,3.0240518152892224
95,4.775,1.0288141239752306,0.5666202296641731,0.5328684831318304,0.2449951951088913,0.3511597796560776,0.4042420719296706,0.2504395327779777,0.5553224422468206,0.413769662850572,0.5226564162323019,0.4627687018723504,0.7721060694340816,0.5361847704403343,1.8444756103147515,1.801580828679524,0.2788160806289738,0.5576321612579477,0.8364482418869218,0.7721060694340816,2.910498474320821
