,r ($\AA$),g_full(r),O (DOL),O (DOL),N (ACN),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
36,1.825,0.9988989487695364,3.69362832375875,3.6865928412373066,6.901056991326754,0.0,0.6366570490944756,0.7864587077049403,1.0111611956206374,0.8988099516627888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.507883973621616,4.845659821043723,4.512395734314443,26.315912799571176,0.0,1.4191922954871483,1.1708336437768971,1.7739903693589352,1.63207113981022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.42773410998283,4.300013508879539,4.388543198768235,47.97908086576263,0.0,2.2552695285711657,1.7503584400850838,2.3899124855007874,2.1542873108739493,1.5912349455318942,0.0,0.0,0.0,0.0,1.3260291212765785,0.0,0.0,0.0
39,1.975,0.8196890752546621,3.2259949356381825,3.370173480247709,54.34338716631401,0.0,1.918683709034486,1.9506617708517269,2.494288821744832,2.3663765744758662,9.82598626747962,0.0,0.0,0.0,0.0,8.440270255399161,0.0,0.0,0.0
40,2.025,1.381607244589863,2.5715038888838624,2.4229281086372394,47.30351524318001,0.0,1.916363821192833,1.73385298107923,2.129293134658704,2.1597116080109706,30.67656948980161,0.1198303495695375,0.0,0.0,0.1198303495695375,31.275721237649297,0.0,0.0,0.0
41,2.075,1.7482992022117958,1.7034677373256852,1.6980253483885424,33.23297639917238,0.0,1.4195424929279736,1.5933640226742574,1.7671855524205402,1.419542492927974,50.89986007418924,0.0,0.0,0.0,0.0,50.7857348273861,0.0,0.0,0.0
42,2.125,1.68641522731978,1.1468355829573482,1.157214185518048,19.80277673834222,0.0,0.994429796123686,1.1325450455853094,1.464021644293205,0.7734453969850893,61.48221256337099,0.2176361506667999,0.0,0.0,0.1088180753333999,59.95875950870333,0.0,0.0,0.0
43,2.1750000000000003,1.3956825589587585,0.738066359361332,0.7727406178548168,12.080492422371073,0.0,1.1074424712688553,0.6855596250711965,0.8965010481700261,0.9228687260573798,56.09124205127976,0.6232360227919967,0.0,0.0,0.6232360227919967,54.53315199429973,0.0,0.0,0.0
44,2.225,1.1486574606269422,0.4686015048280499,0.44020141362635,6.83009428167515,0.0,0.5039195669634976,0.453527610267148,0.5039195669634976,0.3779396752226232,45.85668059367829,1.091825728420912,0.099256884401901,0.2977706532057032,1.389596381626615,43.47451536803264,0.0,0.0,0.0
45,2.275,0.8549518462576858,0.3305136251150882,0.2852377860582269,3.805671152793308,0.0,0.3133088062734811,0.5543155803300054,0.5061142255187004,0.3615101610847859,28.387676689627504,1.1393047500853857,0.2848261875213464,0.3797682500284619,1.5190730001138475,26.583777501992294,0.0,0.0,0.0
46,2.325,0.5490021251460316,0.2687669285601097,0.2340873248749343,2.1325337526083032,0.0,0.2307527475975135,0.2999785718767675,0.2076774728377621,0.3461291213962702,19.45315587322068,1.363538963076216,0.454512987692072,0.909025975384144,1.999857145845116,17.635103922452398,0.0,0.0,0.0
47,2.375,0.3785299185485864,0.1744828767624609,0.1495567515106807,1.268391114304357,0.0,0.2211394701824597,0.2211394701824597,0.1769115761459678,0.1769115761459678,11.760599096067187,2.613466465792708,1.2196176840365962,0.6969243908780551,2.177888721493923,12.370407938085489,0.0,0.0,0.0
48,2.4250000000000003,0.369415455652903,0.1036051317264605,0.1155595700025906,0.6901162670273377,0.0,0.2121146483867181,0.1484802538707027,0.1696917187093745,0.1272687890320309,7.436868126770698,3.175292009182995,0.3342412641245255,0.5849222122179197,2.506809480933943,7.603988758832961,0.0,0.0,0.0
49,2.475,0.4745878092662028,0.0994614902181515,0.0994614902181516,0.5168762166128925,0.0,0.1832680949936829,0.2036312166596476,0.264720581657542,0.1425418516617534,4.251572978136282,2.807642532731507,0.6417468646243442,0.721965222702387,2.0856773100291197,3.770262829668024,0.0,0.080218358078043,0.0
50,2.5250000000000004,0.5904560250875781,0.0698334399589747,0.0771843283757089,0.2880882159438545,0.0391293444952312,0.0782586889904624,0.0586940167428468,0.1173880334856936,0.2543407392190029,2.466334440911544,3.622428710088828,0.9248754153418288,0.1541459025569714,2.6204803434685155,2.543407392190029,0.0,0.0,0.0
51,2.575,0.7400063968106081,0.0600796785031648,0.0530114810322042,0.2242456177140782,0.0,0.1504982353816835,0.0752491176908417,0.0940613971135522,0.0564368382681313,1.70450652951225,3.0384681613044457,0.6669808158960976,0.7410897954401084,3.483122038568512,2.0009424476882938,0.0741089795440108,0.0,0.0
52,2.625,0.8804410343469317,0.0408090317642519,0.0442097844112729,0.147241217088279,0.0,0.1086148076187014,0.0724098717458009,0.0543074038093507,0.1267172755551516,1.354942297061578,4.064826891184734,0.855753029723102,0.855753029723102,4.13613964366166,1.4975678020154284,0.0713127524769251,0.0,0.0
53,2.6750000000000003,0.7451722191231093,0.0458473891854003,0.0425725756721574,0.0806727523068117,0.0,0.1220245896780655,0.1394566739177891,0.1045925054383418,0.0348641684794473,0.4120310820298317,4.601013749333122,0.9614058580696074,0.8240621640596635,3.090233115223738,1.3047650930944672,0.0686718470049719,0.0686718470049719,0.0
54,2.725,0.6427140973996514,0.0284016847428963,0.0284016847428963,0.075383783644576,0.0,0.1007895684209451,0.0503947842104725,0.0839913070174542,0.1343860912279268,0.595574722487403,3.639623304089688,0.397049814991602,0.66174969165267,2.911698643271749,0.66174969165267,0.066174969165267,0.066174969165267,0.0
55,2.7750000000000004,0.6522189733274438,0.0426026978611657,0.0334735483194873,0.0454323731236349,0.0,0.0485951652526264,0.0971903305052528,0.0647935536701685,0.113388718922795,0.2552473326400581,4.020145489080913,0.6381183316001451,0.7019301647601597,4.083957322240927,0.6381183316001452,0.127623666320029,0.0,0.0
56,2.825,0.684674700598961,0.0293628731734537,0.0352354478081444,0.0438384212212081,0.0,0.0625203330339383,0.0468902497754538,0.078150416292423,0.1094105828093922,0.1847191657820907,4.617979144552268,0.7388766631283629,0.4925844420855752,4.802698310334359,0.0615730552606969,0.1231461105213938,0.1847191657820907,0.0
57,2.875,0.7214485070072976,0.0340205548602278,0.045360739813637,0.0465595943178809,0.0,0.060364676828917,0.0150911692072292,0.1056381844506048,0.0754558460361463,0.4161504235932917,4.756004841066191,0.6539506656466013,1.0701010892398932,5.350505446199464,0.1189001210266547,0.2378002420533095,0.1189001210266547,0.0200188979279571
58,2.9250000000000003,0.7638799735919227,0.0629959037380912,0.0438232373830199,0.0429368450411304,0.0145796539755047,0.102057577828533,0.1603761937305519,0.0728982698775236,0.102057577828533,0.2297400020382562,4.422495039236433,0.4020450035669485,0.6317850056052048,4.709670041784253,0.1148700010191281,0.057435000509564,0.0,0.0
59,2.975,0.8303565708456007,0.0529532504250383,0.0476579253825345,0.0395292872644299,0.0,0.0422811338009152,0.1268434014027458,0.1268434014027458,0.1268434014027458,0.1665620422460298,4.386133779145457,0.4996861267380896,0.7772895304814728,5.663109436365018,0.1665620422460298,0.0,0.0555206807486766,0.0373914788715577
60,3.0250000000000004,0.914196233909035,0.0460955127481922,0.0358520654708162,0.0363216949306743,0.0136316644537389,0.1772116378986058,0.1772116378986058,0.0681583222686945,0.2453699601673004,0.0537004963329108,3.8127352396366754,0.805507444993663,0.3222029779974652,4.296039706632874,0.0537004963329108,0.1611014889987326,0.2685024816645543,0.0
61,3.075,1.02887664629803,0.0520434737289635,0.0520434737289635,0.0425501581070624,0.0527678883816011,0.1978795814310042,0.1846876093356039,0.1714956372402036,0.1319197209540028,0.0,4.988963992442283,0.3637786244489168,0.6236204990552862,4.729122117835915,0.0,0.0,0.1559051247638215,0.0524986644612868
62,3.125,1.1276523912272365,0.0551906257939229,0.0863853273296184,0.0537384452643796,0.076639290400123,0.2554643013337433,0.1405053657335589,0.1405053657335589,0.1660517958669332,0.1509561780608484,4.478366615805172,0.4025498081622624,0.6541434382636765,5.031872602028282,0.251593630101414,0.3019123561216968,0.1006374520405656,0.0169440608027482
63,3.1750000000000003,1.1324538570067015,0.0627645067563734,0.0720629522017621,0.0572651834387528,0.049496340370838,0.2103594465760618,0.1361149360198047,0.2474817018541903,0.1732371912979332,0.0487463958197647,4.923385977796237,0.6824495414767068,0.9749279163952956,5.167117956895061,0.0,0.3899711665581181,0.194985583279059,0.0164146026740024
64,3.225,1.0202896034495308,0.0991359859050982,0.0720988988400714,0.0370022126463473,0.0359801235557664,0.2158807413345986,0.191893992297421,0.1559138687416545,0.2158807413345986,0.0472466268914104,5.291622211837978,0.8504392840453888,0.7086994033711572,5.338868838729387,0.0472466268914104,0.2362331344570524,0.2362331344570524,0.0318191568860519
65,3.2750000000000004,0.8848764142070886,0.1048713802062308,0.0895776372594888,0.0538215308879335,0.0697798029833767,0.186079474622338,0.1977094417862341,0.1977094417862341,0.1511895731306496,0.0458150221608029,5.45198763713555,0.824670398894452,0.8704854210552551,5.222912526331533,0.0916300443216058,0.1832600886432116,0.1374450664824087,0.0154275074623111
66,3.325,0.806485768958528,0.0996215203886472,0.1080999476557661,0.0490504912983373,0.0789798109267769,0.2030909423831406,0.2482222629127275,0.2143737725155373,0.3159192437071078,0.1333425379283246,4.844778878062461,0.9333977654982724,1.377872891926021,5.244806491847435,0.0444475126427748,0.3111325884994241,0.4000276137849738,0.1347031760704503
67,3.375,0.7863703957679236,0.127550740037269,0.1563525200456846,0.0506794150309892,0.1204610711121206,0.1642650969710736,0.3285301939421471,0.2518731486889795,0.3723342198011,0.0862806569949073,5.219979748191892,0.6902452559592586,1.0353678839388876,5.608242704668977,0.0431403284974536,0.129420985492361,0.1725613139898147,0.1016879171725693
68,3.4250000000000003,0.7993414724843133,0.1458279552170075,0.1598114577720629,0.0805263559065054,0.1276033024364626,0.2126721707274376,0.2764738219456689,0.2126721707274376,0.2764738219456688,0.041889973022071,5.44569649286924,1.17291924461799,1.0472493255517763,4.984906789626458,0.0,0.2513398381324263,0.2513398381324263,0.1410580724212597
69,3.475,0.8265550229199564,0.1785325908988979,0.1707703043380763,0.060842259062492,0.1652769938488794,0.3305539876977589,0.3615434240444238,0.4028626725066437,0.2375856786577642,0.0,5.127343104630006,1.0173299810773833,0.8545571841050018,5.127343104630007,0.1220795977292859,0.1627727969723812,0.3662387931878578,0.1644337438802627
70,3.5250000000000004,0.8579236360428515,0.1659601958395186,0.1980206882176074,0.0999553341912724,0.1806993181273641,0.3613986362547283,0.3613986362547283,0.2810878281981221,0.4417094443113345,0.0790939776315061,4.745638657890373,1.5818795526301228,1.2655036421040975,5.180655534863657,0.039546988815753,0.3954698881575308,0.3559228993417777,0.146485274899167
71,3.575,0.8923544017508785,0.2658616044559833,0.2676951327625762,0.1177097482006059,0.2537603176324693,0.4587205741817715,0.2830403542823696,0.448960561965138,0.3708804642320705,0.0,5.036757819674764,1.499492786010045,1.268801588162346,3.883301830436269,0.0384485329746165,0.4998309286700154,0.4998309286700154,0.1942043247187264
72,3.625,0.9346032276193116,0.2906775479123161,0.2746278673527403,0.0931854879906326,0.2657936842071276,0.5126021052566035,0.3891978947318656,0.4556463157836476,0.4936168420989515,0.1495808612421064,4.487425837263196,1.4584133971105375,1.346227751178958,3.8891023922947694,0.1121856459315798,0.3739521531052662,0.2617665071736863,0.2140685284612799
73,3.675,0.972980336068957,0.2758814684072588,0.3487558185525726,0.1360006750284709,0.267846604160468,0.4618044899318415,0.5172210287236626,0.5634014777168466,0.4802766695291152,0.1819229808822405,3.565690425291911,1.491768443234372,1.964768193528196,4.075074771762184,0.2183075770586886,0.4002305579409292,0.4002305579409292,0.2327871612513566
74,3.725,1.0026622915361023,0.3310120373004903,0.3816771450505652,0.1601097565446813,0.4045413988044451,0.4494904431160499,0.5124191051522967,0.6382764292247909,0.4315108253914079,0.2124863912912237,4.285142224373012,1.4874047390385656,1.8415487245239384,3.6476830504993383,0.1062431956456118,0.4958015796795221,0.247900789839761,0.3219819296606805
75,3.775,1.0094177601401544,0.4670085909159422,0.4110991117217798,0.1755371033421378,0.3763896974890241,0.5514546730653144,0.5427014242864997,0.5514546730653143,0.6039741657382014,0.0689649903785386,3.827556966008895,1.896537235409812,2.172397196923966,2.827564605520085,0.1379299807570772,0.5172374278390396,0.3793074470819623,0.2322290492338544
76,3.825,0.9973838568833178,0.5445736764249955,0.5653956111118341,0.2032605092158022,0.494502467805286,0.6138651324479412,0.460398849335956,0.6138651324479416,0.6735464647692689,0.1343475879094821,2.9556469340086045,2.0152138186422297,2.2839089944611937,3.325102800759679,0.0335868969773705,0.3022820727963348,0.5709772486152991,0.3166764572152078
77,3.875,0.9920142941732272,0.6429757111352048,0.6570212970580612,0.2085339370840677,0.4818236210254399,0.6562770010518925,0.7144281277273767,0.5732039629440578,0.6811989124842429,0.065451484569809,2.6507851250772663,2.192624733088602,2.061721763948985,3.567105909054594,0.196354453709427,0.5563376188433764,0.7199663302678989,0.3856962483578028
78,3.925,0.997254176384022,0.8229223556161193,0.7438244582186364,0.2566234829015669,0.5424992477717295,0.550596251469815,0.6477602958468409,0.6963423180353541,0.6720513069410976,0.1275891491819536,2.998345005775912,1.8500426631383289,2.328501972570656,2.61557755823005,0.2870755856593957,0.382767447545861,0.6060484586142801,0.3759323145539703
79,3.975,1.0030263893848017,0.8883694614889384,0.8809540235800158,0.2723505557954105,0.5999887853939422,0.7578805710239266,0.6315671425199392,0.8368264638389187,0.813142695994421,0.1243995886781697,2.519091670732937,2.3324922877156826,2.208092699037513,2.30139239054614,0.2487991773563395,0.7463975320690185,0.497598354712679,0.3455896736493032
80,4.025,0.998494198420268,0.9647955026331196,1.0009572531066255,0.3131365732480278,0.7776667889520709,0.7083697483523811,0.931660212506936,0.7930661313075569,0.7853664601298143,0.2729883417563524,2.578223227698884,2.2445708099966755,2.0625785821591083,2.7905474935093806,0.3336524177022085,0.576308721485633,0.6976368733773451,0.2962016361233891
81,4.075,0.9956007387272668,0.969488926554666,1.0047687273754322,0.3160339439219479,0.9164498167668916,0.8939141655349184,0.6910933044471641,0.6835814207031732,0.8037715606070275,0.2071458850615677,2.130643389204697,2.781673313683911,2.604119697916853,1.8939052348486196,0.2663304236505871,1.0949139638968572,0.7693990016572513,0.4384487246492655
82,4.125,0.9960959118528536,1.0315146140861085,0.9103219758490224,0.337204818286026,0.7184265694655803,0.901698653512922,0.7770736363607295,0.8283898198939851,0.9456839536842836,0.2599131373762304,1.992667386551101,2.28145976141358,2.7435275611935444,2.0215466240373487,0.3465508498349738,1.0107733120186742,1.0396525495049218,0.3209131594135089
83,4.175,1.0044838231399251,0.954524300001616,0.884615478029667,0.3853773845523643,0.8444489300209321,0.5653514023021491,0.8015108488334265,0.8301362362917633,0.8873870112084368,0.3664917030650679,1.945225193191515,2.05799187105769,2.311716896256583,1.663308498526078,0.2819166946654368,1.014900100795573,1.0149001007955727,0.3892176406962609
84,4.2250000000000005,1.0114883333991722,0.7522166072871539,0.8375465889165866,0.4390284554780558,0.9294000223960324,0.8385564111843901,0.9783158130484556,0.8734962616504063,1.0481955139804875,0.2752836703383102,1.899457325334341,2.4224962989771304,2.3949679319433,1.3764183516915514,0.5230389736427895,0.991021213217917,0.7707942769472688,0.546915618519071
85,4.275,1.0180884667918222,0.8155051677491125,0.7821669061744633,0.4135039941984872,0.9692162530684424,0.9828671862102516,0.8736597210757792,0.948739853355729,0.9555653199266336,0.5915404361450581,1.6132920985774315,2.446826349509104,2.473714551152061,1.129304469004203,0.403323024644358,1.2099690739330742,1.15619267064716,0.2806799008239306
86,4.325,1.02765916343449,0.7090651837319287,0.7579230320809484,0.4488873097007284,0.8602450505759979,1.0136220750972995,0.953604978545486,0.9736106773960904,1.080307737932649,0.4203217536288638,0.9719940552667484,2.574470740976793,2.8109017273930275,0.9982641648685524,0.4991320824342758,0.9194538360631404,1.3660456992938084,0.3538422925957273
87,4.375,1.0374724601721792,0.6917264728805078,0.7039694193031714,0.4725011309555461,0.9449671108077616,1.0948584456255448,1.1013754601828405,0.9384500962504676,0.997103227266122,0.5391348406489433,0.7188464541985915,2.61865494029487,2.56730876499497,0.564807928298893,0.5904810159488427,1.4890390836970837,1.2836543824974849,0.181545405524644
88,4.425,1.0453605253904903,0.7084958758064537,0.7671382709323257,0.4886853350202665,1.0001796508720937,1.0065502218967566,1.0766265031680498,1.3314493441545707,0.9428445116501264,0.5270199665857592,0.8030780443211571,2.5096188885036166,2.93625409954923,0.6775970998959764,0.4266352110456146,1.5810598997572785,1.279905633136844,0.2619734819325711
89,4.4750000000000005,1.0498510644195314,0.7968990428041084,0.6857310412381898,0.4935498240191073,0.6540459104274988,1.0527024653547374,0.9281222919399758,0.878290222574071,0.9966413873180948,0.4171548231009448,0.4662318611128207,2.502928938605668,2.429313381587854,0.5643859371365725,0.4416933421068828,1.2023874312909593,1.2269259502968972,0.2065742671418243
90,4.525,1.0563740117722151,0.8263088464772461,0.8331756789964476,0.6168346513077171,0.7249614413989792,0.9930144113280132,1.0539355408573396,0.8285273615988334,0.980830185422148,0.4559854240528342,0.6479792868119223,2.591917147247692,2.5199194487130336,0.5039838897426062,0.5519823554323783,1.5359509020727051,1.271959340778959,0.2747667270608377
91,4.575,1.0582883425986649,0.7993895798736581,0.8553692423297972,0.6101118939879806,0.7866778903682333,1.0906216207377788,0.7985972523435096,1.1859765165399878,1.0489038538243118,0.7982360595563803,0.563460747922151,2.723393614957061,2.5590508968131,0.563460747922151,0.4695506232684591,1.1973540893345695,1.5260395256224903,0.1897367824635813
92,4.625,1.061086044109204,0.8512166413531612,0.927902825258852,0.6051696880016316,0.6123096838008202,0.9971900564756204,1.0963259100433715,1.0555052644566505,0.9913585356775172,0.5972890999269175,0.6662070729954079,2.7796915804291173,2.595910318913141,0.5743164422374206,0.666207072995408,1.6999766690227651,1.2405235152328284,0.0850925994008913
93,4.675,1.06424235319569,0.9757101273793084,0.8910056218156102,0.6739347839057079,0.6164046667778529,1.0159262100597946,1.0387560125330484,1.010218759441481,1.0501709137696746,0.6295490985048784,0.494645720253833,2.3832930157684684,2.270873533892597,0.8094202695062723,0.4721618238786588,1.461453264386325,1.9785828810153323,0.174135483150584
94,4.7250000000000005,1.0653844379780095,0.9719638195285194,1.001353654244285,0.667582690362911,0.4916822458382517,1.0951104566397425,0.7710471582463492,0.9442534039393696,0.988951789924665,0.5502642214098897,0.704338203404659,2.443173143059911,2.3771414364907244,0.5722747902662852,0.4842325148407029,1.584760957660483,1.8708983527936247,0.1482344433185825
95,4.775,1.0665899505352632,1.0390757902941052,1.0267425464923952,0.6835969792617953,0.4595556382729651,0.91911127654593,1.1215345934042606,1.0121165842916493,1.0011747833803888,0.625008930840215,0.7327690913299073,2.9741804295155063,2.5862438517526143,0.9698414444072304,0.818977219721661,1.767266632030953,1.573298343149507,0.2104621909972153
96,4.825,1.0714115197775471,0.9713496370719498,0.9502114584413685,0.7266095528409255,0.4554387058794108,1.0341137674673682,1.205573044974911,1.0823366892663644,0.9537422311357072,0.7387686672910226,0.8654147245409121,2.7862132594975733,2.258521354289699,0.7809840197076523,0.8865224007492272,1.8152601539150852,1.5830757156236204,0.1137229901835742
97,4.875,1.0737127155157409,1.0777397607409374,1.0037868951823186,0.7633063234279331,0.4356468498692126,1.044502688240642,0.913283757557144,0.9920151159672428,0.9395275436938436,0.8477538188400526,1.1165538101795816,2.41919992205576,2.377846077234294,0.6616615171434558,0.7030153619649218,1.8609230169659687,1.7988922497337705,0.1810285655960092
98,4.925000000000001,1.0759234557139163,1.0607985829787283,1.091714388675741,0.757262150062332,0.5039870863337924,0.9925459965553248,1.0388305248921017,0.8948342145110184,0.9308332921062896,0.6685542981978877,0.7901096251429582,2.431106538901411,2.694476413949064,0.5875174135678408,0.5875174135678408,1.6815153560734757,1.4586639233408465,0.2524133574828758
99,4.9750000000000005,1.0797673109476336,1.096391157639638,1.1503585980415891,0.7498919804007892,0.5039874326336051,1.0230944882462183,0.987815367961866,0.9676558706565218,0.9424564990248412,0.6551836624236866,0.9529944180708166,2.2037995917887643,2.283215793294665,0.8537241661884402,0.9132863173178658,1.687594282000404,1.6280321308709782,0.1671386893937975
100,5.025,1.078191498643173,1.155421452413443,1.1220116754761862,0.7516699244885134,0.5285883597312377,1.0472965632058169,1.0275362506924994,1.0571767194624753,0.9978957819225236,0.856280208910417,0.4865228459718277,2.6466842820867456,2.04339595308168,0.681131984360559,0.836819295071544,2.140700522276045,1.946091383887314,0.1441696270104273
101,5.075,1.0792412424248563,1.115479657697401,1.1718905376135835,0.802134955514831,0.5763428212577837,0.8766222743500754,1.0364484348669398,1.1042534726619735,1.0170755669255016,0.8204116044896903,0.667776887375329,2.1368860396010536,1.907933963929512,1.0302843405219368,0.8585702837682806,1.4500298125864295,1.698061227897266,0.1606168898205966
102,5.125,1.0766448182059736,1.1678720182247393,1.1660876453932263,0.7719077525955083,0.5509045228121078,0.9925779764459532,0.968832091841983,1.0210730379707174,0.9308386764756305,0.80448178749208,0.7296462723765377,2.338609847360696,2.226356574687382,0.8606084238287367,0.8418995450498511,2.132812180792953,2.2076476959084963,0.2330973570308089
103,5.175000000000001,1.0728521089541077,1.1961653518823212,1.1375383741382712,0.798868912660531,0.6101782762862883,0.9595169840837816,0.936227736897282,0.8290971998393845,0.9828062312702812,0.8073605691319831,0.9908516075710704,1.9083067997665064,2.2569397728007723,0.8257096729758916,0.935804296039344,2.110146942049503,2.1835433574251377,0.2595087543638516
