,r ($\AA$),g_full(r),O (DOL),O (DOL),P (TMP),O (TMP-i),O (TMP-i),O (TMP-i),O (TMP),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
21,1.075,7.822145266401472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,4.819169031823157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.3030078023919278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0041850434141909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.185123235262417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,0.8858359354477134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.971001840287456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,2.3559405812652114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,0.9008665897716264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,0.5695343896396066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.5685550089849296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.8396442903171565,0.0,0.0087367969532917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.6356322972820577,0.0740071832209191,0.1151222850103186,0.0,0.0,0.0,0.0,1.7111732483156694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,1.0444179994985408,1.162989759660387,1.2405224103044128,0.0,0.012804915094431,0.025609830188862,0.012804915094431,20.53908381146734,0.0,0.0,0.0825424526856398,0.0825424526856398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.2724746677723064,4.122647467290309,4.166583319517204,0.0,0.036281157208844,0.0725623144176881,0.0241874381392293,79.16548502969768,0.0,0.7016217632541072,0.9354956843388093,0.5457058158643056,0.8575377106439085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.96595405453225,8.062937881000408,8.180695564829453,0.0,0.1144016807661074,0.2288033615322148,0.0915213446128859,126.8600238015365,0.0,3.83474433927992,2.4704602954976425,3.060420963079168,2.7654406292884044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4814478678152082,9.883025782114805,9.909275518587886,0.0,0.2709549170550672,0.2384403270084591,0.1300583601864322,111.37330910631478,0.0,6.7768742731502,6.2878214905517344,6.183024465709207,7.196062372520319,0.1376122548437249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3997056578173873,9.631582879713656,8.797302268284026,0.0,0.16452026733425,0.2981929845433284,0.2673454344181565,67.6075473576684,0.0,8.749314370887209,9.610989271050348,7.854498128410113,9.57784792873638,2.350022454990368,0.0,0.0,0.0,0.0,2.6111360611004084,0.0,0.0,0.0
39,1.975,0.7920513859582798,7.239644794500649,7.032628807729796,0.0,0.2539810183417093,0.3125920225744114,0.1660645119926561,33.242207900647585,0.0,9.665781163416897,9.350934871448912,8.910150062693747,9.13054246707133,10.170489310238288,0.0,0.0,0.0,0.0,12.030944671867244,0.0,0.0,0.0
40,2.025,1.3350612266046646,5.0017603303167375,5.395599726404672,0.0,0.1579654502413378,0.2508863033244777,0.1579654502413378,14.021756730245803,0.0,8.745138871550763,7.666971065469158,8.056309439887512,8.295902285683427,35.276416348814685,0.0,0.0,0.0,0.3539439767439599,36.69219225579052,0.0,0.0,0.0
41,2.075,1.579578233323929,3.4454582615489064,3.386515740744804,0.0,0.1415950510616237,0.2035428859010842,0.1769938138270297,5.885044309748743,0.0,7.102285227072239,6.988192291697583,6.760006420948277,7.18785492860323,62.58688977635407,0.1123642545356446,0.0,0.0,0.561821272678223,64.60944635799564,0.0,0.0,0.0
42,2.125,1.3848793747757866,2.2940436216454603,2.217405193305411,0.0,0.0843815312829177,0.2025156750790026,0.0759433781546259,2.193919813355862,0.0,4.841033358571208,4.677852458844087,4.052325676556798,4.460277925874595,82.17559349389428,0.7499728219781748,0.1071389745683107,0.3214169237049321,1.1785287202514176,75.10442117238581,0.1071389745683107,0.0,0.0
43,2.1750000000000003,1.082238145278184,1.3606918730050888,1.3216756185820029,0.0,0.0644373462070997,0.0966560193106495,0.1208200241383119,1.0632162124171458,0.0,3.426827638482953,3.01145459139411,2.7258856215205305,2.933572145064952,64.8391032974667,1.3295084272351212,0.5113493950904312,0.0,1.227238548217035,74.65701168320302,0.0,0.0,0.0
44,2.225,0.9153719602742886,0.8528369713401179,0.8481766600213191,0.0,0.0461804596554921,0.0923609193109842,0.0307869731036614,0.3463534474161909,0.0,1.8853468682942167,2.034190042106919,2.1582260202841708,2.555141150451374,55.99660614802094,1.7590556905137456,0.4886265806982626,0.78180252911722,3.6158366971671456,56.87613399327781,0.0,0.0,0.0
45,2.275,0.7164255572804556,0.6329964829153745,0.6196233177833594,0.0,0.0441729368561067,0.0368107807134222,0.0441729368561067,0.1987782158524801,0.0,1.969490032108748,1.210168573946339,1.328812551784215,1.5898293030275432,38.60603133403381,4.673853672401186,1.0282478079282615,1.0282478079282615,3.458651717576877,40.84948109678637,0.0,0.0,0.0
46,2.325,0.495285667037567,0.4225380060048064,0.3969296420045154,0.0,0.0563913695726383,0.0422935271794787,0.0422935271794787,0.0986848967521171,0.0,0.8860493944100806,1.2268376230293423,1.3858721297183314,1.2949952687531947,23.53848391210615,5.280496390928757,1.6109988989274189,1.6109988989274189,5.5489962074166606,27.74498103708332,0.0,0.0,0.0
47,2.375,0.3784456467050884,0.3640323459156987,0.2781370732839047,0.0,0.05404207629158,0.0202657786093425,0.05404207629158,0.0607973358280275,0.0,1.0233178927020044,1.088636056065962,0.7402725181248547,0.8273634026101316,17.66889307966452,5.832450142801887,1.8869691638476684,2.315825791994866,6.175535445319645,13.551869449451427,0.0,0.0857713256294394,0.0
48,2.4250000000000003,0.4223740634432015,0.2314762169695222,0.2040129369900872,0.0,0.0129591474570534,0.0194387211855801,0.0388774423711603,0.0323978686426336,0.0208841645557899,0.5429882784505399,0.6682932657852798,0.8144824176758098,0.5638724430063298,10.69522366645004,5.676695638346552,1.8099609281684657,1.8099609281684657,8.802991787001186,10.119327007487342,0.0,0.0,0.0554069671888306
49,2.475,0.5929306525484568,0.1581893893197155,0.1318244910997629,0.0,0.0186612781127247,0.0373225562254494,0.0186612781127247,0.0062204260375749,0.0200489116134145,0.6215162600158491,0.5613695251756058,0.6616140832426781,0.4410760554951188,5.686600384895751,7.266211602922343,2.685339070645216,2.7643196315465457,7.5031532856263325,6.318444872106389,0.0,0.0,0.1329774749869329
50,2.5250000000000004,0.7798023251831969,0.1375117713644363,0.1447492330151961,0.0,0.0239060785791207,0.0179295589343405,0.0059765196447801,0.0119530392895603,0.0,0.4045184334955444,0.3659928684007306,0.2504161731162894,0.4045184334955444,4.249486574094604,8.271322081719866,2.3523943535166567,3.1871149305709543,8.954275281127927,3.718300752332779,0.1517673776462359,0.2276510664693539,0.0766580121784559
51,2.575,0.9381011828055528,0.118305256318886,0.0869891590580044,0.0,0.0172400471794193,0.0287334119656988,0.0172400471794193,0.0057466823931397,0.0185219994055812,0.2963519904892999,0.4445279857339501,0.5000939839506937,0.2593079916781374,2.334894470521756,7.150614315972875,2.626756279336976,2.772687183744585,8.901785168864192,1.751170852891317,0.0729654522038049,0.1459309044076098,0.1228499960574266
52,2.625,1.0281011701514091,0.0736621127088639,0.0904035019608785,0.0,0.0276492633947352,0.011059705357894,0.0276492633947352,0.005529852678947,0.0,0.2495239678054105,0.4277553733807037,0.3029933894779986,0.1960545461328226,1.4744598097592438,8.565909370982284,2.036158784905623,1.6148845535458392,8.565909370982284,2.0361587849056235,0.1404247437865946,0.0702123718932973,0.1655005908913437
53,2.6750000000000003,0.9140798514966626,0.0677099220268562,0.0677099220268562,0.0159752015146895,0.0266253358578159,0.0372754702009423,0.0106501343431263,0.0053250671715631,0.0,0.2402834156029976,0.2231203144884977,0.3604251234044964,0.3260989211754966,1.2846321137216528,6.761221651166593,2.1635909283733112,3.0425497430249684,9.600934744656556,0.9465710311633232,0.1352244330233319,0.2028366495349978,0.0910695161177541
54,2.725,0.7641071893779408,0.0869973591358417,0.0838903105952759,0.0102629001912721,0.0153943502869082,0.0153943502869082,0.0359201506694525,0.0102629001912721,0.0165390583851655,0.2811639925478139,0.1819296422368208,0.1984687006219863,0.3142421093181449,0.8470002627554467,8.209387162091256,1.563692792779286,2.606154654632142,8.795771959383494,0.781846396389643,0.7166925300238395,0.3909231981948215,0.0219395672456277
55,2.7750000000000004,0.7422867225338389,0.0749023632317434,0.0808945522902829,0.0296892231158184,0.0346374269684549,0.0197928154105456,0.0197928154105456,0.0,0.0318968832962255,0.2711235080179167,0.318968832962255,0.1754328581292403,0.2392266247216912,0.3141359718567664,7.413608935819687,1.4450254705411252,2.952878135453606,8.104708073904566,0.3141359718567664,0.5026175549708262,0.2513087774854131,0.042312192127646
56,2.825,0.7715809366477412,0.0578195876474504,0.0751654639416855,0.1289142214325733,0.014323802381397,0.019098403175196,0.014323802381397,0.0,0.0153889056353983,0.261611395801772,0.2923892070725687,0.3077781127079671,0.2462224901663736,0.363737769563961,7.699116122437167,1.697442924631818,2.667410310135714,7.03226354490324,0.6062296159399351,0.4243607311579545,0.5456066543459416,0.0408277088286078
57,2.875,0.8049023964482347,0.039078206838365,0.1116520195381858,0.2581586551995097,0.0368798078856442,0.0184399039428221,0.0322698318999387,0.0,0.0148583072154662,0.2377329154474604,0.1485830721546628,0.2971661443093255,0.2971661443093255,0.6438599793368721,7.199525223494116,2.399841741164705,1.697449036433572,8.311647005985078,0.3511963523655665,0.4682618031540888,0.6438599793368721,0.0197099993674552
58,2.9250000000000003,0.8402025318686249,0.0997775059086705,0.0647205443731917,0.7036878917648463,0.031176045837683,0.062352091675366,0.0578983708414113,0.0,0.0,0.15790153325921,0.2296749574679419,0.3158030665184201,0.3158030665184201,0.3392925508049142,5.711424605216053,1.6964627540245707,2.2054015802319418,7.690631151578052,0.3392925508049142,1.074426410882228,0.4523900677398856,0.0
59,2.975,0.8836764780259698,0.0703838205173245,0.0860246695211744,1.394909893975808,0.0129158323516278,0.0387474970548835,0.0473580519559687,0.0043052774505426,0.041628721194862,0.4024109715503334,0.1387624039828735,0.2497723271691723,0.2914010483640344,0.1639919319797596,6.614341256516977,1.1479435238583178,2.022567161083704,6.88766114314991,0.2186559093063461,0.8199596598987984,0.4919757959392788,0.0
60,3.0250000000000004,0.928580438266402,0.0781617517434141,0.0680763644216833,3.127264384251168,0.0333130693395596,0.0666261386791193,0.0416413366744496,0.0,0.026842646256299,0.2684264625629906,0.402639693844486,0.3757970475881869,0.4831676326133832,0.1057437579793599,6.82047238966871,1.374668853731679,1.9033876436284785,7.983653727441668,0.0,1.2160532167626392,0.5815906688864797,0.0178037959863208
61,3.075,0.9781656844836298,0.0878407282646813,0.1000408294125537,5.625626783809774,0.0523876419695752,0.0564174605826195,0.0282087302913097,0.0080596372260885,0.1039073230071102,0.1818378152624429,0.3117219690213307,0.350687215148997,0.2857451382695532,0.1534994544423219,6.293477632135202,1.6373275140514352,1.841993453307864,6.4469770865775216,0.0511664848141073,0.9209967266539316,0.6139978177692877,0.0
62,3.125,1.011272906175256,0.1228534257478492,0.1110405963490175,10.496107718060694,0.074136076819016,0.0975474694987053,0.0975474694987053,0.0,0.1131850792244978,0.3898597173288258,0.3647074775011595,0.4401641969841582,0.4778925567256575,0.0495422905696455,6.341413192914625,1.5358110076590106,2.08077620392511,6.390955483484273,0.099084581139291,0.8917612302536192,0.4458806151268096,0.0
63,3.1750000000000003,1.0012166358182035,0.1190145735586545,0.1350357661530888,18.132537785832557,0.079379464978629,0.0604795923646697,0.079379464978629,0.0,0.1096483378880623,0.2192966757761247,0.3654944596268745,0.3411281623184163,0.3898607569353328,0.1439826659136172,5.327358638803837,1.631803547020996,1.8237804349058189,6.623202632026392,0.0,1.0078786613953208,0.8159017735104975,0.0323226392867303
64,3.225,0.9410015344257832,0.1397544508720329,0.1708109955102625,27.46292229063293,0.1318923695921538,0.0989192771941153,0.124565015725923,0.0,0.1771246886510014,0.3660576898787364,0.354249377302003,0.3424410647252695,0.4487158779158706,0.0465175949992529,5.628628994909604,1.395527849977588,1.1629398749813231,6.4659457048961535,0.1395527849977587,1.162939874981323,0.6047287349902878,0.0156640881119933
65,3.2750000000000004,0.8737218031279,0.1548797674802796,0.1548797674802796,31.238583746162693,0.1492119319161644,0.1136852814599348,0.1669752571442792,0.0035526650456229,0.2175597417554184,0.5267235853025921,0.5038225598546534,0.5496246107505309,0.549624610750531,0.2255404021387909,5.81894237518081,1.3532424128327452,2.029863619249119,6.450455501169425,0.0,1.0374858498384378,1.127702010693954,0.0
66,3.325,0.8317312775065174,0.2420804633464891,0.2274721595238562,25.353361261557232,0.2205838935208893,0.165437920140667,0.1723311668131949,0.0068932466725277,0.355479428404818,0.6443064639837321,0.3888056248177696,0.4110230890930706,0.4665667497813235,0.0,5.9515873998079405,1.7067052102390414,2.231845274927978,5.426447335119004,0.0,1.1815651455501048,0.8314717690908147,0.0294721464876443
67,3.375,0.8215697344866266,0.1964759840414968,0.2086291376935482,15.809696292139815,0.2107513471021602,0.2274776444912206,0.2676207582249653,0.003345259477812,0.4528452022348981,0.4312811449856172,0.6145756316045046,0.4312811449856171,0.3881530304870553,0.0849493164365609,4.927060353320536,1.7414609869495,1.8264103033860613,4.587263087574293,0.0424746582182804,0.8919678225838897,0.7645438479290483,0.0286053820653725
68,3.4250000000000003,0.8375866222758631,0.2517528181968925,0.2379850859517499,7.66274518018191,0.3378234416019159,0.2890989067554856,0.3540649532173927,0.0032483023230953,0.5130068845805422,0.4815982998103049,0.607232638891254,0.5025373563237965,0.3769030172428472,0.0824871923258756,6.104052232114802,1.6497438465175118,1.9796926158210144,4.1656032124567215,0.0412435961629378,1.3197950772140097,0.8661155194216937,0.0416644491850086
69,3.475,0.865258056049366,0.3190748667456996,0.2865941916877539,3.489983099389117,0.441770012580901,0.3944375112329475,0.4638585132099462,0.0063110001797271,0.4576688784182904,0.7424406249896707,0.6610772688264193,0.5390322345815418,0.5492026541019486,0.080130578039566,4.567442948255263,1.7628727168704523,2.484047919226548,4.647573526294828,0.0,1.081762803534141,0.9615669364747922,0.0674568641659612
70,3.5250000000000004,0.8952968016819608,0.3156578782540997,0.356507721322277,1.401444757133083,0.5642578453227294,0.5519913704244086,0.6163903636405901,0.0091998561737401,0.6819924149717989,0.6128047786703122,0.6325726747564513,0.6523405708425902,0.6424566227995208,0.0778735300363055,4.399854447051255,2.180458841016552,1.7521544258168726,3.5432456166518964,0.0778735300363055,0.8955455954175132,0.9734191254538188,0.0393340789469094
71,3.575,0.9092114266603432,0.3935415192544824,0.3953467555813379,0.5187706339952463,0.7215085829129286,0.7721930701423493,0.7662301892918294,0.0238515234020802,0.7975811820712939,0.6053929454276087,0.691877651917267,0.5861741217632401,0.6534400045885299,0.1135657761985412,4.6940520828730365,1.854907677909506,2.347026041436518,3.141986474826308,0.037855258732847,1.3249340556496485,0.9463814683211776,0.0764830737663645
72,3.625,0.922878503082354,0.4635261665213495,0.4687935093227285,0.2696778944515076,1.0120170447696346,0.9569215609569612,1.0062175201577743,0.0260978607533716,0.7009617727988932,0.729000243710849,0.6448848309749817,0.87853875524128,0.6448848309749821,0.0368181941268105,4.123637742202785,1.9145460945941493,1.7304551239600954,3.24000108315933,0.0368181941268105,1.030909435550695,0.6995456884094006,0.1611735232694054
73,3.675,0.9499013814266468,0.5534990246544118,0.5483740336853892,0.1015702267464473,1.2555208583935855,1.1737003979589482,1.453018521511678,0.0197497663118092,1.0184802565720676,0.8184216347454119,0.7729537661484445,0.8547959296229858,0.736579471270871,0.0716463383952212,3.976371780934787,1.4329267679044269,2.0419206442638083,4.119664457725228,0.0,0.8239328915450451,0.716463383952213,0.1930064626156981
74,3.725,0.979124789997734,0.5886232646041385,0.6035882628567861,0.071400225022974,1.6696668005372408,1.5076432129851074,1.5817896005089644,0.0192231375061853,1.2303019247227909,0.4602568351480948,0.8585560194108682,0.805449461509165,0.5753210439351184,0.1743397102833691,3.521662147724053,2.1618124075137755,1.8131329869470367,3.1032468430439666,0.0697358841133476,0.8716985514168456,0.6624908990768027,0.1761186869189137
75,3.775,1.0079142278657556,0.6508471806960192,0.7075129800103497,0.0347606908033899,1.9412508864046976,2.056228555985142,2.0348373616445943,0.0160433957554107,1.3185820149898897,0.7670182963013086,0.8704364935554174,0.9824728739140356,0.7756364794058176,0.0679008365809807,3.2592401558870723,1.7654217511054984,2.206777188881872,3.1573889010156018,0.0,0.8148100389717685,0.7808596206812785,0.3429685113018924
76,3.825,1.025661773663415,0.8279106630469535,0.8263336903554356,0.0286489645055729,2.390886310555997,2.432557531655012,2.5627800975894344,0.0104178052747538,1.62850330685315,0.92337816367962,0.9233781636796208,0.9737442453348724,0.8226460003691157,0.0,3.3068639470620016,2.083324286649062,1.951049728766582,3.0753834707676626,0.06613727894124,0.9589905446479806,0.6283041499417802,0.2895193129162446
77,3.875,1.029482893604431,0.8881199687551689,0.8927295879701608,0.0101506968871109,3.17970579988751,2.9690788394799568,3.080736505238177,0.0406027875484438,1.6848985598347983,0.9978525451448804,1.046927260479875,1.0060316643673797,1.3086590755998435,0.0966623180840794,3.608726541805633,2.416557952101987,2.223233315933828,3.254298042164008,0.0644415453893862,0.9666231808407943,0.8699608627567151,0.4448439332236718
78,3.925,1.023136455218402,1.142700924045058,1.14719385035192,0.0197874622392873,3.608738425890027,3.556796337511899,3.653260215928423,0.029681193358931,1.897351259063668,1.2276978735117845,1.0363683347826755,0.9486756295318332,1.0682565912375266,0.0942153031620613,2.763648892753799,2.04133156851133,2.1983570737814326,2.7636488927538,0.0942153031620613,0.9421530316206128,0.8479377284585516,0.6556615995563854
79,3.975,1.0208510189550184,1.2528541949050271,1.2689164281730403,0.0168812015513681,4.33123399803675,4.319175996928631,4.220300387842046,0.0313508028811123,1.9820571206109128,1.0493243579704843,1.0648699040144918,1.1192793151685163,0.9560510817064416,0.0918600448054969,3.123241523386896,2.418981179878088,1.8372008961099384,2.449601194813253,0.0612400298703312,0.6124002987033126,0.7348803584439751,0.7114466735446139
80,4.025,1.0312461180734216,1.2902803378300174,1.3116425950788586,0.0094082304001261,4.729987833663425,4.833478368064813,4.976953881666735,0.0564493824007569,2.319743947157259,1.03857817242008,0.8187331578202091,1.235680599302723,1.129548523288992,0.2687760366581493,2.3592563217770883,2.8370803869471337,2.0904802851189395,2.448848333996471,0.1194560162925108,0.6271440855356817,0.985512134413215,0.975455888143692
81,4.075,1.0368904880448688,1.31855658946091,1.2740952503010066,0.0091787728814599,5.665597561081157,5.344340510230058,5.532505354299987,0.0527779440683947,2.5885904674348104,1.0354361869739244,1.138979805671317,1.0872079963226202,1.0650200780303225,0.0874069508484481,1.544189464989251,2.3017163723424683,2.272580722059652,2.06863117007994,0.0,0.5827130056563211,0.582713005656321,1.0105313807274674
82,4.125,1.0485315913552553,1.076615220075196,1.1200052541336425,0.0089576084631398,5.86051533700924,6.306156358050449,6.041906908387823,0.0649426613577639,2.641702092800668,1.1837135060636863,1.400246464489971,1.2414556283106954,1.2414556283106966,0.2559025872310633,1.506981902582928,2.189388801865761,2.814928459541693,1.96191983543815,0.0568672416069029,0.7677077616931898,0.8530086241035442,1.29256919060588
83,4.175,1.0564907452744965,0.8974386705310294,0.9000859822435103,0.0109304278343484,6.912402562441934,6.72221311812427,6.746260059359837,0.0677686525729601,3.0720219669078537,1.240082261871059,1.2753118715833054,1.1273475107918716,1.2682659496408557,0.1110266487901086,1.720913056246683,2.2205329758021715,2.053993002617008,0.915969852518396,0.1942966353826901,1.3045631232837758,0.915969852518396,1.2524485738516842
84,4.2250000000000005,1.0634262340977174,0.7070043191776743,0.713466881510194,0.00426930132134,7.151079713244664,7.195907377118735,7.065693686817864,0.0917899784088121,3.3437496356529595,1.2315456476993414,1.3691485133640715,1.2521860775490508,1.2246655044161048,0.1084143790085758,1.1383509795900455,2.358012743436523,2.330909148684379,1.5720084956243487,0.1626215685128637,1.0841437900857578,0.9486258163250382,1.5697959572772353
85,4.275,1.06691329366846,0.5352810928399162,0.5857793091455685,0.0166800790852083,7.399700084175572,7.6582413099963,7.631136181482837,0.137610652452969,3.5751183353131086,1.229786946169734,1.4112309218341217,1.350749596612658,1.196186209935588,0.1588398440159616,1.3766119814716666,2.620857426263365,2.091391279543493,1.0589322934397438,0.264733073359936,0.9000924494237822,1.0059856787677566,1.1945404595894265
86,4.325,1.0687868147353026,0.4366358969538692,0.446503374851132,0.0122224845553204,7.907947507292349,7.816278873127444,7.702202350611119,0.1446327339046257,3.6636427359013295,1.4181842848650312,1.273739589184333,1.15555756544558,1.3131335970972504,0.1034590106803894,0.6466188167524343,1.9915859555974973,2.250233482298471,0.5948893114122396,0.3362417847112658,0.9311310961235052,1.1380491174842842,1.2890148167424025
87,4.375,1.070517840401438,0.3567993915849436,0.4339452059816882,0.0059723564546405,7.564984842544726,7.726238466820025,7.497298136058797,0.1473181258811342,3.6381298461495537,1.4437023199006156,1.2897074057778837,1.2768744962676553,1.0972137631244676,0.2780463727216,0.5055388594938183,2.325478753671564,2.628802069367855,0.3791541446203637,0.2527694297469091,1.137462433861091,1.0110777189876363,1.1916273116640017
88,4.425,1.07052479957149,0.3499600857496505,0.3570299864718657,0.0155684050907649,6.731389151119511,6.554298543212062,6.6301945180295405,0.171252455998415,3.462293535223896,1.248181908531803,1.2105482831489345,1.135281032383198,1.1101919487946186,0.2223805136260409,0.5188878651274287,2.297931974135756,2.6438572175540416,0.3706341893767347,0.1976715676675919,0.9389399464210616,1.1119025681302044,0.8985988101623694
