,r ($\AA$),g_full(r),S(DMT),O(DMT),O(DMT),N(DMT),N(TFSI),O(TFSI),O(TFSI),O(TFSI),O(TFSI),O(DOL),O(DOL),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
45,2.275,0.8258659472104727,0.0,1.2777989196305015,1.134939413087961,0.0,0.0,2.2786091293535247,2.324641637017232,2.439722906176502,2.3246416370172334,0.3156419781275901,0.3286135662698199,39.07880915753835,4.53350454263786,0.4533504542637862,0.2720102725582717,4.080154088374072,28.470408527765773,0.0,0.0,0.0
46,2.325,0.5410910177915839,0.0,0.7370993125410205,0.6991045026162256,0.0,0.0,1.9172181088051476,1.7409221907540993,2.3138839244200056,1.454441323921147,0.2111347428971186,0.2442539182535293,25.175591327744385,4.340619194438689,0.4340619194438687,0.3472495355550949,3.559307739439725,19.880035910529205,0.0,0.1736247677775474,0.0
47,2.375,0.4131445919206855,0.0,0.5971555982430439,0.4733550473877786,0.0,0.0,1.3516107199257203,1.8373458223990269,1.7528701524036687,1.3304918024268806,0.198371334887942,0.1904364814924244,15.391211086275373,7.820399146539911,0.4991744136089306,1.08154456281935,5.740505756502701,11.89699019101285,0.0,0.0,0.0
48,2.4250000000000003,0.4528873450241578,0.0,0.4121260475257622,0.3003630515865723,0.0,0.0202570430139781,1.4990211830343825,1.3369648389225577,1.397735967964492,1.2964507528946012,0.1408040128572758,0.1712481237453355,9.416455752558315,6.543638743303236,0.6384037798344626,0.7980047247930783,6.064835908427392,7.82044630297216,0.0,0.1596009449586156,0.0
49,2.475,0.6451921492565568,0.0,0.3688199771192472,0.3151734349928112,0.0,0.019446871520833,1.2640466488541475,1.186259162770815,1.2251529058124813,1.652984079270809,0.1461325605611732,0.1242126764769972,5.822275473510016,6.97140879065015,1.0725244293307925,0.4596533268560538,6.281928800366069,4.443315492941854,0.0,0.0,0.0
50,2.5250000000000004,0.8740962945791413,0.0,0.3092581867767071,0.3092581867767071,0.0,0.0,1.1210609270655634,1.1397452758499895,1.289220066125398,1.32658876369425,0.1123220967387462,0.0912617036002313,3.9010655492332,8.243761160643732,0.5152350725402336,0.3680250518144526,7.728526088103502,2.72338538342695,0.0,0.0736050103628905,0.0
51,2.575,1.0100114262368742,0.0,0.2725847079857824,0.2168287449886905,0.0,0.0179658102990629,1.0060853767475242,1.2216751003362794,1.2755725312334685,1.1498118591400277,0.0877520792064056,0.0843769992369285,3.1140737851709086,8.988349334470573,1.3447136799601644,0.6369696378758677,7.4313124418851215,1.273939275751735,0.0707744042084297,0.2123232126252891,0.0
52,2.625,1.0059039060555717,0.0,0.2384543059447521,0.1848020871071828,0.0,0.034575874361989,1.2793073513935955,0.8989727334117159,0.9162606705927104,0.9508365449546996,0.113670685221857,0.1299093545392652,1.4982878890195257,7.831959419874798,0.7491439445097628,1.2939759041532266,7.355231455186765,1.1577679142423607,0.0,0.1362079899108659,0.0
53,2.6750000000000003,0.96319493903145,0.0,0.2066613241261721,0.1779583624419815,0.0,0.0166477177768305,0.9988630666098316,1.0987493732708145,1.0321585021634925,1.065453937717154,0.0938238429619061,0.0719316129374613,1.2460564517809511,9.31263242909974,0.5902372666330822,1.0493106962365906,8.06657597731879,0.8525649406922299,0.1311638370295738,0.0655819185147869,0.0
54,2.725,0.9503743988408396,0.0055318669505587,0.1880834763189969,0.143828540714527,0.0,0.0160424141566203,0.7700358795177756,0.9625448493972196,0.8823327786141181,1.1390114051200424,0.1205499329688233,0.093426198050838,0.9479608365275648,10.174779645395851,0.9479608365275648,0.8215660583238895,7.141304968507651,0.568776501916539,0.0631973891018376,0.1895921673055129,0.0
55,2.7750000000000004,0.9478828565949592,0.0266716082655713,0.2133728661245705,0.2080385444714562,0.0,0.0309390655880627,0.928171967641882,0.8662938364657568,1.0209891644060702,0.9591110332299446,0.0610286481614242,0.0668409003672742,1.035989923479069,9.080146976375383,0.8531681722768804,1.096930507213132,6.215939540874422,0.6703464210746918,0.1218811674681258,0.1828217512021887,0.0
56,2.825,0.9101057212847762,0.0514717201591614,0.185298192572981,0.185298192572981,0.0,0.0597071953846272,0.9851687238463502,0.6567791492308995,0.7911203388463113,0.7911203388463112,0.1121666965318141,0.0925375246387466,0.5880254090910259,8.879183677274483,1.528866063636667,1.2936559000002563,7.350317613637818,0.2352101636364102,0.2352101636364102,0.2940127045455128,0.0
57,2.875,0.8871323901658874,0.3478790853664706,0.1192728292685041,0.1540607378051512,0.0,0.0576485341464436,0.749430943903768,0.8935522792698773,0.8647280121966554,1.0520857481725976,0.1055917876164991,0.0893468972139607,0.6245257865864733,8.516260726179173,1.4761518592043918,1.2490515731729468,7.153659009990506,0.510975643570751,0.3974255005550285,0.283875357539306,0.0
58,2.9250000000000003,0.8874430400731608,0.6673741919843789,0.1488388485720557,0.1296338358530807,0.0,0.0835418053275409,0.9607307612667212,1.0721198350367758,1.0164252981517483,1.1417380061430602,0.1098598885087604,0.0889341954594727,0.4936561223900145,8.830959522754696,1.2067149658422571,1.2067149658422571,7.185439114787983,0.2194027210622286,0.1097013605311143,0.5485068026555716,0.0
