,r ($\AA$),g_full(r),O (DOL),O (DOL),C (TOL),C (TOL),C (TOL),C (TOL),C (TOL),C (TOL),C (TOL),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
34,1.725,0.6326571392732677,4.546468982265862,4.167596567077042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881095728688623,0.4115851040983748,0.2469510624590248,0.3292680832786998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.7891840915232047,13.466073977377963,13.94804842559214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6822046565653364,2.682204656565337,2.4489694690379165,2.4878420002924857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.6345600314785403,23.293790989791635,23.92932739876579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.149027577156422,9.597449991441405,10.406430450490095,9.670993669536736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3332702967979618,26.82595239526929,26.70160667789675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.41444556404085,19.926728434524527,20.03123924799231,19.857054558879337,0.2744728434507509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.298843445183444,22.308832585778728,23.718268989055023,0.0094430942640964,0.0,0.0,0.0,0.0,0.0,0.0094430942640964,0.0,23.69744505575012,25.11863074249663,25.44913904174,26.77117223871352,1.953003586438134,0.0,0.0,0.0,0.0,1.692603108246383,0.0,0.0,0.0
39,1.975,0.572561436313114,16.79328206748967,17.371343761418004,0.0179420808341965,0.0089710404170982,0.0089710404170982,0.0,0.0,0.0,0.0,0.0,25.15031180933503,25.056115884955503,25.15031180933501,24.993318602035806,13.977152819548731,0.0,0.0,0.0,0.0,12.863928258699712,0.0,0.0,0.0
40,2.025,0.9857912885919448,11.188156832694242,11.272320499941191,0.0170670352336667,0.0,0.0085335176168333,0.0,0.0170670352336667,0.0085335176168333,0.0,0.0,21.50446439442008,21.11618934285416,19.413752578295902,20.459108486357984,46.828324400980485,0.0,0.0,0.0,0.1176591065351268,49.53448385128839,0.0,0.0,0.0
41,2.075,1.4532647420709843,7.166004440311074,6.925534492649626,0.0487634296796249,0.0325089531197499,0.0243817148398124,0.0,0.0243817148398124,0.0325089531197499,0.0325089531197499,0.0,15.417371017041424,15.417371017041429,16.32762170439442,16.156949700515735,83.59480270785407,0.5602868814199333,0.0,0.0,0.7844016339879066,83.48274533157007,0.0,0.0,0.0
42,2.125,1.8996852875397643,4.0660292354645895,4.330983521484836,0.0309971878150485,0.0929915634451456,0.0464957817225728,0.0,0.0619943756300971,0.0852422664913835,0.0464957817225728,0.0,11.364343982692183,12.259387780851709,12.88320618562956,11.201608746663176,111.33391450752026,1.3890027721667593,0.1068463670897507,0.0,0.8547709367180056,107.27375255810976,0.0,0.1068463670897507,0.0
43,2.1750000000000003,1.9239627429401047,2.538857732424443,2.801498187502834,0.1035596552217929,0.0961625369916648,0.1257510099121771,0.0,0.0369855911506403,0.0443827093807683,0.0665740640711525,0.0,7.6116346588017825,8.906130349074198,8.983800090490544,8.699011038630614,97.91094675514972,2.447773668878741,0.7139339867562997,0.5099528476830711,2.345783099342128,111.37370193398272,0.0,0.0,0.0
