,r ($\AA$),g_full(r),O (DOL),O (DOL),O (HME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
36,1.825,0.7673577618897282,18.04569498329125,18.539533842583143,24.31197429856336,0.0,10.33241739832126,12.340484383860735,11.573767898472935,12.376994692688724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3644037728691768,20.68952148731133,20.806484862553678,25.09070133899378,0.0,21.86035486409618,24.62748839119696,23.520634980356643,21.03021480596593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3103014576924365,17.187493724246288,17.452580607367732,19.08355002495426,0.0,27.79495246559462,27.171452941573044,27.69650517232807,29.04195151363786,2.4562102461457105,0.0,0.0,0.0,0.0,3.1025813635524764,0.0,0.0,0.0
39,1.975,0.6271474450253471,12.351646426819014,13.341417999190956,12.89524878044557,0.0,26.623729020550662,28.18249535664848,25.002612031008944,26.343151080053048,17.93053639947669,0.0,0.0,0.0,0.0,17.193665040594087,0.0,0.0,0.0
40,2.025,1.131389646530495,9.147590196234614,8.76319085181306,8.181588409067578,0.0,22.745299179772648,22.47840518678965,21.61841343162223,20.550837459690268,57.59338723999957,0.0,0.0,0.0,0.3504668594726139,52.686851207382986,0.0,0.0,0.0
41,2.075,1.6224486884129474,5.687785849493993,5.385356937720525,4.845582122025406,0.0,17.0587864232298,17.030543399350286,16.606898041157493,15.929065468049036,101.13570096493406,0.6675623826068254,0.0,0.1112603971011375,0.2225207942022751,97.90914944900106,0.0,0.0,0.0
42,2.125,1.8850645477518704,3.399672127484248,3.369317912060286,2.5789981777666826,0.0,11.148869831258096,11.741321851276645,11.687462576729502,12.010618224012353,119.98377479797097,1.3791238482525392,0.1060864498655799,0.2121728997311599,0.7426051490590596,119.87768834810532,0.0,0.0,0.0
43,2.1750000000000003,1.811894645598168,2.206907946561884,2.226224427494593,1.759919127988163,0.0257057784719882,8.611435788116083,8.02020288326035,7.480381535348599,7.403264199932633,105.01199987299206,2.93669044967866,0.4050607516798152,0.3037955637598614,2.329099322158937,109.36640295355008,0.0,0.0,0.0
44,2.225,1.4561598401220988,1.3982022245101786,1.259766360697289,0.9509690373102728,0.0,5.944364999374772,5.944364999374772,6.361944358834982,5.575912623380468,75.96073731357323,5.031794064083834,0.8708874341683553,1.1611832455578073,5.515620416399588,81.76665354136223,0.0,0.0,0.0
45,2.275,1.0113295475610322,0.9578226819083606,0.8209908702071662,0.6223778835392589,0.0,3.7123183533900255,3.7593097249519256,3.782805410732875,3.876788153856673,50.537084143387766,6.941907162553265,1.573498956845407,1.8511752433475372,6.75678963821851,52.758494435404806,0.0,0.0,0.0
