,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DTFEG),O (DTFEG),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
43,2.1750000000000003,1.7492312188908412,1.2560077524125357,1.5043438859693852,2.703911608028087,2.172373428672139,0.0254213911865888,4.982592672571417,4.880907107825059,4.804642934265294,5.414756322743427,94.33647165786893,2.8040564823995004,0.6008692462284645,0.3004346231142322,2.403476984913857,89.62966256241259,0.0,0.0,0.0
44,2.225,1.4060321442828034,0.9811476619239252,0.9583302744373224,1.4685462060957932,1.3691708989163789,0.0,3.4494273292054625,3.74092823026508,3.2065099116557816,3.959553906059793,69.95285512044275,3.2536211683926863,0.0956947402468437,0.382778960987375,2.7751474671584697,63.54130752390425,0.0,0.0,0.0
45,2.275,1.066988245797699,0.6285740223583557,0.510716393166164,0.9928001895485218,0.9399916688278556,0.0,2.672111148465705,2.811525643168264,2.091217420538379,2.532696653763147,43.38748062409929,5.217481847201808,1.1899520002390087,0.6407433847440818,5.125947077952652,40.366833238877184,0.0,0.0915347692491545,0.0
46,2.325,0.9225483386741394,0.3719645696363132,0.4889871308702098,0.6067403524514698,0.5359539779987985,0.0444942925131077,1.7352774080112028,2.335950356938157,1.846513139293972,2.0244903093464037,25.15275838884924,6.222459392363403,1.3146040969781847,0.5258416387912738,5.608977480440248,20.858385005387174,0.0,0.0,0.0
47,2.375,0.8929240515499839,0.2643473050028637,0.2923841403819553,0.3973332134743194,0.300422673602534,0.0,1.70562550174342,1.1726175324486017,1.0233753010460522,1.513742632797286,14.026185470776383,7.810989513665883,1.4278152874443024,1.0078696146665664,5.207326342443922,13.27028325977646,0.0839891345555471,0.1679782691110943,0.0
48,2.4250000000000003,0.8641189018634406,0.1920902636501459,0.2727681743832074,0.2602755908031627,0.2602755908031627,0.020450224991677,1.022511249583853,1.4519659744090705,1.1452125995339149,1.0225112495838529,9.022887147842976,7.895026254362606,2.094598802177833,0.8861764163060062,8.217272223928422,6.847726853273689,0.0805614923914551,0.0805614923914551,0.0
49,2.475,0.8700289838509445,0.132773542812806,0.1585906205819627,0.1784757024601044,0.1160092065990679,0.0,0.8834547271775179,0.9816163635305758,0.706763781742014,1.0994103271542448,5.336423503557123,9.7447733543217,1.2374315370567244,0.7733947106604528,9.435415470057515,3.557615669038083,0.0773394710660452,0.2320184131981358,0.0
50,2.5250000000000004,0.9037816204653424,0.1346544965155014,0.1559157328074226,0.171477570093351,0.1200342990653456,0.0,0.8676765046723565,0.6413261121491329,0.7167762429902075,0.641326112149133,1.709059781930398,9.436982274137405,1.4118319937685897,1.337525046728138,7.876536386287913,1.857673676011302,0.074306947040452,0.3715347352022604,0.0
51,2.575,0.942835637464736,0.1158470621583227,0.1056252625561177,0.1401506416320967,0.09892986468148,0.0362742837165427,0.6529371068977685,0.7980342417639389,0.6166628231812259,0.743622816189125,1.4289869342880457,9.931459193301922,2.072031054717665,0.8573921605728272,9.788560499873116,1.143189547430436,0.1428986934288045,0.0714493467144022,0.0
52,2.625,0.9459386301833784,0.0754102377151259,0.1016398856160393,0.1269294849470774,0.0555316496643463,0.0349056083604462,0.6806593630287021,0.6806593630287022,0.5410369295869172,0.7330177755693714,0.8937951231690026,11.619336601197034,1.6500833043120051,1.031302065195003,11.481829659171025,0.5500277681040017,0.1375069420260004,0.1375069420260004,0.0
53,2.6750000000000003,0.8908308806655327,0.0726175912037238,0.059988444907424,0.0229179263209076,0.0305572350945435,0.0672259172079958,0.5041943790599687,0.5714202962679644,0.4369684618519728,0.6890656513819571,0.3972440562290663,10.92421154629933,1.5889762249162642,0.6620734270484437,9.798686720316976,0.4634513989339107,0.0,0.4634513989339107,0.0
54,2.725,0.822193201806336,0.0608497807464517,0.0760622259330647,0.0220846407044814,0.0441692814089629,0.0,0.5344483050484514,0.5020574986818787,0.712597740064602,0.5668391114150244,0.510400585170238,10.080411557112187,1.595001828656994,0.7656008777553571,8.868210167332874,0.6380007314627976,0.0638000731462797,0.1276001462925594,0.0
55,2.7750000000000004,0.7943334428038343,0.0645444904074012,0.0469414475690191,0.0212959888883924,0.0496906407395822,0.0468511755544632,0.5778311651717141,0.468511755544633,0.577831165171714,0.546597048135405,0.2460869827103122,11.381522950351949,1.1689131678739828,1.1073914221964047,11.320001204674366,0.2460869827103122,0.1845652370327341,0.2460869827103122,0.0
56,2.825,0.7830932272960707,0.0481254606658543,0.0679418268223826,0.0136992261541633,0.0068496130770816,0.0301382975391594,0.4219361655482325,0.512351058165711,0.3164521241611743,0.4370053143178122,0.118726626669416,10.091763266900369,1.424719520032992,0.5936331333470802,10.03239995356566,0.118726626669416,0.059363313334708,0.2968165666735401,0.0
57,2.875,0.7800761779015437,0.0737991465785566,0.0628659396780297,0.0264537733397364,0.0595209900144069,0.014549575336855,0.5674334381373466,0.4364872601056512,0.4801359861162163,0.5965325888110566,0.0,11.234035744941414,1.0890136691524828,0.8024311246386715,11.062086218233128,0.0573165089027622,0.4012155623193357,0.5158485801248602,0.0
58,2.9250000000000003,0.7951346581222639,0.0607350984383341,0.081860350069059,0.0255571226022056,0.0319464032527571,0.0702820871560655,0.4919746100924594,0.5903695321109513,0.4076361055051805,0.463861775230033,0.0,9.579661455393436,1.4950916722290315,0.7752327189335718,9.136671330288532,0.0,0.1107475312762245,0.1661212969143368,0.0
59,2.975,0.8196576853948004,0.0638160714894585,0.0587107857703019,0.012352649362435,0.012352649362435,0.0815274857920714,0.4755770004537497,0.502752829051107,0.4212253432590355,0.4212253432590356,0.0,11.455023508764777,1.3382036809304652,1.2846755336932467,9.795650944410994,0.0,0.267640736186093,0.267640736186093,0.0
60,3.0250000000000004,0.8624358542765292,0.0617239318176432,0.0691308036357604,0.0238953626952778,0.0119476813476389,0.0919971463768195,0.5256979792961117,0.6045526761905283,0.4337008329192922,0.5782677772257229,0.0517732858397685,9.267418165318585,1.553198575193057,1.294332145994215,9.733377737876502,0.0,0.1553198575193057,0.2070931433590743,0.0
61,3.075,0.906611439238078,0.0836262178025342,0.0788475767852465,0.0057811531188165,0.0173434593564496,0.1144668317525677,0.3942746427032886,0.5723341587628386,0.623208306208424,0.6486453799312166,0.0501033270297434,9.92045875188921,1.3527898298030727,1.7536164460410204,9.319218827532287,0.0,0.0501033270297434,0.3006199621784606,0.0
62,3.125,0.9489415341028868,0.0879120703848537,0.1203007278950629,0.005597640109157,0.005597640109157,0.1847221236021824,0.5418515625664019,0.4556479048853834,0.4802775213656744,0.6157404120072749,0.0,10.575808046234036,1.6009250712189145,1.1643091427046652,10.67283380812609,0.0970257618920554,0.2425644047301385,0.5821545713523326,0.0
63,3.1750000000000003,0.9498463545292024,0.1165416409194215,0.1098180847125318,0.0108454566320924,0.0,0.3459700665637503,0.5845701124697847,0.5965001147650865,0.5607101078791814,0.7873801514899142,0.0,10.198344386377627,1.2219214472157538,1.8798791495626983,8.694441066727476,0.0939939574781348,0.3759758299125394,0.6109607236078766,0.0
64,3.225,0.9031652760897416,0.1390228081036151,0.1259894198439012,0.010511777011331,0.0052558885056655,0.1734443206869622,0.6128365997605995,0.4278293243611734,0.7631550110226335,0.4740811432110299,0.0,8.290288136269748,1.5942861800518753,1.5942861800518748,9.292410878016645,0.0911020674315357,0.4099593034419108,0.1822041348630714,0.0
65,3.2750000000000004,0.8449132690856854,0.122171855261575,0.1474487908329353,0.0050966315312882,0.0203865261251531,0.5157791109663736,0.7624560770807268,0.5718420578105445,0.6951805408677212,0.4148658066468658,0.0,8.701648901086187,1.8993446839934296,2.4293943632474098,8.834161320899682,0.0,0.3533664528359871,0.3091956462314887,0.0446215291208708
66,3.325,0.791200753778041,0.1757442755555902,0.1573524327648888,0.0148335142321274,0.0148335142321274,0.7070641783980732,0.6961862679611798,0.7288199992718604,0.6853083575242863,0.5221397009708848,0.0,8.69903201301872,2.9139614624890267,2.099766347970033,9.341817629744236,0.1285571233451041,0.1714094977934721,0.3428189955869443,0.0144298811917974
67,3.375,0.7555719331419646,0.1943769655084495,0.2360291724031174,0.0095981775461572,0.0,0.8551976193626073,0.6862696945502403,0.6334797180463758,0.6757116992494674,0.7918496475579698,0.083184205400029,7.528170588702628,2.45393405930086,1.746868313400612,7.944091615702774,0.083184205400029,0.2495526162000872,0.2495526162000872,0.0
68,3.4250000000000003,0.7491863100421131,0.2445958454266435,0.2368920392714737,0.0,0.009319989264646,1.1789786419777288,1.004694842728847,0.6151192914666407,0.8099070670977441,0.8406630316710763,0.0,8.238870509947136,2.7462901699823754,1.8577845267527835,7.229205006277142,0.0,0.4038662014679965,0.6461859223487942,0.027199152343763
69,3.475,0.7663514621700344,0.2544462283055064,0.2937357194409156,0.0090537222330013,0.0,1.4639868850763222,0.8365639343293271,0.8664412176982315,0.9261957844360408,0.836563934329327,0.1176983890290177,7.493464101514132,2.707062947667406,2.707062947667406,7.022670545398059,0.1176983890290177,0.4315607597730652,0.4315607597730652,0.0792662619991344
70,3.5250000000000004,0.8028834354409657,0.3872828797442746,0.3654641259558648,0.0087987049076804,0.0,1.858286476502105,0.7839646072743266,0.8807503612588112,0.8420360596650173,0.8904289366572596,0.0,6.443584894057956,2.5545573248632163,3.012089980062598,6.824862106724111,0.0762554425332303,0.4956603764659972,0.6862989827990731,0.0641946327448112
71,3.575,0.8422048566709912,0.4224866098303446,0.4525379586467289,0.0042771561869473,0.0042771561869473,2.239518979485626,1.223266669466939,1.1573984641879502,0.9409743611284148,0.9880230791848356,0.1112060608606309,5.226684860449659,2.965494956283491,2.85428889542286,5.856852538659899,0.0,0.5560303043031546,0.2965494956283491,0.2621285720286301
72,3.625,0.8837573836545365,0.6017545141767748,0.5948773197290401,0.0124799437705393,0.0083199625136928,3.001842474940388,1.1897546394580796,1.10738701057252,1.2904261858737631,1.089083093042396,0.0,6.5977302733584455,3.208732209447552,3.172679038554883,6.669836615143781,0.0721063417853381,0.3605317089266908,0.5047443924973671,0.1821053019578693
73,3.675,0.923529653141733,0.6758249153994549,0.6758249153994547,0.0121426688046914,0.0202377813411524,2.983048969685864,1.3178843209358455,1.2911704495655247,1.291170449565525,1.2288380830347752,0.0,4.665483191847001,3.998985593011715,3.122015068228444,5.261823148699625,0.0350788209913308,0.4560246728873008,0.5261823148699625,0.2480573770101252
74,3.725,0.9474069013293572,0.8336525940501941,0.8417937326639652,0.0039396279165942,0.0196981395829714,3.397535115270911,1.5080895664722918,1.3520803009751574,1.204738216894531,1.1787366726450088,0.0341434419438171,4.643508104359124,2.9363360071682703,3.038766332999721,4.609364662415307,0.0,0.4438647452696225,0.580438513044891,0.3449184441263158
75,3.775,0.9377998510671958,1.0400106775274849,1.0400106775274849,0.007671919120427,0.0230157573612811,3.5781830777671724,1.3333795431302202,1.409331542422447,1.6371875402991312,1.5949919851367822,0.0664899657103676,3.823173028346135,3.4907231997942985,2.9255584912561745,4.155622856897974,0.0,0.6648996571036767,0.5651647085381253,0.638100130108171
