,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DMF),N (DMF),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.1081900403441418,0.5694867059466131,0.5837238735952786,2.107433314856254,0.0,0.0,0.7073316932321512,0.6568080008584262,0.606284308484701,0.8336409241664641,51.94754188607556,1.3932290927299953,0.1990327275328565,0.2985490912992847,1.592261820262852,49.758181883214114,0.0,0.0,0.0
45,2.275,0.8987451064544605,0.4130872206872529,0.3994689606645961,1.170476437870887,0.0,0.0,0.6765830928179377,0.5799283652725181,0.5557646833861631,0.4832736377270984,32.269498810050365,2.6653273353433904,0.0951902619765497,0.4759513098827486,2.2845662874371926,33.982923525628266,0.0,0.0,0.0
46,2.325,0.6160909480613787,0.2738158275034889,0.2564306955985055,0.6130196829680785,0.0,0.0,0.3238983805682297,0.5089831694643608,0.4164407750162953,0.3238983805682297,24.15216279345351,4.3747313739085545,0.8202621326078544,0.4557011847821413,3.281048530431416,19.959711893457808,0.0,0.0,0.0
47,2.375,0.5138761291056306,0.1999303010801492,0.2124259448976585,0.4222519469203368,0.0,0.0,0.2660610929758909,0.3325763662198636,0.3325763662198637,0.2438893352279,14.673672400488528,4.367164404907302,1.1354627452758976,1.3101493214721895,5.065910709692472,13.71289623140892,0.087343288098146,0.087343288098146,0.0
48,2.4250000000000003,0.6608598361622325,0.1238521280535798,0.1638044274257024,0.2289241306698181,0.0,0.0,0.4040714093420514,0.2552029953739272,0.3615375767797302,0.319003744217409,8.042761066329826,4.105159294272516,1.0891238943988308,1.591796461044445,4.775389383133335,7.288752216361404,0.0,0.0,0.0
49,2.475,0.8204689606553308,0.1073923894263899,0.0882151770288203,0.1267894679533584,0.0,0.0,0.2449962642298742,0.2041635535248951,0.2245799088773847,0.2858289749348532,5.549536591267605,4.02140332700551,1.045564865021433,1.4477051977219846,5.790820790887936,4.745255925866501,0.0804280665401102,0.0,0.0
50,2.5250000000000004,0.8409989668080827,0.0994964209915678,0.0810711578449812,0.0730907890935934,0.0,0.0,0.156926548891544,0.117694911668658,0.137310730280101,0.137310730280101,2.936428604258438,6.18195495633356,1.31366542822088,1.2363909912667106,5.177387275929354,2.5500564194875905,0.0,0.0772744369541694,0.0
51,2.575,0.8493479213244369,0.0602367400197834,0.0708667529644511,0.1054199372920226,0.0,0.0,0.1320302120614619,0.2074760475251545,0.1131687531955388,0.0943072943296157,1.8575679186136436,5.2754928888627495,1.2631461846572771,1.7089624851245515,5.647006472585476,1.337448901401823,0.1486054334890914,0.0743027167445457,0.0
52,2.625,0.8536124173900412,0.0443253585282125,0.0545542874193385,0.0413283475155259,0.0,0.0,0.0907489588802457,0.1451983342083931,0.2359472930886389,0.1451983342083932,1.4299835944765993,5.862932737354056,1.2154860553051097,0.9294893364097898,6.363426995420867,1.07248769585745,0.07149917972383,0.21449753917149,0.0240762543967998
53,2.6750000000000003,0.8123743447471101,0.0492506189593109,0.0558173681538857,0.0506518042970068,0.0,0.0,0.2621648332295628,0.1048659332918251,0.1747765554863752,0.1922542110350127,0.7573650737742927,5.439258257106283,1.1704732958329978,0.8262164441174102,4.750744553675107,0.8950678144605277,0.137702740686235,0.0,0.0
