,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EiPS),O (EiPS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.3476460382329083,0.5070963920463198,0.4601430224124012,1.2845568380777144,1.1586198931681342,0.0,1.3496565511386656,1.2246883519591596,1.2246883519591596,1.02473923327195,55.43286362392757,1.279977312808274,0.3938391731717766,0.3938391731717766,1.2799773128082734,46.07918326109786,0.0,0.0,0.0
45,2.275,0.97158410851037,0.2559998105413177,0.3323506312290792,0.6183731767026416,0.5862498947960109,0.0,0.8845639877327797,0.4781426960717729,0.7172140441076593,0.9084711225363682,31.07927524466528,1.88359243907062,0.3767184878141241,0.3767184878141241,1.601053573210027,31.079275244665283,0.0,0.0,0.0
46,2.325,0.6873156330454788,0.1849059452256776,0.2322074660973626,0.3460111251924524,0.315254580730901,0.0,0.5035792683570156,0.4577993348700142,0.5264692351005164,0.5264692351005164,22.00211348799525,2.885523080392815,0.6312081738359285,0.6312081738359285,2.97569567665509,20.92004233284793,0.0,0.0,0.0
47,2.375,0.5983106460523572,0.1071457998799357,0.164839692122978,0.1989576749112223,0.2136952804602018,0.0,0.4167908215447912,0.3729181034874448,0.2193635902867322,0.394854462516118,16.073368524645996,3.629470312016841,0.6913276784793987,0.6913276784793987,3.715886271826766,11.32049073510014,0.0,0.0,0.0
48,2.4250000000000003,0.6331430463413842,0.0988203092656616,0.1185843711187939,0.1060211690106012,0.1554977145488818,0.0,0.2314523674246817,0.2524934917360165,0.3156168646700205,0.4839458591606981,8.869152702141395,4.724688822636069,0.9117820534911708,0.3315571103604258,3.8129067691448975,7.708702815879906,0.0,0.0,0.0
49,2.475,0.7389390077609187,0.0796891490803604,0.0720997063108023,0.0678539327717601,0.0542831462174081,0.0,0.3231935013251837,0.3231935013251837,0.2423951259938877,0.2625947198267118,6.0476359717666925,4.535726978825016,0.636593260185968,1.114038205325444,4.217430348732034,3.501262931022822,0.0,0.0,0.0
50,2.5250000000000004,0.8498135176061361,0.0583348517046366,0.069272636399256,0.0456353394149321,0.0521546736170653,0.0,0.3299284593525701,0.2134831207575453,0.155260451460033,0.2522982336225536,4.204970560375898,6.192774825280868,0.8409941120751789,0.9174481222638312,4.357878580753202,2.522982336225538,0.1529080203773052,0.0,0.0
51,2.575,0.9029373396443042,0.0490800498420451,0.0455743319961847,0.0376117325478352,0.0313431104565293,0.0186612057641182,0.1306284403488279,0.1866120576411827,0.1306284403488279,0.2052732634053009,2.499470590224327,5.513538066671311,0.8821660906674089,0.8821660906674089,4.925427339559706,1.176221454223212,0.0,0.0,0.0
52,2.625,0.9435577562190324,0.0573485242824629,0.026987540838806,0.030160494606676,0.0542888902920169,0.0,0.1436567558496447,0.1436567558496447,0.269356417218084,0.179570944812056,1.1318411066941705,4.527364426776686,0.8488808300206279,0.9196208991890136,4.8810647726186165,0.7074006916838567,0.0707400691683856,0.0,0.0
53,2.6750000000000003,0.971368802594218,0.0292366335269126,0.0259881186905889,0.0232348554701389,0.0348522832052084,0.0,0.0864604717975364,0.1210446605165509,0.1729209435950728,0.242089321033102,1.5667685495432366,6.062713083015131,1.0899259475083385,1.0899259475083385,4.155342674875537,0.2724814868770845,0.1362407434385422,0.0681203717192711,0.0
54,2.725,0.9616660911090872,0.0125216011219889,0.0375648033659669,0.0279875580633603,0.0503776045140486,0.0166633614931084,0.2166236994104093,0.1666336149310841,0.1999603379173009,0.1166435304517588,0.4595048169311713,6.039206165381113,0.5907919074829344,0.984653179138224,5.054552986242888,0.525148362207053,0.0,0.0,0.0
55,2.7750000000000004,0.9548028161306936,0.027167511318645,0.0332047360561216,0.026988110583552,0.0377833548169728,0.0160683058397455,0.2892295051154207,0.2088879759166927,0.1928196700769471,0.1446147525577103,0.2531975465656881,5.8868429576522505,0.7595926396970644,0.6962932530556424,6.076741117576516,0.3164969332071102,0.0,0.063299386641422,0.0
56,2.825,0.9556223779539936,0.0495160224800758,0.0203889504329724,0.0520825164253115,0.0520825164253115,0.0,0.1240365160405881,0.3100912901014704,0.1085319515355146,0.1395410805456616,0.366471524665374,5.069522757871011,0.7940216367749771,0.7329430493307479,5.863544394645989,0.122157174888458,0.122157174888458,0.061078587444229,0.0
57,2.875,0.9575246857928276,0.0478087455682716,0.0478087455682716,0.0452580737800875,0.0553154235089958,0.0149699782503366,0.1496997825033663,0.119759826002693,0.2245496737550495,0.1946097172543762,0.2358905663689408,7.017744349475993,0.6486990575145875,0.4717811327378818,4.540893402602113,0.4128084911456466,0.1179452831844704,0.1179452831844704,0.0
