,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
36,1.825,0.7218254196787212,21.684710750246065,22.61731220016108,0.0,0.0,18.937920496906663,16.10642558766042,16.658015505046052,17.68765001749923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4285777060491991,23.98617067904848,24.12360849194342,0.0,0.0,29.54238374057404,28.392739090292256,28.21855050691623,32.08553705786402,0.1372394899326267,0.0,0.0,0.0,0.0,0.1372394899326267,0.0,0.0,0.0
38,1.925,0.4527513046248998,19.82568744476223,20.29137067631787,0.0,0.0,34.53888944278435,34.93550826892159,36.45588043578099,38.37287142877765,2.4738598498964,0.0,0.0,0.0,0.0,3.6456881998473274,0.0,0.0,0.0
39,1.975,0.7808818568568429,14.19822045734433,14.60523217797447,0.0,0.0,33.31470339211811,33.879891574076765,33.34610273556027,31.053950664283544,23.873015968590053,0.0,0.0,0.0,0.0,20.78065638716647,0.0,0.0,0.0
40,2.025,1.2000715115365257,9.392875257437046,9.521929099086424,0.0,0.0298679794051393,27.269465196892263,26.433161773548367,26.8214455058152,26.970785402840868,66.83186664471182,0.0,0.0,0.0,0.0,64.83161711485249,0.0,0.0,0.0
41,2.075,1.558550999457175,6.0386025771823135,6.022570888924305,0.0,0.0,20.62332820267098,18.148528818350464,19.912178954303016,18.43298851769765,114.74931871847696,0.4482395262440504,0.0,0.1120598815610126,0.3361796446830378,114.18901931067194,0.0,0.0,0.0
42,2.125,1.7363992358840494,3.3935288386905613,3.337479563577052,0.0,0.0,13.31746454815856,13.181848819562248,13.453080276754882,15.080469019910716,131.53081846829687,0.9616388027739012,0.0,0.1068487558637668,1.3890338262289683,121.27333790537516,0.0,0.0,0.0
43,2.1750000000000003,1.7311480804706352,2.412455151291315,2.295723450422379,0.0,0.0,9.78660621361937,10.433868529334935,9.424139316818652,9.372358331561404,110.25427057879844,2.855799792975352,0.0,0.1019928497491196,2.549821243727993,113.1100703717737,0.0,0.0,0.0
44,2.225,1.5618822822932226,1.4082492940819544,1.2967047955408093,0.0,0.0,5.789159474285421,6.605579400146183,7.100379355213311,7.694139301293867,88.5916828640648,4.288266277248461,0.2923817916305767,0.2923817916305767,4.1908056800382685,81.18467747609016,0.0974605972101922,0.0974605972101922,0.0
45,2.275,1.2228275409448852,1.0625095390843735,1.0269443662279936,0.0,0.0,4.638245696977533,4.756568291288184,5.466503857152088,4.6145811781154,52.85792985841277,6.339222628522164,0.3728954487365978,0.9322386218414946,6.339222628522164,50.620557165993205,0.0,0.0,0.0
46,2.325,0.9516146315514878,0.6427313970297911,0.7321178827094306,0.0,0.0,3.6478854001978136,4.327615598992435,3.761173766663584,3.557254707025198,30.883095294729543,7.408372570701005,0.4462875042590968,0.3570300034072774,7.765402574108288,31.41864029984044,0.0892575008518193,0.0892575008518193,0.0
