,r ($\AA$),g_full(r),O (DOL),O (DOL),P (TTFP),O (TTFP),O (TTFP),O (TTFP),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
55,2.7750000000000004,0.7807546274333197,0.0568142614486371,0.0681771137383645,13.293655131086442,1.229730420633926,1.427205378691928,1.4092531097775645,0.0151213342009449,0.6653387048415781,0.6502173706406331,0.4990040286311835,0.3931546892245689,0.357413353840517,9.471453876773708,2.9188757230308893,2.025342338429596,10.305418369068247,0.714826707681034,0.0595688923067528,0.0595688923067528,0.0
56,2.825,0.7828466654184059,0.0712672827671412,0.0603030854183503,9.033647513326455,1.3511495801332003,1.2905210733323516,1.4810678089921618,0.0145908164718525,0.569041842402251,0.539860209458546,0.4377244941555777,0.3209979623807571,0.5173107658202283,8.67932507098383,2.529074855121116,1.724369219400761,9.713946602624286,0.3448738438801522,0.0574789739800253,0.0,0.0
57,2.875,0.8073101875201738,0.0635169581667735,0.0502842585486957,5.234976815483438,1.4885397334761217,1.2125745019889769,1.5888907267441752,0.0704386779669988,0.5212462169557914,0.4085443322085933,0.4085443322085933,0.3099301830547949,0.4994742619478098,9.26802241614269,2.441874169522628,2.330879889089781,9.711999537874073,0.2219885608656933,0.4439771217313866,0.1109942804328466,0.0
58,2.9250000000000003,0.8424546355627331,0.0639208860970652,0.0613640506531826,2.7792217522619524,1.2280282161157472,1.1957116841127011,1.2199490831149862,0.0272204634948733,0.3946967206756634,0.3130353301910433,0.3946967206756634,0.3810864889282268,0.053616064459599,9.168347022591435,1.9301783205455647,2.1446425783839613,9.06111489367224,0.375312451217193,0.160848193378797,0.107232128919198,0.0
59,2.975,0.886877423194689,0.0667336217459047,0.0519039280245926,1.4526328297241506,1.4370131218776532,1.015281010022255,1.2339569198732014,0.0920962004949182,0.4078546021917806,0.5262640028281039,0.4078546021917807,0.2894452015554571,0.2073161223262228,9.121909382353811,1.7103580091913393,2.695109590240897,9.329225504680034,0.3628032140708899,0.3109741834893342,0.1554870917446671,0.0
60,3.0250000000000004,0.9324446815025124,0.0621552469775896,0.0693270062442346,0.8686888926021401,1.6014090889709007,1.2539335319300449,1.337025512961554,0.0763516525002817,0.2926813345844132,0.3054066100011268,0.4708351904184041,0.267230783750986,0.1002597457074406,8.923117367962215,2.406233896978577,2.305974151271137,9.474545969353134,0.300779237122322,0.150389618561161,0.3509091099760424,0.016880467389518
61,3.075,0.98872742347238,0.0624638932372657,0.050896505600735,0.5775031482318358,1.3377604572965316,1.0307334670973276,1.5643756167292773,0.0738889130259622,0.3817593839674716,0.3201852897791698,0.2462963767532076,0.4802779346687545,0.2910775361628816,7.568015940234927,2.1345685985278,2.5711849027721225,8.15017101256069,0.242564613469068,0.1940516907752544,0.1940516907752544,0.0
62,3.125,1.032028000087626,0.0604810817103212,0.0694412419637021,0.3397496381008001,1.3377642000218997,1.0687957365254337,1.3377642000219003,0.0596195278398038,0.4769562227184311,0.2861737336310586,0.2861737336310586,0.321945450334941,0.0939459226566606,6.9519982765928905,2.8183776796998194,2.91232360235648,8.314214155114469,0.1878918453133212,0.0939459226566606,0.2348648066416515,0.0
63,3.1750000000000003,1.032195926344742,0.0564211595487238,0.0781216055290022,0.1851375035139367,1.3371041920450986,1.0833972427852594,1.2273930788516547,0.1732697148271459,0.3465394296542918,0.3465394296542918,0.2310262864361946,0.4505012585505792,0.136515532894115,7.735880197333178,2.9123313684077856,2.639300302619555,7.644869842070436,0.2275258881568583,0.136515532894115,0.3640414210509733,0.0153231720595435
64,3.225,0.9743865348999712,0.0778213357572857,0.0841311737916602,0.1727954427921861,1.4023014780442782,1.15640027099386,1.256089949527813,0.2910938613191442,0.3582693677774084,0.4142489564926285,0.2910938613191442,0.3358775322913203,0.0882102610058013,6.659874705938004,2.4698873081624377,2.910938613191444,7.58608244649892,0.1764205220116026,0.3087359135203045,0.485156435531907,0.0
65,3.2750000000000004,0.8841679821133718,0.0978983308299629,0.0856610394762175,0.0708906101862326,1.3533661944644415,1.192251171313912,1.3662553963164834,0.3582702376334991,0.4016969331042261,0.3799835853688625,0.2822735205597265,0.5319770195164074,0.2138435761816109,6.5008447159209695,2.4805854837066885,2.395048053234044,6.244232424503037,0.0855374304726444,0.3849184371268997,0.2993810066542553,0.0
66,3.325,0.811291883917173,0.1345496348955534,0.110805581678691,0.037513435675956,1.2254388987479,1.0628806774854236,1.369240402172399,0.6424897271732023,0.4107721206517193,0.3475764097822241,0.4002395021734701,0.4213047391299687,0.0,5.891882942681227,3.2778785385339204,2.987433604739776,6.887694144261156,0.0414921333991635,0.373429200592472,0.5393977341891262,0.0
67,3.375,0.767446946643784,0.1401949779553021,0.124831144754721,0.018205090025346,1.1711941249639266,0.9163228646090824,1.4078602952934245,1.0120629662551983,0.429360046290084,0.5009200540050981,0.4293600462900841,0.4600286210250901,0.0,6.000508006232992,2.7787587411414525,2.7787587411414525,6.926760919946809,0.0,0.4832623897637309,0.6846217188319521,0.0406828032199059
68,3.4250000000000003,0.7629834941295921,0.1324020099926361,0.152914997456284,0.0294624062367046,1.1018939932527532,0.9133345933378436,1.01939925578998,1.4989112489870555,0.6650798257094881,0.5856673092068629,0.5062547927042375,0.5360344863927218,0.0,5.748383296837775,3.08926721394683,2.580906786335325,6.374057669282702,0.0391046482778079,0.5865697241671197,0.6256743724449277,0.0526715670680679
69,3.475,0.7878507632899779,0.1829655634350024,0.1829655634350024,0.0057241362582857,0.789930803643428,0.6754480784777135,0.8643445750011416,1.986451408894628,0.5592921442518852,0.6942936963126854,0.5978640162692569,0.7425085363343996,0.0379874497140779,4.9003810131160535,3.0010085274121554,3.001008527412155,4.900381013116053,0.1519497988563116,0.3418870474267012,0.5318242959970906,0.0639584612532944
70,3.5250000000000004,0.838475987908157,0.2411904662209753,0.269358695852622,0.0055629037971174,0.6508597442627414,0.5785419949002145,0.7454291088137381,2.558379456294314,0.721594205621473,0.6185093191041195,0.6653660857029163,0.6466233790633975,0.0369174524717794,5.353030608408016,2.6211391254963403,2.879561292798795,5.906792395484707,0.0369174524717794,0.516844334604912,0.3691745247177943,0.074588322340942
71,3.575,0.8905220267019895,0.2909744418985637,0.2670118408010347,0.0,0.4218543238226397,0.4488962676574242,0.4759382114922086,2.9884260146773025,0.8655502176656821,0.6924401741325462,0.6286627896729695,0.7471065036693257,0.0358920345443504,5.168452974386463,2.907254798092386,3.086714970814139,4.450612283499456,0.0,0.7178406908870092,0.6460566217983083,0.145033119179212
72,3.625,0.9189579512938696,0.3229564159714947,0.3329447587334996,0.0,0.4208178503079118,0.3419145033751782,0.4313382965656097,3.11036993608835,0.9570369034117996,0.9747598090305372,0.8329765640806412,0.8063922056525354,0.0349087534914517,4.293776679448572,2.687974018841788,3.9097803910426014,5.166495516734868,0.1396350139658071,0.59344880935468,1.151988865217909,0.1410598610470908
73,3.675,0.935708101544882,0.4713426041328896,0.3935953704614853,0.0102361274164025,0.2405489942854604,0.2763754402428695,0.2354309305772592,3.259104229940916,1.0001483880241973,1.0087703568864743,0.982904450299642,1.06050217006014,0.0339653318816994,3.056879869352952,3.0568798693529518,2.6153305548908583,4.687215799674525,0.1358613275267978,0.8830986289241857,1.0189599564509837,0.2859326408408373
74,3.725,0.9454552947301244,0.5391779526635774,0.4650803977653667,0.0,0.1893004278250611,0.1942820180309837,0.2391163298842876,3.1805920667829777,1.1581047631030374,1.2672015886127437,1.0406158740925842,1.3175539696172234,0.0330596440938504,3.405143341666592,3.0745469007280883,3.570441562135843,4.0002169353559,0.1322385763754016,0.9587296787216618,0.8264911023462599,0.3228375448756616
75,3.775,0.9386278836928876,0.6431893667903408,0.618628436316247,0.0,0.1358140949960183,0.1067110746397287,0.1115615780324436,3.252150590121692,1.2910547568824815,1.282883524243985,1.1603150346665343,1.3645958506289522,0.1287588173338875,3.476488068014964,3.0580219116798304,2.8005042770120543,3.412108659348022,0.0965691130004156,0.7081734953363817,0.9656911300041564,0.7153997554928757
76,3.825,0.9310889222894216,0.7894596786032342,0.804411566455568,0.0,0.0850414224149187,0.0519697581424503,0.127562133622378,3.358700075530748,1.432620885297476,1.408743870542518,1.376907850869241,1.6077189935005003,0.0627073114776673,2.3828778361513603,3.354841164055201,3.1040119181445327,3.104011918144533,0.0313536557388336,0.9406096721650106,0.8779023606873432,0.5173353196907561
77,3.875,0.9254917123441628,1.0008578316282526,0.9921167151948184,0.0,0.082860994136119,0.0506372741942949,0.0736542170098835,3.458702880876624,1.8999601027237047,1.5587427781529168,1.566497717347707,1.6440471092956137,0.1221990418573068,3.0549760464326736,3.482672692933248,3.1466253278256557,3.207724848754306,0.1527488023216335,1.1303411371800878,0.7942937720724942,0.9978549310847936
78,3.925,0.9263634711039967,1.2225962244559485,1.1473376879911807,0.0,0.0493553872292422,0.0269211203068593,0.040381680460289,3.461848985921295,1.7687176041606618,1.7687176041606614,1.602427914880599,1.9728004046407368,0.1191055625697415,2.501216813964571,3.245626580025456,3.424284923880068,3.037191845528408,0.1191055625697415,1.3697139695520273,1.131502844412544,1.213235998318821
79,3.975,0.9316605621916066,1.3470941250872597,1.308328826523597,0.0,0.0306228157603358,0.017498751863049,0.0743696954179584,3.729051324907533,2.2403786616045265,1.9455919956039325,1.6655446629033663,1.8203076625536796,0.1161280805456891,2.003209389413139,2.990298074051495,3.1644901948700297,2.438689691459474,0.1161280805456891,1.1322487853204697,0.8128965638198239,1.6717111186717457
80,4.025,0.9350741134940624,1.55688683793021,1.482620770205873,0.0,0.029866735745678,0.0469334418860655,0.0170667061403874,4.118557218151543,2.580387506660392,2.120374134999486,2.1635003885926967,2.379131656558745,0.1415760850282143,1.9537499733893595,3.199619521637645,3.511086908699714,2.0386956244062886,0.0566304340112857,1.0476630292087867,1.2175543312426442,2.183449948077992
81,4.075,0.9365154420579944,1.5110117347913463,1.3964014288394309,0.0041626164760785,0.0333009318086287,0.0208130823803929,0.0374635482847073,4.438854109456522,2.7488638402953502,2.265007705141321,2.068660287977369,2.587578461910675,0.1933724562978331,1.7956013799084516,3.535953486588952,3.61882739643088,1.712727470066523,0.2209970929118093,1.160234737786999,1.1878593744009756,2.241823826438289
82,4.125,0.94235378665093,1.3229006982668448,1.207195097835343,0.0040623173768949,0.0365608563920546,0.0487478085227395,0.0568724432765294,4.756192433463832,2.710003170721837,2.4431089190598367,2.463639246110761,2.744220382473375,0.2426311378745446,1.5366638732054496,3.1002867617302954,3.989934267270295,1.3749097812890858,0.1887131072357569,0.970524551498178,1.482745842566661,2.9503616255152947
83,4.175,0.9510561586493466,1.046677755173011,1.00275242971611,0.0,0.0356904014279946,0.0277592011106625,0.0436216017453267,5.5181021161672295,2.845897701558404,2.6454823704627413,2.531913682841866,2.645482370462742,0.2631716468932938,0.8684664347478698,3.447548574302149,2.947522445204891,1.2369067403984808,0.0,1.579029881359763,1.4211268932237866,3.110527740780637
84,4.2250000000000005,0.965611646924046,0.8161703771327339,0.7450924764214749,0.0,0.0271060739289355,0.0464675553067466,0.0348506664800599,5.610063696456834,2.981161754977641,2.7202285597936013,2.37449207617475,2.7789385287100123,0.1284898309618372,0.719543053386288,3.10945390927646,2.980964078314622,0.89942881673286,0.1541877971542046,1.3105962758107388,1.6189718701191482,3.3055975696018773
85,4.275,0.9803575606487426,0.6535526017180777,0.6044763074498701,0.0037822469800199,0.0378224698001998,0.0567337047002997,0.0642981986603397,6.116766192918468,2.98829515049871,2.6952001037547,2.6824568408527867,2.6760852094018297,0.3263047621853604,0.3514051285073112,2.8112410280584905,3.965857878868228,0.6024087917268194,0.2259032968975572,1.204817583453639,1.5060219793170486,3.000518280220956
86,4.325,1.0003375639584782,0.5087182177359604,0.4736342027196872,0.0,0.0480389344119319,0.0554295397060753,0.0406483291177885,6.14423656209606,3.056555371822862,2.365562202225432,2.5585422766175085,2.683045550418845,0.343327209573388,0.343327209573388,3.555888956295807,3.457795467846268,0.7357011633715457,0.2697570932362334,1.7411594199793266,1.7166360478669411,2.700323555762703
87,4.375,1.0168890510622213,0.4171546766665991,0.4022971128401175,0.0108339664572447,0.1011170202676177,0.0794490873531282,0.0686151208958834,6.351371166457982,2.8775848292477213,2.336136520996036,2.3239691432825165,2.2448811881446304,0.3355246581607315,0.671049316321463,3.0916200644810283,3.786635427813973,0.3594907051722123,0.1437962820688849,1.6296911967806966,1.845385619884024,1.9045670829123755
88,4.425,1.0285330876223435,0.3664441280490459,0.3597408818042464,0.0035301722993921,0.0741336182872359,0.0953146520835891,0.0741336182872359,5.185768797464059,2.253906392475778,2.057655967801106,2.063602950367007,2.200383549382685,0.3514126061667678,0.4919776486334747,3.5141260616676755,3.771828639523305,0.3514126061667678,0.2811300849334143,1.850773059144976,1.6399254954449154,1.3884383786507402
89,4.4750000000000005,1.0395624408726796,0.311328842252411,0.3462850631368923,0.0069034545810676,0.075938000391744,0.1104552732970823,0.0793897276822778,4.640236651909782,2.035191513995517,1.901450357361527,1.7211905375504948,1.8491168612873563,0.2290691747354263,0.4810452669443955,3.4360376210313923,3.1153407764017964,0.5039521844179382,0.4123245145237675,1.7638326454627822,1.718018810515697,1.1878872918422814
90,4.525,1.0413518214342627,0.3408114611227604,0.3440165845815953,0.0033758682397467,0.0911484424731632,0.09452431071291,0.0742691012744292,3.793255395265633,1.6890507532142316,1.7345470697991272,1.5639358826057712,1.808478584249582,0.4928767630030306,0.3808593168659782,2.778032664198899,3.6069617656130855,0.3808593168659782,0.4032628060933887,1.904296584329891,1.5010337782365033,0.8600196578930431
91,4.575,1.0404233279509278,0.3877506049834441,0.321906162627765,0.0,0.1519142051943161,0.099074481648467,0.1023769643700826,2.90410169053576,1.435360605667101,1.3074021020611188,1.5466288696723027,1.507684977270482,0.4602460011124243,0.5259954298427707,3.0463901978393797,3.2217220077869677,0.2629977149213853,0.5479119060862195,1.8409840044496968,2.323146481805569,0.6715834506028229
