,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFETFE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
64,3.225,0.8964550674482192,0.1687315466525046,0.1840707781663687,0.0042475983223665,0.7465317420725406,0.9215001191207928,0.8631773267713755,0.9215001191207924,0.933164677590676,0.0919025818839301,11.258066280781442,2.2056619652143232,2.8030287474598694,11.16616369889752,0.0,0.9190258188393008,0.873074527897336,0.0
65,3.2750000000000004,0.8230865016937555,0.1742434684730018,0.1997425126397825,0.0,1.0858669885176797,0.8483335847794373,1.131111446372583,0.938822500489244,1.063244759590228,0.0445589357661926,9.84752480432858,3.787509540126375,2.762654017503946,9.535612253965228,0.0,0.8911787153238534,0.8911787153238533,0.0150045395947383
66,3.325,0.7611043069760104,0.2432563710807204,0.2123339510280864,0.0,1.73381216352553,0.9876145235271996,1.1741639335267815,0.8778795764686218,0.9327470499979108,0.0,10.158795856483502,3.112482134752392,3.155711053290619,9.856193426715908,0.0,1.0374940449174628,0.7781205336880974,0.043670029951883
67,3.375,0.7291531037392693,0.2821222342731705,0.278120500453693,0.0,2.2260106109361764,1.182235300545049,1.17158453207167,0.9798706995508514,0.8627122463436845,0.0419575727739165,8.685217564200736,4.153799704617742,3.81813912242641,9.23066601026165,0.0839151455478331,1.258727183217497,1.3426423287653306,0.0282571408477397
68,3.4250000000000003,0.7391175732886601,0.3030884824265297,0.3108599819759278,0.0037660207900445,3.0509113807964368,1.396179784432268,1.3548114945231633,1.137627972500366,1.168654189932194,0.0,7.944592039362062,4.237115754326433,3.3000613086580883,8.189041025188587,0.0,0.9777959433061012,0.8963129480305928,0.1371907573516212
69,3.475,0.77748478771962,0.3831357054179551,0.36992412936906,0.0,3.757430301167487,1.2457790303336067,1.4165713167503098,1.175452794750258,1.0749867439169023,0.0395775351767763,6.886491120759078,3.3245129548492107,3.997331052854408,7.598886753941051,0.0791550703535526,1.18732605530329,1.18732605530329,0.1332712919217978
70,3.5250000000000004,0.8187737666605798,0.4805620444487654,0.5190803762557274,0.0035553802334824,4.100720863141197,1.659815587461912,1.3083252277640949,1.318088848866812,1.4645431654075691,0.0,6.654055715154788,3.653961230865349,3.38472198227527,7.154071462536366,0.0384627497985826,0.8461804955688182,1.30773349315181,0.1942761341867185
71,3.575,0.847610277458859,0.6116579825065089,0.57242627517373,0.0,5.1164182009225785,1.6896520218260087,1.623205032203638,1.6516823134703684,1.6801595947370986,0.0373944097441915,6.768388163698667,3.739440974419156,4.188173891349456,6.730993753954476,0.0373944097441915,1.0096490630931725,0.8974658338605975,0.4155358388920878
72,3.625,0.8666937435002771,0.7128409070562026,0.7492634351539652,0.0,6.0102774827168775,1.6710602524911726,1.504877464950615,1.7264545150046933,1.5233422191217882,0.0363699703371593,6.255634897991407,4.509876321807757,4.800836084505032,7.055774245408919,0.0,1.200209021126259,1.818498516857967,0.5511163872518535
73,3.675,0.8997765312355538,0.9078928356019098,0.8623294405066465,0.0065421453275074,6.835963139004761,1.7516594114401167,1.9402996557490524,1.778608017769964,1.5540362983545648,0.035387058816972,4.671091763840304,5.060349410826994,3.8925764698669183,4.91880117555911,0.1061611764509161,1.2739341174109935,1.4154823526788811,0.6077185713159582
74,3.725,0.9214457093425856,1.0413671711227714,1.103783499991328,0.0095515478940826,6.881008576342451,2.010968198931084,2.019711538926437,2.0284548789217887,1.8535880790147383,0.0688869211755048,4.580980258171072,4.925414864048597,4.546536797583321,5.442066772864884,0.0,1.4121818840978495,1.6877295687998697,0.7886849546828216
75,3.775,0.9171003401419696,1.3242310756957971,1.3770084011764276,0.0093002060689064,7.891797169840609,2.383714355507409,2.1708827166228186,2.2304755755105035,2.281555168842805,0.1341484269333175,3.756155954132895,4.963491796532753,5.064103116732743,4.259212555132836,0.0670742134666587,1.3750213760665055,1.9451521905331068,1.0502589853529385
76,3.825,0.9031082784299288,1.606065679369221,1.6559144686415932,0.0030195520112465,8.491166074210732,2.719826633145628,2.603736471974778,2.6286129350828165,2.612028626344124,0.0,3.9199275200546735,3.8545953947204303,4.899909400068346,3.625932956050574,0.0326660626671222,1.469972820020503,1.5353049453547472,1.418973762999382
77,3.875,0.9030129553120456,2.103717842713712,2.043004485059637,0.0029421318975224,8.5643196358495,2.7228072804540364,2.795523201890496,2.7793641082379485,2.795523201890496,0.0636570356009396,2.928223637643224,4.646963598868593,4.360506938664365,3.660279547054029,0.0954855534014094,1.8778825502277192,1.7823969968263098,1.6612537607081963
78,3.925,0.9119996889048524,2.4173556853780966,2.5031614563401106,0.0,9.127139373093042,3.016129749693384,2.953129650483079,3.0712548365024026,2.976754687686943,0.0930683283788607,2.792049851365822,4.9326214040796215,5.2428491653424905,2.636935970734386,0.1240911045051476,1.8923893437035,1.613184358566918,2.6638434806398417
79,3.975,0.925621151479799,2.89206523007148,2.9223561875934254,0.005591928132636,10.127476518769544,3.2939252665292926,3.5780167230831,3.693188935199508,3.240178234208301,0.0604944952530632,2.02656559097762,4.506839896353214,4.9605486107511885,2.238296324363341,0.0907417428795948,1.996318343351088,1.572856876579645,3.330592338141864
80,4.025,0.9320910174028402,2.874118775751025,3.0879543381172305,0.008180794402776,10.55139983313743,3.8416381223559246,3.504652322149268,3.901546709059333,3.894058135721408,0.1770026425327912,2.360035233770553,4.395565622897655,4.661069586696843,1.5045224615287265,0.0295004404221318,1.56352334237299,2.4485365550369487,3.973528709919805
81,4.075,0.9337420211728892,2.7710817847360074,2.830099375990909,0.0133021214085051,10.951595626017967,4.485843705386947,3.689496858665161,4.1570766585752,4.062099511718474,0.1439047679647377,1.6405143547980108,4.691295435650446,4.950324017986974,1.496609586833273,0.0575619071858951,1.813200076355696,2.5039429625864376,5.049295256362726
82,4.125,0.933598213792838,2.302482579346125,2.4069582286707303,0.0103852832482406,11.30801566484686,4.570263582072407,4.377756379707422,4.363496586939645,4.406275965242974,0.1123498824127853,1.4043735301598166,4.971482296765751,5.477056767623284,1.0673238829214604,0.0842624118095889,1.9380354716205468,1.797598118604565,5.665357463401852
83,4.175,0.9367050189218324,1.7808717986765377,1.9286240110483797,0.0101380264208933,12.215054583873863,4.503213855137545,4.684177626750491,4.510174000199584,4.962583429231949,0.1645125196481328,1.5354501833825722,5.182144368916191,5.401494395113697,0.9870751178887966,0.1919312729228216,2.111244002151038,2.056406495601661,5.918253959382577
84,4.2250000000000005,0.9484548317707858,1.3023130005603851,1.353384098621577,0.0123743696982999,11.798523645016576,5.015731826049669,4.8118402884053735,5.008935441461528,5.158455902400675,0.2141890900505731,1.0173981777402226,4.658612708599971,5.167311797470083,0.4551518163574679,0.1874154537942515,2.3828536268126284,3.266383623271243,5.760976201398514
85,4.275,0.9594433878591656,0.9515268519070984,1.0562821016583377,0.0120866067806886,12.022027110920432,4.965475581981493,4.8526238642091855,5.277477389940223,5.138072326809727,0.1830571536057025,0.8106816802538251,4.942543147353967,5.204053366790683,0.4445673730424204,0.1830571536057025,2.3274409529867865,2.693555260198192,4.922529610152178
86,4.325,0.9729482764581248,0.7444539680675892,0.721304008340447,0.0188940258070856,11.356526721336444,4.987532295092932,4.5465021311575375,4.935646393453476,4.92267491804361,0.3321483854950175,0.8686957774485069,5.391023795342204,5.3399240437275886,0.4343478887242535,0.2554987580730903,2.325038698465124,2.299488822657814,4.0866765640772345
87,4.375,0.986409692794616,0.5477352476399069,0.5906014844117258,0.0323131109434625,9.786398492815437,4.538252150813375,4.341763580037938,4.284718511103132,4.709387357617788,0.4494459976681608,0.8489535511509705,5.3184443057399085,5.643044192944689,0.6491997744095658,0.1498153325560536,2.771583652286993,2.6217683197309394,3.060513222216524
88,4.425,0.9978679566728073,0.4749005708814569,0.453949075107275,0.0112810730436771,8.593730534206378,3.6370005937845296,3.7175474553163865,3.8352697914014056,4.052126726294859,0.2684895384395167,1.1471825733324812,4.466689594039231,5.272158209357781,0.6102034964534473,0.414938377588344,2.440813985813788,2.3675895662393738,2.005452470793127
89,4.4750000000000005,1.009454637023513,0.4222377042903115,0.4472760587226213,0.0220607859271176,5.98553243774557,3.5804146464652145,3.1684549240292847,3.3199107043366114,3.2108625425153345,0.4773151864230919,0.8830330948827202,5.226601291332856,5.656184959113639,0.5966439830288649,0.2625233525327005,2.1479183389039127,2.553636247363539,1.4706665361270654
90,4.525,1.0184980503996557,0.4730652460387586,0.4474640680178376,0.0237335485440568,4.550468115814925,2.826267306306925,2.654439734225373,2.921068725386403,3.045495587928217,0.5368489451659809,0.7002377545643231,5.228441900746944,5.111735608319558,0.7702615300207553,0.3734601357676388,2.5441971749170387,2.567538433402515,0.9274577606372352
91,4.575,1.0289483592135906,0.4693150160908411,0.4595149345483407,0.0295497012087586,3.466179951787391,2.619921970247324,2.0750709410365986,2.405459331089912,2.561959094799375,0.6621819407235464,0.6850158007484963,4.749442885189569,5.228953945713517,0.7078496607734462,0.4566772004989975,3.0140695232933807,3.1510726834430787,0.7381394750922566
92,4.625,1.0372516573591564,0.4517642413272477,0.4538952047297347,0.0330448554514513,2.6089548856910287,2.1211937548879214,1.8716415484305204,2.240298217060774,2.325372832898525,0.6255991952513398,1.0054272780825102,5.071822047216221,5.049479218814387,0.8043418224660082,0.5138850532421718,2.9939390058456983,2.837539207032863,0.466463539899505
93,4.675,1.0458300014433324,0.4431954154275498,0.483865112372666,0.0323418002281352,1.809617016418673,1.9428403550507232,1.8429228510766864,2.103818555897782,2.0483088314677618,0.6560240159911531,1.0496384255858444,4.8327102511348246,4.701505447936594,0.874698687988204,0.6560240159911528,3.236385145556354,2.9302406047604816,0.4933568365157957
94,4.7250000000000005,1.0563539344563413,0.5614727850423945,0.5267635583306832,0.0336397547402023,1.3476603283613358,1.9128082079967368,1.9345446649057896,2.010622264087478,1.912808207996736,0.6422134995856811,1.091762949295658,4.816601246892601,5.030672413421164,0.7920633161556733,0.4923636830156888,3.4679528977626752,2.954182098094131,0.418094094628229
95,4.775,1.062901648137155,0.5867607845572868,0.5697677124321183,0.0503772209055907,1.0428978997650884,2.1177212454413503,1.8463549551963536,1.97937764649292,1.8782804011075287,0.7336402974537957,0.9432518110120234,4.150307968452903,4.27607487658784,0.7336402974537958,0.6497956920305047,3.66820148726898,3.437628822354931,0.4305591599925626
96,4.825,1.06368508272337,0.5580203450569206,0.5736840740409743,0.0474409158655694,0.927593981413377,1.933355994968328,1.7509639199713167,1.8603991649695235,1.7822311328279463,0.9032750380804409,1.252267666429702,4.372672343434866,4.270027452743906,0.7595721911130985,0.8211591255276737,3.572042196045385,3.3051654802488906,0.5046357993357568
97,4.875,1.0645803868814103,0.6463690437229223,0.6300659669524629,0.0483316785721052,0.9086641557819528,1.934739972142472,1.653972957715465,1.924530262526944,1.756070053870739,0.9853916704683418,1.2066020454714386,4.001896784146937,4.243217193241225,1.1864920113802482,0.8848415000123883,3.619806136414314,2.8556248409490705,0.6162289017943418
98,4.925000000000001,1.0672630066193387,0.6380096886274813,0.6906290443905728,0.0364271650540808,0.870301014934381,1.900657388937156,1.820629709402959,1.870647009111832,1.820629709402958,1.2413384382292916,1.5171914245024678,4.137794794097633,4.058979655162443,0.985189236689914,0.748743819884334,3.546681252083689,3.605792606285085,0.6037802607713891
99,4.9750000000000005,1.0697563734296305,0.7385131655821061,0.6970753944459529,0.0749671571927265,0.7891734970634339,2.171452541609324,1.7204962575730756,2.0391066756421634,1.955777797070249,1.2358222276619173,1.313061116890787,3.939183350672367,3.3598916814558404,1.2165125053547,0.8496277815175681,3.919873628365148,3.456440292991928,0.7542613978778412
100,5.025,1.0743420064375768,0.7527730016900158,0.7663120844542244,0.0682339431634865,0.6774540428048166,1.993925019602827,1.840176584356344,2.094822430233333,1.9170508019795864,1.381697585690458,1.211351308002594,3.596199195632702,3.406925553757296,1.041005030314729,0.9463682093770264,4.088310664508756,3.899037022633351,0.8094345235712493
101,5.075,1.0756001557052997,0.8061511359232232,0.7840284373523335,0.0651807822543549,0.6264875955908963,2.105563573151357,1.851200188475354,2.0254862113089107,1.917146251169132,1.7257313808826449,1.39171885555052,3.340125253321252,3.0246689793964654,1.057706330218395,1.4659438611798812,3.971037801170823,3.4514627617652933,0.9497771128491715
102,5.125,1.0784674715424196,0.8729321643438859,0.8555776481541464,0.0807349593499131,0.8314148217668937,2.0462042557929663,1.926111003759972,2.0739180831851978,2.0508232270250053,1.5466555186067643,1.255520362163137,3.111506984491254,3.4026421409348804,1.128148731219051,1.0007771002749644,4.1304800320439465,4.27604761026576,1.139660452966185
103,5.175000000000001,1.0766575271699663,0.8944422979266844,0.8706131976964779,0.0923794810044983,0.6070397819084054,1.9615539221368612,1.916252445875039,2.129169384305599,2.0929282032961427,1.623989285385897,1.3562987438387717,3.1587483902560822,2.6055212710586915,1.213530455013638,1.070762166188504,3.997512087103744,4.15812641203202,1.322063490906214
104,5.2250000000000005,1.0766948290050735,0.935843887967864,0.9024507073088855,0.1084202680723294,0.7021301539480842,2.115278185311952,1.8575342047487304,2.084171153175011,2.177492249585832,1.908167296019248,1.4530081244917197,2.48586932141957,2.2232774916921514,1.067873440891505,1.6105632223281714,4.604110081220751,4.043914177802257,1.3499363654762648
