,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEiBE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
36,1.825,0.7557574297260596,20.883825025148543,21.922549306504116,0.0,0.0,17.424284417629725,15.569089208237,17.78804818417732,16.405745871296464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4267598871202731,23.13206132589689,23.85068959546716,0.0,0.0,30.56804617985493,30.43019704262896,30.39573475832249,32.15331125795339,0.5430420557385999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.4320211164326092,20.13412052263383,19.962139017254408,0.0,0.0,37.63238823699645,34.33015434304629,36.09570513783154,36.03031436765429,3.864000055927287,0.0,0.0,0.0,0.0,2.704800039149099,0.0,0.0,0.0
39,1.975,0.7468420841612493,13.940179077386212,14.15024456369258,0.0,0.0,34.01175675080864,33.88751289053171,31.58900147540857,34.881463772747125,24.22755275400067,0.0,0.0,0.0,0.0,21.780325203091493,0.0,0.0,0.0
40,2.025,1.154778058947001,9.236146249010757,9.036325777277352,0.0,0.0,26.886954585461616,26.030117571199654,25.70511042785892,24.87781951753701,67.39197707784531,0.0,0.0,0.0,0.2327874855884121,70.41821439049471,0.0,0.0,0.0
41,2.075,1.5036245676474491,5.994672160654701,6.015817388734615,0.0,0.0,20.48549696381753,20.879448828506327,18.318761708029136,19.92270858569067,113.2910059362637,0.7759657940839979,0.0,0.0,0.6651135377862839,106.6398705584009,0.0,0.0,0.0
42,2.125,1.6697649956761538,3.750115369797967,3.659386772141564,0.0,0.0,13.308101722565103,12.637330466387429,14.247181481213843,13.415425123553533,127.5766276446535,1.5854593327835986,0.3170918665567198,0.0,1.5854593327835986,123.87722253482517,0.0,0.0,0.0
43,2.1750000000000003,1.6816202296917375,2.1699438287605,2.1506982072193868,0.0,0.0,9.322579074515165,10.218980908603164,9.629916846202478,8.400565759453228,108.25895397137204,3.3294925266125617,0.1008937129276533,0.3026811387829601,1.5134056939148006,113.3036396177547,0.0,0.0,0.0
44,2.225,1.5229928413474405,1.498817971611726,1.3976707465336329,0.0,0.0244733845293844,6.681233976521967,7.342015358815351,5.751245364405357,7.072808128992119,81.94875728778739,5.109746042650271,0.8676927242236312,0.4820515134575729,4.24205331842664,80.21337183934014,0.0,0.0964103026915145,0.0
45,2.275,1.1850075855853686,1.0070819155111026,0.9938887026441448,0.0,0.0234094956511146,4.705308625874047,5.431002991058602,5.009632069338538,4.86917509543185,46.93958567376541,6.82422267162797,0.5533153517536192,0.4610961264613493,6.270907319874351,49.89060088311804,0.0922192252922698,0.0,0.0
46,2.325,0.9029523095658332,0.5979092752976588,0.7115962501781994,0.0,0.0,4.012016582479433,3.4740925714207385,3.743054576950087,3.8999490801755377,30.197097893522205,7.858309100945831,1.147842902385347,1.5893209417643264,8.4763783560764,30.90346275652859,0.0882956078757959,0.0882956078757959,0.0
47,2.375,0.782164049618766,0.4842254106466196,0.480190198891231,0.0,0.0,3.028643703052049,2.770886792154002,2.921244990177862,2.3412919406572565,17.51575371784455,9.561739952253305,1.861577689819225,1.5231090189430028,10.915614635758192,19.715800078539985,0.0,0.0846171677190557,0.0
48,2.4250000000000003,0.7488580154244692,0.3289952687599691,0.4218880505274895,0.0,0.0,2.266345688507586,2.472377114735548,2.472377114735549,2.142726832770808,10.388978583131202,11.849928696384024,1.379786218072113,1.6232779036142506,12.41807596264901,10.551306373492626,0.0,0.0,0.0
