,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DEGDME),O (DEGDME),O (DEGDME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,2.284537678908251e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.0222284314823323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,1.3934240818121963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,8.055536442189268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,5.020247049651844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.3224105846008261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0038430591776259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.1670975378100345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,0.8085384359226265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.8988666292494487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,2.6395699269708026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,0.8770154918908778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,0.707144546426391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.4243844982434179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.1862761127717498,0.0,0.0,0.0353670316728522,0.0176835158364261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.4692858489334616,0.1717275032727671,0.1063075020259987,1.131766021569094,0.2330106514995193,0.2496542694637707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.9160705391239986,0.6785103853756828,1.0100552327751635,10.780967621963274,2.8717861351081204,2.809014853466412,0.0,0.0,0.0410427610734241,0.0,0.0410427610734241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.0844240916537842,3.1094592889609327,3.255101410223738,39.33553814167515,9.945043742676726,9.396658320204237,0.0,0.4651585288332116,0.2713424751527067,0.3101056858888077,0.6589745825137165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.7913987973412658,5.676187603797985,5.965507845739146,63.918459400752376,19.516230639580463,20.651873370762942,0.0,1.7600844608640205,1.943426592204022,1.943426592204022,2.4201161336880275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3942472969712055,6.402110407030988,7.211347604249989,71.27414197798397,26.51196186881401,26.65806987510507,0.0,3.334940786951173,2.9528121551130173,3.71706941878933,3.300201820420431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.369143216708429,5.6095076636853465,5.96242370875164,62.075200778825085,28.391276361082607,28.60550259194741,0.0,4.515229788996645,4.3174824989675935,4.712977079025693,4.712977079025693,2.077345268992042,0.0,0.0,0.0,0.0,3.5055201414240726,0.0,0.0,0.0
39,1.975,0.7733354284932289,4.282096159368963,4.235040157617655,43.21747760844697,25.99034456729596,24.68544011873064,0.0,3.6633097363392766,4.258206189249073,4.571309585517386,4.63393026477105,15.541314032954476,0.0,0.0,0.0,0.0,15.417970270788166,0.0,0.0,0.0
40,2.025,1.380050438289164,2.8367317645884933,3.1388688756097527,27.455837781764785,22.03527420477598,21.60254013770545,0.0,3.752697860992263,2.7996317375656563,3.514431330135612,3.395298064707285,42.9421270384829,0.0,0.0,0.0,0.1173282159521389,42.12082952681792,0.0,0.0,0.0
41,2.075,1.7857655413884488,1.955650665778451,2.0302531434920703,16.647950394319494,19.055666998579387,18.188021375422668,0.0,2.070669650649012,2.552880391211111,2.524515053530988,2.581245728891234,66.48663241083476,0.0,0.0,0.1117422393459407,0.2234844786918815,67.82753928298605,0.0,0.0,0.0
42,2.125,1.735752664905918,1.0924032571171312,1.1381317655545928,9.079589621699029,15.356709098203938,15.739334173378044,0.0,1.7580071021512915,1.8932384177013912,1.947330943921431,1.5416369972711332,76.18030775988936,0.532729424894331,0.1065458849788661,0.0,0.532729424894331,71.17265116588264,0.0,0.0,0.0
43,2.1750000000000003,1.429582507346073,0.8148057121992693,0.911806392222993,5.498283839862316,12.733906918173036,12.733906918173032,0.0,1.5748433481389936,1.1359525789855034,1.161769683053356,1.4457578277997316,55.12342886729928,0.7119262030832008,0.0,0.0,1.0170374329760012,55.73365132708484,0.0,0.0,0.0
44,2.225,1.1650300332792851,0.4912584010472599,0.5468725596563839,3.3297069138240984,10.55507659084749,11.139897635201862,0.0,0.9621249439378408,0.838775592150938,0.838775592150938,0.7400961107214159,43.149845970545584,0.9718433777149906,0.1943686755429981,0.097184337771499,1.1662120532579887,40.72023752625811,0.0,0.0,0.0
45,2.275,0.927355715078482,0.2837148854585342,0.3369114264820094,1.8676679711683,9.311272204085446,8.535332853744999,0.0,0.5663385598191507,0.5899359998116154,0.61353343980408,0.7079231997739385,25.37797410098695,2.416949914379709,0.3718384483661091,0.2788788362745818,2.5099095264712368,24.727256816346245,0.0,0.0,0.0
46,2.325,0.8087352658855725,0.216466131379901,0.2546660369175307,1.235330017118195,7.463812131399435,7.835275003679733,0.0,0.5196493132794124,0.4066820712621488,0.4518689680690542,0.7003969005070341,14.774745955954842,2.581130317606568,0.2670134811317138,0.3560179748422851,4.717238166660281,15.66479089306056,0.0,0.0,0.0
47,2.375,0.7839820783957319,0.1098254338407163,0.1423663031268545,0.5629570386501905,6.788599583722887,6.788599583722885,0.0,0.3247829069135716,0.2814785193250954,0.2598263255308573,0.2814785193250954,7.591390369676816,4.264826050380231,0.3411860840304186,0.5117791260456279,4.179529529372626,8.103169495722447,0.0,0.0,0.0
48,2.4250000000000003,0.7721880441808381,0.1053433982808288,0.1131466129682976,0.4843960270403431,6.074802634194463,6.090684471146605,0.0,0.3322968962294407,0.3115283402151007,0.2492226721720805,0.3322968962294407,5.481640087421267,4.418038279414158,0.4908931421571284,0.4908931421571284,4.908931421571288,3.436251995099899,0.0,0.0,0.0
49,2.475,0.8142957590072134,0.0861479784476771,0.0749112856066757,0.2134530985169044,5.580273861227645,5.443054012181062,0.0,0.2791309749836441,0.159503414276368,0.179441341060914,0.2193171946300061,1.727953654660654,4.319884136651633,0.6283467835129651,0.3927167396956032,4.319884136651634,2.906103873747463,0.0,0.0,0.0
50,2.5250000000000004,0.8946455609871758,0.0647765748850092,0.0647765748850092,0.2050834828385522,5.039194149747287,4.541134262853659,0.0,0.1724053454631786,0.1149368969754524,0.1532491959672699,0.2107176444549961,1.5092723845261429,5.2069897266151886,0.4527817153578428,0.4527817153578428,5.131526107388881,1.9620540998839853,0.0,0.0,0.0
51,2.575,0.96405264944108,0.0415236541783089,0.0622854812674634,0.0774701116679626,4.2960698288597525,3.972103907339181,0.0,0.1105168026591914,0.1289362697690567,0.1105168026591914,0.0736778684394609,0.4353692225968149,4.643938374366023,0.5804922967957531,0.507930759696284,4.353692225968146,0.6530538338952223,0.0,0.0725615370994691,0.0
52,2.625,0.9753029376637262,0.0166487138860404,0.0166487138860404,0.0881010765404822,3.8764473677812177,3.829008326567111,0.0177244769371384,0.1063468616228306,0.0531734308114153,0.1063468616228306,0.1417958154971074,0.4189421821505448,4.049774427455269,0.349118485125454,0.9077080613261804,5.09712988283163,0.2094710910752724,0.0698236970250908,0.0,0.0
53,2.6750000000000003,0.9213620645325136,0.0160321666616592,0.0416836333203141,0.0783124187990698,3.419642287559382,3.400064182859616,0.0,0.0853404563836018,0.1024085476603221,0.0853404563836018,0.1365447302137628,0.8068552239904172,4.639417537944899,0.4706655473277433,0.9413310946554868,5.446272761935317,0.4706655473277432,0.0,0.0,0.0
54,2.725,0.8440494902352781,0.0247187907303186,0.0216289418890288,0.025155004684383,3.100354327350216,3.0814880738369275,0.0493425091885976,0.0657900122514634,0.0986850183771952,0.0986850183771952,0.115132521440061,0.3239659694200852,4.924282735185295,0.5183455510721363,0.3239659694200852,6.090560225097602,0.4535523571881193,0.1943795816520511,0.0,0.0
55,2.7750000000000004,0.7973848065269278,0.0029795090384951,0.0238360723079611,0.0606417721952542,2.807714052640273,2.7470722804450185,0.0,0.0475804674147379,0.1268812464393011,0.0475804674147379,0.0793007790245632,0.0624794016557164,6.185460763915932,0.2499176066228658,0.3123970082785823,5.373228542391618,0.0624794016557164,0.0624794016557164,0.0624794016557164,0.0
56,2.825,0.775284051103806,0.0316247335566534,0.0201248304451431,0.0351085277345522,2.3171628304804464,2.557071103333219,0.0153037172176253,0.1224297377410026,0.1071260205233772,0.0918223033057519,0.0459111516528759,0.0602873708573118,6.390461310875063,0.7234484502877425,0.4220115960011831,6.209599198303127,0.1808621125719356,0.0,0.0602873708573118,0.0
57,2.875,0.7671494293022928,0.0277584867675508,0.0194309407372855,0.0338980108996679,2.0847276703295803,2.2146700454449744,0.0147760560331886,0.0886563361991316,0.147760560331886,0.1182084482655088,0.0591042241327544,0.2328348223411537,5.296992208261244,0.5820870558528843,0.407460939097019,5.588035736187686,0.1746261167558652,0.1164174111705768,0.0582087055852884,0.0
58,2.9250000000000003,0.7790675921509013,0.0321811353167238,0.0268176127639365,0.032749037704666,1.8503206303136317,1.7848225549043002,0.0142752215635723,0.0571008862542895,0.0856513293814343,0.0856513293814343,0.1284769940721515,0.1124714426220854,6.242165065525747,0.6185929344214701,0.6185929344214701,5.004979196682801,0.0,0.0,0.0562357213110427,0.0189365184006572
59,2.975,0.8156677257126458,0.0181466435526914,0.0337009094549983,0.0105525019650945,1.6092565496769131,1.799201585048614,0.0,0.0827965538799723,0.0827965538799723,0.0551977025866482,0.0551977025866482,0.0,5.10996913340031,0.4892523638362004,0.2174454950383112,4.675078143323687,0.0543613737595778,0.1087227475191556,0.2174454950383112,0.0183053605516945
60,3.0250000000000004,0.8557667770497573,0.0250738940212491,0.0250738940212491,0.0306196494047724,1.3982973228179438,1.602428318849759,0.0133470266636187,0.0533881066544751,0.1201232399725689,0.0533881066544751,0.0400410799908563,0.0,4.8372860271782,0.3680543716331237,0.57837115542348,3.890860500121596,0.0525791959475891,0.1577375878427672,0.0525791959475891,0.0
61,3.075,0.8969438322781572,0.0412507210205757,0.0242651300121033,0.009877335275515,1.2445442447148904,1.30380825636798,0.0129165153602888,0.0645825768014443,0.090415607522022,0.090415607522022,0.0258330307205777,0.0,4.579491809556964,0.7632486349261602,0.2544162116420533,5.088324232841071,0.0,0.152649726985232,0.152649726985232,0.0171341530289546
62,3.125,0.9187717405037352,0.0281938489885488,0.0305433364042612,0.0239094895834262,1.1954744791713126,1.205038275004683,0.0250130044872766,0.037519506730915,0.1375715246800218,0.112558520192745,0.07503901346183,0.0,4.87753587501895,0.7390205871240839,0.4434123522744503,5.074608031585372,0.0985360782832111,0.0985360782832111,0.0492680391416055,0.0331805161565915
63,3.1750000000000003,0.9138059273693336,0.045521440067345,0.0409692960606105,0.0277948557587671,1.0145122351950029,0.9311276679187012,0.0242314127127713,0.1332727699202426,0.1090413572074712,0.0726942381383141,0.0726942381383141,0.0,5.5842392024432295,0.7159281028773364,0.6204710224936917,3.91374029572944,0.0,0.1431856205754672,0.0954570803836448,0.0160718553707157
64,3.225,0.8829596766233058,0.0485329818559523,0.0176483570385281,0.022449748291657,0.6914522473830378,0.7857411902079973,0.0704576715615084,0.1409153431230168,0.117429452602514,0.0822006168217598,0.1291723978627654,0.0,4.996089437997872,0.6939013108330372,0.7401613982219063,4.533488564109182,0.0,0.2775605243332149,0.1387802621666074,0.0
65,3.2750000000000004,0.8601683281020674,0.0641759995914855,0.0470623997004227,0.0261234068925341,0.6574390734621083,0.6313156665695742,0.0797098825695271,0.1138712608136102,0.1594197651390543,0.0683227564881661,0.1708068912204153,0.0,4.620412673618909,0.672875632080424,0.6728756320804238,4.216687294370654,0.0448583754720282,0.179433501888113,0.0,0.0151053713324176
66,3.325,0.8352239722930717,0.0539590501728405,0.0581097463399821,0.0084478874931234,0.6209197307445733,0.6166957869980116,0.0331417124730227,0.1104723749100759,0.1104723749100759,0.0662834249460455,0.0883778999280607,0.0435194204191208,5.352888711551864,0.8703884083824164,0.6092718858676915,4.743616825684168,0.0,0.3046359429338457,0.0870388408382416,0.014654498712561
