,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DEGDBE),O (DEGDBE),O (DEGDBE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,2.2382346188937655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.0215160061914896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,1.414965315405565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,8.172249921829202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,5.120186059373485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.3293322479092126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0043139890633987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.1653484983438088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,0.776386491472337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.6315672611056034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,2.112990880638396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,0.8438775265061201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,1.0789568765921842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.6431557403440936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.2181811400992478,0.0,0.0087196880670241,0.0,0.0,0.0615716749222525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.4792041307020041,0.3036559503780187,0.2790351976446658,0.5215579864738832,0.6084843175528636,2.2311091643605003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.8830009503237595,2.6154717786970303,2.0892821900834284,5.136191530632913,4.89031002118772,14.233807380105045,0.0,0.3295232536838134,0.24714244026286,0.2059520335523834,0.3295232536838134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.9986647036965124,8.177990418154787,7.410618663100048,17.236258406442364,17.829722393490528,47.60613287408103,0.0,1.633911552301168,1.8284248323370211,2.217451392408728,1.322690304243803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.7117356104855262,13.909676073708324,12.056896159317752,30.1443567323422,30.241990276414544,78.08242687187261,0.0,5.88805373482561,6.550459779993493,6.329657764937532,5.88805373482561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3506297980544651,15.326024667811163,13.537988456566524,34.40856945828203,36.28161658605143,78.87609571384411,0.0,11.888601883342332,11.64455433734996,11.818874013058805,10.80781989394758,0.0,0.0,0.0,0.0,0.0,0.1373427748008977,0.0,0.0,0.0
38,1.925,0.3149230585750337,12.707185537575302,11.87453866127452,32.161778171436275,33.45614714286516,60.87921857144318,0.0,12.105978166156753,15.380546030772916,13.726723876926378,12.271360381541411,3.3878296242432384,0.0,0.0,0.0,0.0,2.0848182303035303,0.0,0.0,0.0
39,1.975,0.6511891206654681,9.273864200382803,8.152263819687239,24.80170465883952,25.69790070953709,39.74525276000586,0.0,11.18657882530826,14.20318435123407,14.266030299690868,10.966618005709496,19.80599587729076,0.0,0.0,0.0,0.0,16.71130902146407,0.0,0.0,0.0
40,2.025,1.177453726874486,6.098171703324135,5.042502937002831,17.723821399998446,18.972815525501687,23.61193656308518,0.0,10.222536534888114,11.537716673879563,11.477935758470869,9.29593234605322,52.16337755132078,0.1177502879262319,0.0,0.0,0.1177502879262319,49.92612208072236,0.0,0.0,0.0
41,2.075,1.6642313154125856,3.67401955676071,3.5617132820999,13.21699694987737,13.915609645799451,13.254759798305594,0.0,7.287648779747773,7.600789938252556,7.942398474803235,6.376692682279296,86.35104673919882,0.0,0.112144216544414,0.0,0.112144216544414,84.22030662485498,0.0,0.0,0.0
42,2.125,1.8818866936677516,2.116177701794772,2.197765275839871,10.045886317435784,10.369947166385325,7.3453792428562705,0.0,5.2115631913116,5.130132516447358,5.292993866175846,4.614404908973815,94.09766873201497,0.5346458450682667,0.1069291690136533,0.1069291690136533,1.6039375352047998,92.38680202779648,0.0,0.0,0.0
43,2.1750000000000003,1.7672525674988484,1.3434248458154507,1.2314727753308303,7.6130388020149535,7.544298045337618,3.986963887285485,0.0,3.44602700973999,3.31647712215578,3.938316582559989,3.44602700973999,84.81984458013466,1.8372529511942528,0.2041392167993614,0.2041392167993614,2.0413921679936147,76.34806708296118,0.1020696083996807,0.0,0.0
44,2.225,1.427011361432972,0.9395394175810038,0.809306230985617,5.862486761893341,5.747536041071903,1.7735254069593305,0.0,2.3520685952694245,2.6491719967771408,2.426344445646354,1.8816548762155396,54.423941276186326,3.1210862380608635,0.195067889878804,0.4876697246970101,2.8284844032426584,54.61900916606511,0.0,0.0,0.0
45,2.275,1.0196295932791637,0.5605730360705781,0.5116341202231468,4.335316055441853,4.633761725925169,1.2251980156683493,0.0,1.894586280639024,1.8235392951150604,2.012997923178964,1.39725738197128,35.26514008734914,4.478113026964965,0.839646192555931,0.4664701069755171,2.8921146632482064,35.82490421571975,0.0,0.0,0.0
46,2.325,0.7960892787583762,0.4643075954677923,0.35781502769995,3.564327976366776,4.060626808519112,0.601574342002831,0.0,1.2924593363183905,1.4058329623112311,1.065712084332708,0.9296637331412984,22.0631947310917,5.538129851529095,0.8932467502466277,0.8932467502466276,5.35948050147977,22.86711680631367,0.0,0.0,0.0
47,2.375,0.7716817509290939,0.2449344791053303,0.2163587898763751,3.2717081390970835,3.156405649613488,0.302669034894444,0.0,0.8909334668174921,0.7605529594783469,0.6301724521392015,0.8040131285913952,14.381365051954177,7.618699342999534,1.2840504510673387,1.2840504510673385,5.478615257887307,11.0428338791791,0.0,0.0,0.0
48,2.4250000000000003,0.817523491591848,0.1918664988997569,0.1918664988997569,2.599027909294334,2.7372740746823303,0.3041415638535921,0.0,0.6669845763950109,0.708671112419699,0.708671112419699,0.6878278444073549,8.1288745248142,7.143556400594297,0.9853181242199018,1.0674279679048937,6.89722686953932,7.882544993759223,0.0,0.0821098436849918,0.0
49,2.475,0.9149701373396923,0.1428434602648875,0.1653976908330277,2.773786784531436,2.1500165506894384,0.1459887781332336,0.0,0.5002412677292618,0.4001930141834096,0.5202509184384323,0.6403088226934552,4.256598423587174,7.015504809245534,1.1823884509964373,1.4188661411957249,7.488460189644111,3.625991249722408,0.1576517934661916,0.0788258967330958,0.0
50,2.5250000000000004,1.013735861304622,0.0830678217411048,0.1047376882822625,2.371744780821004,2.4737553090283586,0.0382539480777581,0.0,0.4037262827898779,0.3076009773637165,0.3268260384489488,0.3076009773637165,3.483814099687549,8.785270338342517,0.98455615860735,1.3632316042255617,7.422038734116954,1.969112317214701,0.0,0.0,0.0
51,2.575,1.0674515915022775,0.0659822971224826,0.0659822971224825,2.219230579802682,2.3786228313907203,0.0490437697193963,0.0,0.3882003003173754,0.4066860289039171,0.4251717574904589,0.2403144716250419,2.111854447614006,9.10282089488796,0.9466933730683472,1.674919044659384,8.010482387501403,1.5292739103411763,0.0728225671591036,0.0,0.0
52,2.625,1.0413303222712695,0.0868847476834432,0.0701761423597041,2.1826894423929377,1.8759330883269028,0.0589916065511604,0.0,0.2846118125299064,0.2490353359636681,0.4269177187948593,0.3379765273792637,0.8408985370201775,7.918461223606664,1.331422683615281,0.7708236589351628,6.72718829616142,1.0511231712752218,0.1401497561700296,0.0,0.0
53,2.6750000000000003,0.9574602367490004,0.0353976483438216,0.0547054565313607,1.965521738928086,2.0791357122765315,0.0113613973348444,0.0,0.3254603359612357,0.3083308445948549,0.2398128791293315,0.291201353228474,0.607318330262593,8.030097922360957,1.5520357328932932,0.6747981447362145,6.747981447362153,0.8772375881570788,0.0,0.2024394434208643,0.0
54,2.725,0.8804660568634676,0.0620192828737508,0.040312533867938,2.091125677548313,2.0254358656881566,0.043793207906771,0.0,0.2971200721059388,0.1650667067255215,0.4291734374863561,0.2641067307608345,0.4551839488491653,10.144099431495688,1.105446732919402,0.4551839488491653,7.282943181586642,0.5852365056632126,0.0650262784070236,0.1300525568140472,0.0
55,2.7750000000000004,0.8438950892898005,0.0448534111314787,0.0687752304016008,1.9108773642993109,2.185368035414128,0.0316720005132482,0.0318344210287008,0.2228409472009059,0.2546753682296067,0.2387581577152563,0.3501786313157092,0.2508166505291581,7.838020329036188,0.5643374636906056,1.0659707647489216,7.148274540081004,0.125408325264579,0.3762249757937371,0.2508166505291581,0.0
56,2.825,0.8268600496143699,0.0634769982934941,0.0432797715637459,2.1800050378680327,1.6502841875449588,0.0101869394292898,0.0153587702164678,0.3532517149787596,0.1843052425976137,0.1689464723811459,0.2610990936799527,0.1210084926145948,7.865552019948669,1.149580679838651,0.6655467093802716,8.168073251485158,0.2420169852291896,0.1815127389218922,0.1210084926145948,0.0
57,2.875,0.8157312951584945,0.039001681699929,0.0557166881427557,2.0261544204403323,1.878618904388852,0.0098357010700987,0.0,0.2076089518180836,0.1927797409739347,0.3114134277271254,0.25209658435053,0.0584181033254347,9.054806015442402,1.4020344798104345,1.1683620665086951,8.470624982188056,0.0584181033254347,0.233672413301739,0.2920905166271738,0.0
58,2.9250000000000003,0.8320784805424969,0.0592109878890418,0.0430625366465759,1.6629059910396513,1.843450070066813,0.028506959846394,0.0,0.3008580685327123,0.2292251950725427,0.2865314938406784,0.2722049191486445,0.1128760430281459,8.578579270139091,1.2980744948236784,1.0723224087673866,6.885438624716908,0.0564380215140729,0.2821901075703649,0.1128760430281459,0.0
59,2.975,0.8837412420355338,0.0546357707534501,0.0494323640150262,1.855492366132236,1.625852221808938,0.0,0.0830944029920603,0.1107925373227471,0.2631322761415245,0.1384906716534339,0.346226679133585,0.1091138625148267,9.329235245017694,1.254809418920508,0.8729109001186142,8.565438207413907,0.2727846562870669,0.6001262438315471,0.1091138625148267,0.0
60,3.0250000000000004,0.9440339022570544,0.0478117783629536,0.060393825300573,1.776893159353596,1.5903193776214668,0.0088844657967679,0.0401851222192274,0.2812958555345923,0.2812958555345923,0.2545057740551072,0.3080859370140773,0.0527683423080764,8.17909305775185,1.3719769000099875,0.949830161545376,5.910054338504563,0.0527683423080764,0.2110733692323058,0.2638417115403823,0.0
61,3.075,0.9704964990420548,0.0560105670345635,0.0584458090795445,1.5218274828441642,1.6507959135936698,0.0,0.0259259614634903,0.2074076917079224,0.2981485568301384,0.2462966339031579,0.2981485568301385,0.0,7.762075735129824,0.7149280282356414,0.9191931791601105,5.974755664540722,0.0,0.3574640141178207,0.204265150924469,0.0
62,3.125,0.9493853470557928,0.0730961204894948,0.0943175748251546,1.648343983704512,1.4651946521817885,0.0,0.1255149264980904,0.3890962721440804,0.276132838295799,0.2133753750467537,0.4016477647938894,0.0,7.8617985779258515,0.9394602074251012,1.4833582222501602,7.12011946680077,0.0988905481500106,0.1977810963000213,0.1483358222250159,0.0
63,3.1750000000000003,0.8905572013538269,0.0685277956957916,0.0685277956957916,1.5242539699763928,1.3952165968566983,0.0080648358199809,0.1823893639287991,0.2918229822860786,0.2553451095003188,0.2918229822860786,0.3890973097147714,0.0958004739828035,7.95143934057269,1.34120663575925,1.3412066357592494,5.891729149942416,0.0479002369914017,0.3353016589398125,0.2874014219484108,0.0
64,3.225,0.826186688607547,0.0730613587841671,0.0774893199226015,1.3679237088377594,1.4148239502836255,0.0078167069076443,0.282844533027377,0.5067631216740507,0.3299852885319398,0.3771260440365028,0.2946297219035176,0.0928530032665631,7.613946267858177,1.8106335636979816,1.299942045731884,6.91754874335895,0.0464265016332815,0.4178385146995342,0.5106915179660975,0.0
65,3.2750000000000004,0.7758210814864132,0.0772882366124146,0.109491668534254,1.3416344066376111,1.2961552742092175,0.0,0.2399898834298312,0.377126959675449,0.4228393184239884,0.3314146009269098,0.4799797668596626,0.0450197472523492,6.978060824114138,1.7107503955892729,1.4856516593275255,7.293199054880581,0.0900394945046985,0.0450197472523492,0.2250987362617463,0.0
66,3.325,0.7528667053702675,0.135382900918518,0.1645422949625066,1.2133453396292315,1.2133453396292306,0.0220608243568951,0.4878270493688803,0.4102182006056494,0.3215223734476713,0.232826546289693,0.5321749629478693,0.0,7.468591809552496,1.2229273138448515,1.3539552403282282,7.031832054607902,0.0436759754944589,0.262055852966754,0.305731828461213,0.01470721623793
