,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DME),O (DME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.121706563859603,0.4205426148588437,0.6331245959962812,5.199284179336726,4.8347840979811085,0.0,1.820384296000986,1.5005870548116234,1.7465849326495946,1.451387479244029,49.810843021615824,3.101064156987754,0.290724764717602,0.3876330196234694,3.004155902081887,45.25615504104008,0.0,0.0,0.0
45,2.275,0.8984901552780346,0.3226929681051101,0.362477032666014,3.578645528273159,3.262882687543176,0.0,1.2235810078286906,1.035337775855046,1.3177026238155132,1.011807371858341,30.96030731930176,3.61512570494841,0.2780865926883391,0.092695530896113,3.2443435813639576,28.364832454210585,0.0,0.0,0.0
46,2.325,0.7562223193413503,0.2539425774500536,0.2158511908325456,2.6201776937527543,2.5949836774666704,0.0,0.8335827888501502,1.171521757302914,1.0814046990488435,1.103933963612361,20.50163075280101,5.236347248550903,0.5325098896831428,0.6212615379636667,5.946360434795094,14.999028559408524,0.0,0.0,0.0
47,2.375,0.7170499814498416,0.1784663465711673,0.2109147732204704,1.8108315517191769,1.9194814448223276,0.0,0.7124925682341218,0.9499900909788288,1.0579435104082413,0.820445987663534,9.355963017215744,4.7630357178552885,0.4252710462370793,0.4252710462370793,6.2089572750613575,9.185854598720912,0.0,0.0,0.0
48,2.4250000000000003,0.7136307031653196,0.1595114673295035,0.1400588493624908,1.3895444266500898,1.6327147013138552,0.0,0.6005771344030919,0.7248344725554559,0.745544028914183,0.7662535852729102,6.281898762147281,7.913560778289434,0.1631662016142151,0.8158310080710753,6.771397366989929,4.487070544390914,0.0,0.0,0.0
49,2.475,0.7690862104687789,0.1419271051487392,0.1419271051487392,1.156107515941648,1.0115940764489428,0.0,0.3976257358822977,0.5169134566469871,0.4771508830587573,0.4572695962646423,4.777533462949429,7.753701849704815,0.7048819863368005,0.3916011035204448,6.657218759847567,2.976168386755381,0.0,0.0,0.0
50,2.5250000000000004,0.8570893559218379,0.1184196869631647,0.1040657855130842,0.8758040686917982,0.9879497116340408,0.0,0.458441529390266,0.458441529390266,0.4775432597815271,0.458441529390266,1.6554833005759613,8.87941043036197,0.1504984818705418,0.3009969637410837,9.10515815316778,1.8812310233817744,0.0,0.0,0.0
51,2.575,0.924894565910041,0.1276675537199624,0.0793609117718684,0.75483023740828,0.811314132724546,0.0183671407846598,0.3857099564778571,0.5326470827551361,0.4591785196164968,0.404077097262517,1.374752658730602,6.946118696744099,0.1447108061821686,0.7959094340019274,8.610292967839039,0.8682648370930117,0.0,0.0,0.0
52,2.625,0.9393873998859896,0.1062490748526462,0.1128896420309366,0.5484680065578948,0.533644546921195,0.0,0.3888307489318959,0.3711566239804461,0.3004601241746469,0.3888307489318959,0.8355040886139914,8.633542249011242,0.2785013628713305,0.2785013628713305,7.937288841832912,1.0443801107674895,0.1392506814356652,0.0,0.0
53,2.6750000000000003,0.8899762574855299,0.0543545155440675,0.0607491644316048,0.4948495603637505,0.5186404046120079,0.0,0.3744312871687257,0.4254900990553703,0.2723136633954369,0.4254900990553703,0.804563096395609,8.112677888655725,0.5363753975970728,0.6704692469963408,7.643349415758285,0.3352346234981704,0.0,0.0,0.0
54,2.725,0.8243470968729067,0.0523782095137367,0.0647024941052041,0.4401757386991215,0.444760902643904,0.0,0.2952140170602282,0.3116147957857964,0.2952140170602282,0.3280155745113646,0.2584365132513783,9.174496220423936,0.3230456415642228,0.3876547698770674,8.076141039105579,0.0,0.0646091283128445,0.0,0.0
55,2.7750000000000004,0.787564143524504,0.0534788064035872,0.0713050752047829,0.3890854712966359,0.393506897106825,0.0158151000133685,0.3953775003342132,0.3637473003074761,0.332117100280739,0.3953775003342132,0.4361133640050109,8.659965370956652,0.7476229097228757,0.3738114548614378,10.092909281258832,0.3738114548614378,0.3115095457178649,0.0,0.0
56,2.825,0.777166036992391,0.0372685104920477,0.0630697869865423,0.3583695579622418,0.345570645177876,0.0305204843319491,0.4272867806472883,0.3052048433194915,0.2746843589875423,0.2594241168215677,0.1803483165069722,9.317996352860234,0.4809288440185928,0.8416254770325375,8.656719192334672,0.2404644220092964,0.1803483165069722,0.0,0.0
57,2.875,0.7704485909641383,0.0525912970031445,0.038751482002317,0.3171787967759541,0.2883443607054128,0.0147340799701117,0.235745279521788,0.3094156793723468,0.2652134394620116,0.3094156793723468,0.1160866906736078,8.590415109846978,0.8706501800520585,0.4643467626944312,8.126068347152545,0.1160866906736078,0.1741300360104117,0.0,0.0
58,2.9250000000000003,0.7840178170304122,0.0481345719271013,0.0481345719271013,0.3303055284593779,0.2745913429361094,0.0284693365585932,0.2846933655859325,0.2846933655859325,0.3131627021445258,0.3131627021445258,0.0560759659487443,8.467470858260395,0.9532914211286532,0.6168356254361874,6.897343811695553,0.0560759659487443,0.1121519318974886,0.0560759659487443,0.0
59,2.975,0.8215483254856388,0.0749653822578483,0.0413602109008818,0.2615922156118141,0.2615922156118141,0.0,0.2339238081913336,0.1100817920900393,0.3164851522588631,0.2064033601688237,0.0,6.775867884330074,0.5962763738210466,0.9215180322688904,7.209523428927203,0.2168277722985624,0.1084138861492812,0.1084138861492812,0.0182533583822769
60,3.0250000000000004,0.8616124624152688,0.0575061264883669,0.0550058601193075,0.2567370292254832,0.253016202714969,0.0133091102106855,0.1996366531602839,0.2528730940030262,0.1597093225282271,0.2661822042137118,0.0,7.812044387302433,0.6815877653351111,0.7340175934378119,6.6061583409403095,0.0524298281027008,0.0524298281027008,0.0524298281027008,0.0
61,3.075,0.9060451492395368,0.045972774739948,0.0725885916946548,0.1728389004824125,0.2124478151762987,0.038639465732847,0.1803175067532862,0.2189569724861333,0.2704762601299294,0.2447166163080313,0.0,7.763019933599279,0.5581256161411241,0.60886430851759,7.509326471716948,0.0507386923764658,0.1014773847529316,0.0,0.0
62,3.125,0.9348147585874692,0.0655987626898169,0.0749700145026479,0.1812984544262961,0.2161635418159683,0.0498838942652234,0.2618904448924232,0.2993033655913409,0.099767788530447,0.2618904448924232,0.0491280776854473,7.958748585042466,1.2282019421361847,1.0808177090798423,5.89536932225368,0.0982561553708947,0.0,0.0982561553708947,0.0
63,3.1750000000000003,0.9275597466838406,0.0544705464137719,0.0703577891177887,0.1688782173760311,0.1891436034611548,0.0724877271506349,0.2174631814519049,0.2416257571687832,0.2899509086025398,0.2537070450272223,0.0951859043392176,7.376907586289375,1.18982380424022,1.1422308520706117,6.377455590727587,0.0951859043392176,0.0,0.0951859043392176,0.0
64,3.225,0.8985755455448884,0.0703928851819992,0.0791919958297491,0.2357026284481133,0.2029661522747643,0.1288054427897543,0.2341917141631898,0.2693204712876683,0.2459012998713492,0.3512875712447847,0.0,5.7199552004706335,1.75288949691842,1.5683748130322708,6.596399948929846,0.0461286709715373,0.138386012914612,0.138386012914612,0.0
65,3.2750000000000004,0.8715188891904455,0.1087892685052227,0.0853249164746845,0.2253862256039895,0.1491993324420774,0.1362573281549578,0.2270955469249297,0.2952242110024087,0.2384503242711762,0.2838694336561622,0.044730941060971,6.575448335962743,1.9234304656217531,1.4313901139510723,6.754372100206624,0.089461882121942,0.089461882121942,0.089461882121942,0.0150624597450208
