,r ($\AA$),g_full(r),O (DOL),O (DOL),O (IPMS),O (IPMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
43,2.1750000000000003,1.3757678894722574,0.5586928574344188,0.5204916364132619,2.676886282156812,2.819865371411477,0.0254185047563851,1.067577199768176,1.270925237819257,1.4234362663575673,0.88964766647348,55.37382748292503,0.9012015322718372,0.0,0.0,0.8010680286860774,57.77703156898325,0.0,0.0,0.0
44,2.225,1.2379113208678163,0.4152293003719236,0.3559108288902203,1.282761945791836,1.343484404764231,0.0,0.6315135733129033,0.7772474748466501,1.044426294325186,0.9715593435583126,38.17786602300734,2.009361369631965,0.3827354989775172,0.3827354989775172,1.1482064969325516,44.397317881391984,0.0,0.0,0.0
45,2.275,0.9362605144401448,0.2313238927319816,0.2051362822340213,0.6171295070072182,0.7550761026911844,0.0,0.4646622170407291,0.5808277713009113,0.7202264364131303,0.6969933255610938,26.175971559961063,2.19658502601072,0.64067063258646,0.18304875216756,1.8304875216756,29.28780034680956,0.0,0.0,0.0
46,2.325,0.6959527757194179,0.1838717164412041,0.1671561058556401,0.3892808542138081,0.3614750789128217,0.022244620240789,0.4004031643342025,0.6228493667420929,0.645093986982882,0.5338708857789367,18.84051926454708,1.6649761210529972,0.7010425772854725,0.5257819329641042,2.8041703091418904,18.928149586707768,0.087630322160684,0.0,0.0
47,2.375,0.6181070929681387,0.148177874764976,0.1521826821910564,0.2864592542558879,0.2131789799113584,0.0,0.2771326738847658,0.2771326738847658,0.4689937558049884,0.3837221638404449,8.39795981468988,2.351428748113164,0.5038775888813924,0.923775579615886,3.0232655332883533,10.329490572068554,0.0,0.0,0.0
48,2.4250000000000003,0.6440550214294781,0.1037169646610086,0.0845101193534144,0.2172589694216712,0.2172589694216712,0.0,0.3271664480702814,0.3271664480702814,0.5316454781142069,0.5111975751098146,5.558111816648526,3.785960222934504,1.2888375227011084,0.5638664161817347,4.188721948778599,6.766396994180813,0.0805523451688192,0.0805523451688192,0.0
49,2.475,0.7327663550798005,0.0700669688308571,0.066379233629233,0.0552096510473909,0.0858816794070525,0.0,0.2748213741025681,0.2551912759523846,0.3140815704029349,0.2944514722527515,4.1758572428572025,4.562510691269906,1.3146217246031942,1.0052989658730307,4.098526553174662,4.330518622222284,0.0773306896825408,0.0773306896825408,0.0
50,2.5250000000000004,0.8355996224768569,0.0673196036956777,0.0425176444393754,0.0884080827886051,0.076620338416791,0.0,0.2074643009439266,0.2263246919388291,0.2451850829337315,0.2451850829337315,2.303253809377479,4.903701658674629,1.0401791397188611,0.9658806297389426,4.086418048895524,1.857462749497967,0.0742985099799186,0.0742985099799186,0.0
51,2.575,0.8945106051144932,0.0579169542467454,0.027255037292586,0.0793409859647157,0.0510049195487458,0.0,0.2176209900746488,0.2901613200995319,0.3082964026057526,0.2357560725808696,1.428824682308301,5.429533792771543,1.0001772776158109,0.6429711070387354,3.143414301078262,1.7145896187699614,0.0,0.071441234115415,0.0
52,2.625,0.94634888866391,0.0557316731093667,0.0360616708354725,0.0218135281627159,0.0599872024474687,0.0174508225301727,0.1745082253017274,0.2792131604827639,0.1570574027715547,0.3490164506034549,0.549965316102414,5.018433509434528,1.306167625743233,0.549965316102414,4.537213857844915,0.824947974153621,0.0,0.0687456645128017,0.0
53,2.6750000000000003,0.9792744372168616,0.0378831370217376,0.0347262089365928,0.0315085706959644,0.0630171413919289,0.0336091420756954,0.2016548524541727,0.302482278681259,0.3865051338704977,0.302482278681259,0.7943979036073471,5.229786198748368,1.1915968554110206,0.529598602404898,4.766387421644082,0.264799301202449,0.1323996506012245,0.1323996506012245,0.0
54,2.725,0.9645020506082868,0.0395478665775782,0.0486742973262501,0.0910887992030907,0.0607258661353938,0.0161935643027716,0.1619356430277168,0.1295485144221734,0.2105163359360318,0.2267099002388035,0.1913784872145744,4.912047838507408,1.339649410502021,0.3827569744291488,5.613768958294184,0.3827569744291488,0.3189641453576241,0.2551713162860992,0.0
55,2.7750000000000004,0.9573764758552736,0.0410691029693689,0.035202088259459,0.1024753098129925,0.053677543235377,0.0,0.2342292795725545,0.2654598501822284,0.2029987089628805,0.2810751354870655,0.369088561750692,5.905416988011069,0.676662363209602,0.5536328426260381,4.613607021883651,0.3075738014589099,0.1230295205835639,0.184544280875346,0.0
56,2.825,0.9678339063482057,0.0367976442594549,0.0481199963392871,0.0706286145364537,0.056502891629163,0.0602697510711072,0.2109441287488752,0.2712138798199825,0.1808092532133216,0.1958766909810984,0.2967828651228764,5.045308707088904,1.0090617414177796,0.4748525841966022,6.529223032703288,0.4154960111720269,0.2374262920983011,0.1187131460491505,0.0
57,2.875,0.9756083539014776,0.0546598275373292,0.030062905145531,0.1045631989283813,0.1182018770494745,0.0290958466583321,0.2036709266083252,0.2182188499374913,0.2618626199249896,0.2036709266083252,0.1719300029810537,5.272520091418982,0.5157900089431615,0.4011700069557922,6.017550104336882,0.0,0.0,0.3438600059621076,0.0
58,2.9250000000000003,0.988533215325455,0.073929985495264,0.0501667758717863,0.136156082490076,0.0966268972510216,0.0843289285099825,0.3092060712032695,0.3232608926215998,0.295151249784939,0.1546030356016346,0.0,5.702850266407406,0.9412471313487952,0.830512174719525,4.872338091687881,0.0553674783146349,0.2214699132585399,0.1107349566292699,0.0
59,2.975,1.0060518886705094,0.0587041195503421,0.0714658846699817,0.2165327954818848,0.1613381613394436,0.0135863714812163,0.2309683151806773,0.2309683151806773,0.2989001725867589,0.1494500862933794,0.1605662084143745,4.388809696659569,1.2845296673149964,0.5887427641860402,6.476170406046443,0.0,0.2140882778858328,0.4281765557716656,0.0
60,3.0250000000000004,1.0326553292361562,0.0493735387799625,0.0543108926579587,0.1724750638342345,0.2053274569455173,0.0525638289780524,0.1576914869341573,0.38108776009088,0.249678187645749,0.2628191448902621,0.1035348146537396,3.8307881421883634,0.6729762952493076,1.1388829611911364,5.64264739862881,0.2070696293074793,0.3106044439612189,0.1553022219806094,0.0
61,3.075,1.046127663814148,0.0477809843432421,0.0764495749491874,0.3576682337616733,0.2622900380918939,0.0763025565358236,0.3433615044112064,0.2543418551194121,0.2161905768515003,0.1907563913395591,0.0,5.009763812958121,0.5510740194253929,1.3526362294986918,5.410544917994768,0.0500976381295811,0.4007811050366494,0.2504881906479058,0.0
62,3.125,1.0384337904481824,0.0809624499829205,0.0948417271228497,0.3001393681509695,0.3001393681509695,0.0615670498771219,0.2832084294347609,0.2093279695822146,0.1970145596067902,0.160074329680517,0.1940294905218388,5.1902888714591935,0.7761179620873555,1.261191688391953,5.044766753567815,0.0485073726304597,0.1455221178913791,0.1940294905218388,0.0
63,3.1750000000000003,0.987978039071256,0.1075646846674915,0.0739507207089004,0.4286857775360067,0.4249580751226501,0.0357859431682231,0.3340021362367495,0.4294313180186779,0.3578594316822315,0.2147156590093389,0.1409749276323942,4.840139182045531,1.033816135970891,0.9868244934267596,4.6991642544131365,0.0939832850882628,0.3289414978089198,0.5638997105295768,0.0
64,3.225,0.901527186909602,0.1324910687841875,0.1324910687841875,0.484143751033265,0.5672430515837508,0.0809314927100383,0.2196711944986756,0.2543561199458349,0.2890410453929943,0.2312328363143953,0.0910917233965799,5.602140988889669,1.1841924041555405,0.9564630956640902,4.1902192762426775,0.0455458616982899,0.1821834467931599,0.3643668935863199,0.0
65,3.2750000000000004,0.825611020567166,0.058972819600643,0.0905654015295589,0.6866931205421021,0.6656719025663237,0.1233244787912348,0.235437641328721,0.3475508038662072,0.3699734363737044,0.2242263250749723,0.0883315826052921,4.5049107128699,1.4574711129873206,1.5016369042899669,4.195750173751377,0.044165791302646,0.2649947478158764,0.4416579130264608,0.0148721542141563
66,3.325,0.7779511198326187,0.1389448119217166,0.1144251392296489,0.972102856937598,0.9109215582492172,0.0870134025790297,0.2827935583818468,0.3371769349937403,0.2936702337042254,0.315423584348983,0.0,4.284750884573436,1.3282727742177642,1.628205336137905,4.241903375727705,0.0,0.4713225973030777,0.5998651238402807,0.028856485549168
67,3.375,0.7697839999097852,0.1408081384275973,0.1804724027733995,1.0853706412355857,1.078772643416524,0.0844543720839847,0.3167038953149427,0.3167038953149427,0.2533631162519542,0.2744767092729504,0.0,3.826038977744154,1.1228592652075242,1.4555583067504945,4.117150639094254,0.0831747603857425,0.3742864217358415,0.4158738019287128,0.0420117412152475
68,3.4250000000000003,0.7955002472980972,0.1521328959227062,0.1752416902400793,1.3582341993332934,1.3101834611493326,0.1845148346264098,0.4202837899823782,0.2665214277937032,0.2767722519396148,0.3177755485232614,0.0807640690283948,3.67476514079197,1.5748993460537009,1.2518430699401208,3.5536190372493768,0.0807640690283948,0.4442023796561719,0.5249664486845669,0.0271960640605819
69,3.475,0.8342489469641442,0.1515279731445871,0.1926837189369442,1.484358959148206,1.5683792775905567,0.2091172370120742,0.3784026193551819,0.2688650190155239,0.2489490916810407,0.2290331643465574,0.0784566834388734,3.3344090461521234,1.4514486436191592,1.490676985338596,3.5697790964687437,0.1569133668777468,0.4707401006332405,0.6276534675109874,0.0528381745608739
70,3.5250000000000004,0.8733098095921864,0.2145267180686967,0.1981645107583723,1.9506163490625432,1.7721878768227144,0.2419369115116331,0.3483891525767517,0.4064540113395437,0.2612918644325638,0.3193567231953557,0.1143701763509538,3.8504626038154495,1.7917994294982773,1.2961953319774766,4.2316965249852965,0.1143701763509538,0.4956040975207998,0.5337274896377844,0.0256749375481733
71,3.575,0.8965506470469737,0.2227082366081657,0.2297783393576312,2.3815709093332043,2.258082047367779,0.3951643582893615,0.4422077342761903,0.3951643582893614,0.3951643582893615,0.3481209823025328,0.2594513463516009,2.816900331817381,1.3713856878584625,1.8902883805616648,3.40993198062104,0.0,0.2965158244018296,0.518902692703202,0.1747325393796496
72,3.625,0.914299779901541,0.2303598551966867,0.2389553721816376,2.750995211033565,2.7052406129290563,0.3385840259733618,0.4026404633196734,0.3843386240778701,0.5307533380122967,0.3660367848360668,0.2162944637667668,2.919975260851352,1.4419630917784456,1.514061246367368,2.8839261835568912,0.1802453864723056,0.6488833913003005,0.3604907729446114,0.1699456501024596
73,3.675,0.948234119618676,0.2626051095416014,0.2826768376594309,2.9409745796109035,2.924280305743669,0.489698700105505,0.5787348273974148,0.3828553473552128,0.4006625728135947,0.4451806364595498,0.1052245140722572,3.261959936239974,1.999265767372888,2.31493930958966,2.946286394023204,0.1402993520963429,0.5611974083853718,0.3507483802408573,0.236218296896904
