,r ($\AA$),g_full(r),O (DOL),O (DOL),S (DES),O (DES-i),O (DES-i),O (DES),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
45,2.275,0.9392983045709704,0.8027957604904543,0.8765661817247122,0.0,0.1284658861128821,0.1605823576411026,0.8510864954978437,0.0230991545222201,1.385949271333208,1.5245441984665298,1.3166518077665488,1.432147580377649,43.40541127039008,4.9138201438177465,0.3639866773198328,0.7279733546396657,4.822823474487787,37.76361777193265,0.0,0.0,0.0
46,2.325,0.6653852588065712,0.6107567958000937,0.4902673598939525,0.0,0.1306876013276638,0.0538125417231557,0.6918755364405738,0.0442327266032092,0.9731199852706044,1.061585438477023,1.3712145246994878,1.0394690751754183,24.917769319807917,6.185879796176087,1.0455008106213108,1.2197509457248628,4.704753647795896,23.436643171427733,0.0,0.0871250675517759,0.0
47,2.375,0.5746938360082836,0.4539157042625231,0.3902082369976077,0.0,0.0736724053264063,0.0810396458590469,0.3609947860993909,0.0,0.996164262175054,0.7630194348574881,0.95377429357186,0.8901893406670696,15.11266607929014,5.594191311118455,1.5029170686586886,1.75340324676847,6.5961360235575786,15.780629220916218,0.0834953927032605,0.0834953927032605,0.0
48,2.4250000000000003,0.6082163789729191,0.278803109960709,0.3131760961202486,0.0141331588962574,0.0423994766887723,0.0565326355850298,0.2685300190288915,0.0,0.9961702689723624,0.7928702140800433,0.6912201866338838,0.9961702689723626,9.530460149042938,8.889756945745933,0.9610548049455072,0.6407032032970048,8.489317443685305,8.329141642861055,0.0800879004121255,0.0,0.0
49,2.475,0.708539539434658,0.2346542489001294,0.30798370168142,0.0203518641676415,0.0610555925029247,0.0474876830578303,0.2170865511215103,0.0,0.741642803975698,0.5464736450347246,0.6635751403993085,0.7221258880816006,5.612591873787378,7.380942738131345,1.30704194321076,1.1532723028330236,9.68748734379739,6.304555255487192,0.1537696403777364,0.0,0.0
50,2.5250000000000004,0.8232149513339553,0.197271658699091,0.2430668651828087,0.0325897602701898,0.0912513287565314,0.0651795205403796,0.1042872328646073,0.0375032933570799,0.5437977536776596,0.5813010470347397,0.3937845802493397,0.7125625737845193,3.915116533792136,9.23376540988712,1.477402465581937,1.7728829586983248,7.904103190863376,3.988986657071233,0.1477402465581938,0.1477402465581938,0.0
51,2.575,0.9557511561735282,0.1558128763364475,0.182910767873221,0.0188018792882158,0.0626729309607194,0.0877421033450071,0.1128112757292949,0.0,0.4687935235861811,0.4507630034482511,0.5048545638620412,0.3606104027586009,1.9177916873980136,7.316020140814655,1.4205864351096398,1.4916157568651218,8.878665219435256,2.059850330908977,0.0,0.213087965266446,0.0
52,2.625,1.0213493680156789,0.1564527195245663,0.1401555612407573,0.1085547612743983,0.060308200707999,0.1085547612743982,0.0844314809911986,0.0520506163033653,0.3817045195580127,0.4858057521647436,0.4684555467302884,0.5725567793370193,1.5036844709861104,8.81705894350947,1.2986365885789135,1.845430941664771,8.953757531780939,0.8885408237645199,0.0,0.2733971765429291,0.0
53,2.6750000000000003,0.934159836336685,0.1820461094033158,0.1537975751855599,0.1858394360421826,0.0696897885158184,0.0929197180210913,0.0929197180210913,0.0167076800672539,0.38427664154684,0.584768802353887,0.3508612814123322,0.5179380820848714,1.3163626719654604,9.60944750534786,1.2505445383671874,1.7112714735550982,9.477811238151313,0.5923632023844569,0.263272534393092,0.197454400794819,0.0
54,2.725,0.8275877572985197,0.1028365135867976,0.1512301670394082,0.2686235951005872,0.1287154726523647,0.111926497958578,0.1399081224482225,0.0322003924896216,0.402504906120271,0.4830058873443252,0.4508054948547035,0.289803532406595,0.570825139588748,9.640602357498866,1.0148002481577745,1.2050752946873569,8.181827000772063,0.6976751706084697,0.1902750465295826,0.1902750465295826,0.0
55,2.7750000000000004,0.8031640736764352,0.1429130806317933,0.1283301132203858,0.4748900446444231,0.1403084222813066,0.1079295556010051,0.1025330778209548,0.0621010058381168,0.4812827952454052,0.5744343040025804,0.38813128648823,0.5744343040025804,0.6116008150723626,7.706170269911772,1.3455217931591985,1.5901621191881428,7.645010188404538,0.7339209780868352,0.1223201630144725,0.0611600815072362,0.0
56,2.825,0.8008691770977324,0.174484588381051,0.1153849697358563,0.8643864773377647,0.124971538892207,0.1874573083383105,0.124971538892207,0.0299611253497983,0.3894946295473783,0.5542808189712691,0.5692613816461685,0.3745140668724792,0.0,9.324265374013,1.4163441074450127,0.8262007293429241,9.560322725253837,0.4721147024816709,0.2360573512408354,0.4721147024816709,0.0
57,2.875,0.7953424278674143,0.1548823168743331,0.1195582796924676,1.2870678393339818,0.2011043498959349,0.2061319586433332,0.1156350011901625,0.0578561745085227,0.3182089597968753,0.3037449161697446,0.3182089597968753,0.4049932215596596,0.3988569606269374,10.028403581477292,1.1965708818808125,1.5384482767039016,7.863180080931055,0.284897829019241,0.1709386974115446,0.1139591316076964,0.0767479865929384
58,2.9250000000000003,0.8160428371462841,0.1207561173672069,0.162758245147105,2.248882642407791,0.1845735214071187,0.2282883027930152,0.1457159379529884,0.1117902785526517,0.4890824686678512,0.4471611142106068,0.2934494812007107,0.3074232660197922,0.2752412161334228,8.532477700136115,1.211061350987061,1.7615437832539065,7.981995267869269,0.2201929729067382,0.1100964864533691,0.3302894593601074,0.0
59,2.975,0.8625742378783678,0.1167312924403645,0.1421076603621829,3.4134878822406645,0.3004996209950513,0.3004996209950514,0.2206794091682409,0.0675401792380705,0.4862892905141073,0.3106848244951241,0.3377008961903524,0.4052410754284228,0.1064269491024141,9.205931097358828,1.7028311856386258,1.4367638128825908,7.875594233578651,0.0,0.2660673727560353,0.4257077964096565,0.0
60,3.0250000000000004,0.9201631646058882,0.1497210329255588,0.1300854876238462,5.190792904298606,0.3178963283472459,0.3587687134204635,0.195279173127594,0.1045215180675781,0.3527601234780761,0.4442164517872071,0.4964772108209961,0.4180860722703124,0.3088135761087535,7.514463685313004,2.007288244706898,1.3896610924893915,7.411525826610084,0.3088135761087535,0.3088135761087535,0.1029378587029178,0.0519941225081064
61,3.075,0.9636989595082154,0.1662692188140858,0.1733950424775466,7.598770041866001,0.34280165602403,0.5185973770619943,0.1626110419601166,0.0632188458348062,0.50575076667845,0.40460061334276,0.4172443825097213,0.5183945358454113,0.2490439381371157,7.570935719368325,1.8429251422146564,2.091969080351773,8.268258746152249,0.1992351505096925,0.3984703010193851,0.398470301019385,0.0335446937082645
62,3.125,0.9712631636768272,0.1425922777477026,0.1954894130412052,11.102298207239912,0.5191569111856149,0.5659661408826782,0.2127692258957438,0.1713937948907868,0.5264237985931314,0.391757245464656,0.5019389707515904,0.5019389707515904,0.2411384560151763,6.800104459627978,1.4468307360910575,1.736196883309269,7.427064445267432,0.0964553824060705,0.3375938384212468,0.1929107648121411,0.0162399368336751
63,3.1750000000000003,0.9340796315470524,0.1871528636075157,0.1782408224833482,15.413708730065046,0.6801984328592494,0.6224846264348283,0.1978759077408725,0.1897579217822724,0.4506750642328973,0.4625349343442892,0.4625349343442894,0.4506750642328972,0.1868828017552683,6.82122226406729,1.681945215797416,2.2893143215020384,8.456446779425885,0.1868828017552683,0.6073691057046223,0.4204863039493539,0.0471974422800295
64,3.225,0.8680294244070532,0.2073083146780929,0.2029893914556326,20.397442929219903,0.8310809264011244,0.7631560429933402,0.2357393012387805,0.2184046251111832,0.5517590529124625,0.5517590529124626,0.5172741121054336,0.4253142699533566,0.090566511210379,8.286835775749685,2.309446035864664,1.947179991023148,6.837771596383619,0.090566511210379,0.5433990672622743,0.4528325560518952,0.1067391024979467
65,3.2750000000000004,0.8124492215900785,0.2387192449811994,0.2575655011639258,21.763137052000715,0.8756398386598128,0.8213966628136296,0.2247217285056153,0.3121068887149608,0.4904536822663669,0.5127470314602927,0.4124269600876268,0.5350403806542186,0.21955571175836,6.147559929234077,2.107734832880257,2.063823690528585,5.884093075124045,0.0,0.351289138813376,0.43911142351672,0.0295728101552076
66,3.325,0.7901895772095412,0.2437829836716364,0.2519090831273576,19.865597226906903,1.0938294783405684,0.9359571824976004,0.2405673079511906,0.3352328567771757,0.475814377361153,0.5947679717014412,0.5839540085795969,0.4974423036048416,0.1278013823490699,6.390069117453492,2.343025343066282,2.5134271861983746,5.83626312727419,0.0426004607830233,0.5538059901793032,0.5538059901793033,0.1577955843289537
67,3.375,0.7795916201168648,0.3075974466078773,0.2937949970806007,14.181009911484562,1.2002964396394191,1.1893514873022817,0.2553822211998762,0.283390073590808,0.629755719090684,0.5562842185301042,0.4513249320149902,0.5877720044846383,0.0826951954361504,6.202139657711288,2.646246253956814,2.4395082653664377,5.127102117041327,0.2894331840265267,0.2894331840265267,0.6202139657711283,0.2366939012228592
68,3.4250000000000003,0.7767112112020039,0.3542064693049806,0.3101699893373345,8.647429544281442,1.3886900374265987,1.4559989933222752,0.2621506703305314,0.5707363450522503,0.5707363450522505,0.6013115063943353,0.5401611837101655,0.5095860223680806,0.2007460088116681,5.982231062587712,2.208206096928348,2.168056895166014,5.420142237915044,0.1605968070493345,0.3613428158610025,0.5620888246726706,0.1757551791432767
69,3.475,0.7904623765301536,0.4222040275989422,0.4091845201399439,4.680259304741179,1.7172422007837107,1.5761461482143078,0.2753093708671282,0.762342236753035,0.7029389455774737,0.6633367514604329,0.6930383970482137,0.5148285235215299,0.1950108043642158,5.265291717833824,2.7301512610990195,2.535140456734803,5.382298200452351,0.1950108043642158,0.5070280913469613,0.5070280913469613,0.2232674719353573
70,3.5250000000000004,0.8112576964597437,0.4428474878004167,0.504303873862515,2.708991311381529,1.9799047609109448,1.8227163761764604,0.3076879020334579,0.7120042120968202,0.6831391764712735,0.6350307837620287,0.5580573554272373,0.615787426678331,0.0758071642691127,5.647633738048906,3.2597080635718534,2.5774435851498363,4.169394034801208,0.0758071642691127,0.6443608962874585,0.492746567749233,0.2680324736657916
71,3.575,0.8410992208747121,0.511384361191963,0.5851924133227615,1.4176709335680877,2.028960235198365,2.087487934290625,0.2861354177843851,0.991569274706656,0.7296453153501814,0.7670630238296777,0.7483541695899295,0.7202908882303074,0.1105523205076032,4.5326451408117325,2.763808012690081,2.984912653705288,4.16413740578639,0.0368507735025344,0.4422092820304129,0.5896123760405505,0.3598590841012801
72,3.625,0.8761425146509558,0.634110037236489,0.6648754837870465,0.7842903855051184,2.43509514854412,2.4667197608628757,0.262484282245665,1.1736623430235726,0.7278526158285721,0.7733434043178579,0.782441562015715,0.7460489312242864,0.1075236818837663,3.7633288659318143,3.1181867746292182,2.938980638156276,4.408470957234414,0.1075236818837663,0.5017771821242427,0.6093008640080091,0.3500005563359333
73,3.675,0.9136489831572622,0.710100983395381,0.7234049830842875,0.443087219585611,2.8062190573755377,2.716986214542324,0.2830835014019183,1.3366937841280886,0.8498185647436849,0.7967049044472048,0.8409662880276046,0.7524435208668042,0.209235631470983,3.8359865769680215,3.2431522878002363,2.7549358143679425,3.940604392703512,0.1394904209806553,0.6974521049032769,0.6625794996581131,0.493198274181603
74,3.725,0.9446316520762764,0.8967354011680304,0.8692182498686503,0.3264491488218995,3.117739118565112,2.8571787887714857,0.2395957055573573,1.3699805987186349,0.8357743275201734,0.8874717086038955,0.7840769464364513,0.8616230180620345,0.1357708998158357,3.869470644751317,3.326387045487974,3.292444320534016,3.903413369705275,0.0339427249539589,0.8825108488029326,0.780682673941056,0.6057737341272873
75,3.775,0.9540212882611896,1.0149840826926833,0.9755825266875332,0.2391231972145746,3.5081122713308948,3.3768861265180177,0.2420393337659718,1.6107841037133377,1.0570770680618773,0.7634445491558002,0.9983505642806616,0.8137815523968421,0.2313468330775154,4.032044805065272,2.7761619969301874,3.503252043745236,3.4702024961627345,0.165247737912511,0.6940404992325467,0.8262386895625556,0.7678961208709955
76,3.825,0.9571379568644036,1.2327076959002088,1.280296660499095,0.1505410441287551,3.709558559097249,3.5845810884997937,0.2584761323720137,1.7650664308994704,0.8825332154497355,0.8825332154497352,0.8498468000627082,0.8743616116029784,0.225338166683294,3.895131166954081,3.508837166925579,2.832822666875695,2.897205000213778,0.0643823333380839,0.9979261667403014,1.0301173334093434,0.9213900255781916
77,3.875,0.9657557383235392,1.4149963588321277,1.4793143751426785,0.1356109499476539,3.982533815809675,3.94655540051744,0.2518489070456429,1.855166310885159,1.0271092450823411,0.8917537631722653,1.0191471579111602,0.987298809226437,0.1881947876824586,2.6660928255014964,2.791556017289803,2.760190219342726,3.1679455926547204,0.1254631917883057,0.7841449486769106,1.035071332253522,1.0667571893633243
78,3.925,0.985361378582431,1.7684355259654303,1.796135670230346,0.1402704744200308,4.38345232562597,4.391544852996357,0.2778434397165998,1.8004420894197102,1.0631920959073298,1.0709526221548284,1.1252763058873196,1.1407973583823172,0.1222870802636166,2.1400239046132934,3.271179397051749,2.812602846063185,2.323454525008718,0.2445741605272333,0.9782966421089336,0.8254377917794127,1.2559382274013282
79,3.975,1.001233269962048,2.0511620090484928,1.9317596467754,0.1025729231291773,4.7025740142299775,4.513208617683805,0.2971984695794114,1.9143304008538489,1.1047124052358184,1.1879441617946815,1.23334330173588,1.0517467419710875,0.357690193476106,2.2355637092256626,3.189404225161945,2.5932539027017683,1.78845096738053,0.3576901934761059,0.8644179675672562,1.0432630643053091,1.1643180787640597
