,r ($\AA$),g_full(r),Si (TFMTMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),O (DOL),O (DOL),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
36,1.825,1.0965797221089484,0.0,0.0,15.738545603039857,15.54754383601268,15.012738888336562,16.80815549839209,23.66048189754937,24.715407842026103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.8595589385170557,0.0,0.0,31.992211970702183,27.504616626395546,28.04747090191649,30.255078289035094,26.080016388901218,25.84885878795684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.728054031897869,0.0,0.0,33.133072660642284,34.71247301545013,35.57084277349785,35.60517756381976,21.698396681470093,22.653022932616818,3.922489682230228,0.0,0.0,0.0,0.0,4.057747947134718,0.0,0.0,0.0
39,1.975,0.7578680488664149,0.0,0.0,30.30250990593064,33.07507539786186,32.553180717027765,33.56435166114384,15.362237665340096,15.607347161396582,23.3864169479831,0.0,0.0,0.0,0.0,21.587461798138257,0.0,0.0,0.0
40,2.025,1.085063909573433,0.0,0.0,26.962983157075705,25.07029964432356,24.66694086291736,27.583535128469855,10.008194041538117,10.264664943010263,65.63747442882637,0.0,0.0,0.0,0.0,64.78186489251024,0.0,0.0,0.0
41,2.075,1.3500887897563931,0.0,0.0,17.877979794798843,19.6805529641918,18.17348359305999,18.73494080975615,6.589478484057256,6.53396476473074,115.59571308342512,0.4656423487751263,0.0,0.2328211743875631,0.4656423487751263,109.30954137496089,0.0,0.0,0.0
42,2.125,1.4167152112674182,0.0,0.0281761971879553,11.946707607693066,13.411869861466744,13.158284086775144,12.848345917707633,4.086362933212711,4.075776500743248,130.19964573307,1.1099714043739983,0.4439885617495992,0.1109971404373998,0.9989742639365984,140.3003855128734,0.0,0.0,0.0
43,2.1750000000000003,1.3398430857923171,0.0,0.0268956865530262,9.467281666665238,9.332803233900108,9.144533428028923,9.413490293559184,2.531381597107802,2.4656970446878392,116.12416424470248,3.496439251893412,0.3178581138084919,0.3178581138084919,2.7547703196735966,111.46224524217791,0.0,0.0,0.0
44,2.225,1.169923047956764,0.0,0.0,6.091024167157483,7.1190451236397605,6.553633597574508,6.862039884519193,1.718815385332361,1.7670967163810234,84.43790310743057,4.252268501813047,0.5062224406920295,0.2024889762768118,4.1510240136746415,82.81799129721603,0.0,0.0,0.0
45,2.275,0.8737581235982083,0.0,0.0491665794756174,4.597075180970229,5.064157685988595,4.719991629659273,4.744574919397082,1.1453255218886604,1.1545620180329237,55.97540578481653,6.779028382244224,1.6463354642593115,1.065275888638378,7.263244695261669,54.91012989617816,0.0,0.0,0.0
46,2.325,0.6004301963385142,0.0,0.0,3.2716921452216234,3.789513923602024,3.412916266598097,4.11903687348046,0.7826510194779956,0.8224468340277246,33.56569268675159,8.159615901751767,1.2053978036678743,2.0399039754379418,8.80867625757293,31.247619987390287,0.1854458159489037,0.0,0.0
47,2.375,0.5030084876515906,0.0,0.0,2.751926596617912,2.9098240242927105,2.706813045853684,2.842153698146369,0.5635934195906824,0.6441067652464941,18.48288504037465,12.351543368327292,1.5994804361862682,1.4217603877211278,8.797142399024473,19.46034530693293,0.0888600242325704,0.0,0.0
48,2.4250000000000003,0.600230427728574,0.0,0.021636221136677,1.9472599023009365,2.488165430717864,2.617982757537924,2.2068945559410613,0.4145900177345918,0.3536208974795048,12.870273360999118,10.99513419582043,1.875139165178677,1.4489711730926147,12.103170975244192,11.677002983158136,0.1704671968344252,0.0,0.0
49,2.475,0.8017758666098138,0.0,0.0,2.139401672403424,1.7239838719367395,1.9940054422400848,1.744754761960074,0.3784984439223188,0.3745963981086865,9.818966192848912,12.6010066141561,1.963793238569782,1.4728449289273366,12.437357177608632,6.300503307078049,0.0818247182737409,0.0,0.0
50,2.5250000000000004,0.9154379432767934,0.0,0.0199564517790524,1.5366467869870348,1.975688726126188,1.3969516245336686,1.4767774316498787,0.2586840642458094,0.2624331086551689,4.323897885461355,13.05030998157426,2.201257105325781,1.650942828994336,11.792448778530952,3.8521999343201134,0.1572326503804128,0.0786163251902064,0.0
51,2.575,0.9138923829636884,0.0,0.0383779848087294,1.266473498688071,1.7653873012015542,1.400796445518624,1.6118753619666362,0.1802434257635411,0.1694288202177287,2.4189760121865818,12.77521706436037,2.0410110102824284,2.4945690125674123,12.472845062837052,2.4189760121865818,0.1511860007616613,0.4535580022849839,0.0
52,2.625,0.8732789062452221,0.0,0.0,1.329477627818377,1.2925476937123104,1.384872528977476,1.34794259487141,0.1873180183703637,0.1560983486419697,1.091111689497405,12.511414039570242,2.4731864961941183,1.8185194824956752,12.002228584471446,1.0911116894974051,0.4364446757989619,0.0,0.0
53,2.6750000000000003,0.8136285138343079,0.0,0.0711246361064539,1.1913376547831034,1.3691492450492382,1.2802434499161712,1.351368086022625,0.1803811219173794,0.1970830776504701,0.7004699010484097,12.608458218871366,1.751174752621024,1.3308928119919778,13.378975110024614,0.9806578614677736,0.1400939802096819,0.2101409703145229,0.0
54,2.725,0.7491779794151281,0.0,0.0171346439862563,0.9938093512028652,1.0109439951891217,0.9938093512028652,1.113751859106659,0.1287574403591514,0.180260416502812,0.4725007887119164,14.6475244500694,1.9575032675207973,2.362503943559584,11.88001983047103,0.2700004506925236,0.3375005633656546,0.6075010140581782,0.0
55,2.7750000000000004,0.7285750506128809,0.0,0.0330455172733535,1.0409337941106351,0.9913655182006048,0.8757062077438676,1.057456552747312,0.1427833766579869,0.1862391869452003,0.3254482761769665,13.017931047078658,2.2781379332387663,2.1479586227679794,13.01793104707865,0.1952689657061799,0.0650896552353933,0.3254482761769665,0.0
56,2.825,0.7460210736898845,0.0,0.0,1.004413615054442,0.9406413220351124,0.8449828825061179,0.9087551755254476,0.1257936126754117,0.1018329245467619,0.502448369243203,14.508196661897497,2.3238237077498134,2.2610176615944124,13.31488178494488,0.6280604615540037,0.4396423230878026,0.3768362769324022,0.0
57,2.875,0.7921452184372035,0.0,0.0307867350663433,0.6157347013268673,1.0929290948551886,0.9697821545898152,0.754275009125412,0.1474826976082779,0.1330236096074663,0.3638432326022399,13.644121222583998,2.425621550681598,1.819216163011199,12.613232063544316,0.2425621550681599,0.3032026938351999,0.9096080815055998,0.0
58,2.9250000000000003,0.8590809767317676,0.0,0.1189728743052731,0.8179385108487534,0.8922965572895492,1.0558842594593,1.1153706966119366,0.1313085733390929,0.1089581778771197,0.234340509995235,14.177600854711711,1.5817984424678369,2.167649717455925,13.884675217217676,0.2929256374940438,0.5272661474892787,0.93736203998094,0.0
59,2.975,0.9532801335295368,0.0,0.1868871634780048,0.9344358173900246,0.8050523965206365,0.9919395599986416,1.035067366955104,0.1593402116358712,0.1323333961043676,0.1132649475624271,12.062716915398497,2.0954015299049025,1.925504108561261,13.535161233710054,0.2265298951248543,0.3397948426872815,0.6229572115933496,0.0
60,3.0250000000000004,1.0496302973898486,0.0,0.2085695463457743,0.9316106403444588,0.959419913190562,0.8898967310753039,0.7647550032678394,0.1488921327959718,0.1306071340315542,0.2191033618177833,13.310529230430353,2.355361139541172,2.4101369799956176,12.488891623613664,0.0547758404544458,0.602534244998904,0.5477584045444581,0.0
61,3.075,1.1473894321055478,0.0,0.1883859501067612,0.874649054067105,0.8073683576004047,0.8073683576004047,1.0226665862938458,0.1769521207650214,0.1997031077205241,0.1060180671596491,11.44995125324212,2.8624878133105294,1.9083252088736864,11.714996421141242,0.0530090335798245,0.5830993693780704,0.7421264701175442,0.0
62,3.125,1.2131337517946343,0.0,0.41692789503959,1.042319737598976,0.8338557900791803,0.9902037507190268,0.8338557900791803,0.1835732919362358,0.1811256480437527,0.1026527014302021,11.54842891089774,2.720296587900355,2.4636648343248497,13.036893081635675,0.1026527014302021,1.0265270143020215,0.8725479621567183,0.0
63,3.1750000000000003,1.1922969512613348,0.0,0.3912781011331261,0.8077999507264534,0.921396818797361,1.0097499384080673,0.7573124538060505,0.1730947780977703,0.161238971378745,0.0497225348458518,12.62952385084636,2.585571811984296,3.530299974055477,11.833963293312724,0.0994450696917036,0.6463929529960738,0.6463929529960738,0.0
64,3.225,1.0992644677874666,0.0,0.5749763793279311,1.1377192186701612,0.8930484189561481,1.1132521386987604,1.0153838188131548,0.1654710032747951,0.1907512954417777,0.0963854665540052,11.08432865371059,3.4216840626671834,2.9397567298971574,9.927703055062528,0.0481927332770026,0.5783127993240313,0.5301200660470288,0.0
65,3.2750000000000004,1.0036419277239026,0.0,0.9371655809463812,0.972754147311434,0.9964798582214686,1.0083427136764862,1.0083427136764862,0.267428533379007,0.2607428200445317,0.0934649217668043,10.234408933465078,3.177807340071348,2.523552887703717,10.982128307599512,0.0934649217668043,0.6542544523676305,0.794451835017837,0.0314728818194341
66,3.325,0.9470430190853236,0.0,1.3235082116963852,1.1738942399394032,0.9437188987748144,1.0357890352406498,0.943718898774814,0.3372800519377069,0.287552864793045,0.0,10.654328291785127,2.992279435139656,3.4456551071305124,9.838252082201585,0.0,0.6800635079862849,0.7707386423844562,0.061066927247748
67,3.375,0.927165101287368,0.0,1.597352710242063,1.0723486726100568,1.1170298673021426,1.1952219580132926,1.318095243416528,0.3315577091674283,0.3273607761399925,0.0,9.460904482149958,3.740357585966262,4.004382827328587,8.404803516700659,0.0440042068937207,1.1441093792367407,0.9240883447681366,0.0592709725507259
68,3.4250000000000003,0.9215187515815696,0.0,2.266927884162804,1.1063475798306506,1.3666646574378625,1.1171941247309511,1.1605803043321532,0.3749268121606758,0.4217926636807602,0.0,8.50303383547798,3.4610338727322465,3.33284743300142,8.673949088452417,0.0854576264872159,0.85457626487216,1.1109491443338078,0.0287765476946747
69,3.475,0.9165573056500148,0.0,2.897582875883013,1.190643145362838,1.1695698153564162,1.274936465388525,1.1274231553435718,0.4532897646612577,0.512672703263169,0.0,7.63748566293352,3.984775128487051,4.026283202742124,7.845026034208885,0.0,1.3282583761623503,1.3697664504174238,0.1118176694218305
70,3.5250000000000004,0.9204320812005128,0.0,3.5327577180422343,1.4028632097732945,1.3516638225552915,1.3619036999988918,1.2799846804500872,0.6232711530700304,0.5540188027289161,0.0,7.704732028018346,4.31626349213593,3.4691463581653275,7.018970538613572,0.0,0.8471171339706026,1.1294895119608033,0.1358351089457234
71,3.575,0.9227070137157216,0.0,4.260934718415256,1.6028282468805073,1.622739156779644,1.7123382513257597,1.5729618820318023,0.7069523933840889,0.716303615518799,0.078436917784478,7.176977977279732,4.353248937038527,4.627778149284199,6.863230306141821,0.0,0.941243013413736,0.941243013413736,0.2112994519908387
72,3.625,0.9348913383385052,0.0,4.91882178839858,1.7816204902861,1.5686006490562392,1.5782833691121418,1.723524169950683,0.8312867030652892,0.8494767840951648,0.1525761948202852,7.056649010438188,4.272133454967991,3.928837016622349,5.988615646696196,0.0381440487050713,1.1061774124470676,1.144321461152139,0.282577340406957
