,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEE),O (TFEE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.538086300395404,1.3016414284939413,1.4596978876682054,0.0,0.0,0.0,6.978228431923668,6.903991959243631,6.136881741549891,6.805009995670244,77.59586053465094,3.99677171095564,1.0723046053783416,0.9748223685257652,3.996771710955639,84.2246526406261,0.0,0.0,0.0
45,2.275,1.3117888763822354,0.8670935705678221,0.8670935705678223,0.0,0.0,0.0,4.426247589970746,4.615605775637945,4.6156057756379445,4.875973280930341,47.181747928743455,6.247385595307925,1.212179294611986,1.398668416859984,6.620363839803919,56.319714918895365,0.0,0.0932445611239989,0.0
46,2.325,1.099466447988157,0.6130719948921357,0.6854485498446797,0.0,0.0,0.0,4.03396132707445,3.263429388195061,3.739346173973507,2.900826122840054,32.22911220286077,9.731227784243286,1.874823701551456,1.1606051485794728,8.124236040056317,33.032608074954254,0.0,0.0892773191214979,0.0
47,2.375,0.9757661922387018,0.4324881724607692,0.5018494831384397,0.0,0.0,0.0217185642483927,3.0188804305265924,2.541072017061952,2.562790581310344,2.7582576595458788,17.624943956726018,10.694747546557055,1.8822755681940413,1.967833548566498,11.208095428791797,16.94048011374637,0.0855579803724563,0.3422319214898255,0.0
48,2.4250000000000003,0.8427007458230393,0.4500601978625513,0.375702426041782,0.0,0.0,0.0,2.5206983603630237,2.062389567569745,2.124886221132466,2.2915439639663857,8.616962839708307,13.951273169051536,1.7233925679416606,2.626122008292054,13.212676354219395,12.392013226628134,0.0,0.1641326255182534,0.0
49,2.475,0.7826465308298581,0.3005636444675168,0.3005636444675167,0.0,0.0,0.059997127491785,2.2398927596933107,1.939907122234385,1.7799147822562913,1.8399119097480765,6.066376224169377,11.660047807494385,2.284739097414443,2.284739097414443,13.314514050449674,6.381512651398954,0.157568213614789,0.0,0.0
50,2.5250000000000004,0.8222888496380677,0.158828106491229,0.1949254034210538,0.0,0.0,0.0192148688272605,1.8830571450715372,1.710123325626192,1.7677679321079742,1.6140489814898893,3.9361367658267103,12.489664737719364,2.0437633207177166,2.0437633207177166,13.473698929176049,4.7687810816746685,0.1513898756087197,0.2270848134130795,0.0
51,2.575,0.8990048278491696,0.1423073667363789,0.1596619236554495,0.0,0.0,0.0369518565784518,1.496550191427301,1.4041705499811707,1.3117909085350412,1.2009353387996855,1.8923829581085945,13.028328826978406,2.62022255738113,1.965166918035848,13.61060050639644,1.6740310783268333,0.2183518797817609,0.2183518797817609,0.0
52,2.625,0.9489650662705172,0.1803572695095517,0.150297724591293,0.0,0.0,0.0177788077636196,1.4578622366168106,1.1022860813444169,1.0311708502899382,1.1200648891080367,1.5408300061803677,13.307168235194103,1.7509431888413265,2.031094099055939,13.02701732497948,1.190641368412102,0.2101131826609591,0.3501886377682653,0.0
53,2.6750000000000003,0.931207265313712,0.1157854323647748,0.1736781485471623,0.0,0.0,0.0684816403388241,1.2840307563529514,0.992983784912949,0.9929837849129493,1.1299470655905972,0.8767725164591879,13.623696024981207,2.427985430194673,2.1582092712841536,13.758584104436466,1.0791046356420773,0.1348880794552596,0.337220198638149,0.0
54,2.725,0.8923608667413845,0.1208734859566096,0.1425687270257446,0.0,0.0,0.0659916783289734,1.171352290339278,1.0393689336813312,1.0393689336813317,0.9898751749346014,0.454942630904287,14.103221558032912,1.6897869147873512,1.884762328032045,12.868377274149848,0.2599672176595925,0.3249590220744907,0.5199344353191852,0.0
55,2.7750000000000004,0.8725540649246516,0.131500253518493,0.1464434641455945,0.0,0.0,0.0636350877166413,1.1454315788995428,0.9863438596079402,1.0499789473245813,0.9545263157496192,0.3760255183256079,13.098222221675355,2.0054694310699084,2.318824029674581,14.226298776652182,0.2506836788837386,0.2506836788837386,0.1253418394418693,0.0
56,2.825,0.8574192363262523,0.1009325953675799,0.1124677491238748,0.0,0.0,0.0921037661464158,0.8903364060820185,0.997790799919504,0.8903364060820187,1.2587514706676812,0.4233051878446382,12.578211295954974,2.237470278607373,2.1769981089152823,14.33190421702562,0.2418886787683647,0.362833018152547,0.6047216969209117,0.0
