,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DPT),O (DPT),N (DPT),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,9.926008707427687e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.0195884040240956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,1.3103669458380316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,7.512791298031934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,4.656713454863905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.2952079753030884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0063677192172927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.3205940678658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,1.4057284667069665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.7396198730846208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,1.758142703815893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,1.2967105972097073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,1.0573318730554595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.5839726658175229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.2170208104252657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.4972948566491293,0.1208738382888019,0.1450486059465623,0.985372591222876,0.828608769891964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.9502539561807448,1.4587993091670293,1.6943346142929565,10.916705907898958,12.584829247790672,0.0,0.0,0.2426656543133621,0.121332827156681,0.2426656543133621,0.0808885514377873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.040087036849107,4.693050650463387,4.929855958514291,43.27568732889875,41.56061400618661,0.0,0.0,1.5661165967413222,1.0313450759028222,1.4515226994187869,1.7189084598380369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.7890858182545719,8.607346288738652,9.225065935643393,71.59266841089321,74.365823155663,0.0,0.0,6.793140759401514,6.106599937972639,5.347791661656507,5.239390479325632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4163017576067556,10.238060897863416,10.572469922165494,74.06297263838329,75.27829168746872,0.0,0.0,12.255200302440532,10.885904179262823,10.201256117673966,11.057066194660036,0.0,0.0,0.0,0.0,0.0,0.1348549212220475,0.0,0.0,0.0
38,1.925,0.314645815599601,8.566119897756215,9.011509322639547,54.7679279816382,55.90398097692293,0.0,0.0,16.336076865720955,15.719008355882584,13.44559805647808,14.809644236120784,2.1749942691272577,0.0,0.0,0.0,0.0,1.7911717510459768,0.0,0.0,0.0
39,1.975,0.5887580310488922,6.317889521256879,6.87432749744097,33.215510959211244,34.10147269672659,0.0,0.0,16.722744639383837,15.272617336706642,15.149202247117096,14.71724943355368,12.76224221891924,0.0,0.0,0.0,0.0,13.005332546898655,0.0,0.0,0.0
40,2.025,1.0300902014390552,4.317104561199002,4.565214018739173,18.06555706420217,19.29137942648901,0.0,0.0,13.911433666467838,12.033096631332947,12.6200769548126,13.471198423858102,41.50662378302347,0.0,0.1156173364429625,0.0,0.0,38.73180770839241,0.0,0.0,0.0
41,2.075,1.4871280430044946,2.909078721233361,2.667530668567776,9.31050279899122,9.266723005265554,0.0,0.0279517144556162,11.124782353335265,10.062617204021851,9.86695520283254,10.258279205211164,69.15084751989423,0.4404512580884989,0.0,0.1101128145221247,0.3303384435663742,68.93062189084999,0.0,0.0,0.0
42,2.125,1.775764162104767,1.852536372046584,1.7473924157952907,5.078841168474179,5.009268001782753,0.0,0.0,8.342036757584244,6.902835527841275,7.036094900965622,7.435873020338671,82.31391096262814,0.7349456335948937,0.0,0.1049922333706991,2.0998446674139823,88.50845273149939,0.0,0.0,0.0
43,2.1750000000000003,1.7442137676537068,1.1470345986074226,1.3764415183289065,3.041637864325989,2.7627103745843056,0.0,0.0,5.9531095667725245,5.9531095667725245,5.418856144113454,5.444296783287693,76.9694974289781,1.603531196437043,0.3006620993319456,0.7015448984412065,2.7059588939875097,81.98053241784388,0.0,0.1002206997773152,0.0
44,2.225,1.4291304980466224,0.83118176356784,0.7672447048318525,1.5991967944085614,1.6626569846628696,0.0,0.0,4.278583658007376,4.570305271053329,3.938241776120425,3.7923809695974455,63.58941827809856,3.2560846708664903,0.8619047658176009,0.6703703734136895,4.213756632886047,62.44021192367511,0.2873015886058669,0.1915343924039113,0.0
45,2.275,0.973006116903296,0.559155512589006,0.6639971711994445,0.789119445163575,0.8741015392581137,0.0,0.0232533422302639,2.976427805473781,3.5577613612303782,3.4647479923093227,3.32522793892774,40.58060542548181,4.2137874708175245,0.4580203772627745,1.557269282693433,6.412285281678843,43.145519538153366,0.0,0.0916040754525548,0.0
46,2.325,0.6383239162717698,0.3429684138380195,0.3722462052632164,0.5346934346797845,0.3835844205311495,0.0,0.0,2.3599830292538835,2.4935669743059896,2.337719038411865,1.8479112398874744,23.59308362864732,6.13946414128369,1.403306089436272,2.3680790259237097,7.367356969540427,28.06612178872543,0.2631198917693009,0.0877066305897669,0.0
47,2.375,0.525871058648852,0.232481098971458,0.288597226309396,0.3453250612889983,0.356464579395095,0.0,0.0,2.2616649299409004,2.2189920067344677,2.026963852305524,1.9629544674958743,18.743758238704007,6.219901837058734,1.9332127331398763,1.849160005612056,10.506590940977578,18.491600056120543,0.0,0.4202636376391035,0.0
48,2.4250000000000003,0.5949130603047796,0.215303990902935,0.1845462779168014,0.2671227081627063,0.2030132582036568,0.0,0.0,1.698653849107277,1.7395852671580547,1.862379521310388,1.719119558132666,9.674698812002022,10.642168693202224,2.418674703000504,2.2574297228004707,8.868473911001853,11.045281143702306,0.0806224901000167,0.2418674703000503,0.0
49,2.475,0.7975867104567762,0.1660925915596773,0.2066930028298207,0.123090841616382,0.0923181312122865,0.0,0.0392943840544604,1.7486000904234904,1.5914225542056482,1.5914225542056486,1.9647192027230227,6.811026569439814,7.971997007412507,1.4705625547654129,2.786329051134468,9.829549708168818,6.114444306656193,0.3095921167927185,0.4643881751890777,0.0
50,2.5250000000000004,1.0109871380246094,0.1383026735260528,0.1418488959241567,0.1379751108145813,0.0985536505818438,0.0,0.0,1.3780074666355204,1.1514856912981748,1.1137320620752833,1.661159685807203,4.5361557535988695,7.436320907539122,1.5616273905832163,3.0488915720910423,9.74158038887625,4.313066126372696,0.0,0.4461792544523476,0.0
51,2.575,1.1060316107708272,0.1227544693281576,0.1500332402899704,0.1231926825162992,0.0852872417420533,0.0,0.0,1.0709015969508595,1.3068629657705404,1.3794664638689036,1.2342594676721774,2.5026205783905566,9.08093752730287,1.5015723470343338,3.5036688097467783,10.582509874337193,3.360661919553029,0.071503445096873,0.143006890193746,0.0
52,2.625,1.0624781564561487,0.1017168429803706,0.1542158587121749,0.0638316345895732,0.0820692444723084,0.0,0.0,1.205155289981822,1.1178251965048782,0.9955630656371576,1.222621308677211,1.9265547894307555,8.738302080632355,1.6513326766549332,2.0641658458186662,10.802467926451028,1.7889437330428444,0.3440276409697778,0.756860810133511,0.0
53,2.6750000000000003,0.9788719765658648,0.0884709598114599,0.0695128969947184,0.0878111075581329,0.0351244430232531,0.0,0.0504576133430194,1.345536355813851,1.1268866979941,1.076429084651081,1.076429084651081,1.2588919692652325,10.667453002721166,1.855209217864553,3.114101187129785,9.673590921722298,1.987724161997735,0.2650298882663647,0.6625747206659117,0.0
54,2.725,0.9419278694682468,0.1217917071838989,0.0730750243103393,0.0423091673550492,0.050771000826059,0.0,0.0648306625932754,0.9724599388991318,1.1669519266789583,1.1831595923272773,1.2641979205688716,1.1492708368807911,9.321863454699756,1.9154513948013177,2.617783572895134,9.832650493313448,0.8300289377472382,0.5746354184403958,0.5107870386136851,0.0
55,2.7750000000000004,0.9387099985468844,0.120378535903432,0.0910179173903998,0.0407982891787516,0.0815965783575032,0.0,0.0625155323415947,0.7501863880991368,0.9064752189531236,1.1565373483195025,0.7658152711845355,0.8619565822856246,9.912500696284692,1.6007765099590174,2.093323128407946,10.09720567820304,0.6772516003672764,0.6156832730611603,0.5541149457550444,0.0
56,2.825,0.9139483779453922,0.1048229570859396,0.0821585339322229,0.055113687628817,0.0078733839469738,0.0,0.0754027924152497,0.7841890411185973,0.8897529504999472,0.9802363013982468,1.0254779768473967,0.5940826069080279,9.74295475329166,1.3069817351976611,2.6733717310861254,9.802363013982458,0.5346743462172252,1.0099404317436471,0.8911239103620417,0.0
57,2.875,0.8828497535021058,0.1039441080330615,0.0738550241287542,0.0228057459603292,0.0532134072407683,0.0,0.1747270998191382,0.8590749074440959,0.7571507658829326,0.99012023230845,0.873635499095691,0.5735990650628275,8.948145414980099,2.0075967277198954,2.0649566342261774,9.69382419956177,0.6309589715691103,1.0324783171130896,1.0898382236193724,0.0
58,2.9250000000000003,0.8844175754414166,0.0951356104455197,0.0951356104455197,0.0367212418720993,0.0367212418720993,0.0,0.0844023620875636,0.9143589226152732,1.083163646790401,0.9002918622673457,0.9987612847028372,0.3879098459579945,9.143589226152738,2.438290460307393,2.438290460307393,8.589432303355604,0.443325538237708,0.5541569227971349,0.9420667687551292,0.0
59,2.975,0.9255928704984356,0.1302833561776241,0.1175104781209943,0.0354973157236459,0.0354973157236459,0.0,0.1359820248490437,0.9926687813980184,0.9790705789131136,1.0470615913376355,0.8430885540640706,0.482118088101155,8.624556909365108,2.6248651463285104,2.19631573468304,9.374518379744682,0.5892554410125226,0.803530146835258,1.0178048526579937,0.0
60,3.0250000000000004,0.9775286906864156,0.1087163730978322,0.1185996797430896,0.0686671505875318,0.0480670054112723,0.0,0.1446764041994228,0.9864300286324296,0.946972827487132,1.0916492316865551,0.960125227868898,0.518124863524104,9.844372406957962,2.383374372210876,1.813437022334363,8.08274787097601,0.1554374590572311,1.502562104219901,0.9326247543433872,0.0
61,3.075,1.004326140201918,0.1267298687845539,0.1243387391848453,0.0465165934979449,0.0398713658553813,0.0,0.1654661682998326,0.9164280090452278,1.056437843760471,1.0818941773450603,1.0055251765912916,0.4512713680904526,10.078393887353432,3.309323365996651,1.9555092617252936,8.423732204355108,0.4512713680904526,1.0028252624232277,0.9526839993020664,0.0
62,3.125,0.990462681501688,0.157435449664368,0.1319679504539555,0.0386057162181937,0.0579085743272906,0.0,0.2711309146708529,1.0105788637731774,1.0475512612282942,1.08452365868341,0.9612823338330232,0.2912976769190981,7.962136502455349,2.5245798666321813,2.6702287050917306,8.301983792194298,0.0,1.165190707676392,1.0195418692168432,0.0163483390107657
63,3.1750000000000003,0.9355071734969838,0.1614875278902458,0.1682161748856727,0.0810320058512187,0.0747987746318942,0.0,0.262658773995844,1.0148179904384886,1.0864522015282638,1.1939035181629274,0.9551228145303424,0.4232930655304924,7.619275179548857,2.3516281418360685,2.9630514587134478,6.772689048487874,0.4232930655304924,1.2228466337547568,1.4580094479383632,0.0
64,3.225,0.8599180350696318,0.2043443531273092,0.1739100877679227,0.1027047325553135,0.1268705519800931,0.0,0.4628683874438561,1.284459775156702,0.9141650652016168,1.1803143879818343,1.0414538717486774,0.3190986610408404,7.384854726945158,3.1454010874025697,3.0086445183850667,6.928999496886809,0.3646841840466747,1.0940525521400242,0.8661249371108525,0.0
65,3.2750000000000004,0.7979183664132378,0.1897205563756021,0.1939365687395043,0.2284773929256917,0.2284773929256917,0.0,0.6844858227117023,1.0660025107805209,1.2567608548149298,1.2343186966932342,1.0660025107805204,0.2652255050745793,8.310399159003483,4.287812332039035,2.7848678032830816,6.984271633630589,0.2210212542288161,1.326127525372897,1.105106271144081,0.0
66,3.325,0.7755846638444163,0.1881478537910726,0.2167790489331924,0.3296447642639475,0.2728094600805082,0.0113670608366878,0.7620302707056494,1.0668423789879091,1.3498821938214365,1.3281099003727035,1.088614672436642,0.3859633838639004,6.775801627832914,3.645209736492394,3.387900813916461,6.561377525686305,0.3859633838639004,1.5438535354556022,1.7153928171728916,0.0144408068792615
