,r ($\AA$),g_full(r),O (DOL),O (DOL),O (THF),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
36,1.825,0.7103504270807741,11.194734925837416,11.875308140931754,55.77819803501118,0.0,6.727952354932561,6.136484016037389,6.025583702494546,5.655915990685066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3633350365798612,12.263637592631373,12.730761127543827,56.66143792189673,0.0,11.872326739766446,10.716613517311307,11.522110611749737,10.891721581319658,0.1379639292187038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3287633330787068,10.966992777213305,11.42889230226384,43.5060046947641,0.0,15.383654909364912,13.257188572001295,14.951716434587926,13.62267497373566,1.8324662566296293,0.0,0.0,0.0,0.0,1.9633567035317463,0.0,0.0,0.0
39,1.975,0.6681730876180973,8.029027559415622,8.295871163679802,28.358713102078365,0.0,12.878556556159362,13.352032900135807,13.951769602505976,12.436645301781343,14.548636751276256,0.0,0.0,0.0,0.0,15.419068009899624,0.0,0.0,0.0
40,2.025,1.1923010361093376,4.811478965708073,5.556045464504631,16.75481288318155,0.0,11.289641401799214,11.710000390164078,10.448923425069475,11.229590117747088,47.66798138622346,0.1182828322238796,0.0,0.0,0.0,47.19485005732795,0.0,0.0,0.0
41,2.075,1.671897226537386,3.4220306589429774,3.599310112232017,9.865423257775827,0.0,6.834474177288505,8.521645626912028,7.635165712703055,7.09183931367175,83.24938940181399,0.1126514064977184,0.1126514064977184,0.0,1.126514064977185,83.47469221480941,0.0,0.0,0.0
42,2.125,1.9437526776559952,2.110381593828227,1.966957602014659,5.361612371037857,0.0,5.562329141851075,4.962470116749489,5.071535394040684,4.907937478103889,99.57164065425924,0.4296510923592629,0.0,0.2148255461796314,0.8593021847185257,101.29024502369629,0.0,0.0,0.0
43,2.1750000000000003,1.9354858567445397,1.2468212962557026,1.3006057443294774,3.093513813365408,0.0,3.643802328242905,3.904073923117397,3.773938125680151,3.1492862979813685,87.86926783323422,1.5379685151674602,0.3075937030334921,0.2050624686889947,1.2303748121339682,86.43383055241125,0.0,0.0,0.0
44,2.225,1.6872139358008176,0.8783775397834248,0.7849331206575287,1.8094922828315176,0.0,2.28809442278118,2.3875767889890573,2.462188563644965,2.238353239677241,64.66353803512031,2.7433016136111643,0.5878503457738208,0.9797505762897014,3.527102074642924,62.80201194016986,0.0,0.0,0.0
45,2.275,1.3154117517009118,0.4558495893636205,0.56757742989392,0.9667706763251,0.0,1.689049926441434,1.9031548466945736,1.7366287976087984,1.6176816196903872,45.733387679660495,4.217218126198199,1.3120234170394396,0.6560117085197198,3.842354292758359,48.54486643045929,0.0,0.0937159583599599,0.0
46,2.325,1.0394960837472969,0.261017041279821,0.3979440137544808,0.5523967757207767,0.0,1.2527501375926846,1.2755274128216425,1.1160864862189372,1.3894137889664313,30.50774439757389,7.3577501194148756,1.3459298998929663,0.9870152599215088,5.473448259564726,27.456969957816494,0.0,0.0,0.0
47,2.375,0.8663966359867517,0.270646457421914,0.2296394184185936,0.3815377612140859,0.0,0.8294777674087007,1.2442166511130517,0.8731344920091588,0.7421643182077848,18.745932957226938,6.965231970345781,2.1497629538104293,1.9777819175055948,5.675374198059525,16.080226894501997,0.0,0.0,0.0
48,2.4250000000000003,0.7169880104957781,0.1848675415847149,0.2320677649680463,0.2378785487711202,0.0,0.732813724579672,0.732813724579672,0.732813724579672,0.7537512595676625,9.732781415629589,8.825488232816655,2.1445111593760093,1.154736778125543,7.588270256253575,9.732781415629583,0.0,0.1649623968750776,0.0
49,2.475,0.654943292132361,0.1246092960338004,0.1548176102238127,0.1932316702641792,0.0,0.502503687968473,0.7035051631558621,0.6633048681183843,0.7035051631558621,7.759875132991936,8.551699126154384,1.742012784957374,0.7918239931624426,8.393334327521893,6.255409545983297,0.1583647986324885,0.0791823993162442,0.0
50,2.5250000000000004,0.6764484759842115,0.1088393596968272,0.116095317009949,0.1139246272591328,0.0193120094641549,0.4441762176755646,0.5407362649963395,0.3862401892830996,0.4828002366038746,3.195259747705647,8.368537434467168,1.8258627129746536,1.2933194216903798,8.672847886629608,3.499570199868089,0.2282328391218317,0.0,0.0
51,2.575,0.7285482196685877,0.0697691710477504,0.094188380914463,0.0811433048151988,0.0185693332173243,0.5570799965197301,0.2228319986078921,0.3528173311291625,0.4456639972157841,2.194557562047423,8.631926410719872,1.7556460496379382,1.2435826184935397,7.680951467165991,2.7797729119267363,0.0731519187349141,0.0731519187349141,0.0
52,2.625,0.7675214048886283,0.0939913667478208,0.0503525179006183,0.0468489981677013,0.0178686884037065,0.357373768074132,0.4109798332852518,0.2858990144593056,0.4824545869000782,1.548619661654571,8.798975350310068,1.830186872864493,2.111754084074415,9.01015075871751,1.1966606476421688,0.0703918028024805,0.2111754084074415,0.0
53,2.6750000000000003,0.7750502220391214,0.0646504360110574,0.0517203488088459,0.0526330608466491,0.0,0.4301740549966513,0.4129670927967853,0.2408974707981247,0.326932281797455,0.8134200312663955,8.947620343930355,2.3724750911936523,1.2879150495051264,8.473125325691626,1.0167750390829944,0.0,0.2033550078165988,0.0
54,2.725,0.7804106632919608,0.0342648761883989,0.0747597298655976,0.0289824835109207,0.0165813247009594,0.2818825199163111,0.2321385458134326,0.2653011952153515,0.4145331175239869,0.7185240703749104,9.210172174805676,1.502368510783903,1.8942907309884,8.948890694669345,0.5878833303067448,0.1959611101022483,0.1306407400681655,0.0
55,2.7750000000000004,0.8146828117280009,0.0480600189613202,0.0660825260718152,0.041921260236849,0.0159891986159776,0.4157191640154201,0.2878055750875984,0.3517623695515092,0.3517623695515092,0.6928652733590331,7.306579246331619,1.0707917861003244,1.385730546718067,8.125420023937755,1.0078040339767758,0.0629877521235484,0.2519510084941939,0.0
56,2.825,0.8495446159286887,0.0753575527028333,0.0376787763514167,0.0370796180461517,0.0154282326835386,0.2777081883036959,0.3857058170884665,0.3548493517213892,0.2777081883036959,0.5470009769618255,8.873571404047386,1.337113499240018,1.4586692718982013,9.359794494680123,0.3038894316454586,0.425445204303642,0.3038894316454586,0.0
57,2.875,0.877460167824428,0.0419765067567509,0.0363796391891841,0.0325464903929094,0.0297925565904324,0.3277181224947574,0.4617846271517036,0.2681330093138923,0.1340665046569461,0.1760469253071009,7.687382405076739,1.056281551842606,0.9389169349712054,7.1005593207197375,0.2934115421785015,0.2347292337428012,0.3520938506142019,0.0
58,2.9250000000000003,0.9167980887124568,0.0351465511948492,0.0486644555005605,0.0125773307960365,0.0,0.2878273778323753,0.3453928533988503,0.3453928533988503,0.3885669600737066,0.2267730855649017,7.880364723380327,0.9070923422596068,1.0204788850420576,8.674070522857482,0.1700798141736762,0.2834663569561271,0.2267730855649017,0.0
59,2.975,0.9505313222094224,0.0548828696665377,0.0653367496030211,0.0121581259093218,0.0556468070465115,0.3060574387558136,0.3617042458023252,0.3338808422790694,0.4729978598953482,0.0548036736064129,8.713784103419643,1.5893065345859734,1.4248955137667347,8.110943693749102,0.1644110208192387,0.4384293888513032,0.7124477568833677,0.0
60,3.0250000000000004,0.9801774114222352,0.0606669659259029,0.0834170781481165,0.0235190702637113,0.0672781096485975,0.349846170172707,0.2287455728052315,0.457491145610463,0.2825680605241095,0.0530069954807131,7.5269933582612705,1.1131469050949772,2.0142658282671007,8.587133267875535,0.1060139909614263,0.2650349774035659,0.2650349774035659,0.0
61,3.075,1.0010653525550557,0.061156395305692,0.0636026511179197,0.0170703430796123,0.0520864314480478,0.4297130594463949,0.3385618044123114,0.3776266279983472,0.4166914515843832,0.0512972430927744,7.899775436287268,1.5389172927832326,1.3850255635049091,8.412747867215012,0.0,0.5129724309277444,0.4103779447421954,0.0
62,3.125,1.0213153790113507,0.0639522951562746,0.0757953127778069,0.0165284736687738,0.1134743288413899,0.3530312452843243,0.3530312452843243,0.3404229865241698,0.3530312452843243,0.0993377962921258,8.245037092246436,1.8874181295503916,1.390729148089762,7.847685907077933,0.0496688981460629,0.3973511851685034,0.2980133888763775,0.0
63,3.1750000000000003,1.0293014166395555,0.0803106774032539,0.0757214958373537,0.0106746677095897,0.2198570984032816,0.3419999308495492,0.403071347072683,0.4641427632958168,0.4885713297850703,0.0962337467758471,8.661037209826242,1.7803243153531718,1.3953893282497831,8.083634729171159,0.0481168733879235,0.5292856072671592,0.5774024806550828,0.0
64,3.225,1.0053591079880282,0.1045277013831691,0.1000797140902682,0.0258656067788853,0.2249312958733071,0.4617010810031043,0.4261856132336348,0.414347123977145,0.3669931669511855,0.0,7.1353803427752505,1.3058212392006994,2.238550695772627,9.0941122015763,0.0,0.5596376739431567,0.5130012011145604,0.0
65,3.2750000000000004,0.94091919826014,0.1229264927338052,0.1315529132765283,0.0125409307049673,0.2640348256884273,0.4821505512571277,0.4132719010775382,0.4017921260476065,0.3903123510176748,0.0452233561785184,7.597523837991101,1.854157603319257,1.6280408224266645,8.094980755954804,0.0,0.3165634932496294,0.4974569179637035,0.0152282729988888
66,3.325,0.8620770663028311,0.1046116857667426,0.0941505171900684,0.0170332438942555,0.3007022672101264,0.3897992352723862,0.4677590823268633,0.412073477287951,0.4788962033346459,0.0438735070003551,7.633990218061793,1.6671932660134965,2.369169378019179,7.941104767064276,0.0438735070003551,0.5264820840042616,0.4387350700035513,0.0
67,3.375,0.7894754185686518,0.1441798371348068,0.1746403661069491,0.0188940603237848,0.637765372756218,0.6593845379343951,0.4972407990980683,0.6053366249889527,0.6053366249889528,0.0851664082776664,8.30372480707249,1.7459113696921622,1.6181617572756628,6.855895866352155,0.0425832041388332,0.2554992248329994,0.8090808786378315,0.0286784844200305
68,3.4250000000000003,0.7509071773517811,0.1971845187280494,0.2169029706008543,0.0137598339791405,0.5458067478392404,0.5143178970023612,0.629777016737585,0.640273300349878,0.7557324200851021,0.0413489960484273,7.40147029266849,1.7780068300823757,1.819355826130803,6.53314137565152,0.0826979920968546,0.7029329328232643,0.5788859446779824,0.0278472830530224
69,3.475,0.7571244820758363,0.2700870004064594,0.2183682130945841,0.0311890203222811,0.8259092496880986,0.7035523238083806,0.7647307867482395,0.7035523238083807,0.73414155527831,0.0401676776877863,7.109678950738177,1.8878808513259555,2.088719239764887,5.784145587041225,0.0,0.5221798099412222,0.5623474876290084,0.0405775519499065
70,3.5250000000000004,0.7801682428505676,0.2866796568980964,0.2866796568980964,0.0173202944514663,0.7828273468184385,0.7828273468184381,0.7729181398966861,0.6044616222268959,0.7233721052879243,0.0,6.089658071913289,1.7566321361288315,2.57639379965562,6.792310926364817,0.0,0.5855440453762774,0.8587979332185399,0.092014064273415
71,3.575,0.8104655695158168,0.3891176834315524,0.3511108399335867,0.0210490081637392,1.0982724798049472,0.7610835605665862,0.8381553135353544,0.7514495914454902,0.9633969121096028,0.0,5.503039937353337,3.1879679637081417,2.618687970188832,6.262079928712417,0.0,0.3795199956795406,0.4174719952474946,0.0638987747827797
72,3.625,0.8524096029014888,0.4594299249826685,0.4717518003653458,0.0286613034111342,1.3305458929707306,0.7870834859826862,0.9182640669798,0.8058235689822738,0.8620438179810369,0.0369122846961577,6.496562106523763,2.9898950603887795,2.879158206300306,5.241544426854404,0.0,0.4798597010500506,0.5536842704423661,0.1740150564247436
73,3.675,0.8965516021918153,0.5651896928145044,0.4692787146399221,0.0258948127148423,1.5133909182514635,0.8205131484495887,1.1213679695477712,0.957265339857854,0.701994582562426,0.0359147169355038,5.387207540325582,2.621774336291784,2.334456600807752,5.351292823390078,0.0359147169355038,0.5387207540325583,0.5387207540325583,0.2176871618335643
74,3.725,0.9319042096708876,0.6284691365328223,0.6984842658017303,0.0290819144382261,1.5440259496356668,1.0382243454446725,1.0914666195700402,1.1003403319242684,1.144708893695408,0.0349570486681707,5.3484284462301295,2.761606844785492,2.901435039458175,5.103729105552933,0.1398281946726831,0.4194845840180492,0.8389691680360989,0.2236537705606435
75,3.775,0.9468054265981232,0.8229422842864847,0.7791169555375005,0.0509699621752894,1.8749249761431623,1.1664279805498934,1.0713857006532357,1.1059465297065665,1.218269224129889,0.1021115403848391,4.9353911186005615,2.620862869877537,2.688937230134095,5.548060360909596,0.0340371801282797,0.6126692423090351,0.816892323078713,0.5272289738237612
76,3.825,0.9504483931192896,0.9802216845039275,0.9280485948448478,0.0386136663573084,2.280681550104101,1.2792014598369867,1.4391016423166108,1.3296962543042368,1.3465278524599862,0.0,4.077837189552119,2.917477013663304,2.983783309428378,4.608287555672718,0.066306295765075,0.7293692534158254,0.5636035140031379,0.5916822004750832
77,3.875,0.9463466675421166,1.1645926252410637,1.181537756031608,0.0447900324944875,2.451806378748249,1.344803498711414,1.2136031573737152,1.3120034133769891,1.5006039040499315,0.0646062286890184,3.7794643783075776,3.359523891828957,2.35812734714917,3.456433234862487,0.0646062286890184,0.5814560582011655,0.9690934303352756,0.9137166628875464
78,3.925,0.9467413855743853,1.441410618991378,1.361832741067896,0.057626143023962,3.133035337741007,1.518563046354059,1.6304571655590945,1.526555483440132,1.5904949801287245,0.1259414328714689,3.431904045747525,2.739226164954448,3.2115065382224555,3.054079747133119,0.0629707164357344,0.7871339554466804,0.6611925225752117,1.0602212461118556
79,3.975,0.9483307447858652,1.632287123147644,1.597152691797381,0.0817244588046457,3.093676768676182,1.5896978861711368,1.5585273393834684,1.7611358935033188,1.6208684329588074,0.092094797327205,2.609352590937475,3.223317906452177,3.131223109124972,2.9777317802462955,0.06139653155147,0.8595514417205801,0.79815491016911,1.5092269847703188
80,4.025,0.9472954348920456,1.6990700578470006,1.6448140391930623,0.0763855632813865,3.648113189492308,1.5884492845914422,1.793655651500384,1.5808490487800002,1.512446926477019,0.0598806457871211,2.544927445952651,3.3533161640787883,3.2634951953981064,2.2455242170170457,0.0898209686806817,0.9880306554875,0.8982096868068179,1.9458154745825265
81,4.075,0.9474643364078884,1.7008133989233356,1.5392291611877853,0.0777627070504786,3.952127580200893,1.735080401063807,1.8240588831696425,1.7869845156255446,1.9204522387842988,0.1168404310480677,2.27838840543732,3.271532069345896,3.271532069345896,2.1615479743892525,0.1460505388100846,1.1099840949566433,0.7302526940504233,2.2032766997635607
82,4.125,0.9455340114220288,1.4029046462505816,1.3838729940727643,0.0980232899204204,4.254891837662321,1.81628886267558,1.6932732823350034,1.6209111762523103,1.9465406536244276,0.085518852643182,1.5393393475772774,3.70581694787122,3.05017241094016,1.5108330633628837,0.085518852643182,0.9122010948606089,0.7981759580030328,2.5149523807923546
83,4.175,0.9432548584421916,1.1744290892906513,1.06693896925388,0.0895159966344198,4.55623363506292,1.808365597792413,1.9990916569345825,1.8295573821415432,1.992027728818205,0.1391379780498425,1.2522418024485826,3.8402081941756543,3.645415024905874,1.1687590156186771,0.055655191219937,1.3635521848884566,1.3078969936685194,3.195346259173219
84,4.2250000000000005,0.9418303481388044,0.9096625097029066,0.8228428684634552,0.1371430188920286,5.021544384046583,1.9451586762378243,1.9589541278423477,1.896874595621992,1.896874595621992,0.1358642961051565,0.8967043542940327,3.804200290944384,4.021583164712637,0.8151857766309389,0.0815185776630939,1.032568650399189,1.141260087283314,2.745013329471529
85,4.275,0.9417036094752907,0.6163869732140004,0.6265124265727519,0.136897831167188,4.743073905650259,2.007721624834913,2.04140822927845,1.846025923505926,1.8190766399510947,0.1061638443069101,0.6635240269181883,4.034226083662588,3.450324939974581,0.4246553772276406,0.2654096107672752,1.300507092759649,1.2739661316829214,2.9582338555213776
86,4.325,0.9458544108151272,0.4835054527654864,0.5032908421369644,0.1581999830837062,5.476595778025031,1.9286569266362183,1.9286569266362188,1.750930861724348,1.895744692393279,0.0259308512217094,0.4148936195473508,3.993351088143255,3.7599734271478713,0.5186170244341884,0.0777925536651282,1.3224734123071804,1.5817819245242746,3.1434542093255926
87,4.375,0.9539288337663248,0.3794639172895255,0.4048420773630287,0.2023915882356508,4.953296268705316,1.588914517363913,1.7368701201953711,1.659675892631132,1.8655271661357689,0.1267076967594826,0.5828554050936202,4.40942784723,3.3450831944503467,0.3294400115746549,0.2534153935189653,1.24173542824293,1.3177600462986196,2.2613445064524
88,4.425,0.9642221426811164,0.3543984087502342,0.3650303610127413,0.2102088847329963,4.131413080713887,1.729282491927426,1.559498392720005,1.616093092455812,1.6601111922503289,0.1981767263476057,0.2477209079345071,3.938762436158667,3.790129891397962,0.3963534526952114,0.1981767263476057,1.3376929028463382,1.4120091752266903,1.7684239509283797
89,4.4750000000000005,0.973161972995104,0.3534536806047328,0.3569189127675246,0.2753937448815697,3.4616425376792743,1.4818043544950366,1.47565578870875,1.4141701308458858,1.555587143930474,0.121108113972309,0.1937729823556944,3.827016401524968,3.73012991034712,0.3875459647113887,0.3391027191224651,1.0657514029563186,1.3564108764898604,1.2397516320104136
90,4.525,0.9833559394109256,0.3807062392395146,0.3773171629258097,0.2667136606409,2.357267685027794,1.1004591488777715,1.244781660206004,1.3169429158701205,1.2568085361500236,0.2368930110185631,0.379028817629701,4.050870488417431,4.074559789519285,0.2132037099167068,0.2842716132222757,1.516115270518803,1.65825107712994,0.90140207968186
91,4.575,0.9932345723736726,0.3757457498291258,0.3845868262956934,0.3213248379655898,1.7648148792879297,1.2059568341800864,1.011827197458414,1.123598806479983,1.1588951040657414,0.3707893887796864,0.3244407151822256,3.754242561394324,3.545673530205752,0.4403123991758777,0.3012663783834952,1.71490092310605,1.6222035759111284,0.5540558277492379
92,4.625,1.003579501566556,0.3838860481116663,0.3849674172612766,0.3458563851610846,1.3181723569265342,1.2606102452703545,1.1282173884611388,1.03611800981125,1.053386643308104,0.4081677008347349,0.3401397506956122,3.832241191170568,3.7188612742720304,0.2494358171767823,0.2721118005564898,1.6780227700983552,1.5192908864404011,0.5192337418781995
93,4.675,1.0124575811596963,0.4254615933938957,0.387360555179517,0.3483452343487899,0.957736353747758,1.1267486514679508,1.0478762458651942,1.0985799351812522,0.9971725565491364,0.3994836127931828,0.3550965447050513,4.372126206680945,3.861674923667432,0.2441288744847228,0.5104512830135115,1.5535473830845996,1.4425797128642717,0.2765133170184106
94,4.7250000000000005,1.0206952100469695,0.4279017401984444,0.4600202727557124,0.4048763481678256,0.6066656819501883,1.1306042254526236,0.9982408039362192,0.9761802336834848,1.169210223394908,0.325894787824481,0.3693474262010785,3.497937389316097,4.193179603341657,0.3910737453893773,0.3258947878244809,1.955368726946885,1.6946528966873005,0.3511682611659716
95,4.775,1.03165447789974,0.4727558112213711,0.4798572933641814,0.4023411630740048,0.6102280193837301,1.0962503357070543,0.9828451285649455,1.0152466163198337,1.063848847952166,0.2978318571408925,0.3829266734668617,3.5527085816092208,3.382518948957282,0.4254740816298465,0.4680214897928312,1.8933596632528185,1.99972818366028,0.2149078269456877
96,4.825,1.0378738502710634,0.5415014948718326,0.4858609742978461,0.4391125837375602,0.4336903433310834,1.221737430603418,1.0472035119457863,0.9943144456858988,1.063070231823753,0.3125263006266124,0.2916912139181716,3.1669331796830065,3.2502735265167693,0.5000420810025802,0.5208771677110211,2.104343757552526,2.1460139309694077,0.1543497239829392
97,4.875,1.0472228939524857,0.5382372656770985,0.5265576143423331,0.4810904002177113,0.2953154918259493,1.1657190466813778,1.233071702711857,1.0517376287836426,0.9584801050491328,0.4081979153362399,0.346968228035804,3.2043536353894817,3.1227140523222374,0.5714770814707358,0.469427602636676,2.285908325882946,2.5716468666183143,0.1168362400528727
98,4.925000000000001,1.054779167329159,0.5655098487614345,0.5588343530762235,0.5467912139216804,0.3553417703204553,1.025414822924743,1.0914068659842564,1.111712110002568,1.116788421007146,0.4199493649241745,0.5999276641773921,3.019635909692872,2.9996383208869584,0.3599565985064352,0.5399348977596531,2.4797010119332183,2.5196961895450456,0.1346776388969655
99,4.9750000000000005,1.060921148691003,0.6429841862067632,0.6112088049116617,0.6162884679422282,0.3233612331795644,1.21882310967682,1.114352557418807,1.1292769220270944,1.114352557418807,0.6075271653676662,0.470343611897548,2.665280467419442,2.7632687198980976,0.3919530099146233,0.4507459614018168,2.3125227584962804,2.31252275849628,0.0725912972443919
100,5.025,1.06868135832493,0.6137630886737349,0.6458253395746016,0.5710575561172766,0.3559684981336667,1.194688795106141,1.2580804454587116,1.1605548295316797,1.1361734255499218,0.4802397753982637,0.5378685484460554,2.7085523332462085,2.7661811062940007,0.5186589574301248,0.7299644586053612,2.420408468007251,2.785390697309931,0.1099651077544595
101,5.075,1.0723740486364834,0.6753733411658631,0.6699847240820929,0.6664013691922126,0.3250855967870383,1.1091155655087173,1.266877693361251,1.1808256236235055,1.1712642825415336,0.5461553921065659,0.5084895029957682,2.354118069424853,2.2976192357586567,0.5084895029957682,0.6403201148835601,2.1281227347600677,2.7307769605328285,0.1268341163935023
102,5.125,1.0782928512301002,0.7714621110562018,0.7582521434011301,0.7138918139232401,0.4219060438758364,1.125082783668897,1.1860247677842952,1.284469511355324,1.3172844258789995,0.5540180374127144,0.6648216448952573,2.3268757571334024,2.5300157041847307,0.3508780903613858,0.6648216448952573,2.548482972098489,2.566950240012245,0.1243713961538746
103,5.175000000000001,1.0771935011525016,0.735897262518221,0.7721738881353164,0.6710319268209708,0.3448272654811818,1.2735620338438318,1.1402288245244414,1.158619612016771,1.328734396320821,0.6882612894856721,0.7607098462736376,1.901774615684094,2.101008146850999,0.6701491502886807,0.6701491502886807,3.024727245897559,2.5538116267757838,0.1158807273113631
