,r ($\AA$),g_full(r),O (DOL),O (DOL),O (OFE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
36,1.825,0.5787751683929813,21.67889506152096,20.603677721915723,0.0,0.0,18.69417336165977,20.14362219089384,18.805669425447004,19.73480329034064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4291733445860125,23.838830396002503,23.52794664777496,0.0,0.0,31.3718845191754,34.611181237204754,34.43513250252923,32.78027439657947,0.2774101273674661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.5231832700390311,18.939207091197485,18.91410542507264,0.0,0.0,39.11669868130759,39.38393488066752,41.18777922634696,39.04988963146763,3.947807490544208,0.0,0.0,0.0,0.0,4.210994656580488,0.0,0.0,0.0
39,1.975,0.8584371939279544,13.658283876748488,13.688092440425368,0.0,0.0,34.8129170656174,35.47934483077507,37.06607760496,37.92291330301988,22.627771016103868,0.0,0.0,0.0,0.0,25.253092515209847,0.0,0.0,0.0
40,2.025,1.236271259356056,9.141582001757865,8.795653650574717,0.0,0.0,29.402077695365595,29.55301238579356,30.76048990921719,28.375721800455487,71.23202632499901,0.2378364818864741,0.0,0.0,0.118918240943237,73.96714586669347,0.0,0.0,0.0
41,2.075,1.4946302359316794,5.444170995319076,5.6007989307002815,0.0,0.0,20.03857090313093,21.274809854113197,20.757314479283394,20.326068333591923,120.61824014340594,0.6795393810896107,0.0,0.0,0.6795393810896107,125.94129862860784,0.0,0.0,0.0
42,2.125,1.5927953864236066,3.5327642069771783,3.3834199474985494,0.0,0.0548255849120476,13.788634605379984,14.638431171516729,15.323750982917325,15.104448643269128,140.7106943674508,1.1878876730943655,0.1079897884631241,0.4319591538524966,2.1597957692624843,140.92667394437703,0.1079897884631241,0.0,0.0
43,2.1750000000000003,1.576724105562028,2.1629350041028155,2.325155129410526,0.0,0.0261669759237613,9.603280164020411,10.021951778800588,9.86494992325802,10.649959200970857,111.63783455473828,3.401706870088973,0.206164052732665,0.3092460790989976,4.4325271337523,111.84399860747092,0.0,0.0,0.0
44,2.225,1.498467536959724,1.4843530771450228,1.451471838094342,0.0,0.0,6.901157811832573,7.101191371595833,7.0011745917142,7.376237516270318,82.44565014333571,4.728065958040761,0.9850137412584912,0.4925068706292456,5.319074202795856,81.3621350279514,0.0,0.0,0.0
45,2.275,1.3611771928497545,0.9750073542429476,0.925583018313582,0.0,0.0239172310930917,4.329018827849611,5.046535760642364,5.190039147200917,5.859721617807487,51.82066736836555,6.4069188746342896,0.6595357665064705,2.0728266947346223,7.91442919807765,48.05189155975714,0.0,0.0,0.0
