,r ($\AA$),g_full(r),O (DOL),O (DOL),N (Me-Im - i),N (Me-Im),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.654287848877654,1.0521324468605129,0.9441009902632284,0.0,8.380195320229738,0.0,1.325137693030773,1.0501091152319333,1.3001350950490604,1.1251169091770714,44.02730208234325,1.0834459125408842,0.1969901659165244,0.2954852488747866,0.88645574662436,44.12579716530151,0.0,0.0,0.0
45,2.275,1.1055094592479144,0.6020398200132921,0.6424753303126923,0.0,4.343438479196928,0.0,0.6218082917152212,0.9327124375728312,0.8131339199352889,0.7413868093527637,34.85894968706539,1.5074140405217475,0.4710668876630461,0.4710668876630461,1.978480928184794,29.67721392277189,0.0,0.0,0.0
46,2.325,0.560953570347551,0.3828494758370097,0.4344696298824493,0.0,2.574629594276244,0.0,0.4808615888386713,0.5724542724269897,0.7098432978094671,0.5953524433240692,23.723892817307608,2.7963523853100227,0.8118442408964579,0.541229493930972,2.706147469654861,22.37081908248017,0.0,0.0,0.0
47,2.375,0.3737764773497639,0.2638380375577022,0.3627773016418406,0.0,1.452223020358535,0.0,0.4827728706464492,0.3072190995022859,0.5047170920394697,0.6363824203975922,17.11649268655591,2.074726386249204,1.3831509241661362,0.6915754620830681,1.7289386552076702,13.0534868468179,0.0,0.0,0.0
48,2.4250000000000003,0.4106363395129195,0.2332995184246519,0.2095741436696025,0.0,0.9647016190899896,0.0210486658083258,0.3157299871248872,0.2104866580832581,0.3578273187415388,0.2736326555082355,11.442820139435309,3.316759460705887,0.8291898651764714,0.8291898651764713,2.9850835146352983,9.784440409082366,0.0,0.0,0.0
49,2.475,0.591436580224431,0.1556393405772843,0.189804073874737,0.0,0.5582678769901169,0.0,0.20206833710972,0.242482004531664,0.262688838242636,0.262688838242636,6.92543300821495,3.1841071302137727,1.11443749557482,0.3980133912767214,3.024901773703084,7.08463836472564,0.0,0.0,0.0
50,2.5250000000000004,0.7293632472508096,0.0911808748564365,0.1057698148334664,0.0041579680659409,0.3409533814071593,0.0,0.2912176864645573,0.2135596367406753,0.1941451243097048,0.2329741491716458,5.200736057266032,3.7475892177358174,1.606109664743923,0.9177769512822418,2.9827750916672846,4.05351486816323,0.0764814126068534,0.0764814126068534,0.0
51,2.575,0.7564783918986981,0.0981952819341193,0.1122231793532792,0.0,0.2238917136685687,0.0,0.1306752598046357,0.1120073655468306,0.1120073655468306,0.1866789425780511,2.206205685013331,4.044710422524441,1.3237234110079987,1.1031028425066656,3.162228148519108,2.573906632515553,0.0,0.0,0.0
52,2.625,0.7522776417176862,0.0506197755612477,0.0944902477143291,0.0,0.146194137084961,0.0,0.1437082448754192,0.1437082448754192,0.1077811836565644,0.1616717754848466,1.5568393194837091,3.042913215354522,1.3445430486450214,1.2737776250321255,3.042913215354523,1.6983701667095017,0.0,0.2122962708386876,0.0
53,2.6750000000000003,0.7537784879443764,0.0682432623456784,0.0714929415049964,0.0,0.074094826301419,0.0,0.0864914607018488,0.0864914607018488,0.0518948764211093,0.1037897528422186,1.0221718082945774,3.0665154248837303,0.9540270210749388,1.0221718082945774,3.611673722640837,1.908054042149877,0.0681447872196385,0.0681447872196385,0.0229467140637558
