,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DMI),N (DMI),N (DMI),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
78,3.925,0.9874738476630788,1.2685645508259271,1.2264794709407068,0.0631073541392822,9.716195228036906,9.611016304471429,1.3441327052571916,0.8000789912245188,0.7840774114000285,0.8320821508734995,0.8000789912245188,0.0630365265813256,3.151826329066284,3.057271539194295,2.458424536671701,2.6160158531250155,0.1260730531626513,0.914029635429222,1.0085844253012108,0.8172235410364719
79,3.975,0.999783779092282,1.4039150723305531,1.4771883015753635,0.0660875130105546,10.510193448437173,10.674272791084071,1.5133514584088017,0.8346835363388756,0.6864687027833742,0.7878788520581903,0.6240624570757951,0.1229213930603837,2.79646169212373,2.673540299063345,1.9052815924359476,2.4891582094727696,0.0614606965301918,0.9219104479528782,1.1370228858085496,0.9520136462533796
80,4.025,1.0048470496573634,1.5164683456542318,1.5764981953408272,0.0511201223976379,10.795236281970768,11.024165525751489,1.4075130690252655,0.9586305226874784,0.8064669476577202,0.8216833051606962,0.8825487351725994,0.1498580663171863,2.217899381494359,2.84730326002654,2.8473032600265404,2.5775587406556046,0.119886453053749,1.0789780774837423,1.198864530537492,1.190912878039028
81,4.075,1.0078290547968014,1.5547820295855694,1.5101604825481354,0.1235991784652052,10.19367961341982,10.165490327103196,1.662667491148673,0.9352504637711276,0.8461789910310208,0.994631445597866,0.927827841042786,0.204684444933075,2.836341594072613,2.280769529254265,3.099507308986568,1.9006412743785543,0.1169625399617571,1.081903494646254,1.2573473045888897,1.2800237153978005
82,4.125,1.0149030263581995,1.3975666874999046,1.352659481377707,0.0973432880682188,8.401148991974534,8.193765465220503,1.724017999883786,1.1517599242921095,0.9416905041382028,0.9561780503557136,0.999640689008246,0.0570721517659517,1.9404531600423591,2.882143664180564,2.7965354365316366,1.8548449323934328,0.1997525311808309,1.255587338850937,1.3982677182658172,1.441363016538066
83,4.175,1.023708332808234,1.149087966964549,1.14643111617388,0.1239465672231422,5.746989166913031,5.612713719087962,1.895111231670764,0.9121990630057027,0.9616982369672524,0.9758408580991238,0.975840858099124,0.1392833899350968,1.5321172892860655,2.1728208829875117,2.5906710527928034,1.5321172892860653,0.1392833899350968,1.2814071874028905,1.1699804754548129,1.59465268884876
84,4.2250000000000005,1.025276461016976,0.9326650764129506,0.8755896058118797,0.1190131416598833,3.558291218441256,3.3807800918977016,1.9471915445761092,1.1047895288375078,0.9528809686223508,0.973595772288054,0.9943105759537574,0.0544025146776045,1.2784590949237076,2.502515675169811,2.6113207045250197,1.3600628669401142,0.1088050293552091,1.142452808229696,1.251257837584905,1.5296543795320354
85,4.275,1.027814971644797,0.7500666182379424,0.736129569588251,0.1418589401271152,1.9407091114612287,1.917065954773376,2.218895099285288,1.038631748601625,1.1532859026680382,1.0453761106055313,1.2274738847110116,0.0265686988032686,0.8501983617045958,2.6037324827203228,2.8428507719497413,0.8501983617045957,0.132843494016343,1.222160144950356,1.0361792533274758,1.503029246584912
86,4.325,1.0247671069929725,0.6214153492714751,0.6573138455441297,0.1539977337198123,0.8373626771014788,0.9682607507633192,2.299674811091869,1.0279348725797457,1.0740601553237084,1.1201854380676712,1.0608815031111476,0.2336215619499423,0.6489487831942844,3.088996208004794,2.725584889415994,0.4672431238998847,0.1557477079666282,1.583435030994054,1.50556117701074,1.4422555610175027
87,4.375,1.0235845757285893,0.5419665614266658,0.5504347889489573,0.1655477313635546,0.4891182972105025,0.4063444315287252,1.9189934139965887,1.068969485649107,1.0882882112933676,0.9272988309245266,1.0947277865081213,0.1268401178663598,0.3551523300258076,2.6382744516202883,2.68901049876683,0.5580965186119833,0.1522081414396318,1.1161930372239666,1.1161930372239666,1.3240555160947578
88,4.425,1.0220188904694136,0.5108670539005667,0.5132321791501064,0.1452771540919487,0.2390636712905486,0.2629700384196034,2.347987188116075,1.032358978152912,1.0134743626988951,0.9945897472448793,1.044948721788923,0.0743939396673384,0.4463636380040308,2.678181828024188,3.4469192045866865,0.3967676782258051,0.3719696983366923,1.0415151553427395,1.3390909140120937,1.1022449020099525
89,4.4750000000000005,1.016991276034541,0.4752329495910725,0.5099214860575746,0.1923953553652171,0.16902021873206,0.1708183061653798,1.7664825888187423,1.0340385885768246,0.880163798610035,0.97864366418878,0.886318790208707,0.1939754928066194,0.5334326052182035,2.8853854554984637,2.933879328700119,0.1939754928066194,0.2424693660082743,1.309334576444681,1.3335815130455086,0.7674897687323129
90,4.525,1.0134898823099348,0.4783591672928929,0.4489564761590508,0.1881670581084017,0.1266170858299525,0.1442027921952237,1.5771673116361258,0.9210175522149896,1.0474317260484196,0.9691753327229627,0.9450964424689764,0.2134265272512456,0.5217092888363783,2.964257322933964,2.418833975514114,0.2371405858347174,0.2845687030016609,1.5888419250926047,1.446557573591775,0.7985346257699664
91,4.575,1.008532748788098,0.4956177071071025,0.5022554442558582,0.1892376598364398,0.1462291007827033,0.1307460195233583,1.130661934015762,0.989329192263792,0.8067744008341635,0.853885314751487,0.9304405498671376,0.1391913365739102,0.2783826731478205,3.1318050729129783,2.5750397266173377,0.3015812292434722,0.2319855609565171,1.0207364682086748,1.4847075901217084,0.6249406948216375
92,4.625,1.0083301784316812,0.541249639530498,0.4838771777402653,0.242401995864877,0.1245676923194505,0.1228843451259444,0.8067117704263796,0.910431855195486,0.8067117704263802,0.9622918975800392,0.8355229050844648,0.5220926825919642,0.3177955459255435,3.268754186662734,2.4969650037007014,0.3177955459255435,0.1815974548145963,1.1576837744430517,1.4300799566649465,0.3898322913940885
93,4.675,1.0118281542996577,0.51913944626401,0.5127826367179205,0.3080886076787344,0.149925472185908,0.1416878088789899,0.5921612584857604,0.8459446549796579,0.8685031791124488,0.8572239170460532,0.862863548079251,0.244384011438568,0.1333003698755825,2.66600739751165,2.621573940886456,0.3110341963763593,0.3332509246889564,1.577387710194394,1.2885702421306324,0.3740571603651552
94,4.7250000000000005,1.0173134895841474,0.6015554072877347,0.5310282216057243,0.2822485851319048,0.177413396368626,0.1532206605001769,0.5852160773921736,0.8115732394023542,0.8557404905262918,0.8667823033072761,0.888865928869245,0.3044863524453276,0.3044863524453277,2.696879121658616,3.2188557258506054,0.2392392769213289,0.3914824531439927,1.3701885860039742,1.4136866363533065,0.2490041453670973
95,4.775,1.0258814047925944,0.5331677879815714,0.5788678840942774,0.2668931256024349,0.1626626741837324,0.1816136653507692,0.3838183114887993,0.8487249986442469,0.8811603489109058,0.7189835975776103,0.8703485654886863,0.2768471815689591,0.2981431186127252,2.6832880675145288,3.045318997258552,0.447214677919088,0.3620309297440235,1.5971952782824577,1.788858711676353,0.1936191827142405
