,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DMA),N (DMA),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.2037517343905904,0.732314123941703,0.7086910876855191,2.156697390363812,0.0,0.0,1.1820240479940447,1.2071734958237046,1.2323229436533656,1.056276808845741,55.97657403298674,2.377765976622447,0.4953679117963431,0.6935150765148804,3.566648964933672,53.99510238580135,0.0,0.0,0.0
45,2.275,0.9247751623466438,0.3931723677547916,0.4835568201122148,0.9746658401632824,0.0,0.0,0.4811233925487457,0.7216850888231185,0.7457412584505557,0.7697974280779931,39.991559568521474,3.3168355092375643,0.4738336441767952,0.6633671018475132,2.9377685938961284,37.52762461880215,0.0,0.0,0.0
46,2.325,0.6446095879282672,0.3072130891400408,0.2899053094701793,0.4751862491004603,0.0,0.0230326606375848,0.3915552308389425,0.5067185340268668,0.4376205521141122,0.6679471584899607,24.40764068170736,4.627470909914778,1.2702861321334686,0.9073472372381918,3.901593120124224,24.22617123425972,0.0,0.0,0.0
47,2.375,0.5637764172832439,0.1741606515797175,0.1700139693992481,0.2414114321815187,0.0,0.0,0.2428041904441044,0.3310966233328697,0.4635352726660176,0.3531697315550611,13.391018988129412,5.478144131507483,1.4782293688194792,1.043456025049044,4.695552112720699,13.391018988129424,0.0,0.0,0.0
48,2.4250000000000003,0.6782359608857551,0.1431883378865696,0.1590981532072995,0.1368304958176737,0.0,0.0,0.2752398050486282,0.2752398050486282,0.2540675123525799,0.3387566831367732,8.59081815757839,5.6716081040323365,1.501308027537972,0.750654013768986,5.421390099442676,8.42400615451861,0.0,0.0,0.0
49,2.475,0.8543485398684044,0.110732942281096,0.1221880742412094,0.1212535574210089,0.0,0.0,0.0813020647835739,0.2642317105466152,0.3658592915260827,0.2032551619589348,6.325547010055342,6.405617225372499,1.6014043063431238,2.2419660288803733,5.845125718152405,4.403861842443593,0.0,0.1601404306343123,0.0
50,2.5250000000000004,0.8647642140163366,0.117397011338012,0.0953850717121348,0.0533954379962325,0.0,0.0,0.253871037018451,0.253871037018451,0.1757568717820045,0.1366997891637813,3.077224691132741,5.6928656785955685,2.0001960492362825,1.3078204937314146,7.693061727831845,2.6156409874628315,0.0,0.0,0.0
51,2.575,0.8247008216275026,0.0776065875268508,0.0458584380840482,0.0513420254001728,0.0,0.0,0.1502203036883378,0.1126652277662533,0.16899784164938,0.16899784164938,1.7753308617712664,6.879407089363649,1.2575260270879798,2.1451914579736138,5.17804834683286,2.071219338733144,0.2958884769618776,0.0,0.0
52,2.625,0.8304930639291292,0.0373391956071563,0.0746783912143127,0.0134740431219288,0.0,0.0361380746295835,0.1264832612035422,0.1987594104627092,0.1806903731479174,0.2348974850922927,1.5659832339486193,7.687554057565952,1.7083453461257672,1.4236211217714725,7.616373001477379,1.2100779535057515,0.1423621121771471,0.0711810560885735,0.0
53,2.6750000000000003,0.8185532353193136,0.0817191442867061,0.0490314865720236,0.0129750626033806,0.0,0.0,0.2957981579657878,0.1391991331603707,0.1391991331603707,0.2261985913856024,0.4798151938482478,8.842308572346282,1.5079906092373498,1.5765356369299566,7.060137852338505,0.753995304618675,0.2741801107704273,0.2056350830778205,0.0
54,2.725,0.8156188267854523,0.0598483831121488,0.0629982980127882,0.0250065901863381,0.0,0.0335344786344996,0.1509051538552482,0.1509051538552482,0.083836196586249,0.1844396324897478,0.2642110437869666,7.926331313609004,1.6513190236685422,0.9907914142011252,6.803434377514396,0.4623693266271916,0.0,0.1321055218934833,0.0
55,2.7750000000000004,0.8342833208462596,0.0577111721580303,0.0516363119308692,0.0040189323873761,0.0,0.0161684741430595,0.1455162672875356,0.1778532155736547,0.0970108448583571,0.1131793190014166,0.1910819671452488,7.579584696761531,1.6560437152588234,0.9554098357262448,7.070032784374204,0.3184699452420814,0.2547759561936651,0.2547759561936651,0.0
56,2.825,0.8516501793433928,0.0762024834154269,0.0498247006947022,0.0077558638804935,0.0,0.0,0.1716134034787661,0.1872146219768357,0.1716134034787661,0.2340182774710447,0.4302154191891934,7.436580817413191,1.2291869119691243,1.3521056031660366,6.023015868648701,0.1843780367953686,0.1843780367953686,0.1229186911969124,0.0206954939260107
57,2.875,0.8606203274014478,0.0339577276091515,0.0481067807796313,0.0112326708917461,0.003744223630582,0.0,0.1656962965133726,0.1054430977812371,0.1807595961964065,0.1355696971473048,0.1780208144358549,6.290068776733542,1.3054859725296022,0.7714235292220379,6.824131220041107,0.1186805429572366,0.2373610859144732,0.4153819003503282,0.0
58,2.9250000000000003,0.8776122039003117,0.0601456722461432,0.0437423070881041,0.0217038789471568,0.0,0.0,0.0727636454446347,0.1600800199781964,0.0727636454446347,0.0727636454446347,0.1719867983236822,7.108787664045527,0.7452761260692894,1.2039075882657757,7.28077446236921,0.0573289327745607,0.2866446638728036,0.3439735966473643,0.0
59,2.975,0.8950871755909123,0.0739976430683305,0.0819259619685088,0.0034967474053048,0.0034967474053048,0.0140676837921111,0.1406768379211119,0.1969475730895568,0.1828798892974455,0.1547445217132231,0.3325088896317192,7.3706137201697715,1.3300355585268775,0.9975266688951578,6.871850385722194,0.0554181482719532,0.3879270379036724,0.4987633344475787,0.0
