,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
36,1.825,0.83651176463623,19.42508508932828,20.06186087829816,8.897342155719992,0.0,14.542505338370043,14.578952720170474,13.449083884357254,14.323821047567488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3980710939153784,22.204199262421604,22.385828704241,9.548583932970054,0.0,29.212002028355705,26.06981268488008,24.205216810729727,26.6222855364802,0.0,0.0,0.0,0.0,0.0,0.1360255127045719,0.0,0.0,0.0
38,1.925,0.3318512361029725,18.82565475437105,18.733341965448027,7.402273250958312,0.0,32.66092747945458,30.957448814528146,31.2522816603808,31.64539212151768,2.968182522220272,0.0,0.0,0.0,0.0,3.097233936229849,0.0,0.0,0.0
39,1.975,0.655230170185944,13.049482564473829,13.680909140174174,5.024468939030911,0.0,31.24608113576768,29.16093428706605,29.84560937171436,31.80626984138901,17.531831712963957,0.0,0.0,0.0,0.0,21.8228394748782,0.0,0.0,0.0
40,2.025,1.1658639809309377,9.131823946128756,9.165192364933128,2.9175592381701265,0.0,24.896776190276597,23.77183267632831,23.71262512296261,24.600738423448103,58.07722734689963,0.0,0.0,0.0,0.1166209384475897,62.1589601925653,0.0,0.0,0.0
41,2.075,1.615928408202139,5.545567073617883,5.460821062941775,1.5264320414236074,0.0,18.664656959023198,17.339522703624265,17.87521527495575,17.48049443292202,104.84879163285392,0.1110686352042943,0.0,0.1110686352042943,0.7774804464300605,102.96062483438088,0.0,0.0,0.0
42,2.125,1.816097101151556,3.23220252565754,3.28270569012094,0.9412480048220926,0.0,13.145896012646691,13.441611464873928,13.119012789716953,12.043683872527035,121.8950499084293,1.0590360548082467,0.7413252383657728,0.0,1.4826504767315458,110.88107493842352,0.0,0.0,0.0
43,2.1750000000000003,1.7514119085844844,2.1548962789772816,2.3139825814521147,0.5989810273185278,0.0,8.878869830805169,9.28945340679616,8.647916569310233,9.828344350284338,103.61791950909,3.032719595387999,0.5054532658979999,0.5054532658979999,2.6283569826695983,105.94300453222073,0.0,0.0,0.0
44,2.225,1.4537952121792803,1.170070167475148,1.4326449688376812,0.3497780790080242,0.0,5.860556173784971,6.424542751178507,5.786992707168423,6.27741581794541,74.47743695935938,4.34693211825055,0.4829924575833942,1.3523788812335036,5.312917033417338,76.60260377272635,0.0,0.0965984915166788,0.0
45,2.275,1.0410474921332749,1.0310793058308696,0.8812643639580084,0.136870684756371,0.0,4.3392101489963215,5.3477833187630335,4.831769138882391,4.691037998914942,52.94476068775364,6.098349398589422,1.3859884996794132,1.0163915664315697,7.114740965020995,49.98798522177086,0.0,0.0923992333119609,0.0
